# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6402
  1 0.5 2.4111 0.00104648
  2 1.5 2.41639 0.00104878
  3 2.5 2.44294 0.0010603
  4 3.5 2.45271 0.00106454
  5 4.5 2.46805 0.0010712
  6 5.5 2.45656 0.00106622
  7 6.5 2.42654 0.00105319
  8 7.5 2.43508 0.00105689
  9 8.5 2.43731 0.00105786
  10 9.5 2.45306 0.0010647
  11 10.5 2.46192 0.00106854
  12 11.5 2.47134 0.00107263
  13 12.5 2.4865 0.00107921
  14 13.5 2.47942 0.00107614
  15 14.5 2.46264 0.00106885
  16 15.5 2.50162 0.00108577
  17 16.5 2.53683 0.00110105
  18 17.5 2.55959 0.00111093
  19 18.5 2.57437 0.00111735
  20 19.5 2.58207 0.00112069
  21 20.5 2.57715 0.00111855
  22 21.5 2.58267 0.00112095
  23 22.5 2.61779 0.00113619
  24 23.5 2.62322 0.00113855
  25 24.5 2.6161 0.00113546
  26 25.5 2.62342 0.00113864
  27 26.5 2.60168 0.0011292
  28 27.5 2.61581 0.00113534
  29 28.5 2.62778 0.00114053
  30 29.5 2.59761 0.00112743
  31 30.5 2.61194 0.00113366
  32 31.5 2.61052 0.00113304
  33 32.5 2.60218 0.00112942
  34 33.5 2.59499 0.0011263
  35 34.5 2.60078 0.00112881
  36 35.5 2.59074 0.00112445
  37 36.5 2.57084 0.00111582
  38 37.5 2.54179 0.00110321
  39 38.5 2.53841 0.00110174
  40 39.5 2.523 0.00109505
  41 40.5 2.50666 0.00108796
  42 41.5 2.50337 0.00108653
  43 42.5 2.52826 0.00109734
  44 43.5 2.54718 0.00110555
  45 44.5 2.57278 0.00111666
  46 45.5 2.58846 0.00112346
  47 46.5 2.57958 0.00111961
  48 47.5 2.57829 0.00111905
  49 48.5 2.57189 0.00111627
  50 49.5 2.5975 0.00112739
  51 50.5 2.58883 0.00112362
  52 51.5 2.5676 0.00111441
  53 52.5 2.54166 0.00110315
  54 53.5 2.51449 0.00109136
  55 54.5 2.48032 0.00107653
  56 55.5 2.46152 0.00106837
  57 56.5 2.4523 0.00106437
  58 57.5 2.46091 0.00106811
  59 58.5 2.44427 0.00106088
  60 59.5 2.4346 0.00105668
  61 60.5 2.44215 0.00105996
  62 61.5 2.41172 0.00104675
  63 62.5 2.33541 0.00101363
  64 63.5 2.20307 0.000956194
  65 64.5 1.98209 0.000860282
  66 65.5 1.60258 0.000695565
  67 66.5 1.11886 0.000485617
  68 67.5 0.661414 0.000287072
  69 68.5 0.323446 0.000140385
  70 69.5 0.134162 5.823e-05
  71 70.5 0.051754 2.24627e-05
  72 71.5 0.02037 8.84115e-06
  73 72.5 0.00856 3.71528e-06
  74 73.5 0.00496 2.15278e-06
  75 74.5 0.003826 1.66059e-06
  76 75.5 0.002992 1.29861e-06
  77 76.5 0.002798 1.21441e-06
  78 77.5 0.002756 1.19618e-06
  79 78.5 0.002778 1.20573e-06
  80 79.5 0.002862 1.24219e-06
  81 80.5 0.002546 1.10503e-06
  82 81.5 0.002576 1.11806e-06
  83 82.5 0.00237 1.02865e-06
  84 83.5 0.002438 1.05816e-06
  85 84.5 0.002432 1.05556e-06
  86 85.5 0.002464 1.06944e-06
  87 86.5 0.002488 1.07986e-06
  88 87.5 0.002506 1.08767e-06
  89 88.5 0.00253 1.09809e-06
  90 89.5 0.002476 1.07465e-06
  91 90.5 0.002504 1.08681e-06
  92 91.5 0.00258 1.11979e-06
  93 92.5 0.002478 1.07552e-06
  94 93.5 0.002496 1.08333e-06
  95 94.5 0.0025 1.08507e-06
  96 95.5 0.002482 1.07726e-06
  97 96.5 0.002466 1.07031e-06
  98 97.5 0.002434 1.05642e-06
  99 98.5 0.002472 1.07292e-06
  100 99.5 0.002454 1.0651e-06
  101 100.5 0.002444 1.06076e-06
  102 101.5 0.002426 1.05295e-06
  103 102.5 0.002564 1.11285e-06
  104 103.5 0.003548 1.53993e-06
  105 104.5 0.003192 1.38542e-06
  106 105.5 0.003234 1.40365e-06
  107 106.5 0.00324 1.40625e-06
  108 107.5 0.003146 1.36545e-06
  109 108.5 0.002998 1.30122e-06
  110 109.5 0.002994 1.29948e-06
  111 110.5 0.002964 1.28646e-06
  112 111.5 0.002952 1.28125e-06
  113 112.5 0.002968 1.28819e-06
  114 113.5 0.003006 1.30469e-06
  115 114.5 0.003096 1.34375e-06
  116 115.5 0.003126 1.35677e-06
  117 116.5 0.003466 1.50434e-06
  118 117.5 0.003174 1.3776e-06
  119 118.5 0.002992 1.29861e-06
  120 119.5 0.002854 1.23872e-06
  121 120.5 0.00299 1.29774e-06
  122 121.5 0.0028 1.21528e-06
  123 122.5 0.002502 1.08594e-06
  124 123.5 0.00245 1.06337e-06
  125 124.5 0.002468 1.07118e-06
  126 125.5 0.002394 1.03906e-06
  127 126.5 0.002558 1.11024e-06
  128 127.5 0.002578 1.11892e-06
  129 128.5 0.002622 1.13802e-06
  130 129.5 0.002526 1.09635e-06
  131 130.5 0.002544 1.10417e-06
  132 131.5 0.002534 1.09983e-06
  133 132.5 0.002492 1.0816e-06
  134 133.5 0.002512 1.09028e-06
  135 134.5 0.002492 1.0816e-06
  136 135.5 0.00255 1.10677e-06
  137 136.5 0.00256 1.11111e-06
  138 137.5 0.002618 1.13628e-06
  139 138.5 0.002732 1.18576e-06
  140 139.5 0.003172 1.37674e-06
  141 140.5 0.00328 1.42361e-06
  142 141.5 0.002894 1.25608e-06
  143 142.5 0.002544 1.10417e-06
  144 143.5 0.002496 1.08333e-06
  145 144.5 0.00274 1.18924e-06
  146 145.5 0.002668 1.15799e-06
  147 146.5 0.002274 9.86979e-07
  148 147.5 0.002238 9.71354e-07
  149 148.5 0.002292 9.94792e-07
  150 149.5 0.002262 9.81771e-07
  151 150.5 0.002228 9.67014e-07
  152 151.5 0.00223 9.67882e-07
  153 152.5 0.00219 9.50521e-07
  154 153.5 0.002266 9.83507e-07
  155 154.5 0.002242 9.7309e-07
  156 155.5 0.002196 9.53125e-07
  157 156.5 0.002202 9.55729e-07
  158 157.5 0.00223 9.67882e-07
  159 158.5 0.002172 9.42708e-07
  160 159.5 0.002158 9.36632e-07
  161 160.5 0.002156 9.35764e-07
  162 161.5 0.002092 9.07986e-07
  163 162.5 0.002068 8.97569e-07
  164 163.5 0.00208 9.02778e-07
  165 164.5 0.002106 9.14062e-07
  166 165.5 0.002062 8.94965e-07
  167 166.5 0.002146 9.31424e-07
  168 167.5 0.00211 9.15799e-07
  169 168.5 0.002074 9.00174e-07
  170 169.5 0.002042 8.86285e-07
  171 170.5 0.002102 9.12326e-07
  172 171.5 0.002092 9.07986e-07
  173 172.5 0.002094 9.08854e-07
  174 173.5 0.002094 9.08854e-07
  175 174.5 0.002138 9.27951e-07
  176 175.5 0.002118 9.19271e-07
  177 176.5 0.002126 9.22743e-07
  178 177.5 0.002094 9.08854e-07
  179 178.5 0.0021 9.11458e-07
  180 179.5 0.002134 9.26215e-07
  181 180.5 0.002072 8.99306e-07
  182 181.5 0.002054 8.91493e-07
  183 182.5 0.002026 8.7934e-07
  184 183.5 0.00201 8.72396e-07
  185 184.5 0.002 8.68056e-07
  186 185.5 0.001976 8.57639e-07
  187 186.5 0.001972 8.55903e-07
  188 187.5 0.002028 8.80208e-07
  189 188.5 0.00207 8.98437e-07
  190 189.5 0.002066 8.96701e-07
  191 190.5 0.002076 9.01042e-07
  192 191.5 0.002106 9.14062e-07
  193 192.5 0.002052 8.90625e-07
  194 193.5 0.002044 8.87153e-07
  195 194.5 0.00206 8.94097e-07
  196 195.5 0.002242 9.7309e-07
  197 196.5 0.004712 2.04514e-06
  198 197.5 0.002484 1.07812e-06
  199 198.5 0.002492 1.0816e-06
  200 199.5 0.002508 1.08854e-06
  201 200.5 0.002526 1.09635e-06
  202 201.5 0.00252 1.09375e-06
  203 202.5 0.002304 1e-06
  204 203.5 0.002138 9.27951e-07
  205 204.5 0.002222 9.6441e-07
  206 205.5 0.002206 9.57465e-07
  207 206.5 0.002146 9.31424e-07
  208 207.5 0.002034 8.82812e-07
  209 208.5 0.002064 8.95833e-07
  210 209.5 0.002082 9.03646e-07
  211 210.5 0.002078 9.0191e-07
  212 211.5 0.00208 9.02778e-07
  213 212.5 0.002126 9.22743e-07
  214 213.5 0.002168 9.40972e-07
  215 214.5 0.001964 8.52431e-07
  216 215.5 0.002408 1.04514e-06
  217 216.5 0.002366 1.02691e-06
  218 217.5 0.002568 1.11458e-06
  219 218.5 0.002906 1.26128e-06
  220 219.5 0.0028 1.21528e-06
  221 220.5 0.0035 1.5191e-06
  222 221.5 0.004102 1.78038e-06
  223 222.5 0.006956 3.0191e-06
  224 223.5 0.015808 6.86111e-06
  225 224.5 0.041996 1.82274e-05
  226 225.5 0.119148 5.17135e-05
  227 226.5 0.332422 0.00014428
  228 227.5 0.80077 0.000347556
  229 228.5 1.66075 0.000720812
  230 229.5 2.95835 0.00128401
  231 230.5 4.64774 0.00201725
  232 231.5 6.58808 0.00285941
  233 232.5 8.86695 0.0038485
  234 233.5 11.5972 0.0050335
  235 234.5 14.8056 0.00642605
  236 235.5 18.1754 0.00788861
  237 236.5 21.6102 0.00937943
  238 237.5 24.9321 0.0108212
  239 238.5 27.9235 0.0121196
  240 239.5 30.4088 0.0131983
  241 240.5 32.471 0.0140933
  242 241.5 34.1165 0.0148075
  243 242.5 35.2559 0.0153021
  244 243.5 35.9763 0.0156147
  245 244.5 36.5959 0.0158837
  246 245.5 37.1026 0.0161036
  247 246.5 37.4023 0.0162336
  248 247.5 37.55 0.0162977
  249 248.5 37.7318 0.0163767
  250 249.5 37.8035 0.0164078
  251 250.5 37.7898 0.0164018
  252 251.5 37.9229 0.0164596
  253 252.5 37.9666 0.0164786
  254 253.5 37.9998 0.016493
  255 254.5 37.936 0.0164653
  256 255.5 37.9928 0.0164899
  257 256.5 37.9942 0.0164906
  258 257.5 37.9503 0.0164715
  259 258.5 37.9769 0.016483
  260 259.5 37.9913 0.0164893
  261 260.5 37.924 0.0164601
  262 261.5 38.0006 0.0164933
  263 262.5 38.0681 0.0165226
  264 263.5 37.9615 0.0164764
  265 264.5 38.0251 0.016504
  266 265.5 38.1206 0.0165454
  267 266.5 38.0539 0.0165165
  268 267.5 38.0876 0.0165311
  269 268.5 38.2818 0.0166154
  270 269.5 38.1536 0.0165597
  271 270.5 38.1262 0.0165479
  272 271.5 38.362 0.0166502
  273 272.5 38.2925 0.01662
  274 273.5 38.1436 0.0165554
  275 274.5 38.2517 0.0166023
  276 275.5 38.3282 0.0166355
  277 276.5 38.3389 0.0166401
  278 277.5 38.4091 0.0166706
  279 278.5 38.4975 0.016709
  280 279.5 38.3639 0.016651
  281 280.5 38.3822 0.0166589
  282 281.5 38.4677 0.0166961
  283 282.5 38.3663 0.016652
  284 283.5 38.3601 0.0166493
  285 284.5 38.3922 0.0166633
  286 285.5 38.2934 0.0166204
  287 286.5 38.2135 0.0165857
  288 287.5 38.237 0.0165959
