# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 12537
  1 0.5 38.7747 0.0168293 -52.0637 -3.63109 0.251709
  2 1.5 38.7624 0.0168239 -82.8625 -86.1266 -53.3076
  3 2.5 38.8586 0.0168657 -55.9833 -70.7615 24.5488
  4 3.5 38.7722 0.0168282 -25.2822 -66.2995 -9.38912
  5 4.5 38.7433 0.0168156 95.0306 -0.180812 -14.7359
  6 5.5 38.8051 0.0168425 34.4406 -40.9472 8.81879
  7 6.5 38.8403 0.0168577 22.0222 12.3029 47.2946
  8 7.5 38.7267 0.0168085 -50.6107 30.8303 2.23027
  9 8.5 38.7899 0.0168359 4.91437 -71.4708 -41.893
  10 9.5 38.8266 0.0168518 -64.1655 -71.0559 -2.17739
  11 10.5 38.7706 0.0168275 -70.3957 -119.279 16.4963
  12 11.5 38.7697 0.0168271 -86.2651 -48.6214 -15.4565
  13 12.5 38.8225 0.01685 -162.861 -76.5558 -22.4984
  14 13.5 38.7907 0.0168362 -43.5872 57.5223 -17.6346
  15 14.5 38.7643 0.0168248 -16.0856 -24.4447 18.3638
  16 15.5 38.822 0.0168498 -20.4429 -27.6389 10.8997
  17 16.5 38.7779 0.0168307 16.7531 14.6386 2.88919
  18 17.5 38.7829 0.0168329 20.6844 -108.573 -3.88493
  19 18.5 38.7997 0.0168401 32.8181 -86.8176 -19.8273
  20 19.5 38.8091 0.0168442 83.0035 -14.4931 -10.4607
  21 20.5 38.7482 0.0168178 78.3331 8.66461 1.82497
  22 21.5 38.7761 0.0168299 74.106 58.439 54.5891
  23 22.5 38.8415 0.0168583 -49.7819 10.5718 -17.4812
  24 23.5 38.7493 0.0168183 -67.0836 -45.037 -22.0355
  25 24.5 38.7807 0.0168319 9.06148 45.4393 43.6816
  26 25.5 38.8198 0.0168489 -10.9275 17.2028 -59.4023
  27 26.5 38.7661 0.0168256 -43.1746 124.642 30.265
  28 27.5 38.7693 0.016827 -45.5511 45.1538 -45.5148
  29 28.5 38.8054 0.0168426 -15.3396 -18.9296 42.944
  30 29.5 38.8262 0.0168516 -15.1947 -50.2542 10.6038
  31 30.5 38.7488 0.016818 -6.57141 -42.1884 -4.23239
  32 31.5 38.7739 0.016829 -1.87176 -80.8634 -7.69945
  33 32.5 38.8354 0.0168556 -11.022 -89.4498 -6.81333
  34 33.5 38.8263 0.0168517 -41.1237 -55.9277 -3.52062
  35 34.5 38.7315 0.0168105 -38.7726 -26.074 5.45249
  36 35.5 38.8269 0.016852 -61.0091 -2.49261 49.3743
  37 36.5 38.8375 0.0168566 -15.3886 -33.2828 -103.379
  38 37.5 38.7356 0.0168123 44.8095 8.26931 -9.79316
  39 38.5 38.7652 0.0168252 36.0842 -35.1306 48.2633
  40 39.5 38.8507 0.0168623 -71.6852 -18.5797 -16.7039
  41 40.5 38.7833 0.016833 -94.0662 69.9709 -22.6564
  42 41.5 38.7465 0.0168171 -11.2 -7.42124 12.7857
  43 42.5 38.846 0.0168602 52.8014 -8.59048 -67.71
  44 43.5 38.7976 0.0168392 66.502 -63.0764 -31.312
  45 44.5 38.7437 0.0168158 30.8119 -44.9099 -35.2171
  46 45.5 38.8256 0.0168514 6.39514 -65.9628 -133.185
  47 46.5 38.8034 0.0168417 -37.7013 -80.8603 -114.873
  48 47.5 38.7924 0.016837 -3.52957 -10.0594 -189.949
  49 48.5 38.7534 0.01682 140.784 0.995696 -339.134
  50 49.5 38.7676 0.0168262 144.399 161.744 -346.803
  51 50.5 38.7762 0.01683 205.504 304.199 -485.765
  52 51.5 38.7471 0.0168173 205.839 285.458 -814.739
  53 52.5 38.664 0.0167812 440.98 481.04 -863.494
  54 53.5 38.741 0.0168147 665.809 556.238 -1124.31
  55 54.5 38.6241 0.016764 882.005 812.049 -1584.48
  56 55.5 38.5691 0.0167401 1240.37 1245.38 -1996.45
  57 56.5 38.4597 0.0166926 1710.38 1773.05 -2507.23
  58 57.5 38.3916 0.016663 2485.37 2567.05 -3091.46
  59 58.5 38.088 0.0165312 3584.27 3567.33 -3852.41
  60 59.5 37.7554 0.0163869 5223.74 5237.27 -4367.21
  61 60.5 37.3137 0.0161952 7528.67 7526.64 -4472.26
  62 61.5 36.449 0.0158199 10564.2 10551.2 -3859.85
  63 62.5 34.974 0.0151797 14290.8 14270.3 -1496.03
  64 63.5 32.7625 0.0142198 18018.7 17996.4 2557.38
  65 64.5 29.0909 0.0126262 20890 20855.5 7397.32
  66 65.5 23.2415 0.0100874 22207.6 22200.3 12076.2
  67 66.5 15.9773 0.00693459 21969 22010.2 16159.2
  68 67.5 9.2253 0.00400404 20480.3 20391.1 19856.5
  69 68.5 4.47506 0.0019423 17648.5 17625.7 22851.3
  70 69.5 1.8722 0.000812588 13861.7 13995.9 25080.3
  71 70.5 0.69899 0.000303381 9278.79 9314.08 25427.7
  72 71.5 0.2642 0.00011467 3488.98 3544.42 22798.5
  73 72.5 0.11227 4.87283e-05 -1949.04 -2727.08 15818.8
  74 73.5 0.06089 2.6428e-05 -6922.12 -7380.69 5958.75
  75 74.5 0.044848 1.94653e-05 -9448.75 -9687.59 -675.783
  76 75.5 0.036494 1.58394e-05 -11368.3 -11136.4 -5340.7
  77 76.5 0.031486 1.36658e-05 -11038.2 -11892.3 -8403.68
  78 77.5 0.031508 1.36753e-05 -11522.3 -12382.3 -9180.62
  79 78.5 0.030348 1.31719e-05 -11870.4 -12568.6 -10176.7
  80 79.5 0.029388 1.27552e-05 -12329.3 -12699.3 -10825.1
  81 80.5 0.0281 1.21962e-05 -12565.5 -12270.3 -11683.3
  82 81.5 0.028406 1.2329e-05 -12405.6 -11966 -11695.4
  83 82.5 0.027462 1.19193e-05 -12646.1 -12665.1 -12283.7
  84 83.5 0.027724 1.2033e-05 -11930.2 -12822.1 -12206.4
  85 84.5 0.028028 1.21649e-05 -11997.5 -13208.8 -12027
  86 85.5 0.028558 1.2395e-05 -12174.2 -12858.2 -12079.6
  87 86.5 0.027816 1.20729e-05 -12218.5 -12968.4 -12319.5
  88 87.5 0.02995 1.29991e-05 -12098.1 -13104.7 -11361.3
  89 88.5 0.027152 1.17847e-05 -12408.1 -13026.3 -12702.6
  90 89.5 0.026662 1.1572e-05 -12166.2 -13360.4 -13010.1
  91 90.5 0.026684 1.15816e-05 -12152.7 -13195.7 -12931.8
  92 91.5 0.027202 1.18064e-05 -12079.7 -13162.8 -12623.2
  93 92.5 0.027282 1.18411e-05 -11831 -13225 -12561.1
  94 93.5 0.027168 1.17917e-05 -11771 -13149.5 -12716.2
  95 94.5 0.026848 1.16528e-05 -11611.3 -13044.3 -12877.9
  96 95.5 0.026838 1.16484e-05 -11600.9 -13102.2 -12836.8
  97 96.5 0.026748 1.16094e-05 -11788.1 -13136 -12857.1
  98 97.5 0.02761 1.19835e-05 -11711.1 -13281.1 -12523.6
  99 98.5 0.02774 1.20399e-05 -11614.5 -13776.1 -12382.8
  100 99.5 0.02754 1.19531e-05 -11719.1 -13393.2 -12450.8
  101 100.5 0.027076 1.17517e-05 -12288.5 -12655.1 -12690.8
  102 101.5 0.026754 1.1612e-05 -12366.7 -12660.3 -12994.2
  103 102.5 0.026884 1.16684e-05 -12299.8 -13052.8 -12795.1
  104 103.5 0.028134 1.22109e-05 -12651.5 -15234.3 -12248.1
  105 104.5 0.027948 1.21302e-05 -12056 -13991.8 -12284.9
  106 105.5 0.029498 1.2803e-05 -14290.6 -13888.4 -11705.5
  107 106.5 0.028912 1.25486e-05 -12518.1 -14340.8 -11846.2
  108 107.5 0.028368 1.23125e-05 -11782.1 -13773.5 -12144.8
  109 108.5 0.02845 1.23481e-05 -11716.1 -13554.3 -12115.7
  110 109.5 0.028484 1.23628e-05 -11761 -13398.6 -12172.9
  111 110.5 0.028346 1.2303e-05 -11922.8 -13533.3 -12109.8
  112 111.5 0.028364 1.23108e-05 -11927.6 -13553.5 -12057.3
  113 112.5 0.028626 1.24245e-05 -12219.4 -13403.1 -12055.1
  114 113.5 0.02761 1.19835e-05 -11665.8 -13415.4 -12509
  115 114.5 0.027758 1.20477e-05 -11750.4 -13270.7 -12432.2
  116 115.5 0.027974 1.21415e-05 -11705.6 -13173 -12333.5
  117 116.5 0.028818 1.25078e-05 -11475.6 -13080.5 -11961.3
  118 117.5 0.030204 1.31094e-05 -13221.5 -13096.8 -11394.1
  119 118.5 0.028108 1.21997e-05 -11849.9 -12974.8 -12263.3
  120 119.5 0.027784 1.2059e-05 -11393.4 -12695.8 -12308.2
  121 120.5 0.02857 1.24002e-05 -11946.6 -13007.7 -12065
  122 121.5 0.027604 1.19809e-05 -11605.2 -12724.1 -12445
  123 122.5 0.02674 1.16059e-05 -11504.2 -13013.7 -12951.7
  124 123.5 0.026438 1.14748e-05 -11305.5 -12812.9 -13043
  125 124.5 0.026526 1.1513e-05 -11341.5 -12758 -12924.4
  126 125.5 0.026914 1.16814e-05 -11444.5 -12728.5 -12805.7
  127 126.5 0.027202 1.18064e-05 -11474.2 -12811.6 -12773.9
  128 127.5 0.02734 1.18663e-05 -11514.8 -12773.4 -12589.7
  129 128.5 0.02765 1.20009e-05 -11673.5 -13455.7 -12376.3
  130 129.5 0.027338 1.18655e-05 -11788.1 -13342.9 -12589.2
  131 130.5 0.027352 1.18715e-05 -11664.7 -13293.5 -12533.9
  132 131.5 0.027512 1.1941e-05 -11822.5 -13387.4 -12650.9
  133 132.5 0.02775 1.20443e-05 -11790.1 -13254 -12358.7
  134 133.5 0.027598 1.19783e-05 -11690.4 -12854.2 -12487.5
