# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 6017
  1 0.5 34.3533 0.0149103
  2 1.5 34.3011 0.0148876
  3 2.5 34.3946 0.0149282
  4 3.5 34.3213 0.0148964
  5 4.5 34.2884 0.0148821
  6 5.5 34.258 0.0148689
  7 6.5 34.2821 0.0148794
  8 7.5 34.2932 0.0148842
  9 8.5 34.2747 0.0148762
  10 9.5 34.212 0.0148489
  11 10.5 34.2914 0.0148834
  12 11.5 34.3847 0.0149239
  13 12.5 34.2091 0.0148477
  14 13.5 34.1997 0.0148436
  15 14.5 34.279 0.014878
  16 15.5 34.2585 0.0148691
  17 16.5 34.1836 0.0148366
  18 17.5 34.283 0.0148798
  19 18.5 34.1867 0.014838
  20 19.5 34.1548 0.0148241
  21 20.5 34.275 0.0148763
  22 21.5 34.2865 0.0148813
  23 22.5 34.2586 0.0148692
  24 23.5 34.1757 0.0148332
  25 24.5 34.2256 0.0148549
  26 25.5 34.2926 0.0148839
  27 26.5 34.2542 0.0148673
  28 27.5 34.1938 0.0148411
  29 28.5 34.35 0.0149089
  30 29.5 34.2741 0.0148759
  31 30.5 34.2164 0.0148509
  32 31.5 34.1694 0.0148305
  33 32.5 34.136 0.014816
  34 33.5 34.168 0.0148299
  35 34.5 34.1946 0.0148414
  36 35.5 34.1878 0.0148385
  37 36.5 34.3536 0.0149104
  38 37.5 34.2205 0.0148526
  39 38.5 34.3097 0.0148914
  40 39.5 34.3677 0.0149165
  41 40.5 34.4504 0.0149524
  42 41.5 34.3612 0.0149137
  43 42.5 34.5047 0.014976
  44 43.5 34.4551 0.0149545
  45 44.5 34.5706 0.0150046
  46 45.5 34.5384 0.0149906
  47 46.5 34.6174 0.0150249
  48 47.5 34.5052 0.0149762
  49 48.5 34.5499 0.0149956
  50 49.5 34.4016 0.0149312
  51 50.5 34.2099 0.0148481
  52 51.5 34.1778 0.0148341
  53 52.5 34.0493 0.0147783
  54 53.5 33.5272 0.0145518
  55 54.5 33.0305 0.0143361
  56 55.5 32.3205 0.014028
  57 56.5 30.9908 0.0134509
  58 57.5 28.7216 0.012466
  59 58.5 25.5693 0.0110978
  60 59.5 20.7388 0.00900123
  61 60.5 14.6617 0.00636358
  62 61.5 8.8694 0.00384957
  63 62.5 4.55493 0.00197697
  64 63.5 2.07012 0.00089849
  65 64.5 0.842704 0.000365757
  66 65.5 0.363432 0.00015774
  67 66.5 0.174968 7.5941e-05
  68 67.5 0.10368 4.5e-05
  69 68.5 0.07256 3.14931e-05
  70 69.5 0.063584 2.75972e-05
  71 70.5 0.06016 2.61111e-05
  72 71.5 0.055184 2.39514e-05
  73 72.5 0.054728 2.37535e-05
  74 73.5 0.053072 2.30347e-05
  75 74.5 0.051232 2.22361e-05
  76 75.5 0.054544 2.36736e-05
  77 76.5 0.053608 2.32674e-05
  78 77.5 0.053592 2.32604e-05
  79 78.5 0.052952 2.29826e-05
  80 79.5 0.055752 2.41979e-05
  81 80.5 0.052768 2.29028e-05
  82 81.5 0.061184 2.65556e-05
  83 82.5 0.050416 2.18819e-05
  84 83.5 0.051152 2.22014e-05
  85 84.5 0.053136 2.30625e-05
  86 85.5 0.054264 2.35521e-05
  87 86.5 0.055904 2.42639e-05
  88 87.5 0.053616 2.32708e-05
  89 88.5 0.054312 2.35729e-05
  90 89.5 0.060432 2.62292e-05
  91 90.5 0.055576 2.41215e-05
  92 91.5 0.054296 2.3566e-05
  93 92.5 0.054392 2.36076e-05
  94 93.5 0.05764 2.50174e-05
  95 94.5 0.056352 2.44583e-05
  96 95.5 0.055656 2.41562e-05
  97 96.5 0.056904 2.46979e-05
  98 97.5 0.05784 2.51042e-05
  99 98.5 0.055896 2.42604e-05
  100 99.5 0.06228 2.70312e-05
  101 100.5 0.05532 2.40104e-05
  102 101.5 0.054848 2.38056e-05
  103 102.5 0.053608 2.32674e-05
  104 103.5 0.055 2.38715e-05
  105 104.5 0.050584 2.19549e-05
  106 105.5 0.052008 2.25729e-05
  107 106.5 0.05144 2.23264e-05
  108 107.5 0.052056 2.25938e-05
  109 108.5 0.054496 2.36528e-05
  110 109.5 0.053656 2.32882e-05
  111 110.5 0.052528 2.27986e-05
  112 111.5 0.05168 2.24306e-05
  113 112.5 0.047816 2.07535e-05
  114 113.5 0.048248 2.0941e-05
  115 114.5 0.04916 2.13368e-05
  116 115.5 0.050624 2.19722e-05
  117 116.5 0.049056 2.12917e-05
  118 117.5 0.049088 2.13056e-05
  119 118.5 0.050208 2.17917e-05
  120 119.5 0.051104 2.21806e-05
  121 120.5 0.051552 2.2375e-05
  122 121.5 0.053864 2.33785e-05
  123 122.5 0.057944 2.51493e-05
  124 123.5 0.051408 2.23125e-05
  125 124.5 0.050824 2.2059e-05
  126 125.5 0.049048 2.12882e-05
  127 126.5 0.049072 2.12986e-05
  128 127.5 0.050384 2.18681e-05
  129 128.5 0.050232 2.18021e-05
  130 129.5 0.049552 2.15069e-05
  131 130.5 0.052544 2.28056e-05
  132 131.5 0.055728 2.41875e-05
  133 132.5 0.051216 2.22292e-05
  134 133.5 0.049688 2.1566e-05
  135 134.5 0.050768 2.20347e-05
  136 135.5 0.050344 2.18507e-05
  137 136.5 0.050728 2.20174e-05
  138 137.5 0.05028 2.18229e-05
  139 138.5 0.05104 2.21528e-05
  140 139.5 0.051496 2.23507e-05
  141 140.5 0.046472 2.01701e-05
  142 141.5 0.045624 1.98021e-05
  143 142.5 0.046824 2.03229e-05
  144 143.5 0.0466 2.02257e-05
  145 144.5 0.046456 2.01632e-05
  146 145.5 0.045248 1.96389e-05
  147 146.5 0.048504 2.10521e-05
  148 147.5 0.051112 2.2184e-05
  149 148.5 0.0528 2.29167e-05
  150 149.5 0.050048 2.17222e-05
  151 150.5 0.047136 2.04583e-05
  152 151.5 0.047096 2.0441e-05
