# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 6246.999999999997
  1 0.5 2.24735 0.000975413
  2 1.5 5.45833 0.00236907
  3 2.5 10.7303 0.00465726
  4 3.5 16.9938 0.0073758
  5 4.5 22.0633 0.00957607
  6 5.5 25.2595 0.0109633
  7 6.5 27.5703 0.0119663
  8 7.5 29.386 0.0127543
  9 8.5 30.6716 0.0133123
  10 9.5 31.3551 0.013609
  11 10.5 32.0788 0.0139231
  12 11.5 32.5961 0.0141476
  13 12.5 32.9283 0.0142918
  14 13.5 33.2132 0.0144154
  15 14.5 33.5827 0.0145758
  16 15.5 33.7641 0.0146546
  17 16.5 34.0411 0.0147748
  18 17.5 34.184 0.0148368
  19 18.5 34.2893 0.0148825
  20 19.5 34.4079 0.014934
  21 20.5 34.4578 0.0149556
  22 21.5 34.4256 0.0149417
  23 22.5 34.5833 0.0150101
  24 23.5 34.6239 0.0150277
  25 24.5 34.688 0.0150555
  26 25.5 34.7626 0.0150879
  27 26.5 34.8298 0.0151171
  28 27.5 34.8686 0.0151339
  29 28.5 34.9277 0.0151596
  30 29.5 35.04 0.0152083
  31 30.5 35.1636 0.015262
  32 31.5 35.148 0.0152552
  33 32.5 35.1513 0.0152566
  34 33.5 35.2169 0.0152851
  35 34.5 35.2632 0.0153052
  36 35.5 35.2859 0.015315
  37 36.5 35.2979 0.0153203
  38 37.5 35.4262 0.015376
  39 38.5 35.3942 0.0153621
  40 39.5 35.3762 0.0153542
  41 40.5 35.2533 0.0153009
  42 41.5 35.3424 0.0153396
  43 42.5 35.3423 0.0153396
  44 43.5 35.2299 0.0152907
  45 44.5 35.2348 0.0152929
  46 45.5 35.3484 0.0153422
  47 46.5 35.3815 0.0153566
  48 47.5 35.2931 0.0153182
  49 48.5 35.4375 0.0153809
  50 49.5 35.3532 0.0153443
  51 50.5 35.4366 0.0153805
  52 51.5 35.3585 0.0153466
  53 52.5 35.4596 0.0153905
  54 53.5 35.2084 0.0152814
  55 54.5 35.2772 0.0153113
  56 55.5 35.1327 0.0152486
  57 56.5 35.2916 0.0153175
  58 57.5 35.2509 0.0152999
  59 58.5 35.1548 0.0152581
  60 59.5 35.1399 0.0152517
  61 60.5 35.3222 0.0153308
  62 61.5 35.2056 0.0152802
  63 62.5 35.1747 0.0152668
  64 63.5 35.3656 0.0153497
  65 64.5 35.2793 0.0153122
  66 65.5 35.0777 0.0152247
  67 66.5 35.2356 0.0152932
  68 67.5 35.31 0.0153255
  69 68.5 35.1228 0.0152443
  70 69.5 35.0837 0.0152273
  71 70.5 35.2757 0.0153106
  72 71.5 35.1719 0.0152656
  73 72.5 35.1215 0.0152437
  74 73.5 35.1747 0.0152668
  75 74.5 35.1392 0.0152514
  76 75.5 35.0015 0.0151916
  77 76.5 35.1228 0.0152443
  78 77.5 34.9841 0.0151841
  79 78.5 35.0395 0.0152081
  80 79.5 34.9697 0.0151778
  81 80.5 34.9337 0.0151622
  82 81.5 34.9223 0.0151572
  83 82.5 34.8481 0.015125
  84 83.5 34.8394 0.0151212
  85 84.5 34.7097 0.015065
  86 85.5 34.6147 0.0150238
  87 86.5 34.6424 0.0150358
  88 87.5 34.6295 0.0150301
  89 88.5 34.5857 0.0150112
  90 89.5 34.605 0.0150195
  91 90.5 34.6509 0.0150395
  92 91.5 34.6545 0.015041
  93 92.5 34.5025 0.014975
  94 93.5 34.6332 0.0150318
  95 94.5 34.7304 0.015074
  96 95.5 34.5744 0.0150062
  97 96.5 34.6562 0.0150418
  98 97.5 34.7689 0.0150907
  99 98.5 34.7096 0.0150649
  100 99.5 34.6227 0.0150272
  101 100.5 34.7556 0.0150849
  102 101.5 34.7932 0.0151012
  103 102.5 34.85 0.0151259
  104 103.5 34.9239 0.015158
  105 104.5 34.9841 0.0151841
  106 105.5 34.9443 0.0151668
  107 106.5 34.7996 0.015104
  108 107.5 34.9119 0.0151527
  109 108.5 34.9407 0.0151652
  110 109.5 34.8245 0.0151148
  111 110.5 34.9247 0.0151583
  112 111.5 35.0184 0.0151989
  113 112.5 35.1472 0.0152549
  114 113.5 35.0621 0.0152179
  115 114.5 35.1712 0.0152653
  116 115.5 35.064 0.0152187
