# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 12529.000000000002
  1 0.5 3.38722 0.00147015 17961 18096 25109.5
  2 1.5 8.07042 0.00350279 21085.9 21095 21534
  3 2.5 15.5076 0.00673074 23094.4 23230.5 17817
  4 3.5 23.9132 0.010379 23574.3 23692.6 13477.9
  5 4.5 30.3291 0.0131637 22246.7 22253.5 8397.31
  6 5.5 33.7822 0.0146624 19182.7 19276.7 3127.18
  7 6.5 35.9255 0.0155927 14794.3 14684.7 -1725.4
  8 7.5 37.3369 0.0162053 10541.5 10667.7 -4293.84
  9 8.5 38.2319 0.0165937 7397.65 7435.43 -4737.6
  10 9.5 38.534 0.0167248 5046.84 5063.79 -4372.85
  11 10.5 38.92 0.0168924 3424.51 3345.18 -3844.22
  12 11.5 39.178 0.0170044 2314.72 2124.46 -3177.74
  13 12.5 39.2624 0.017041 1558.02 1574.81 -2421.81
  14 13.5 39.2892 0.0170526 1045.43 1288.26 -2024.99
  15 14.5 39.4368 0.0171167 864.437 889.972 -1548.45
  16 15.5 39.4328 0.0171149 482.051 725.692 -1094.05
  17 16.5 39.481 0.0171358 254.562 422.005 -961.717
  18 17.5 39.554 0.0171675 79.5506 309.217 -726.481
  19 18.5 39.4974 0.017143 227.91 261.576 -472.171
  20 19.5 39.542 0.0171623 -79.7684 242.334 -368.674
  21 20.5 39.5795 0.0171786 -198.997 219.441 -283.724
  22 21.5 39.4952 0.017142 -140.216 126.642 -312.004
  23 22.5 39.6471 0.0172079 -31.2629 223.814 -49.5559
  24 23.5 39.5452 0.0171637 115.533 143.617 -37.5794
  25 24.5 39.5938 0.0171848 -8.05448 -138.244 -81.3411
  26 25.5 39.5519 0.0171666 42.3809 -49.8983 -105.405
  27 26.5 39.646 0.0172075 -212.775 -107.582 18.9079
  28 27.5 39.6023 0.0171885 -23.6046 -106.742 84.0897
  29 28.5 39.5578 0.0171692 -220.35 -294.858 -173.29
  30 29.5 39.5633 0.0171716 -86.8375 -70.4057 -54.171
  31 30.5 39.6319 0.0172013 87.3945 159.485 71.3754
  32 31.5 39.6301 0.0172006 -58.188 63.5483 -13.5234
  33 32.5 39.5669 0.0171731 -119.017 -32.8457 23.229
  34 33.5 39.5784 0.0171781 -295.268 -105.613 -26.4016
  35 34.5 39.6485 0.0172086 -232.12 -150.888 -46.9776
  36 35.5 39.6399 0.0172048 -229.418 -51.374 45.7443
  37 36.5 39.5381 0.0171606 -120.702 28.6745 6.53033
  38 37.5 39.6263 0.0171989 -201.065 133.143 -53.7386
  39 38.5 39.6054 0.0171898 17.8851 237.922 41.6795
  40 39.5 39.6422 0.0172058 40.8093 128.043 -12.2025
  41 40.5 39.5331 0.0171585 57.0221 -78.7584 5.43644
  42 41.5 39.6469 0.0172079 -37.2074 -161.612 -38.1819
  43 42.5 39.6651 0.0172157 -14.3085 -33.2709 73.0625
  44 43.5 39.5383 0.0171607 -169.462 -41.6038 -141.797
  45 44.5 39.5741 0.0171763 -83.1818 -141.935 4.94346
  46 45.5 39.6825 0.0172233 33.0484 77.6385 111.048
  47 46.5 39.6421 0.0172058 122.315 -16.4324 -64.0145
  48 47.5 39.4915 0.0171404 136.859 125.916 137.199
  49 48.5 39.6494 0.0172089 81.1047 11.2504 -96.9127
  50 49.5 39.5949 0.0171853 47.1188 10.7504 -58.0191
  51 50.5 39.6443 0.0172067 -195.794 -47.2179 7.67634
  52 51.5 39.5147 0.0171505 -213.693 -172.972 19.6299
  53 52.5 39.7058 0.0172334 -56.1838 76.5807 22.6957
  54 53.5 39.5374 0.0171603 74.3478 158.007 -31.705
  55 54.5 39.6603 0.0172137 -3.78966 151.407 65.826
  56 55.5 39.5203 0.0171529 22.712 1.36424 78.8354
  57 56.5 39.673 0.0172192 56.0693 -25.583 -42.2938
  58 57.5 39.6183 0.0171955 70.01 -21.2536 -129.517
  59 58.5 39.5433 0.0171629 -95.0904 -215.829 48.1903
  60 59.5 39.6165 0.0171947 -61.2665 -31.9998 51.4617
  61 60.5 39.7177 0.0172386 -32.7551 -126.947 -7.2104
  62 61.5 39.5216 0.0171535 75.6344 -45.6109 -72.2485
  63 62.5 39.4832 0.0171368 115.478 132.258 22.2718
  64 63.5 39.726 0.0172422 109.732 163.199 39.1769
  65 64.5 39.6452 0.0172071 65.3574 -28.8798 43.2706
  66 65.5 39.4712 0.0171316 127.956 22.4133 -30.0109
  67 66.5 39.6391 0.0172045 -158.972 -262.936 -44.5314
  68 67.5 39.7076 0.0172342 -120.158 -175.29 70.6154
  69 68.5 39.5653 0.0171724 -57.7545 -135.877 -33.7005
  70 69.5 39.4843 0.0171373 313.65 90.0166 -79.4187
  71 70.5 39.6964 0.0172294 -24.1497 49.7542 22.7104
  72 71.5 39.5915 0.0171838 77.9618 -4.16294 179.344
  73 72.5 39.5407 0.0171617 -75.9156 -63.7991 -61.5362
  74 73.5 39.6109 0.0171922 -191.008 -168.709 -274.788
  75 74.5 39.6165 0.0171947 123.298 151.018 109.889
  76 75.5 39.497 0.0171428 248.858 113.921 191.546
  77 76.5 39.6294 0.0172003 140.128 66.5601 -105.045
  78 77.5 39.5702 0.0171746 34.7884 95.5927 -44.4152
  79 78.5 39.5793 0.0171785 112.963 4.96315 -25.5104
  80 79.5 39.5488 0.0171653 154.062 -23.4442 46.8988
  81 80.5 39.5683 0.0171738 162.101 -31.9161 24.1705
  82 81.5 39.6137 0.0171934 164.611 -41.2482 4.59136
  83 82.5 39.533 0.0171584 38.1707 226.771 126.617
  84 83.5 39.5928 0.0171844 -174.48 -38.433 -103.834
  85 84.5 39.5656 0.0171725 -347.983 -171.165 -92.1662
  86 85.5 39.5505 0.017166 -104.87 -87.6379 66.9975
  87 86.5 39.6023 0.0171885 -136.985 -264.635 100.489
  88 87.5 39.5615 0.0171708 -96.2886 -90.9153 -27.8806
  89 88.5 39.5529 0.017167 23.7476 -94.5189 -125.32
  90 89.5 39.5083 0.0171477 16.4268 7.6211 56.5623
  91 90.5 39.6061 0.0171901 -125.282 -37.0665 38.4573
  92 91.5 39.6375 0.0172038 133.803 81.7925 53.6168
  93 92.5 39.4537 0.017124 25.172 112.81 -17.6836
  94 93.5 39.5639 0.0171718 -86.5342 5.09423 -36.2678
  95 94.5 39.6796 0.017222 -26.0275 75.7852 11.2895
  96 95.5 39.4686 0.0171305 -5.24365 6.27924 -17.9237
  97 96.5 39.518 0.0171519 -152.683 -122.984 43.3389
  98 97.5 39.6536 0.0172108 164.06 220.689 -7.01879
  99 98.5 39.5872 0.017182 -39.1266 50.069 -48.475
  100 99.5 39.4597 0.0171266 -25.9868 -36.1639 93.1557
