# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 5943
  1 0.5 31.3548 0.0136088
  2 1.5 31.3182 0.013593
  3 2.5 31.3683 0.0136147
  4 3.5 31.5642 0.0136997
  5 4.5 31.617 0.0137227
  6 5.5 31.6691 0.0137453
  7 6.5 31.7939 0.0137994
  8 7.5 31.9381 0.013862
  9 8.5 31.9723 0.0138769
  10 9.5 31.9888 0.013884
  11 10.5 31.9292 0.0138581
  12 11.5 31.8903 0.0138413
  13 12.5 31.9201 0.0138542
  14 13.5 31.8775 0.0138357
  15 14.5 31.7968 0.0138007
  16 15.5 31.6866 0.0137529
  17 16.5 31.639 0.0137322
  18 17.5 31.5604 0.0136981
  19 18.5 31.4396 0.0136457
  20 19.5 31.4644 0.0136564
  21 20.5 31.3786 0.0136192
  22 21.5 31.1964 0.0135401
  23 22.5 31.211 0.0135464
  24 23.5 31.2143 0.0135479
  25 24.5 31.1487 0.0135194
  26 25.5 31.2296 0.0135545
  27 26.5 31.4102 0.0136329
  28 27.5 31.3005 0.0135853
  29 28.5 31.3596 0.0136109
  30 29.5 31.4276 0.0136404
  31 30.5 31.4263 0.0136399
  32 31.5 31.4478 0.0136492
  33 32.5 31.5027 0.013673
  34 33.5 31.4622 0.0136554
  35 34.5 31.5116 0.0136769
  36 35.5 31.5115 0.0136769
  37 36.5 31.4877 0.0136665
  38 37.5 31.5008 0.0136722
  39 38.5 31.5484 0.0136929
  40 39.5 31.4869 0.0136662
  41 40.5 31.5737 0.0137039
  42 41.5 31.4893 0.0136672
  43 42.5 31.4093 0.0136325
  44 43.5 31.3893 0.0136238
  45 44.5 31.2874 0.0135796
  46 45.5 31.117 0.0135056
  47 46.5 31.1323 0.0135123
  48 47.5 31.0537 0.0134782
  49 48.5 30.8934 0.0134086
  50 49.5 30.7824 0.0133604
  51 50.5 30.6064 0.013284
  52 51.5 30.3867 0.0131887
  53 52.5 30.2977 0.0131501
  54 53.5 30.061 0.0130473
  55 54.5 29.9742 0.0130096
  56 55.5 29.7737 0.0129226
  57 56.5 29.45 0.0127821
  58 57.5 29.1797 0.0126648
  59 58.5 28.9162 0.0125504
  60 59.5 28.6144 0.0124195
  61 60.5 28.2286 0.012252
  62 61.5 27.8823 0.0121017
