# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 11712
  1 0.5 36.2936 0.0157524 -123.01 -53.3898 -77.2438
  2 1.5 36.2711 0.0157427 -66.4187 -17.1508 -119.507
  3 2.5 36.2504 0.0157337 -55.6361 -78.685 -144.074
  4 3.5 36.2872 0.0157497 -90.0677 -109.337 -82.3835
  5 4.5 36.3055 0.0157576 -61.4985 -17.438 -75.8827
  6 5.5 36.274 0.0157439 -39.4971 -4.83006 -110.971
  7 6.5 36.2326 0.015726 -61.9471 11.6355 -142.46
  8 7.5 36.2905 0.0157511 -101.702 41.6487 -57.2555
  9 8.5 36.3104 0.0157597 -113.601 20.5589 -102.836
  10 9.5 36.2433 0.0157306 -181.49 -28.2078 -145.492
  11 10.5 36.2833 0.015748 -130.971 -81.8254 -82.8034
  12 11.5 36.2938 0.0157525 -148.661 -19.9211 -42.9693
  13 12.5 36.3077 0.0157585 -91.419 -65.5297 -111.331
  14 13.5 36.2301 0.0157249 -61.9045 -163.192 -113.148
  15 14.5 36.2946 0.0157529 -48.9588 -66.3738 -140.145
  16 15.5 36.3174 0.0157628 -95.1311 -55.5916 -84.249
  17 16.5 36.2624 0.0157389 -86.4379 -87.8662 -62.5267
  18 17.5 36.2563 0.0157363 -72.167 -11.9088 -111.15
  19 18.5 36.2962 0.0157535 -60.4714 -42.8782 -166.415
  20 19.5 36.2798 0.0157464 -74.2776 -98.7946 -55.3931
  21 20.5 36.2845 0.0157485 -66.2563 -61.8965 -50.3867
  22 21.5 36.2484 0.0157328 -30.5822 -125.62 -149.131
  23 22.5 36.3225 0.015765 -66.2765 -219.883 -94.4818
  24 23.5 36.2732 0.0157436 -77.9079 -105.113 -93.5202
  25 24.5 36.2727 0.0157434 -63.4552 -187.458 -85.2188
  26 25.5 36.2651 0.01574 -97.6677 -205.098 -127.274
  27 26.5 36.3113 0.0157601 -85.1656 -139.803 -119.451
