# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
80000000 480 11401
  1 0.5 34.9761 0.0151806 -232.86 -261.139 -238.69
  2 1.5 34.8888 0.0151427 -131.272 -410.739 -172.801
  3 2.5 34.9399 0.0151649 -24.1388 -331.897 -217.895
  4 3.5 34.9367 0.0151635 -210.077 -384.81 -238.593
  5 4.5 34.9084 0.0151512 -126.18 -352.155 -190.226
  6 5.5 34.9853 0.0151846 -120.313 -176.892 -107.703
  7 6.5 34.888 0.0151424 -210.918 -185.441 -241.545
  8 7.5 34.9615 0.0151743 -283.744 -355.012 -269.198
  9 8.5 34.9412 0.0151654 -170.801 -181.071 -72.379
  10 9.5 34.9879 0.0151857 -149.921 -221.639 -190.673
  11 10.5 34.9199 0.0151562 -206.562 -236.424 -212.613
  12 11.5 34.8666 0.0151331 -398.537 -110.441 -237.9
  13 12.5 34.9564 0.015172 -211.378 -188.288 -194.221
  14 13.5 34.9956 0.0151891 -180.798 -79.0349 -209.376
  15 14.5 34.9003 0.0151477 -330.733 -154.212 -280.277
  16 15.5 34.9154 0.0151542 -93.2972 -74.8331 -208.634
  17 16.5 34.9712 0.0151785 -66.3764 68.8017 -68.4077
  18 17.5 34.9533 0.0151707 -75.6854 83.7278 -216.132
  19 18.5 34.9653 0.0151759 -194.208 -37.8057 -203.862
  20 19.5 34.8756 0.015137 34.9438 -52.1671 -188.866
  21 20.5 34.9678 0.015177 -182.631 -59.473 -226.631
  22 21.5 34.9754 0.0151803 -91.6855 -201.826 -143.603
  23 22.5 34.9522 0.0151702 -261.257 -204.344 -220.173
  24 23.5 34.8981 0.0151468 -72.8309 -290.559 -175.525
  25 24.5 34.9001 0.0151476 -76.718 -245.086 -234.582
  26 25.5 35.0182 0.0151989 8.30409 -21.7095 -114.275
  27 26.5 34.8519 0.0151267 -24.4415 -82.133 -245.915
  28 27.5 34.9211 0.0151567 -117.112 -101.463 -170.738
  29 28.5 34.9568 0.0151722 -61.9358 -143.469 -73.5617
  30 29.5 34.9406 0.0151652 -157.273 -162.109 -207.06
  31 30.5 34.8807 0.0151392 -359.624 -282.817 -245.27
  32 31.5 34.9525 0.0151703 -385.798 -381.036 -316.984
  33 32.5 34.9732 0.0151793 -233.587 -290.253 -72.9443
  34 33.5 34.942 0.0151658 -232.469 -243.488 -124.085
  35 34.5 34.8601 0.0151302 -99.7927 -154.902 -163.936
  36 35.5 34.9505 0.0151695 -248.269 -146.3 -257.117
  37 36.5 34.9706 0.0151782 -246.396 -268.81 -176.257
  38 37.5 34.9324 0.0151617 -223.749 -256.391 -236.405
  39 38.5 34.9417 0.0151657 -253.742 -279.237 -153.247
  40 39.5 35.0182 0.0151989 -282.967 -95.9396 -125.701
  41 40.5 34.9362 0.0151633 -394.856 -145.561 -232.942
  42 41.5 34.9554 0.0151716 -397.172 -102.76 -238.134
  43 42.5 34.9725 0.0151791 -178.496 -142.07 -44.4265
  44 43.5 35.0464 0.0152111 -270.778 -101.283 -313.905
  45 44.5 34.8949 0.0151454 -276.295 -292.584 -258.685
  46 45.5 34.9973 0.0151898 -327.096 -115.713 -148.607
  47 46.5 34.9869 0.0151853 -44.8189 -136.697 -145.297
  48 47.5 35.0278 0.015203 -99.364 -185.622 -240.876
  49 48.5 34.9108 0.0151522 -59.3893 -131.431 -191.652
  50 49.5 34.9519 0.0151701 -162.65 -221.589 -190.397
  51 50.5 35.1095 0.0152385 -268.112 -110.848 -100.246
  52 51.5 34.9782 0.0151815 -52.0427 -125.611 -215.081
  53 52.5 34.8879 0.0151423 -26.341 -189.81 -259.387
  54 53.5 35.0313 0.0152045 -126.364 -200.108 -284.404
  55 54.5 35.0682 0.0152206 -238.703 -232.889 -153.841
  56 55.5 34.9688 0.0151774 -229.735 -365.327 -248.317
  57 56.5 34.9532 0.0151706 -63.1663 -66.222 -205.109
  58 57.5 35.0207 0.0152 -174.492 -222.641 -210.672
  59 58.5 35.0394 0.0152081 -157.732 -166.098 -277.345
  60 59.5 34.9387 0.0151644 -189.707 23.2361 -203.117
  61 60.5 34.9218 0.015157 -4.77915 4.80478 -301.39
  62 61.5 34.9923 0.0151876 -30.3754 27.38 -288.683
  63 62.5 34.9559 0.0151718 -12.2267 -109.249 -381.856
  64 63.5 34.9489 0.0151688 39.848 -119.305 -257.619
  65 64.5 34.9524 0.0151703 -76.1066 -234.705 -446.348
  66 65.5 34.8493 0.0151256 -246.144 -241.236 -580.734
  67 66.5 34.8777 0.0151379 94.6 69.5964 -542.724
  68 67.5 34.879 0.0151385 -1.97391 -1.48667 -783.202
  69 68.5 34.7991 0.0151038 11.0536 -32.9496 -709.806
  70 69.5 34.7922 0.0151008 247.396 222.5 -1074.58
  71 70.5 34.6626 0.0150445 615.873 562.43 -1247.63
  72 71.5 34.5866 0.0150115 921.01 722.832 -1446.89
  73 72.5 34.4088 0.0149344 1095.08 1045.64 -1759.59
  74 73.5 34.322 0.0148967 1531.38 1568.35 -1981.94
  75 74.5 34.0494 0.0147784 2180.4 2241.4 -2429.24
  76 75.5 33.6553 0.0146073 3014.4 2961.21 -2614.19
  77 76.5 33.2217 0.0144192 3924.63 3863.36 -2727.36
  78 77.5 32.6113 0.0141542 5056.26 5010.22 -2641.25
  79 78.5 31.5611 0.0136984 6473.24 6517.66 -2258.36
  80 79.5 30.2201 0.0131164 7756.64 7954.9 -1359.53
  81 80.5 28.3149 0.0122895 9114.51 9150.39 64.8427
