# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 5733
  1 0.5 2.95673 0.0012833
  2 1.5 2.95377 0.00128202
  3 2.5 2.93706 0.00127477
  4 3.5 2.90961 0.00126285
  5 4.5 2.90131 0.00125925
  6 5.5 2.88032 0.00125014
  7 6.5 2.86363 0.0012429
  8 7.5 2.87121 0.00124618
  9 8.5 2.88045 0.00125019
  10 9.5 2.88618 0.00125268
  11 10.5 2.85953 0.00124112
  12 11.5 2.84892 0.00123651
  13 12.5 2.86788 0.00124474
  14 13.5 2.84691 0.00123564
  15 14.5 2.83357 0.00122985
  16 15.5 2.83099 0.00122873
  17 16.5 2.82623 0.00122666
  18 17.5 2.81929 0.00122365
  19 18.5 2.82253 0.00122506
  20 19.5 2.81705 0.00122268
  21 20.5 2.79906 0.00121487
  22 21.5 2.80547 0.00121765
  23 22.5 2.79128 0.00121149
  24 23.5 2.74836 0.00119286
  25 24.5 2.75678 0.00119652
  26 25.5 2.7672 0.00120104
  27 26.5 2.77104 0.00120271
  28 27.5 2.79308 0.00121228
  29 28.5 2.79785 0.00121434
  30 29.5 2.79283 0.00121217
  31 30.5 2.77653 0.00120509
  32 31.5 2.7712 0.00120278
  33 32.5 2.77036 0.00120241
  34 33.5 2.7642 0.00119974
  35 34.5 2.77567 0.00120472
  36 35.5 2.78435 0.00120849
  37 36.5 2.77843 0.00120591
  38 37.5 2.7878 0.00120998
  39 38.5 2.82098 0.00122438
  40 39.5 2.85763 0.00124029
  41 40.5 2.86012 0.00124137
  42 41.5 2.86755 0.0012446
  43 42.5 2.87213 0.00124659
  44 43.5 2.89198 0.0012552
  45 44.5 2.87712 0.00124875
  46 45.5 2.89305 0.00125566
  47 46.5 2.89121 0.00125487
  48 47.5 2.90256 0.00125979
  49 48.5 2.92339 0.00126883
  50 49.5 2.92872 0.00127115
  51 50.5 2.90218 0.00125963
  52 51.5 2.87691 0.00124866
  53 52.5 2.87679 0.00124861
  54 53.5 2.86052 0.00124154
  55 54.5 2.84885 0.00123648
  56 55.5 2.85666 0.00123987
  57 56.5 2.86422 0.00124315
  58 57.5 2.866 0.00124393
  59 58.5 2.87981 0.00124992
  60 59.5 2.90572 0.00126116
  61 60.5 2.9228 0.00126857
  62 61.5 2.92873 0.00127115
  63 62.5 2.95644 0.00128318
  64 63.5 2.98873 0.00129719
  65 64.5 3.01628 0.00130915
  66 65.5 3.05828 0.00132738
  67 66.5 3.13556 0.00136092
  68 67.5 3.23283 0.00140314
  69 68.5 3.35744 0.00145722
  70 69.5 3.49499 0.00151692
  71 70.5 3.68812 0.00160075
  72 71.5 3.93252 0.00170682
  73 72.5 4.23153 0.0018366
  74 73.5 4.57332 0.00198495
  75 74.5 4.94321 0.00214549
  76 75.5 5.3419 0.00231853
  77 76.5 5.66668 0.0024595
  78 77.5 5.90247 0.00256184
  79 78.5 5.93126 0.00257433
  80 79.5 5.71174 0.00247905
  81 80.5 5.24594 0.00227688
  82 81.5 4.55887 0.00197868
  83 82.5 3.76436 0.00163384
  84 83.5 2.95423 0.00128222
  85 84.5 2.20136 0.000955451
  86 85.5 1.57279 0.000682635
  87 86.5 1.0972 0.000476217
  88 87.5 0.76679 0.000332808
  89 88.5 0.555494 0.0002411
  90 89.5 0.425544 0.000184698
  91 90.5 0.342752 0.000148764
