# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 11401
  1 0.5 34.9888 0.0151861 -324.281 -291.922 -254.353
  2 1.5 35.0199 0.0151996 -251.909 -237.229 -172.776
  3 2.5 34.9489 0.0151688 -285.114 -281.14 -161.266
  4 3.5 34.958 0.0151728 -273.322 -249.89 -239.897
  5 4.5 35.0126 0.0151964 -217.57 -160.866 -215.883
  6 5.5 34.97 0.0151779 -199.987 -185.718 -168.545
  7 6.5 34.9653 0.0151759 -224.902 -240.715 -200.552
  8 7.5 34.9825 0.0151834 -184.687 -201.048 -204.618
  9 8.5 34.9896 0.0151864 -200.134 -224.875 -259.95
  10 9.5 34.9728 0.0151792 -229.16 -281.015 -159.824
  11 10.5 34.9822 0.0151833 -164.32 -228.132 -169.46
  12 11.5 34.9849 0.0151844 -306.922 -262.657 -221.601
  13 12.5 34.9778 0.0151813 -204.191 -230.521 -211.803
  14 13.5 34.9682 0.0151772 -188.678 -196.152 -203.287
  15 14.5 34.9959 0.0151892 -183.583 -166.653 -157.212
  16 15.5 34.9849 0.0151844 -214.149 -107.125 -238.439
  17 16.5 34.9669 0.0151766 -181.372 -156.296 -217.969
  18 17.5 34.9957 0.0151891 -234.243 -239.1 -160.085
  19 18.5 35.0102 0.0151954 -221.301 -225.85 -193.829
  20 19.5 35.0003 0.0151911 -204.021 -277.706 -216.938
  21 20.5 34.9333 0.015162 -195.857 -286.284 -202.186
  22 21.5 34.9869 0.0151853 -169.404 -192.974 -204.98
  23 22.5 35.0147 0.0151974 -237.949 -243.677 -231.499
  24 23.5 34.995 0.0151888 -153.077 -228.817 -138.776
  25 24.5 34.9731 0.0151793 -226.301 -205.465 -245.28
  26 25.5 34.9968 0.0151896 -252.369 -157.022 -208.969
  27 26.5 35.0095 0.0151951 -268.155 -188.969 -191.248
  28 27.5 35.0102 0.0151954 -228.19 -296.366 -169.991
  29 28.5 34.9888 0.0151861 -269.512 -243.633 -214.315
  30 29.5 34.9717 0.0151787 -253.633 -227.521 -257.399
  31 30.5 35.021 0.0152001 -207.012 -199.513 -188.359
  32 31.5 34.9977 0.01519 -140.555 -163.23 -211.225
  33 32.5 34.9966 0.0151895 -126.271 -113.069 -167.975
  34 33.5 34.9741 0.0151797 -147.988 -240.351 -252.444
  35 34.5 35.0138 0.015197 -174.339 -180.163 -160.231
  36 35.5 35.0076 0.0151943 -191.551 -212.133 -199.616
  37 36.5 34.9988 0.0151904 -162.241 -197.647 -257.175
  38 37.5 34.9483 0.0151685 -141.792 -126.165 -172.47
  39 38.5 34.9931 0.015188 -220.013 -122.281 -165.277
  40 39.5 35.0495 0.0152125 -221.038 -171.71 -185.992
  41 40.5 34.9529 0.0151705 -207.887 -164.108 -265.458
  42 41.5 34.959 0.0151732 -217.656 -194.901 -171.08
  43 42.5 34.9927 0.0151878 -207.467 -197.88 -235.87
  44 43.5 35.0143 0.0151972 -167.26 -165.572 -144.798
  45 44.5 34.9422 0.0151659 -209.988 -235.109 -223.623
  46 45.5 34.9878 0.0151857 -310.042 -165.718 -205.649
  47 46.5 35.0019 0.0151918 -233.52 -249.199 -214.42
  48 47.5 34.9592 0.0151732 -203.229 -243.987 -162.501
  49 48.5 34.9621 0.0151745 -96.5152 -169.807 -178.374
  50 49.5 35.0008 0.0151913 -143.194 -222.106 -203.982
  51 50.5 34.9678 0.015177 -144.666 -179.734 -267.39
  52 51.5 34.9535 0.0151708 -119.179 -152.55 -161.27
  53 52.5 34.9955 0.015189 -71.8377 -184.985 -219.53
  54 53.5 35.0004 0.0151911 -83.8163 -175.771 -228.066
  55 54.5 34.9484 0.0151686 -104.441 -157.312 -231.037
  56 55.5 34.9656 0.0151761 -127.759 -146.484 -231.349
  57 56.5 35.0319 0.0152048 -88.2849 -162.439 -257.559
  58 57.5 34.9714 0.0151786 -116.042 -159.527 -278.15
  59 58.5 34.9265 0.0151591 -160.45 -120.408 -315.198
  60 59.5 34.9889 0.0151862 -50.8617 -59.0656 -351.608
  61 60.5 34.959 0.0151732 -110.996 -83.2502 -414.207
  62 61.5 34.8985 0.0151469 -40.1193 -103.95 -461.488
  63 62.5 34.9376 0.0151639 14.302 -69.0568 -493.586
  64 63.5 34.9123 0.0151529 106.902 0.0494829 -609.271
  65 64.5 34.832 0.0151181 110.252 55.8602 -776.992
  66 65.5 34.8254 0.0151152 167.913 185.226 -882.957
  67 66.5 34.7891 0.0150994 302.783 389.365 -1061.48
  68 67.5 34.6716 0.0150484 581.589 617.982 -1194.62
  69 68.5 34.5584 0.0149993 856.569 839.977 -1526.47
  70 69.5 34.4384 0.0149472 1296 1284.86 -1779.25
  71 70.5 34.2132 0.0148495 1699.39 1695.05 -2005.96
  72 71.5 33.9781 0.0147474 2333.9 2408.18 -2174.86
  73 72.5 33.5913 0.0145795 3072.37 3041.85 -2453.99
  74 73.5 33.0634 0.0143505 3970.13 4033.54 -2476.03
  75 74.5 32.2879 0.0140138 5024.93 5036.49 -2273.8
  76 75.5 31.2489 0.0135629 6142.59 6151.05 -1822.23
  77 76.5 29.7773 0.0129242 7304.97 7256.57 -989.79
  78 77.5 27.7759 0.0120555 8278.82 8317.25 118.288
  79 78.5 25.2528 0.0109604 9043.88 9073.55 1515.63
  80 79.5 22.1627 0.00961921 9494.77 9595.06 2972.4
