# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
80000000 480 11055
  1 0.5 33.4634 0.014524 -274.305 -407.582 -418.328
  2 1.5 33.5097 0.0145441 -171.8 -260.494 -346.864
  3 2.5 33.4265 0.014508 -325.569 -257.938 -238.71
  4 3.5 33.3334 0.0144676 -255.273 -250.643 -449.501
  5 4.5 33.4696 0.0145267 -384.469 -326.797 -371.43
  6 5.5 33.4516 0.0145189 -383.037 -335.37 -436.278
  7 6.5 33.4081 0.0145 -432.578 -475.437 -373.543
  8 7.5 33.3987 0.014496 -442.382 -471.703 -452.677
  9 8.5 33.4983 0.0145392 -454.839 -414.7 -262.353
  10 9.5 33.4194 0.0145049 -504.113 -432.089 -275.386
  11 10.5 33.4108 0.0145012 -440.798 -404.973 -480.039
  12 11.5 33.4313 0.0145101 -300.13 -407.968 -365.337
  13 12.5 33.4798 0.0145312 -371.977 -318.278 -304.754
  14 13.5 33.4166 0.0145037 -230.201 -374.406 -421.145
  15 14.5 33.3977 0.0144955 -225.519 -291.013 -470.179
  16 15.5 33.4692 0.0145266 -177.385 -149.563 -357.512
  17 16.5 33.5201 0.0145487 -445.905 -323.637 -280.421
  18 17.5 33.4031 0.0144979 -481.285 -389.697 -411.491
  19 18.5 33.4193 0.0145049 -481.493 -322.713 -416.825
  20 19.5 33.465 0.0145247 -462.177 -299.64 -470.977
  21 20.5 33.459 0.0145221 -251.501 -290.993 -376.969
  22 21.5 33.437 0.0145126 -181.917 -302.794 -302.979
  23 22.5 33.4372 0.0145127 -272.981 -286.505 -399.596
  24 23.5 33.4137 0.0145025 -330.436 -376.927 -455.135
  25 24.5 33.4492 0.0145179 -326.351 -327.365 -379.069
  26 25.5 33.3988 0.014496 -280.698 -398.643 -352.624
  27 26.5 33.378 0.014487 -391.8 -404.46 -280.081
  28 27.5 33.383 0.0144892 -489.897 -364.101 -582.87
  29 28.5 33.361 0.0144796 -356.643 -279.188 -412.613
  30 29.5 33.3796 0.0144877 -324.052 -455.586 -228.741
  31 30.5 33.4183 0.0145045 -389.366 -372.804 -413.093
  32 31.5 33.3687 0.0144829 -302.061 -349.868 -340.527
  33 32.5 33.3434 0.0144719 -447.088 -344.682 -331.635
  34 33.5 33.408 0.0145 -486.919 -440.907 -338.882
  35 34.5 33.3276 0.0144651 -395.441 -382.515 -488.637
  36 35.5 33.3654 0.0144815 -319.205 -252.204 -398.008
  37 36.5 33.3079 0.0144565 -291.186 -347.505 -325.961
  38 37.5 33.3973 0.0144954 -365.624 -286.273 -319.806
  39 38.5 33.3787 0.0144873 -351.978 -275.854 -379.274
  40 39.5 33.295 0.014451 -376.942 -294.29 -436.062
  41 40.5 33.3403 0.0144706 -431.03 -508.089 -391.719
  42 41.5 33.4059 0.0144991 -409.462 -301.494 -324.289
  43 42.5 33.4038 0.0144982 -411.098 -351.965 -339.255
  44 43.5 33.2704 0.0144403 -410.275 -376.528 -419.446
