# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 5918
  1 0.5 34.8404 0.0151217
  2 1.5 34.923 0.0151575
  3 2.5 34.7309 0.0150742
  4 3.5 34.7812 0.015096
  5 4.5 34.7745 0.0150931
  6 5.5 34.8092 0.0151082
  7 6.5 34.751 0.0150829
  8 7.5 34.77 0.0150911
  9 8.5 34.7923 0.0151008
  10 9.5 34.812 0.0151094
  11 10.5 34.7959 0.0151024
  12 11.5 34.7777 0.0150945
  13 12.5 34.8096 0.0151083
  14 13.5 34.8611 0.0151307
  15 14.5 34.8713 0.0151351
  16 15.5 34.7811 0.015096
  17 16.5 34.8484 0.0151252
  18 17.5 34.7564 0.0150853
  19 18.5 34.8502 0.0151259
  20 19.5 34.8934 0.0151447
  21 20.5 34.8228 0.015114
  22 21.5 34.8995 0.0151473
  23 22.5 34.8246 0.0151148
  24 23.5 34.871 0.015135
  25 24.5 34.7471 0.0150812
  26 25.5 34.7872 0.0150986
  27 26.5 34.7912 0.0151003
  28 27.5 34.8081 0.0151077
  29 28.5 34.7725 0.0150922
  30 29.5 34.8399 0.0151215
  31 30.5 34.8513 0.0151264
  32 31.5 34.9503 0.0151694
  33 32.5 34.8334 0.0151187
  34 33.5 34.8413 0.0151221
  35 34.5 34.8774 0.0151378
  36 35.5 34.8685 0.0151339
  37 36.5 34.7403 0.0150783
  38 37.5 34.8777 0.0151379
  39 38.5 34.8687 0.015134
  40 39.5 34.8591 0.0151298
  41 40.5 34.8316 0.0151179
  42 41.5 34.7767 0.0150941
  43 42.5 34.9046 0.0151496
  44 43.5 34.759 0.0150864
  45 44.5 34.7191 0.015069
  46 45.5 34.771 0.0150916
  47 46.5 34.8552 0.0151281
  48 47.5 34.6461 0.0150374
  49 48.5 34.6808 0.0150524
  50 49.5 34.8715 0.0151352
  51 50.5 34.7827 0.0150966
  52 51.5 34.6318 0.0150312
  53 52.5 34.8784 0.0151382
  54 53.5 34.8523 0.0151269
  55 54.5 34.6396 0.0150345
  56 55.5 34.6952 0.0150587
  57 56.5 34.8323 0.0151182
  58 57.5 34.6112 0.0150222
  59 58.5 34.612 0.0150226
  60 59.5 34.6073 0.0150205
  61 60.5 34.6103 0.0150219
  62 61.5 34.4021 0.0149315
  63 62.5 34.3124 0.0148925
  64 63.5 34.3491 0.0149085
  65 64.5 34.13 0.0148134
  66 65.5 33.9105 0.0147181
  67 66.5 33.687 0.0146211
  68 67.5 33.2704 0.0144403
  69 68.5 32.6283 0.0141616
  70 69.5 31.8982 0.0138447
  71 70.5 30.9038 0.0134131
  72 71.5 29.2984 0.0127163
  73 72.5 27.2785 0.0118396
  74 73.5 24.613 0.0106827
  75 74.5 21.0263 0.00912602
  76 75.5 16.6917 0.00724467
  77 76.5 12.0842 0.00524489
  78 77.5 7.85998 0.00341145
  79 78.5 4.57986 0.00198778
  80 79.5 2.44626 0.00106175
  81 80.5 1.2469 0.000541191
  82 81.5 0.635648 0.000275889
  83 82.5 0.359048 0.000155837
  84 83.5 0.22388 9.71701e-05
  85 84.5 0.158096 6.86181e-05
  86 85.5 0.13036 5.65799e-05
  87 86.5 0.113656 4.93299e-05
  88 87.5 0.104968 4.5559e-05
  89 88.5 0.103568 4.49514e-05
  90 89.5 0.101336 4.39826e-05
  91 90.5 0.101208 4.39271e-05
  92 91.5 0.098536 4.27674e-05
  93 92.5 0.0972 4.21875e-05
  94 93.5 0.097848 4.24687e-05
  95 94.5 0.09716 4.21701e-05
  96 95.5 0.100776 4.37396e-05
  97 96.5 0.105136 4.56319e-05
  98 97.5 0.109912 4.77049e-05
  99 98.5 0.110568 4.79896e-05
  100 99.5 0.104528 4.53681e-05
  101 100.5 0.106008 4.60104e-05
  102 101.5 0.106496 4.62222e-05
  103 102.5 0.102752 4.45972e-05
  104 103.5 0.105656 4.58576e-05
  105 104.5 0.109 4.7309e-05
  106 105.5 0.1082 4.69618e-05
  107 106.5 0.103848 4.50729e-05
  108 107.5 0.107056 4.64653e-05
  109 108.5 0.109472 4.75139e-05
  110 109.5 0.107184 4.65208e-05
  111 110.5 0.103744 4.50278e-05
  112 111.5 0.102552 4.45104e-05
  113 112.5 0.100632 4.36771e-05
  114 113.5 0.10364 4.49826e-05
  115 114.5 0.099792 4.33125e-05
  116 115.5 0.099784 4.3309e-05
  117 116.5 0.096224 4.17639e-05
  118 117.5 0.09872 4.28472e-05
  119 118.5 0.097392 4.22708e-05
  120 119.5 0.101504 4.40556e-05
  121 120.5 0.098024 4.25451e-05
  122 121.5 0.095008 4.12361e-05
  123 122.5 0.09436 4.09549e-05
  124 123.5 0.0958 4.15799e-05
  125 124.5 0.098472 4.27396e-05
  126 125.5 0.101224 4.3934e-05
  127 126.5 0.104832 4.55e-05
  128 127.5 0.102936 4.46771e-05
  129 128.5 0.104992 4.55694e-05
  130 129.5 0.102176 4.43472e-05
  131 130.5 0.102968 4.4691e-05
  132 131.5 0.099928 4.33715e-05
  133 132.5 0.097928 4.25035e-05
  134 133.5 0.099704 4.32743e-05
  135 134.5 0.104008 4.51424e-05
  136 135.5 0.098912 4.29306e-05
  137 136.5 0.101592 4.40937e-05
  138 137.5 0.10664 4.62847e-05
  139 138.5 0.102624 4.45417e-05
  140 139.5 0.099536 4.32014e-05
  141 140.5 0.10044 4.35937e-05
  142 141.5 0.10148 4.40451e-05
  143 142.5 0.107376 4.66042e-05
  144 143.5 0.102464 4.44722e-05
  145 144.5 0.099992 4.33993e-05
  146 145.5 0.098968 4.29549e-05
  147 146.5 0.095248 4.13403e-05
  148 147.5 0.097272 4.22187e-05
  149 148.5 0.09668 4.19618e-05
  150 149.5 0.096184 4.17465e-05
  151 150.5 0.094928 4.12014e-05
  152 151.5 0.097328 4.22431e-05
  153 152.5 0.094824 4.11563e-05
  154 153.5 0.099152 4.30347e-05
