# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 11933
  1 0.5 36.9795 0.0160501 -124.761 -221.948 -8.24281
  2 1.5 37.0682 0.0160886 -134.464 23.8119 23.5635
  3 2.5 36.9026 0.0160167 54.4277 154.644 -58.8833
  4 3.5 36.9983 0.0160583 47.2632 -78.7265 -134.662
  5 4.5 36.9935 0.0160562 -90.8227 -108.037 -110.561
  6 5.5 37.0271 0.0160708 -204.106 -258.08 64.6269
  7 6.5 36.95 0.0160373 -178.11 -212.921 -104.145
  8 7.5 36.969 0.0160456 -116.094 30.4455 -69.4696
  9 8.5 36.9838 0.016052 59.2197 -116.447 -34.3751
  10 9.5 36.9921 0.0160556 -72.2243 -120.485 -26.4371
  11 10.5 36.9949 0.0160568 -104.452 -186.932 -55.3298
  12 11.5 36.9813 0.0160509 -122.677 -34.2976 -74.1249
  13 12.5 36.9862 0.0160531 -193.461 -191.418 -100.067
  14 13.5 36.9879 0.0160538 -71.087 -149.12 13.1138
  15 14.5 36.9892 0.0160543 93.7116 36.3928 -20.7499
  16 15.5 36.9599 0.0160416 -129.508 -13.5303 -76.6627
  17 16.5 37.0438 0.0160781 -55.5465 88.4145 -103.592
  18 17.5 36.9476 0.0160363 -123.15 22.3751 -74.6458
  19 18.5 36.9804 0.0160505 38.1591 168.753 34.2057
  20 19.5 37.024 0.0160694 37.2802 -26.5928 -34.9652
  21 20.5 36.9551 0.0160395 -41.6072 -21.6487 -167.303
  22 21.5 37.0464 0.0160792 -118.662 -140.221 20.5977
  23 22.5 36.9797 0.0160502 -284.641 -81.7782 -100.29
  24 23.5 37.0676 0.0160884 -277.792 -1.36523 -21.7038
  25 24.5 36.9419 0.0160338 -62.1733 29.673 -27.3969
  26 25.5 37.0074 0.0160622 -176.192 9.61455 -51.8076
  27 26.5 37.0131 0.0160647 -26.544 8.56882 -119.147
