# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6015
  1 0.5 1.98255 0.000860483
  2 1.5 1.95825 0.000849935
  3 2.5 1.93397 0.000839396
  4 3.5 1.93685 0.000840648
  5 4.5 1.95785 0.000849763
  6 5.5 1.97049 0.000855247
  7 6.5 1.94286 0.000843253
  8 7.5 1.92302 0.000834646
  9 8.5 1.95016 0.000846423
  10 9.5 1.96643 0.000853484
  11 10.5 1.94872 0.000845799
  12 11.5 1.93742 0.000840893
  13 12.5 1.91521 0.000831253
  14 13.5 1.90282 0.000825876
  15 14.5 1.89244 0.000821372
  16 15.5 1.89093 0.000820715
  17 16.5 1.88584 0.000818507
  18 17.5 1.87423 0.000813468
  19 18.5 1.85841 0.000806603
  20 19.5 1.85093 0.000803353
  21 20.5 1.83332 0.00079571
  22 21.5 1.84475 0.000800672
  23 22.5 1.83802 0.00079775
  24 23.5 1.85171 0.000803692
  25 24.5 1.87721 0.00081476
  26 25.5 1.88736 0.000819165
  27 26.5 1.9087 0.00082843
  28 27.5 1.92317 0.000834711
  29 28.5 1.92307 0.000834664
  30 29.5 1.91737 0.00083219
  31 30.5 1.92669 0.000836235
  32 31.5 1.92293 0.000834604
  33 32.5 1.91314 0.000830357
  34 33.5 1.91402 0.000830738
  35 34.5 1.90242 0.000825702
  36 35.5 1.9079 0.000828083
  37 36.5 1.90163 0.000825359
  38 37.5 1.90364 0.000826233
  39 38.5 1.88441 0.000817886
  40 39.5 1.86073 0.000807609
  41 40.5 1.85496 0.000805102
  42 41.5 1.85611 0.000805603
  43 42.5 1.86796 0.000810745
  44 43.5 1.87507 0.000813831
  45 44.5 1.89664 0.000823196
  46 45.5 1.92137 0.000833929
  47 46.5 1.92479 0.000835411
  48 47.5 1.96047 0.0008509
  49 48.5 1.97268 0.000856199
  50 49.5 1.96799 0.000854161
  51 50.5 1.96258 0.000851814
  52 51.5 1.9734 0.00085651
  53 52.5 1.97091 0.00085543
  54 53.5 1.97103 0.000855481
  55 54.5 1.97784 0.000858436
  56 55.5 1.98396 0.000861093
  57 56.5 1.9881 0.000862891
  58 57.5 2.0046 0.000870052
  59 58.5 2.02891 0.000880604
  60 59.5 2.04865 0.000889169
  61 60.5 2.08738 0.000905983
  62 61.5 2.12431 0.00092201
  63 62.5 2.16751 0.000940761
  64 63.5 2.22585 0.000966081
  65 64.5 2.31294 0.00100388
  66 65.5 2.45988 0.00106766
  67 66.5 2.62126 0.0011377
  68 67.5 2.81768 0.00122295
  69 68.5 3.10372 0.0013471
  70 69.5 3.43924 0.00149273
  71 70.5 3.836 0.00166493
  72 71.5 4.2147 0.0018293
  73 72.5 4.46892 0.00193964
  74 73.5 4.40745 0.00191295
  75 74.5 3.98834 0.00173105
  76 75.5 3.21621 0.00139592
  77 76.5 2.30481 0.00100035
  78 77.5 1.47577 0.000640527
  79 78.5 0.867286 0.000376426
  80 79.5 0.489532 0.00021247
  81 80.5 0.278432 0.000120847
  82 81.5 0.169846 7.37179e-05
  83 82.5 0.119432 5.18368e-05
  84 83.5 0.093228 4.04635e-05
  85 84.5 0.079156 3.43559e-05
  86 85.5 0.070622 3.06519e-05
  87 86.5 0.069124 3.00017e-05
  88 87.5 0.069224 3.00451e-05
  89 88.5 0.068052 2.95365e-05
  90 89.5 0.064996 2.82101e-05
  91 90.5 0.06644 2.88368e-05
  92 91.5 0.065372 2.83733e-05
  93 92.5 0.064174 2.78533e-05
  94 93.5 0.06374 2.76649e-05
  95 94.5 0.065332 2.83559e-05
  96 95.5 0.06666 2.89323e-05
  97 96.5 0.064274 2.78967e-05
  98 97.5 0.065206 2.83012e-05
  99 98.5 0.06545 2.84071e-05
  100 99.5 0.066078 2.86797e-05
  101 100.5 0.065376 2.8375e-05
  102 101.5 0.064352 2.79306e-05
  103 102.5 0.064298 2.79071e-05
  104 103.5 0.063504 2.75625e-05
  105 104.5 0.064364 2.79358e-05
  106 105.5 0.066448 2.88403e-05
  107 106.5 0.065888 2.85972e-05
  108 107.5 0.065026 2.82231e-05
  109 108.5 0.064174 2.78533e-05
  110 109.5 0.063904 2.77361e-05
