# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 11933
  1 0.5 36.9455 0.0160354 -106.288 -58.4224 -12.4739
  2 1.5 37.0501 0.0160808 -38.3916 -43.7124 -77.4185
  3 2.5 37.017 0.0160664 -56.5199 -20.0105 -49.1018
  4 3.5 36.9259 0.0160269 -6.18473 -56.3092 -22.928
  5 4.5 37.0052 0.0160613 -56.1681 -134.903 -58.8422
  6 5.5 37.0766 0.0160923 -16.1963 -44.6449 -56.3369
  7 6.5 36.9485 0.0160367 -45.5135 -38.2648 -31.5207
  8 7.5 36.962 0.0160425 -97.3795 -43.3276 -65.6053
  9 8.5 37.0345 0.016074 -143.465 -14.9842 -102.129
  10 9.5 37.0243 0.0160696 -136.331 -116.637 -16.5703
  11 10.5 36.9657 0.0160442 -74.8458 35.6592 7.35513
  12 11.5 37.0108 0.0160637 -102.085 -79.3758 -101.652
  13 12.5 37.0119 0.0160642 -134.289 63.9328 -110.489
  14 13.5 36.9913 0.0160553 36.6324 32.4865 29.1873
  15 14.5 37.0136 0.0160649 -66.2167 -4.65752 -57.4308
  16 15.5 37.0426 0.0160775 -100.877 -18.6336 -75.6365
  17 16.5 36.9844 0.0160522 -18.8392 -48.4429 -62.7066
  18 17.5 37.0046 0.016061 -74.8789 -31.8783 -61.8939
  19 18.5 37.052 0.0160816 -53.9451 -50.7023 -55.7902
  20 19.5 36.9827 0.0160515 -103.408 -17.7163 -52.8148
  21 20.5 37.013 0.0160647 -39.8991 3.43242 -38.8957
  22 21.5 37.0528 0.0160819 0.400705 21.5271 -72.7031
  23 22.5 37.0153 0.0160656 -15.3392 -27.37 2.70356
  24 23.5 36.9819 0.0160512 -167.134 -50.457 -111.251
  25 24.5 37.047 0.0160794 -106.863 -54.4148 -70.6053
  26 25.5 37.0232 0.0160691 -104.417 -100.502 -67.6438
  27 26.5 37.0097 0.0160632 -139.234 4.31192 -8.76111
  28 27.5 37.001 0.0160594 -63.7618 -159.174 -101.263
  29 28.5 37.0341 0.0160738 -78.4505 -113.398 -102.253
  30 29.5 36.9754 0.0160483 -26.9297 -123.485 -22.0392
  31 30.5 37.021 0.0160681 -75.8258 -121.231 -31.5797
  32 31.5 37.0258 0.0160702 13.0131 0.962997 -25.2833
  33 32.5 36.9864 0.0160531 20.5596 51.5318 -30.0304
  34 33.5 36.9843 0.0160522 125.477 130.551 -83.3222
  35 34.5 37.0175 0.0160666 -3.51951 82.0481 -49.6925
  36 35.5 36.9754 0.0160484 -29.5499 93.6807 -6.87788
  37 36.5 36.992 0.0160556 -15.3835 59.8756 -74.4302
  38 37.5 36.9909 0.0160551 -24.4775 -31.66 -65.7206
  39 38.5 37.0085 0.0160627 -44.2691 -70.5448 -101.254
  40 39.5 36.9697 0.0160459 -115.068 -90.4355 -53.085
  41 40.5 37.0092 0.016063 -104.35 11.2163 4.25013
  42 41.5 37.0236 0.0160693 -107.835 -25.9016 -74.0714
  43 42.5 36.9878 0.0160537 -25.2173 -34.7073 -110.796
  44 43.5 36.9618 0.0160425 25.1328 -47.7387 20.9347
  45 44.5 37.017 0.0160664 -12.448 13.62 -74.071
  46 45.5 37.0019 0.0160598 30.0103 87.5235 -64.0872
  47 46.5 36.9366 0.0160315 2.36815 -36.4899 -42.6088
  48 47.5 37.0186 0.0160671 -77.6677 -101.797 -99.5524
  49 48.5 36.9998 0.016059 -2.55907 -5.15666 -55.5614
  50 49.5 36.967 0.0160447 -67.2082 -37.5492 -82.0723
  51 50.5 36.9817 0.0160511 -81.9647 -57.9539 -84.9715
  52 51.5 37.0282 0.0160712 -15.5583 -15.0915 -73.3779
  53 52.5 36.9565 0.0160402 -66.4745 -27.7012 -146.825
  54 53.5 36.9619 0.0160425 16.8284 -49.0316 -170.851
  55 54.5 37.0078 0.0160624 -4.83444 21.252 -188.089
  56 55.5 36.9541 0.0160391 19.3739 33.8035 -236.86
  57 56.5 36.9481 0.0160365 29.1471 -0.0807306 -348.953
  58 57.5 36.9562 0.01604 108.875 107.977 -401.907
  59 58.5 36.9542 0.0160391 209.923 271.773 -502.365
  60 59.5 36.9015 0.0160163 348.366 277.683 -654.285
  61 60.5 36.8404 0.0159897 454.682 394.385 -923.785
  62 61.5 36.8518 0.0159947 592.691 559.893 -1125.08
  63 62.5 36.7994 0.015972 840.425 828.76 -1340.81
  64 63.5 36.6426 0.0159039 1074.27 1176.94 -1695.37
  65 64.5 36.56 0.015868 1588.04 1661.04 -2126.18
  66 65.5 36.4364 0.0158144 2181.36 2178.02 -2571.93
  67 66.5 36.1303 0.0156816 3025.76 3020.78 -3072.01
  68 67.5 35.7882 0.0155331 4278.53 4250.42 -3305.32
  69 68.5 35.2761 0.0153108 5860.45 5793.26 -3500.81
  70 69.5 34.4732 0.0149623 7824.11 7854.83 -3099.33
  71 70.5 33.1928 0.0144066 10127.6 10148.4 -1899.5
  72 71.5 31.3461 0.0136051 12426.2 12390.8 228.348
  73 72.5 28.5561 0.0123941 14291.3 14274.7 3077.99
