# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 11653
  1 0.5 35.8223 0.0155479 -93.2897 -111.317 -120.091
  2 1.5 35.9077 0.0155849 -85.1824 -107.953 -143.687
  3 2.5 35.8683 0.0155678 -79.8489 -173.639 -75.1145
  4 3.5 35.8626 0.0155654 -172.54 -198.879 -95.7335
  5 4.5 35.8981 0.0155808 -123.543 -165.532 -139.53
  6 5.5 35.8857 0.0155754 -10.0644 4.40466 -66.8587
  7 6.5 35.8412 0.0155561 -56.4261 -16.6811 -115.989
  8 7.5 35.8668 0.0155672 -45.3538 -84.6673 -147.621
  9 8.5 35.9116 0.0155866 -68.121 -108.691 -106.641
  10 9.5 35.8753 0.0155709 -104.545 -88.1512 -118.281
  11 10.5 35.8852 0.0155752 -86.945 -85.9294 -92.0119
  12 11.5 35.8723 0.0155696 -76.1899 -47.7947 -143.744
  13 12.5 35.8795 0.0155727 -103.501 -84.2334 -105.653
  14 13.5 35.9155 0.0155883 -154.88 -88.9357 -41.639
  15 14.5 35.8759 0.0155711 -136.128 -89.2443 -142.354
  16 15.5 35.8725 0.0155697 -67.8554 -96.9024 -134.476
  17 16.5 35.8788 0.0155724 -24.788 -94.9432 -89.6083
  18 17.5 35.8645 0.0155662 -128.93 -121.884 -128.841
  19 18.5 35.9202 0.0155904 -126.645 -185.685 -109.77
  20 19.5 35.8479 0.015559 -193.909 -215.819 -105.823
  21 20.5 35.872 0.0155695 -279.2 -245.497 -144.968
  22 21.5 35.9145 0.0155879 -200.43 -254.114 -99.1619
  23 22.5 35.8991 0.0155812 -252.69 -179.228 -113.151
  24 23.5 35.8756 0.015571 -75.9369 -110.179 -100.68
  25 24.5 35.8923 0.0155782 -45.1204 -104.692 -108.483
  26 25.5 35.891 0.0155777 -130.748 -72.1301 -108.079
  27 26.5 35.8964 0.01558 -89.4419 -56.4045 -94.0297
  28 27.5 35.8888 0.0155767 -90.8348 -73.7517 -111.3
  29 28.5 35.9055 0.015584 -75.5273 -107.198 -90.0136
  30 29.5 35.8718 0.0155694 -94.4677 -41.3305 -113.947
  31 30.5 35.8961 0.0155799 -28.3078 -20.0338 -184.6
  32 31.5 35.8822 0.0155739 -54.6614 -159.295 -133.054
  33 32.5 35.9244 0.0155922 -68.9168 5.96242 -22.1053
  34 33.5 35.888 0.0155764 -78.086 -121.869 -92.8558
  35 34.5 35.8689 0.0155681 -124.924 -106.599 -133.421
  36 35.5 35.9073 0.0155848 -69.9701 -135.633 -166.219
  37 36.5 35.9031 0.0155829 -75.2004 -86.818 -80.7498
  38 37.5 35.9083 0.0155852 -194.527 -165.63 -120.358
  39 38.5 35.8854 0.0155753 -133.338 -42.3156 -96.4735
  40 39.5 35.8816 0.0155736 -39.0377 -52.3575 -91.3135
  41 40.5 35.9155 0.0155883 -98.6899 -98.6936 -122.089
  42 41.5 35.8899 0.0155772 -131.99 -141.069 -140.107
  43 42.5 35.8762 0.0155713 -101.645 -144.779 -92.9059
  44 43.5 35.8953 0.0155795 -136.801 -91.1736 -121.874
  45 44.5 35.9034 0.0155831 -63.6845 -46.7076 -114.326
  46 45.5 35.8906 0.0155775 -62.3261 -81.1395 -79.8919
  47 46.5 35.8893 0.015577 -175.484 -165.502 -144.657
  48 47.5 35.8807 0.0155732 -115.824 -114.211 -139.177
  49 48.5 35.8985 0.0155809 -36.8908 20.3407 -46.9821
  50 49.5 35.8768 0.0155715 -129.389 -38.1066 -98.9429
  51 50.5 35.9015 0.0155822 -105.341 -93.0425 -163.737
  52 51.5 35.8577 0.0155632 -94.0276 -133.777 -141.144
  53 52.5 35.8769 0.0155716 -124.233 -70.7775 -115.485
  54 53.5 35.9075 0.0155848 -62.9243 -71.3926 -90.9174
  55 54.5 35.8818 0.0155737 -65.5586 -146.066 -153.189
  56 55.5 35.853 0.0155612 -139.266 -128.967 -156.111
  57 56.5 35.8987 0.015581 -104.882 -88.5147 -181.606
  58 57.5 35.9077 0.015585 -98.5283 -106.394 -199.664
  59 58.5 35.8369 0.0155542 -54.2978 -105.258 -258.868
  60 59.5 35.825 0.015549 43.614 -1.09096 -268.952
  61 60.5 35.9162 0.0155886 30.9829 1.26152 -367.889
  62 61.5 35.8508 0.0155602 114.037 78.2599 -394.07
  63 62.5 35.769 0.0155247 97.1284 145.125 -489.88
  64 63.5 35.8155 0.0155449 224.29 237.947 -721.288
  65 64.5 35.7863 0.0155323 340.579 247.906 -738.133
  66 65.5 35.7256 0.0155059 519.61 473.321 -882.258
  67 66.5 35.6342 0.0154662 567.962 574.642 -1279.76
  68 67.5 35.5561 0.0154324 926.177 892.455 -1481.78
  69 68.5 35.455 0.0153884 1279.27 1227.04 -1676.41
  70 69.5 35.305 0.0153234 1717.48 1717.78 -2038.82
  71 70.5 35.0061 0.0151936 2412.1 2360.57 -2371.19
  72 71.5 34.6821 0.015053 3266.8 3248.46 -2593.37
  73 72.5 34.1842 0.0148369 4368.61 4376.45 -2606.69
  74 73.5 33.4163 0.0145036 5629.13 5588.03 -2421.76
  75 74.5 32.4037 0.0140641 7019.07 7020.64 -1771.97
  76 75.5 30.832 0.0133819 8324.84 8277.66 -726.382
  77 76.5 28.686 0.0124505 9576.13 9530.27 654.574
  78 77.5 25.8483 0.0112189 10468 10397.7 2225.99
