# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 5575
  1 0.5 1.79025 0.00077702
  2 1.5 1.78131 0.00077314
  3 2.5 1.7714 0.000768836
  4 3.5 1.76015 0.000763954
  5 4.5 1.76785 0.000767295
  6 5.5 1.77719 0.000771349
  7 6.5 1.77329 0.000769658
  8 7.5 1.77983 0.000772496
  9 8.5 1.78644 0.000775364
  10 9.5 1.78908 0.000776509
  11 10.5 1.79934 0.000780965
  12 11.5 1.81393 0.000787298
  13 12.5 1.82139 0.000790533
  14 13.5 1.84204 0.000799496
  15 14.5 1.84636 0.000801373
  16 15.5 1.84527 0.000800899
  17 16.5 1.84032 0.000798752
  18 17.5 1.84548 0.000800989
  19 18.5 1.84208 0.000799514
  20 19.5 1.8459 0.000801171
  21 20.5 1.8415 0.000799264
  22 21.5 1.84349 0.000800126
  23 22.5 1.83427 0.000796126
  24 23.5 1.82879 0.000793744
  25 24.5 1.8363 0.000797004
  26 25.5 1.83658 0.000797125
  27 26.5 1.83156 0.000794948
  28 27.5 1.83809 0.000797782
  29 28.5 1.84063 0.000798886
  30 29.5 1.83128 0.000794826
  31 30.5 1.82285 0.000791167
  32 31.5 1.82982 0.000794194
  33 32.5 1.83369 0.000795874
  34 33.5 1.82696 0.00079295
  35 34.5 1.82058 0.000790184
  36 35.5 1.81945 0.000789691
  37 36.5 1.81327 0.00078701
  38 37.5 1.80855 0.000784963
  39 38.5 1.82385 0.000791601
  40 39.5 1.83824 0.000797849
  41 40.5 1.84955 0.000802755
  42 41.5 1.85228 0.000803943
  43 42.5 1.84624 0.00080132
  44 43.5 1.85324 0.000804359
  45 44.5 1.85621 0.000805648
  46 45.5 1.87048 0.000811842
  47 46.5 1.88189 0.000816793
  48 47.5 1.88743 0.000819198
  49 48.5 1.87997 0.00081596
  50 49.5 1.88318 0.000817353
  51 50.5 1.90902 0.000828566
  52 51.5 1.90914 0.000828621
  53 52.5 1.89354 0.000821851
  54 53.5 1.89374 0.000821936
  55 54.5 1.90346 0.000826155
  56 55.5 1.90585 0.00082719
  57 56.5 1.91392 0.000830694
  58 57.5 1.9269 0.000836326
  59 58.5 1.94259 0.00084314
  60 59.5 1.95727 0.000849511
  61 60.5 1.97645 0.000857832
  62 61.5 2.01191 0.000873226
  63 62.5 2.04306 0.000886745
  64 63.5 2.09388 0.000908801
  65 64.5 2.14173 0.00092957
  66 65.5 2.20473 0.000956912
  67 66.5 2.31728 0.00100576
  68 67.5 2.44725 0.00106218
  69 68.5 2.60073 0.00112879
  70 69.5 2.79983 0.00121521
  71 70.5 3.03268 0.00131627
  72 71.5 3.26781 0.00141832
  73 72.5 3.53912 0.00153608
  74 73.5 3.7873 0.00164379
  75 74.5 3.98148 0.00172807
  76 75.5 4.06832 0.00176576
  77 76.5 3.99735 0.00173496
  78 77.5 3.77545 0.00163865
  79 78.5 3.43973 0.00149294
  80 79.5 3.008 0.00130556
  81 80.5 2.52135 0.00109434
  82 81.5 2.07359 0.000899995
  83 82.5 1.66423 0.000722324
  84 83.5 1.32952 0.000577049
  85 84.5 1.07171 0.000465151
  86 85.5 0.888146 0.00038548
  87 86.5 0.761054 0.000330319
  88 87.5 0.675268 0.000293085
  89 88.5 0.610874 0.000265136
  90 89.5 0.566472 0.000245865
  91 90.5 0.532032 0.000230917
  92 91.5 0.520578 0.000225945
  93 92.5 0.506898 0.000220008
  94 93.5 0.495488 0.000215056
  95 94.5 0.489188 0.000212321
  96 95.5 0.487584 0.000211625
  97 96.5 0.48537 0.000210664
  98 97.5 0.482488 0.000209413
  99 98.5 0.487626 0.000211643
  100 99.5 0.48803 0.000211819
  101 100.5 0.482244 0.000209307
  102 101.5 0.483926 0.000210037
  103 102.5 0.481518 0.000208992
  104 103.5 0.48307 0.000209666
  105 104.5 0.484324 0.00021021
  106 105.5 0.48742 0.000211554
  107 106.5 0.482258 0.000209313
  108 107.5 0.47923 0.000207999
  109 108.5 0.47919 0.000207982
  110 109.5 0.480676 0.000208627
  111 110.5 0.482482 0.000209411
  112 111.5 0.48144 0.000208958
  113 112.5 0.48805 0.000211827
  114 113.5 0.483644 0.000209915
  115 114.5 0.48545 0.000210699
  116 115.5 0.486416 0.000211118
  117 116.5 0.484526 0.000210298
  118 117.5 0.481682 0.000209063
  119 118.5 0.483636 0.000209911
  120 119.5 0.478906 0.000207859
  121 120.5 0.481312 0.000208903
  122 121.5 0.481608 0.000209031
  123 122.5 0.481708 0.000209075
  124 123.5 0.484872 0.000210448
  125 124.5 0.484632 0.000210344
  126 125.5 0.484516 0.000210293
  127 126.5 0.486758 0.000211266
  128 127.5 0.483296 0.000209764
  129 128.5 0.48687 0.000211315
  130 129.5 0.484982 0.000210496
  131 130.5 0.485622 0.000210773
  132 131.5 0.48332 0.000209774
  133 132.5 0.482976 0.000209625
  134 133.5 0.481882 0.00020915
  135 134.5 0.481868 0.000209144
  136 135.5 0.486336 0.000211083
  137 136.5 0.486794 0.000211282
  138 137.5 0.486464 0.000211139
  139 138.5 0.481412 0.000208946
  140 139.5 0.478286 0.000207589
  141 140.5 0.484768 0.000210403
  142 141.5 0.484558 0.000210312
  143 142.5 0.487782 0.000211711
  144 143.5 0.486076 0.00021097
  145 144.5 0.486072 0.000210969
  146 145.5 0.48539 0.000210673
  147 146.5 0.48503 0.000210516
  148 147.5 0.482324 0.000209342
  149 148.5 0.482526 0.00020943
  150 149.5 0.485476 0.00021071
  151 150.5 0.482758 0.00020953
  152 151.5 0.482788 0.000209543
  153 152.5 0.483628 0.000209908
  154 153.5 0.481006 0.00020877
  155 154.5 0.480094 0.000208374
  156 155.5 0.485728 0.000210819
  157 156.5 0.481998 0.000209201
  158 157.5 0.484556 0.000210311
  159 158.5 0.479526 0.000208128
  160 159.5 0.481068 0.000208797
  161 160.5 0.484068 0.000210099
  162 161.5 0.485862 0.000210878
  163 162.5 0.486734 0.000211256
  164 163.5 0.484096 0.000210111
  165 164.5 0.483176 0.000209712
  166 165.5 0.48321 0.000209727
  167 166.5 0.481906 0.000209161
  168 167.5 0.48137 0.000208928
  169 168.5 0.4848 0.000210417
  170 169.5 0.483618 0.000209904
  171 170.5 0.486424 0.000211122
  172 171.5 0.488508 0.000212026
  173 172.5 0.489896 0.000212628
  174 173.5 0.48767 0.000211662
  175 174.5 0.484894 0.000210457
  176 175.5 0.48553 0.000210734
  177 176.5 0.485214 0.000210596
  178 177.5 0.48457 0.000210317
  179 178.5 0.48074 0.000208655
  180 179.5 0.482326 0.000209343
  181 180.5 0.483656 0.00020992
  182 181.5 0.481736 0.000209087
  183 182.5 0.48733 0.000211515
  184 183.5 0.481078 0.000208801
  185 184.5 0.485108 0.00021055
  186 185.5 0.482524 0.000209429
  187 186.5 0.48006 0.000208359
  188 187.5 0.480316 0.00020847
  189 188.5 0.48351 0.000209857
  190 189.5 0.482118 0.000209253
  191 190.5 0.482232 0.000209302
  192 191.5 0.49136 0.000213264
  193 192.5 0.492142 0.000213603
  194 193.5 0.492554 0.000213782
  195 194.5 0.491584 0.000213361
  196 195.5 0.489088 0.000212278
  197 196.5 0.487032 0.000211385
  198 197.5 0.487024 0.000211382
  199 198.5 0.492044 0.000213561
  200 199.5 0.489078 0.000212273
  201 200.5 0.49072 0.000212986
  202 201.5 0.49091 0.000213069
  203 202.5 0.484512 0.000210292
  204 203.5 0.48146 0.000208967
  205 204.5 0.48045 0.000208529
  206 205.5 0.481688 0.000209066
  207 206.5 0.485368 0.000210663
  208 207.5 0.483738 0.000209956
  209 208.5 0.481596 0.000209026
  210 209.5 0.486876 0.000211318
  211 210.5 0.48367 0.000209926
  212 211.5 0.485622 0.000210773
  213 212.5 0.485992 0.000210934
  214 213.5 0.48591 0.000210898
  215 214.5 0.488844 0.000212172
  216 215.5 0.494724 0.000214724
  217 216.5 0.503928 0.000218719
  218 217.5 0.516296 0.000224087
  219 218.5 0.532682 0.000231199
  220 219.5 0.563414 0.000244537
  221 220.5 0.592056 0.000256969
  222 221.5 0.646206 0.000280471
  223 222.5 0.732722 0.000318022
  224 223.5 0.871964 0.000378457
  225 224.5 1.07313 0.000465769
  226 225.5 1.39463 0.000605306
  227 226.5 1.90021 0.000824745
  228 227.5 2.64345 0.00114733
  229 228.5 3.72115 0.00161508
  230 229.5 5.21476 0.00226335
  231 230.5 7.13766 0.00309794
  232 231.5 9.43606 0.00409551
  233 232.5 12.019 0.00521658
  234 233.5 14.8187 0.00643174
  235 234.5 17.6145 0.00764519
  236 235.5 20.1983 0.00876662
  237 236.5 22.5642 0.0097935
  238 237.5 24.6055 0.0106795
  239 238.5 26.2963 0.0114133
  240 239.5 27.6302 0.0119923
  241 240.5 28.7619 0.0124835
  242 241.5 29.6394 0.0128643
  243 242.5 30.2277 0.0131196
  244 243.5 30.7151 0.0133312
  245 244.5 31.1161 0.0135052
  246 245.5 31.3828 0.013621
  247 246.5 31.6045 0.0137172
  248 247.5 31.7947 0.0137998
  249 248.5 31.9272 0.0138573
  250 249.5 31.9876 0.0138835
  251 250.5 32.0881 0.0139271
  252 251.5 32.1266 0.0139438
  253 252.5 32.15 0.013954
  254 253.5 32.1293 0.013945
  255 254.5 32.1691 0.0139623
  256 255.5 32.2045 0.0139777
  257 256.5 32.2244 0.0139863
  258 257.5 32.2148 0.0139821
  259 258.5 32.2388 0.0139925
  260 259.5 32.2647 0.0140038
  261 260.5 32.2709 0.0140065
  262 261.5 32.2493 0.0139971
  263 262.5 32.2246 0.0139864
  264 263.5 32.2356 0.0139912
  265 264.5 32.2143 0.0139819
  266 265.5 32.2658 0.0140042
  267 266.5 32.2182 0.0139836
  268 267.5 32.2342 0.0139905
  269 268.5 32.2602 0.0140018
  270 269.5 32.3167 0.0140263
  271 270.5 32.2505 0.0139976
  272 271.5 32.2763 0.0140088
  273 272.5 32.2836 0.014012
  274 273.5 32.2765 0.0140089
  275 274.5 32.2454 0.0139954
  276 275.5 32.2948 0.0140168
  277 276.5 32.2719 0.0140069
  278 277.5 32.2996 0.0140189
  279 278.5 32.2969 0.0140177
  280 279.5 32.2793 0.0140101
  281 280.5 32.334 0.0140339
  282 281.5 32.3169 0.0140264
  283 282.5 32.3239 0.0140295
  284 283.5 32.3508 0.0140411
  285 284.5 32.3757 0.0140519
  286 285.5 32.3627 0.0140463
  287 286.5 32.3631 0.0140465
  288 287.5 32.3557 0.0140433
  289 288.5 32.3472 0.0140396
  290 289.5 32.356 0.0140434
  291 290.5 32.341 0.0140369
  292 291.5 32.2938 0.0140164
  293 292.5 32.303 0.0140204
  294 293.5 32.3567 0.0140437
  295 294.5 32.2972 0.0140179
  296 295.5 32.2876 0.0140137
  297 296.5 32.3275 0.014031
  298 297.5 32.2927 0.0140159
  299 298.5 32.3429 0.0140377
  300 299.5 32.3402 0.0140366
  301 300.5 32.373 0.0140508
  302 301.5 32.3319 0.0140329
  303 302.5 32.3416 0.0140371
  304 303.5 32.3843 0.0140557
  305 304.5 32.3665 0.0140479
  306 305.5 32.3278 0.0140312
  307 306.5 32.3387 0.0140359
  308 307.5 32.3643 0.014047
  309 308.5 32.3359 0.0140347
  310 309.5 32.3227 0.0140289
  311 310.5 32.3324 0.0140332
  312 311.5 32.3471 0.0140395
  313 312.5 32.3146 0.0140254
  314 313.5 32.3263 0.0140305
  315 314.5 32.3217 0.0140285
  316 315.5 32.3096 0.0140233
  317 316.5 32.3395 0.0140362
  318 317.5 32.3568 0.0140438
  319 318.5 32.2904 0.0140149
  320 319.5 32.3451 0.0140387
  321 320.5 32.3552 0.014043
  322 321.5 32.3192 0.0140274
  323 322.5 32.3253 0.0140301
  324 323.5 32.3286 0.0140315
  325 324.5 32.3441 0.0140382
  326 325.5 32.3461 0.0140391
  327 326.5 32.3169 0.0140264
  328 327.5 32.3266 0.0140306
  329 328.5 32.3457 0.0140389
  330 329.5 32.3224 0.0140288
  331 330.5 32.3136 0.014025
  332 331.5 32.3099 0.0140234
  333 332.5 32.2833 0.0140119
  334 333.5 32.2997 0.014019
  335 334.5 32.2895 0.0140145
  336 335.5 32.2622 0.0140027
  337 336.5 32.296 0.0140174
  338 337.5 32.2794 0.0140101
  339 338.5 32.2672 0.0140049
  340 339.5 32.3032 0.0140205
  341 340.5 32.274 0.0140078
  342 341.5 32.2569 0.0140004
  343 342.5 32.2896 0.0140146
  344 343.5 32.3167 0.0140263
  345 344.5 32.3131 0.0140248
  346 345.5 32.3206 0.014028
  347 346.5 32.3462 0.0140392
  348 347.5 32.3673 0.0140483
  349 348.5 32.3457 0.0140389
  350 349.5 32.342 0.0140373
  351 350.5 32.3321 0.014033
  352 351.5 32.3356 0.0140345
  353 352.5 32.3215 0.0140284
  354 353.5 32.252 0.0139983
  355 354.5 32.2871 0.0140135
  356 355.5 32.2625 0.0140028
