# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 12532
  1 0.5 39.1813 0.0170058 -195.967 -19.0412 36.6348
  2 1.5 39.2208 0.0170229 34.4001 -29.9144 13.5121
  3 2.5 39.1338 0.0169852 -119.308 -126.405 -57.6695
  4 3.5 39.2189 0.0170221 65.0107 -167.301 48.0108
  5 4.5 39.2194 0.0170223 42.8726 -92.0332 -15.3198
  6 5.5 39.1702 0.017001 -16.205 24.5646 -18.7717
  7 6.5 39.1279 0.0169826 131.251 284.429 -11.9256
  8 7.5 39.2136 0.0170198 113.64 275.002 115.665
  9 8.5 39.268 0.0170434 -13.5743 61.4242 -67.4226
  10 9.5 39.0954 0.0169685 68.6969 -71.1236 -5.23608
  11 10.5 39.1868 0.0170082 -44.1042 -1.9085 16.6689
  12 11.5 39.2935 0.0170545 -75.0606 26.9808 -4.13889
  13 12.5 39.1675 0.0169998 -129.775 -65.3701 -30.0417
  14 13.5 39.1391 0.0169874 -94.3137 -180.653 -12.2227
  15 14.5 39.2492 0.0170352 95.4811 -16.5171 -53.9802
  16 15.5 39.1899 0.0170095 93.5167 66.0873 84.9286
  17 16.5 39.1464 0.0169906 -48.5006 -3.01678 -33.2216
  18 17.5 39.1922 0.0170105 -15.0782 70.8766 -3.93173
  19 18.5 39.2693 0.017044 72.621 68.402 25.0892
  20 19.5 39.0653 0.0169554 29.3375 80.2555 -32.2523
  21 20.5 39.243 0.0170325 -184.919 -63.9426 17.9574
  22 21.5 39.2146 0.0170202 -225.377 -1.73303 -35.606
  23 22.5 39.2114 0.0170188 -204.732 -75.1476 -53.3684
  24 23.5 39.1007 0.0169708 -111.175 37.4389 27.9132
  25 24.5 39.2442 0.0170331 -41.8423 33.3091 90.4908
  26 25.5 39.2166 0.0170211 -15.1764 -76.0673 4.58168
  27 26.5 39.157 0.0169952 -58.3591 145.884 -57.8997
  28 27.5 39.1623 0.0169975 15.7886 63.3007 -40.2562
  29 28.5 39.2027 0.0170151 28.9021 -38.5643 7.03122
  30 29.5 39.2243 0.0170244 -121.538 31.6321 94.7523
  31 30.5 39.1291 0.0169831 -45.2297 29.5586 -121.392
  32 31.5 39.1931 0.0170109 -185.22 -8.43894 -21.0294
  33 32.5 39.2455 0.0170337 -27.2907 -121.564 102.518
  34 33.5 39.1475 0.0169911 125.903 -45.7665 40.2405
  35 34.5 39.1947 0.0170116 -28.3921 -3.76118 -47.1951
  36 35.5 39.1619 0.0169974 -55.6465 127.2 -88.6335
  37 36.5 39.2239 0.0170242 214.073 249.718 192.045
  38 37.5 39.1805 0.0170054 98.1696 5.1997 -127.278
  39 38.5 39.145 0.01699 216.317 46.3918 -9.18679
  40 39.5 39.1379 0.0169869 240.74 -37.43 -76.2696
  41 40.5 39.2931 0.0170543 250.432 125.831 76.6483
  42 41.5 39.1389 0.0169874 19.3278 -52.0215 -28.2224
  43 42.5 39.1703 0.017001 -113.627 -186.232 -160.071
  44 43.5 39.2933 0.0170544 -30.6662 -63.7297 -105.302
  45 44.5 39.1064 0.0169733 -180.394 -108.288 -208.973
  46 45.5 39.1725 0.0170019 86.447 33.4753 -233.346
  47 46.5 39.2478 0.0170346 101.152 -34.8863 -412.005
  48 47.5 39.1806 0.0170055 101.701 106.284 -518.265
  49 48.5 39.0274 0.016939 99.3663 -71.6798 -639.196
