# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6336
  1 0.5 2.79229 0.00121193
  2 1.5 2.75547 0.00119595
  3 2.5 2.7169 0.00117921
  4 3.5 2.69808 0.00117104
  5 4.5 2.68245 0.00116426
  6 5.5 2.70107 0.00117234
  7 6.5 2.74853 0.00119294
  8 7.5 2.76727 0.00120107
  9 8.5 2.78515 0.00120883
  10 9.5 2.75668 0.00119648
  11 10.5 2.72259 0.00118168
  12 11.5 2.71472 0.00117826
  13 12.5 2.72354 0.00118209
  14 13.5 2.74423 0.00119107
  15 14.5 2.75536 0.0011959
  16 15.5 2.74871 0.00119302
  17 16.5 2.75941 0.00119766
  18 17.5 2.75648 0.00119639
  19 18.5 2.77541 0.00120461
  20 19.5 2.79484 0.00121304
  21 20.5 2.75778 0.00119695
  22 21.5 2.74145 0.00118987
  23 22.5 2.68892 0.00116707
  24 23.5 2.64938 0.0011499
  25 24.5 2.6527 0.00115135
  26 25.5 2.69502 0.00116971
  27 26.5 2.72673 0.00118348
  28 27.5 2.73917 0.00118888
  29 28.5 2.75137 0.00119417
  30 29.5 2.75128 0.00119413
  31 30.5 2.7509 0.00119397
  32 31.5 2.7697 0.00120213
  33 32.5 2.76325 0.00119933
  34 33.5 2.77144 0.00120288
  35 34.5 2.79246 0.00121201
  36 35.5 2.83021 0.00122839
  37 36.5 2.87399 0.00124739
  38 37.5 2.90966 0.00126287
  39 38.5 2.93028 0.00127182
  40 39.5 2.88062 0.00125027
  41 40.5 2.86751 0.00124458
  42 41.5 2.8503 0.00123711
  43 42.5 2.81346 0.00122112
  44 43.5 2.77477 0.00120433
  45 44.5 2.73401 0.00118664
  46 45.5 2.70769 0.00117521
  47 46.5 2.72011 0.0011806
  48 47.5 2.73373 0.00118651
  49 48.5 2.73571 0.00118737
  50 49.5 2.7586 0.00119731
  51 50.5 2.78873 0.00121038
  52 51.5 2.76369 0.00119952
  53 52.5 2.78621 0.00120929
  54 53.5 2.86426 0.00124317
  55 54.5 2.98714 0.0012965
  56 55.5 3.11983 0.00135409
  57 56.5 3.27809 0.00142278
  58 57.5 3.45271 0.00149857
  59 58.5 3.58368 0.00155542
  60 59.5 3.53722 0.00153525
  61 60.5 3.11767 0.00135316
  62 61.5 2.34684 0.0010186
  63 62.5 1.47576 0.000640519
  64 63.5 0.77777 0.000337574
  65 64.5 0.34483 0.000149666
  66 65.5 0.13194 5.72656e-05
  67 66.5 0.048312 2.09688e-05
  68 67.5 0.020432 8.86806e-06
  69 68.5 0.010176 4.41667e-06
  70 69.5 0.006884 2.98785e-06
  71 70.5 0.005546 2.40712e-06
  72 71.5 0.005316 2.30729e-06
  73 72.5 0.005278 2.2908e-06
  74 73.5 0.005478 2.3776e-06
  75 74.5 0.005242 2.27517e-06
  76 75.5 0.005048 2.19097e-06
  77 76.5 0.005092 2.21007e-06
  78 77.5 0.00549 2.38281e-06
  79 78.5 0.005232 2.27083e-06
  80 79.5 0.004784 2.07639e-06
  81 80.5 0.004916 2.13368e-06
  82 81.5 0.005022 2.17969e-06
  83 82.5 0.00501 2.17448e-06
  84 83.5 0.004918 2.13455e-06
  85 84.5 0.00457 1.98351e-06
  86 85.5 0.004592 1.99306e-06
  87 86.5 0.004576 1.98611e-06
  88 87.5 0.004588 1.99132e-06
  89 88.5 0.004618 2.00434e-06
  90 89.5 0.004678 2.03038e-06
  91 90.5 0.004798 2.08247e-06
  92 91.5 0.004718 2.04774e-06
  93 92.5 0.00455 1.97483e-06
  94 93.5 0.004528 1.96528e-06
  95 94.5 0.00454 1.97049e-06
  96 95.5 0.004732 2.05382e-06
  97 96.5 0.004804 2.08507e-06
  98 97.5 0.004786 2.07726e-06
  99 98.5 0.004704 2.04167e-06
  100 99.5 0.004756 2.06424e-06
  101 100.5 0.004716 2.04687e-06
  102 101.5 0.004612 2.00174e-06
  103 102.5 0.004608 2e-06
  104 103.5 0.004668 2.02604e-06
  105 104.5 0.004718 2.04774e-06
  106 105.5 0.004712 2.04514e-06
  107 106.5 0.00474 2.05729e-06
  108 107.5 0.004674 2.02865e-06
  109 108.5 0.004518 1.96094e-06
  110 109.5 0.0045 1.95313e-06
  111 110.5 0.004526 1.96441e-06
  112 111.5 0.004496 1.95139e-06
  113 112.5 0.004484 1.94618e-06
  114 113.5 0.004532 1.96701e-06
  115 114.5 0.004552 1.97569e-06
  116 115.5 0.00471 2.04427e-06
  117 116.5 0.005158 2.23872e-06
  118 117.5 0.004724 2.05035e-06
  119 118.5 0.00455 1.97483e-06
  120 119.5 0.004596 1.99479e-06
  121 120.5 0.004464 1.9375e-06
  122 121.5 0.004508 1.9566e-06
  123 122.5 0.004558 1.9783e-06
  124 123.5 0.00453 1.96615e-06
  125 124.5 0.004598 1.99566e-06
  126 125.5 0.00487 2.11372e-06
  127 126.5 0.004612 2.00174e-06
  128 127.5 0.004716 2.04687e-06
  129 128.5 0.004706 2.04253e-06
  130 129.5 0.004798 2.08247e-06
  131 130.5 0.00465 2.01823e-06
  132 131.5 0.004494 1.95052e-06
  133 132.5 0.0045 1.95313e-06
  134 133.5 0.004496 1.95139e-06
  135 134.5 0.004524 1.96354e-06
  136 135.5 0.00473 2.05295e-06
  137 136.5 0.004994 2.16753e-06
