# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 6113
  1 0.5 34.8862 0.0151416
  2 1.5 34.9919 0.0151875
  3 2.5 34.9732 0.0151793
  4 3.5 34.9866 0.0151851
  5 4.5 34.9912 0.0151872
  6 5.5 34.9007 0.0151479
  7 6.5 34.9057 0.01515
  8 7.5 35.0373 0.0152072
  9 8.5 34.9258 0.0151588
  10 9.5 34.9039 0.0151493
  11 10.5 34.9216 0.0151569
  12 11.5 35.1101 0.0152388
  13 12.5 35.0811 0.0152262
  14 13.5 35.146 0.0152543
  15 14.5 35.1396 0.0152516
  16 15.5 35.1064 0.0152372
  17 16.5 35.1332 0.0152488
  18 17.5 35.1506 0.0152563
  19 18.5 35.2086 0.0152815
  20 19.5 35.0453 0.0152106
  21 20.5 34.9871 0.0151854
  22 21.5 34.8666 0.0151331
  23 22.5 34.9312 0.0151611
  24 23.5 34.8958 0.0151458
  25 24.5 34.8613 0.0151308
  26 25.5 34.9502 0.0151693
  27 26.5 34.875 0.0151367
  28 27.5 34.8458 0.0151241
  29 28.5 34.9163 0.0151546
  30 29.5 34.8275 0.0151161
  31 30.5 34.8484 0.0151252
  32 31.5 34.8874 0.0151421
  33 32.5 34.7101 0.0150651
  34 33.5 34.6212 0.0150266
  35 34.5 34.6927 0.0150576
  36 35.5 34.4499 0.0149522
  37 36.5 34.3772 0.0149207
  38 37.5 34.4318 0.0149444
  39 38.5 34.3906 0.0149265
  40 39.5 34.3934 0.0149277
  41 40.5 34.3413 0.0149051
  42 41.5 34.4532 0.0149537
  43 42.5 34.4871 0.0149684
  44 43.5 34.3735 0.0149191
  45 44.5 34.3249 0.014898
  46 45.5 34.3049 0.0148893
  47 46.5 34.2065 0.0148466
  48 47.5 34.235 0.0148589
  49 48.5 34.1641 0.0148281
  50 49.5 34.0755 0.0147897
  51 50.5 34.1248 0.0148111
  52 51.5 34.0392 0.0147739
  53 52.5 33.9777 0.0147472
  54 53.5 33.8801 0.0147049
  55 54.5 33.8277 0.0146821
  56 55.5 33.7149 0.0146332
  57 56.5 33.6671 0.0146124
  58 57.5 33.4223 0.0145062
  59 58.5 33.2261 0.014421
  60 59.5 33.0663 0.0143517
  61 60.5 32.8213 0.0142454
  62 61.5 32.4308 0.0140759
  63 62.5 31.9609 0.0138719
  64 63.5 31.3552 0.013609
  65 64.5 30.2103 0.0131121
  66 65.5 28.7318 0.0124704
  67 66.5 26.6126 0.0115506
  68 67.5 23.373 0.0101445
  69 68.5 18.4157 0.00799291
  70 69.5 12.341 0.00535634
  71 70.5 6.97941 0.00302926
  72 71.5 3.28204 0.0014245
  73 72.5 1.33121 0.000577781
  74 73.5 0.511072 0.000221819
  75 74.5 0.204512 8.87639e-05
  76 75.5 0.092104 3.99757e-05
  77 76.5 0.05468 2.37326e-05
  78 77.5 0.041848 1.81632e-05
  79 78.5 0.03668 1.59201e-05
  80 79.5 0.033928 1.47257e-05
  81 80.5 0.034392 1.49271e-05
  82 81.5 0.031568 1.37014e-05
  83 82.5 0.033192 1.44062e-05
  84 83.5 0.03304 1.43403e-05
  85 84.5 0.030968 1.3441e-05
  86 85.5 0.032296 1.40174e-05
  87 86.5 0.03084 1.33854e-05
  88 87.5 0.032248 1.39965e-05
  89 88.5 0.031592 1.37118e-05
  90 89.5 0.03544 1.53819e-05
  91 90.5 0.033112 1.43715e-05
  92 91.5 0.029712 1.28958e-05
  93 92.5 0.02888 1.25347e-05
  94 93.5 0.031824 1.38125e-05
  95 94.5 0.031496 1.36701e-05
  96 95.5 0.030352 1.31736e-05
  97 96.5 0.029832 1.29479e-05
  98 97.5 0.030432 1.32083e-05
  99 98.5 0.030056 1.30451e-05
  100 99.5 0.030048 1.30417e-05
  101 100.5 0.03008 1.30556e-05
  102 101.5 0.029936 1.29931e-05
  103 102.5 0.037496 1.62743e-05
  104 103.5 0.030168 1.30937e-05
  105 104.5 0.030568 1.32674e-05
  106 105.5 0.03128 1.35764e-05
  107 106.5 0.031496 1.36701e-05
  108 107.5 0.03212 1.3941e-05
  109 108.5 0.035888 1.55764e-05
  110 109.5 0.043088 1.87014e-05
  111 110.5 0.039296 1.70556e-05
  112 111.5 0.034872 1.51354e-05
  113 112.5 0.037136 1.61181e-05
  114 113.5 0.036552 1.58646e-05
  115 114.5 0.036544 1.58611e-05
  116 115.5 0.032088 1.39271e-05
  117 116.5 0.031976 1.38785e-05
  118 117.5 0.032104 1.3934e-05
  119 118.5 0.03028 1.31424e-05
  120 119.5 0.030688 1.33194e-05
  121 120.5 0.03132 1.35938e-05
  122 121.5 0.030784 1.33611e-05
  123 122.5 0.02996 1.30035e-05
  124 123.5 0.030688 1.33194e-05
  125 124.5 0.031208 1.35451e-05
  126 125.5 0.032088 1.39271e-05
  127 126.5 0.032776 1.42257e-05
  128 127.5 0.035512 1.54132e-05
  129 128.5 0.035448 1.53854e-05
  130 129.5 0.035816 1.55451e-05
  131 130.5 0.035472 1.53958e-05
  132 131.5 0.033872 1.47014e-05
  133 132.5 0.03268 1.4184e-05
  134 133.5 0.036368 1.57847e-05
  135 134.5 0.031512 1.36771e-05
  136 135.5 0.032104 1.3934e-05
  137 136.5 0.03108 1.34896e-05
  138 137.5 0.031448 1.36493e-05
  139 138.5 0.032384 1.40556e-05
  140 139.5 0.034136 1.4816e-05
  141 140.5 0.037184 1.61389e-05
  142 141.5 0.052568 2.2816e-05
  143 142.5 0.036888 1.60104e-05
  144 143.5 0.039616 1.71944e-05
  145 144.5 0.029888 1.29722e-05
  146 145.5 0.030992 1.34514e-05
  147 146.5 0.032432 1.40764e-05
  148 147.5 0.032616 1.41563e-05
  149 148.5 0.032232 1.39896e-05
  150 149.5 0.032096 1.39306e-05
  151 150.5 0.032056 1.39132e-05
  152 151.5 0.029672 1.28785e-05
  153 152.5 0.02972 1.28993e-05
  154 153.5 0.028936 1.2559e-05
  155 154.5 0.028896 1.25417e-05
  156 155.5 0.029064 1.26146e-05
  157 156.5 0.029072 1.26181e-05
  158 157.5 0.028688 1.24514e-05
  159 158.5 0.028272 1.22708e-05
  160 159.5 0.028568 1.23993e-05
  161 160.5 0.028192 1.22361e-05
  162 161.5 0.02832 1.22917e-05
  163 162.5 0.028608 1.24167e-05
  164 163.5 0.028176 1.22292e-05
  165 164.5 0.027888 1.21042e-05
  166 165.5 0.028776 1.24896e-05
  167 166.5 0.028248 1.22604e-05
  168 167.5 0.028848 1.25208e-05
  169 168.5 0.028696 1.24549e-05
  170 169.5 0.028392 1.23229e-05
  171 170.5 0.040192 1.74444e-05
  172 171.5 0.02904 1.26042e-05
  173 172.5 0.02816 1.22222e-05
  174 173.5 0.028392 1.23229e-05
  175 174.5 0.02812 1.22049e-05
  176 175.5 0.02904 1.26042e-05
  177 176.5 0.030504 1.32396e-05
  178 177.5 0.028728 1.24687e-05
  179 178.5 0.029136 1.26458e-05
  180 179.5 0.028776 1.24896e-05
  181 180.5 0.02984 1.29514e-05
  182 181.5 0.02892 1.25521e-05
  183 182.5 0.029656 1.28715e-05
  184 183.5 0.029896 1.29757e-05
  185 184.5 0.028736 1.24722e-05
  186 185.5 0.028928 1.25556e-05
  187 186.5 0.029816 1.2941e-05
  188 187.5 0.030256 1.31319e-05
  189 188.5 0.030152 1.30868e-05
  190 189.5 0.030504 1.32396e-05
  191 190.5 0.031032 1.34688e-05
  192 191.5 0.031392 1.3625e-05
  193 192.5 0.0314 1.36285e-05
  194 193.5 0.028608 1.24167e-05
  195 194.5 0.030952 1.3434e-05
  196 195.5 0.031312 1.35903e-05
  197 196.5 0.029872 1.29653e-05
  198 197.5 0.032312 1.40243e-05
  199 198.5 0.03284 1.42535e-05
  200 199.5 0.03384 1.46875e-05
  201 200.5 0.033744 1.46458e-05
  202 201.5 0.030424 1.32049e-05
  203 202.5 0.02864 1.24306e-05
  204 203.5 0.028448 1.23472e-05
  205 204.5 0.027992 1.21493e-05
  206 205.5 0.02756 1.19618e-05
  207 206.5 0.027344 1.18681e-05
  208 207.5 0.027048 1.17396e-05
  209 208.5 0.026824 1.16424e-05
  210 209.5 0.02756 1.19618e-05
  211 210.5 0.0282 1.22396e-05
  212 211.5 0.029056 1.26111e-05
  213 212.5 0.028392 1.23229e-05
  214 213.5 0.02776 1.20486e-05
  215 214.5 0.028704 1.24583e-05
  216 215.5 0.029264 1.27014e-05
  217 216.5 0.027952 1.21319e-05
  218 217.5 0.027416 1.18993e-05
  219 218.5 0.028016 1.21597e-05
  220 219.5 0.0288 1.25e-05
  221 220.5 0.029464 1.27882e-05
  222 221.5 0.034656 1.50417e-05
  223 222.5 0.038336 1.66389e-05
  224 223.5 0.047912 2.07951e-05
  225 224.5 0.077792 3.37639e-05
  226 225.5 0.154248 6.69479e-05
  227 226.5 0.383696 0.000166535
  228 227.5 1.02018 0.000442788
  229 228.5 2.51081 0.00108976
  230 229.5 5.46576 0.00237229
  231 230.5 9.84963 0.00427501
  232 231.5 14.815 0.0064301
  233 232.5 18.7165 0.00812349
  234 233.5 20.5756 0.00893039
  235 234.5 20.908 0.00907465
  236 235.5 20.3448 0.00883019
  237 236.5 19.2109 0.00833805
  238 237.5 17.7042 0.00768413
  239 238.5 15.9221 0.00691063
  240 239.5 14.1915 0.00615949
  241 240.5 12.6427 0.00548726
  242 241.5 11.1466 0.00483793
  243 242.5 9.78379 0.00424644
  244 243.5 8.73906 0.003793
  245 244.5 7.80995 0.00338974
  246 245.5 7.1549 0.00310542
  247 246.5 6.57559 0.00285399
  248 247.5 6.0732 0.00263594
  249 248.5 5.68173 0.00246603
  250 249.5 5.3554 0.00232439
  251 250.5 5.0932 0.00221059
  252 251.5 4.86877 0.00211318
  253 252.5 4.70423 0.00204177
  254 253.5 4.49654 0.00195162
  255 254.5 4.35801 0.0018915
  256 255.5 4.30414 0.00186812
  257 256.5 4.25672 0.00184753
  258 257.5 4.22018 0.00183167
  259 258.5 4.20301 0.00182422
  260 259.5 4.23431 0.00183781
  261 260.5 4.31691 0.00187366
  262 261.5 4.32422 0.00187683
  263 262.5 4.31166 0.00187138
  264 263.5 4.313 0.00187196
  265 264.5 4.29201 0.00186285
  266 265.5 4.35584 0.00189056
  267 266.5 4.38346 0.00190255
  268 267.5 4.35461 0.00189002
  269 268.5 4.28407 0.00185941
  270 269.5 4.2573 0.00184778
  271 270.5 4.31554 0.00187307
  272 271.5 4.33149 0.00187999
  273 272.5 4.31636 0.00187342
  274 273.5 4.20602 0.00182553
  275 274.5 4.09348 0.00177668
  276 275.5 3.98825 0.00173101
  277 276.5 3.94744 0.0017133
  278 277.5 4.02493 0.00174693
  279 278.5 3.99714 0.00173487
  280 279.5 3.97202 0.00172397
  281 280.5 3.96985 0.00172302
  282 281.5 3.86264 0.00167649
  283 282.5 3.74789 0.00162669
  284 283.5 3.70752 0.00160917
  285 284.5 3.68734 0.00160041
  286 285.5 3.61454 0.00156881
  287 286.5 3.56093 0.00154554
  288 287.5 3.47581 0.0015086
  289 288.5 3.51716 0.00152655
  290 289.5 3.53157 0.0015328
  291 290.5 3.52659 0.00153064
  292 291.5 3.57161 0.00155018
  293 292.5 3.56853 0.00154884
  294 293.5 3.5471 0.00153954
  295 294.5 3.53401 0.00153386
  296 295.5 3.53809 0.00153563
  297 296.5 3.57924 0.00155349
  298 297.5 3.61846 0.00157051
  299 298.5 3.48675 0.00151335
  300 299.5 3.41557 0.00148245
  301 300.5 3.42302 0.00148568
  302 301.5 3.38962 0.00147119
  303 302.5 3.40842 0.00147935
  304 303.5 3.44172 0.0014938
  305 304.5 3.39353 0.00147289
  306 305.5 3.27034 0.00141942
  307 306.5 3.23402 0.00140365
  308 307.5 3.23943 0.001406
  309 308.5 3.30066 0.00143258
  310 309.5 3.37625 0.00146539
  311 310.5 3.41133 0.00148061
  312 311.5 3.38619 0.0014697
  313 312.5 3.42831 0.00148798
  314 313.5 3.51785 0.00152684
  315 314.5 3.58042 0.001554
  316 315.5 3.5939 0.00155985
  317 316.5 3.63166 0.00157624
  318 317.5 3.59899 0.00156206
  319 318.5 3.52235 0.0015288
  320 319.5 3.56104 0.00154559
  321 320.5 3.65986 0.00158848
  322 321.5 3.74774 0.00162662
  323 322.5 3.75865 0.00163136
  324 323.5 3.74907 0.0016272
  325 324.5 3.81742 0.00165687
  326 325.5 3.79519 0.00164722
  327 326.5 3.79078 0.0016453
  328 327.5 3.89946 0.00169247
  329 328.5 3.93808 0.00170924
  330 329.5 3.94367 0.00171166
  331 330.5 3.97081 0.00172344
  332 331.5 3.97999 0.00172743
  333 332.5 3.87812 0.00168321
  334 333.5 3.82042 0.00165817
  335 334.5 3.77437 0.00163818
  336 335.5 3.72585 0.00161712
  337 336.5 3.76018 0.00163202
  338 337.5 3.84762 0.00166998
  339 338.5 3.86511 0.00167757
  340 339.5 3.85871 0.00167479
  341 340.5 3.8253 0.00166029
  342 341.5 3.81902 0.00165756
  343 342.5 3.76614 0.00163461
  344 343.5 3.83754 0.0016656
  345 344.5 3.86347 0.00167685
  346 345.5 3.90275 0.0016939
  347 346.5 3.91686 0.00170003
  348 347.5 3.97597 0.00172568
  349 348.5 3.99258 0.00173289
  350 349.5 4.09451 0.00177713
