# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 12130
  1 0.5 37.5889 0.0163146 34.138 78.0629 54.2337
  2 1.5 37.6111 0.0163242 14.4147 24.2836 -41.3203
  3 2.5 37.6371 0.0163356 64.1943 69.191 -2.51329
  4 3.5 37.5984 0.0163188 -105.797 -26.7774 -24.131
  5 4.5 37.6294 0.0163322 -42.1481 -34.2392 -42.4173
  6 5.5 37.6294 0.0163322 15.5986 33.4664 -52.6994
  7 6.5 37.6024 0.0163205 81.5156 15.4129 15.7136
  8 7.5 37.6043 0.0163213 32.7639 -19.3933 22.8711
  9 8.5 37.6632 0.0163469 -107.856 23.0157 -63.4957
  10 9.5 37.5986 0.0163188 -40.7846 88.0872 -20.3717
  11 10.5 37.5861 0.0163134 -8.92784 53.3766 38.6132
  12 11.5 37.6662 0.0163482 -11.8477 38.2855 -55.7698
  13 12.5 37.6023 0.0163205 -35.788 35.9938 -27.2721
  14 13.5 37.5821 0.0163117 -40.243 19.3002 13.2719
  15 14.5 37.6349 0.0163346 -58.7443 -63.746 -62.4343
  16 15.5 37.6614 0.0163461 -104.054 -75.3271 -21.7406
  17 16.5 37.5854 0.0163131 -55.8451 -52.5284 73.1658
  18 17.5 37.6252 0.0163304 -90.5534 -40.1175 -82.8957
  19 18.5 37.6395 0.0163366 -37.3107 -60.5956 -78.5199
  20 19.5 37.6155 0.0163262 51.137 30.3604 38.4798
  21 20.5 37.5976 0.0163184 -71.3572 -48.3466 -65.1197
  22 21.5 37.6496 0.016341 -41.2674 -32.9933 14.7059
  23 22.5 37.6427 0.016338 -24.1069 -39.1352 -3.36427
  24 23.5 37.6395 0.0163366 -56.777 -61.7729 -55.45
  25 24.5 37.5791 0.0163104 -34.5628 -89.9866 -30.8458
  26 25.5 37.6481 0.0163403 -23.9969 42.6233 -2.57703
  27 26.5 37.6557 0.0163436 59.5204 86.9931 12.4367
  28 27.5 37.5681 0.0163056 -20.218 -55.201 -72.5646
  29 28.5 37.6276 0.0163314 43.1679 55.4277 19.6255
  30 29.5 37.6774 0.016353 100.908 -10.7707 -47.1189
  31 30.5 37.5874 0.016314 -72.6251 -7.50386 25.5672
  32 31.5 37.6143 0.0163256 36.0131 -32.092 -12.5778
  33 32.5 37.6621 0.0163464 -31.4495 -14.7032 -3.35018
  34 33.5 37.6249 0.0163303 -104.109 -1.82988 -73.5133
  35 34.5 37.583 0.0163121 -32.4266 -3.07298 -2.54424
  36 35.5 37.67 0.0163498 4.36031 88.3596 34.9204
  37 36.5 37.6593 0.0163452 -21.7394 36.4475 -67.2945
  38 37.5 37.6043 0.0163213 -21.0362 -9.11092 -69.6813
  39 38.5 37.6154 0.0163261 -54.691 -71.1857 -14.6221
  40 39.5 37.6821 0.0163551 -40.4313 -83.8427 26.1426
  41 40.5 37.6278 0.0163315 -175.85 -138.936 -38.319
  42 41.5 37.6063 0.0163222 -81.8671 -51.0295 -46.6748
  43 42.5 37.6735 0.0163514 -96.3347 -33.738 5.83484
  44 43.5 37.6372 0.0163356 30.576 -57.8333 -39.2613
  45 44.5 37.6507 0.0163415 57.3263 84.1659 28.8495
  46 45.5 37.6241 0.0163299 -42.7587 -41.4884 -82.9025
  47 46.5 37.6271 0.0163312 33.1147 15.4967 -3.39103
  48 47.5 37.6536 0.0163427 -0.290067 5.50892 -46.7129
  49 48.5 37.6485 0.0163405 -68.0263 -48.9134 2.73999
  50 49.5 37.6461 0.0163395 -76.3354 -54.8407 11.4672
  51 50.5 37.6528 0.0163424 -150.482 -67.9759 -36.8669
  52 51.5 37.6378 0.0163359 -206.913 -96.9338 -73.2994
  53 52.5 37.6297 0.0163323 -128.259 -56.7623 -3.65907
  54 53.5 37.6916 0.0163592 -159.193 -104.686 -8.32125
  55 54.5 37.6163 0.0163265 -97.887 -18.8937 -16.5935
  56 55.5 37.6122 0.0163247 -91.5906 -6.02522 -15.5058
  57 56.5 37.6666 0.0163483 -124.908 -72.8918 -52.6087
  58 57.5 37.6756 0.0163523 -130.673 -20.6117 31.0946
  59 58.5 37.5744 0.0163083 -198.135 -17.3671 -35.3478
  60 59.5 37.6786 0.0163536 -164.235 -16.9328 -74.6671
