# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
152500000 480 6117
  1 0.5 15.1146 0.00656014
  2 1.5 14.1942 0.00616067
  3 2.5 13.339 0.0057895
  4 3.5 12.66 0.00549478
  5 4.5 12.0193 0.00521672
  6 5.5 11.5562 0.00501572
  7 6.5 11.0082 0.00477788
  8 7.5 10.5465 0.00457748
  9 8.5 10.1646 0.00441174
  10 9.5 9.75446 0.00423371
  11 10.5 9.49666 0.00412182
  12 11.5 9.44626 0.00409994
  13 12.5 9.33101 0.00404992
  14 13.5 9.07269 0.0039378
  15 14.5 9.00192 0.00390708
  16 15.5 9.00342 0.00390774
  17 16.5 8.94393 0.00388191
  18 17.5 8.85215 0.00384208
  19 18.5 8.85378 0.00384279
  20 19.5 8.8585 0.00384484
  21 20.5 8.89146 0.00385914
  22 21.5 8.9557 0.00388702
  23 22.5 9.09691 0.00394831
  24 23.5 9.16336 0.00397715
  25 24.5 9.27846 0.00402711
  26 25.5 9.39886 0.00407937
  27 26.5 9.47715 0.00411335
  28 27.5 9.64824 0.0041876
  29 28.5 9.72432 0.00422063
  30 29.5 9.87597 0.00428644
  31 30.5 9.91848 0.0043049
  32 31.5 10.0824 0.00437605
  33 32.5 9.97908 0.0043312
  34 33.5 10.0094 0.00434436
  35 34.5 10.0549 0.00436409
  36 35.5 10.1158 0.00439054
  37 36.5 10.0983 0.00438295
  38 37.5 10.1072 0.0043868
  39 38.5 10.1461 0.00440369
  40 39.5 10.2514 0.00444941
  41 40.5 10.2885 0.0044655
  42 41.5 10.3545 0.00449415
  43 42.5 10.4447 0.00453329
  44 43.5 10.5254 0.00456833
  45 44.5 10.6169 0.00460805
  46 45.5 10.4926 0.00455407
  47 46.5 10.4055 0.00451626
  48 47.5 10.3545 0.00449416
  49 48.5 10.3382 0.00448706
  50 49.5 10.1916 0.00442343
  51 50.5 10.0665 0.00436913
  52 51.5 9.91681 0.00430417
  53 52.5 9.91331 0.00430265
  54 53.5 9.76175 0.00423687
  55 54.5 9.59074 0.00416265
  56 55.5 9.40666 0.00408275
  57 56.5 9.32069 0.00404544
  58 57.5 9.17456 0.00398201
  59 58.5 9.07831 0.00394024
  60 59.5 8.96461 0.00389089
  61 60.5 8.89531 0.00386081
  62 61.5 8.87515 0.00385206
  63 62.5 8.71733 0.00378356
  64 63.5 8.53634 0.00370501
  65 64.5 8.41386 0.00365185
  66 65.5 8.29524 0.00360036
  67 66.5 8.27891 0.00359328
  68 67.5 8.28275 0.00359494
  69 68.5 8.31393 0.00360848
  70 69.5 8.29339 0.00359956
  71 70.5 8.28874 0.00359755
  72 71.5 8.25666 0.00358362
  73 72.5 8.2854 0.00359609
  74 73.5 8.25979 0.00358498
  75 74.5 8.20815 0.00356257
  76 75.5 8.28164 0.00359446
  77 76.5 8.29182 0.00359888
  78 77.5 8.32787 0.00361453
  79 78.5 8.34247 0.00362086
  80 79.5 8.33318 0.00361683
  81 80.5 8.28965 0.00359794
  82 81.5 8.22674 0.00357063
  83 82.5 8.26085 0.00358544
  84 83.5 8.20123 0.00355956
  85 84.5 8.15082 0.00353768
  86 85.5 8.15382 0.00353898
  87 86.5 8.24395 0.0035781
  88 87.5 8.18612 0.003553
  89 88.5 8.22718 0.00357082
  90 89.5 8.24855 0.0035801
  91 90.5 8.23598 0.00357464
  92 91.5 8.19738 0.00355789
  93 92.5 8.19454 0.00355666
  94 93.5 8.2773 0.00359258
  95 94.5 8.18046 0.00355055
  96 95.5 8.15874 0.00354112
  97 96.5 8.21986 0.00356765
  98 97.5 8.12419 0.00352613
  99 98.5 8.10442 0.00351755
  100 99.5 8.16494 0.00354381
  101 100.5 8.14882 0.00353682
  102 101.5 8.05478 0.003496
  103 102.5 7.89516 0.00342672
  104 103.5 7.76882 0.00337189
  105 104.5 7.70002 0.00334202
  106 105.5 7.6027 0.00329978
  107 106.5 7.50971 0.00325942
  108 107.5 7.37765 0.0032021
  109 108.5 7.38525 0.0032054
  110 109.5 7.38002 0.00320313
  111 110.5 7.29192 0.0031649
  112 111.5 7.16599 0.00311024
  113 112.5 7.18092 0.00311672
  114 113.5 7.16828 0.00311123
  115 114.5 7.12545 0.00309264
  116 115.5 7.05496 0.00306205
  117 116.5 7.01268 0.0030437
  118 117.5 6.92658 0.00300633
  119 118.5 6.85485 0.00297519
  120 119.5 6.84667 0.00297165
  121 120.5 6.8801 0.00298615
  122 121.5 6.91635 0.00300189
  123 122.5 6.84195 0.0029696
  124 123.5 6.93023 0.00300791
  125 124.5 6.94121 0.00301268
  126 125.5 6.92455 0.00300545
  127 126.5 6.95193 0.00301733
  128 127.5 6.9873 0.00303268
  129 128.5 7.11468 0.00308797
  130 129.5 7.29146 0.00316469
  131 130.5 7.41462 0.00321815
  132 131.5 7.54749 0.00327582
  133 132.5 7.66164 0.00332536
  134 133.5 7.65378 0.00332195
  135 134.5 7.73447 0.00335698
  136 135.5 7.65407 0.00332208
  137 136.5 7.40653 0.00321464
  138 137.5 6.90694 0.0029978
  139 138.5 5.99234 0.00260084
  140 139.5 4.66874 0.00202636
  141 140.5 3.17074 0.00137619
  142 141.5 1.88836 0.000819601
  143 142.5 0.984944 0.000427493
  144 143.5 0.467728 0.000203007
  145 144.5 0.221392 9.60903e-05
  146 145.5 0.116216 5.0441e-05
  147 146.5 0.066216 2.87396e-05
  148 147.5 0.044224 1.91944e-05
  149 148.5 0.033888 1.47083e-05
  150 149.5 0.030304 1.31528e-05
  151 150.5 0.025888 1.12361e-05
  152 151.5 0.024096 1.04583e-05
  153 152.5 0.022208 9.63889e-06
  154 153.5 0.021976 9.53819e-06
  155 154.5 0.02292 9.94792e-06
