# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
152500000 480 12034
  1 0.5 37.3209 0.0161983 74.9712 -105.554 50.4536
  2 1.5 37.3149 0.0161957 49.8377 145.278 75.2471
  3 2.5 37.171 0.0161333 31.0615 31.9454 149.951
  4 3.5 37.2229 0.0161558 153.342 150.35 -1.71409
  5 4.5 37.2839 0.0161822 -4.91968 210.405 84.6574
  6 5.5 37.2587 0.0161713 -82.3032 -4.54786 -53.7874
  7 6.5 37.0915 0.0160987 42.6356 154.723 32.2807
  8 7.5 37.275 0.0161784 217.198 277.285 150.96
  9 8.5 37.3002 0.0161893 -53.3298 -78.5124 -47.2649
  10 9.5 37.1516 0.0161248 -136.817 -90.4349 -118.536
  11 10.5 37.1814 0.0161378 -1.99185 67.9659 67.3597
  12 11.5 37.2924 0.0161859 -77.5815 -52.6277 -31.6227
  13 12.5 37.284 0.0161823 -74.333 -129.386 -38.9345
  14 13.5 37.1728 0.016134 -118.021 -246.562 -48.1252
  15 14.5 37.2569 0.0161705 -171.05 -59.8056 -79.5284
  16 15.5 37.277 0.0161792 7.10585 -119.539 38.636
  17 16.5 37.245 0.0161654 30.3347 -134.665 58.9779
  18 17.5 37.1958 0.016144 71.1032 -137.39 -175.994
  19 18.5 37.2564 0.0161703 223.077 57.6053 19.8947
  20 19.5 37.2804 0.0161807 61.7591 -75.5109 -18.4378
  21 20.5 37.2002 0.0161459 43.9725 -130.299 -114.237
  22 21.5 37.2565 0.0161704 19.7167 -159.991 -23.3383
  23 22.5 37.236 0.0161615 -31.8235 -28.313 9.53981
  24 23.5 37.2726 0.0161774 -37.3458 -97.687 -18.6275
  25 24.5 37.2676 0.0161752 -191.728 -158.942 -94.2278
  26 25.5 37.248 0.0161667 -51.3843 0.722434 0.810412
  27 26.5 37.2132 0.0161516 -43.9888 42.6357 18.2307
  28 27.5 37.2572 0.0161706 -54.5154 -91.9075 -123.913
  29 28.5 37.2611 0.0161724 49.4112 18.2755 -12.1858
  30 29.5 37.2021 0.0161467 20.225 22.6149 -48.4169
  31 30.5 37.186 0.0161398 255.242 -2.32533 114.24
  32 31.5 37.3478 0.01621 75.68 12.775 -56.1596
  33 32.5 37.1703 0.0161329 -59.7471 -14.7842 -175.421
  34 33.5 37.1835 0.0161387 -18.1326 -40.675 77.3786
  35 34.5 37.2572 0.0161706 52.4525 16.1166 15.2777
  36 35.5 37.2884 0.0161842 65.5591 -156.227 -108.781
  37 36.5 37.1916 0.0161422 -133.194 -81.4013 -43.1462
  38 37.5 37.2176 0.0161535 -170.958 89.761 55.3384
  39 38.5 37.2814 0.0161812 47.1219 -25.947 -51.6842
  40 39.5 37.2005 0.016146 34.6299 -51.2424 -61.5686
  41 40.5 37.1609 0.0161289 150.8 91.9815 56.1942
  42 41.5 37.2933 0.0161863 -174.798 -66.7324 -96.0974
  43 42.5 37.2874 0.0161838 -74.854 -16.9383 -17.3542
  44 43.5 37.1478 0.0161232 -117.72 -1.33737 30.8152
  45 44.5 37.2869 0.0161835 -112.345 95.523 -62.354
  46 45.5 37.2197 0.0161544 -61.3876 126.928 -98.8771
  47 46.5 37.2591 0.0161715 -103.217 -24.1413 53.8931
  48 47.5 37.1784 0.0161364 -13.9579 -56.9823 -89.4788
  49 48.5 37.2741 0.016178 51.0529 163.433 31.8936
  50 49.5 37.2181 0.0161537 -69.5307 -16.0747 -64.5587
  51 50.5 37.2389 0.0161627 21.8101 28.5421 -32.7924
  52 51.5 37.1659 0.016131 -83.8215 -37.3649 -12.015
  53 52.5 37.3152 0.0161958 5.82682 -154.124 -36.1524
  54 53.5 37.2497 0.0161674 83.1662 -110.59 -3.57496
  55 54.5 37.1758 0.0161353 77.0908 76.2274 -26.4071
  56 55.5 37.2087 0.0161496 55.3899 -46.2061 -88.426
  57 56.5 37.2909 0.0161853 32.2133 -38.9379 -12.6569
  58 57.5 37.2227 0.0161557 86.7484 18.2979 69.7028
  59 58.5 37.1872 0.0161403 -120.968 -28.8818 -87.728
  60 59.5 37.2499 0.0161675 -161.335 -217.559 -85.7139
  61 60.5 37.2807 0.0161808 -169.035 -84.1692 -33.0252
  62 61.5 37.2243 0.0161564 87.3218 139.325 75.4867
  63 62.5 37.1918 0.0161423 -14.9598 170.354 -72.8789
  64 63.5 37.2572 0.0161707 -66.0921 55.2425 -22.5657
  65 64.5 37.2638 0.0161735 -35.5054 24.4569 -54.8781
  66 65.5 37.2098 0.0161501 69.5427 -22.1891 56.9331
  67 66.5 37.2477 0.0161665 108.989 5.60354 -83.8337
  68 67.5 37.1983 0.0161451 109.377 70.5984 17.2249
  69 68.5 37.2776 0.0161795 155.614 -8.44478 -86.8282
  70 69.5 37.2378 0.0161623 -5.21767 -7.31949 -92.8815
  71 70.5 37.2622 0.0161729 49.5888 -21.4635 138.684
  72 71.5 37.2285 0.0161582 -139.632 8.25078 -28.7776
  73 72.5 37.2808 0.0161809 2.97684 -35.3369 -101.258
  74 73.5 37.2475 0.0161665 -90.4934 131.687 -137.256
  75 74.5 37.212 0.0161511 -10.3839 138.327 69.7384
  76 75.5 37.2487 0.016167 -125.492 18.4892 -70.1637
  77 76.5 37.3327 0.0162034 46.665 8.3374 -24.6272
  78 77.5 37.209 0.0161497 114.789 46.4879 36.7239
  79 78.5 37.1874 0.0161404 -0.18415 -53.5013 -44.271
  80 79.5 37.3186 0.0161973 -49.5034 175.782 -24.5
  81 80.5 37.3013 0.0161898 14.5309 33.1885 21.156
  82 81.5 37.2092 0.0161498 -54.5585 -16.141 -10.7697
  83 82.5 37.229 0.0161584 -46.6082 -14.4036 -138.059
  84 83.5 37.3385 0.0162059 203.112 156.182 -18.3869
