# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
130000000 480 6117
  1 0.5 15.63 0.00678384
  2 1.5 14.7237 0.00639048
  3 2.5 13.8732 0.00602137
  4 3.5 13.059 0.00566795
  5 4.5 12.4004 0.00538212
  6 5.5 11.8206 0.00513045
  7 6.5 11.2583 0.0048864
  8 7.5 10.8004 0.00468769
  9 8.5 10.3573 0.00449537
  10 9.5 9.94303 0.00431555
  11 10.5 9.59629 0.00416506
  12 11.5 9.27154 0.00402411
  13 12.5 9.00379 0.0039079
  14 13.5 8.73759 0.00379236
  15 14.5 8.48065 0.00368084
  16 15.5 8.3396 0.00361962
  17 16.5 8.18893 0.00355422
  18 17.5 8.12944 0.0035284
  19 18.5 8.05177 0.00349469
  20 19.5 8.03428 0.0034871
  21 20.5 8.06678 0.00350121
  22 21.5 8.09952 0.00351542
  23 22.5 8.14356 0.00353453
  24 23.5 8.19105 0.00355514
  25 24.5 8.19624 0.0035574
  26 25.5 8.21042 0.00356355
  27 26.5 8.18817 0.00355389
  28 27.5 8.17928 0.00355003
  29 28.5 8.20371 0.00356064
  30 29.5 8.2365 0.00357487
  31 30.5 8.26656 0.00358791
  32 31.5 8.30275 0.00360362
  33 32.5 8.27928 0.00359344
  34 33.5 8.2424 0.00357743
  35 34.5 8.22806 0.00357121
  36 35.5 8.24559 0.00357882
  37 36.5 8.1942 0.00355651
  38 37.5 8.13162 0.00352935
  39 38.5 8.03211 0.00348616
  40 39.5 7.98376 0.00346517
  41 40.5 7.92974 0.00344173
  42 41.5 7.85982 0.00341138
  43 42.5 7.81365 0.00339134
  44 43.5 7.76366 0.00336964
  45 44.5 7.68928 0.00333736
  46 45.5 7.67825 0.00333257
  47 46.5 7.6467 0.00331888
  48 47.5 7.57784 0.00328899
  49 48.5 7.52748 0.00326714
  50 49.5 7.51543 0.00326191
  51 50.5 7.42184 0.00322129
  52 51.5 7.39601 0.00321007
  53 52.5 7.38619 0.00320581
  54 53.5 7.41126 0.00321669
  55 54.5 7.33752 0.00318469
  56 55.5 7.27394 0.00315709
  57 56.5 7.26253 0.00315214
  58 57.5 7.22771 0.00313703
  59 58.5 7.22761 0.00313698
  60 59.5 7.21152 0.00313
  61 60.5 7.16394 0.00310935
  62 61.5 7.1198 0.00309019
