# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
130000000 480 12034
  1 0.5 37.3414 0.0162072 -65.5 33.2208 122.985
  2 1.5 37.2903 0.016185 -51.5001 29.3282 73.2951
  3 2.5 37.3444 0.0162085 -54.6019 54.1476 51.7069
  4 3.5 37.3081 0.0161928 -113.834 -49.3371 15.2134
  5 4.5 37.26 0.0161719 -25.2981 -9.86038 97.6075
  6 5.5 37.292 0.0161858 -51.3858 -129.336 13.0871
  7 6.5 37.2814 0.0161812 -45.9521 -94.3132 -19.4013
  8 7.5 37.2433 0.0161646 -5.36186 -56.9843 51.052
  9 8.5 37.2989 0.0161887 -26.8972 -98.9919 12.3128
  10 9.5 37.2432 0.0161646 -13.9138 14.0453 -32.3584
  11 10.5 37.27 0.0161762 19.778 1.0596 -15.5828
  12 11.5 37.2422 0.0161642 58.7547 3.99733 34.3417
  13 12.5 37.248 0.0161667 9.26076 1.11041 -56.2478
  14 13.5 37.278 0.0161797 -13.5065 -50.123 -42.3677
  15 14.5 37.2352 0.0161611 -6.22217 -34.2079 -19.9347
  16 15.5 37.2887 0.0161843 -66.6298 13.5426 52.8387
  17 16.5 37.2294 0.0161586 15.2263 79.9473 -40.1274
  18 17.5 37.2824 0.0161816 13.3551 66.1208 -95.5004
  19 18.5 37.231 0.0161593 -13.4642 -91.2551 -39.3242
  20 19.5 37.2627 0.016173 4.19501 -128.021 34.0438
  21 20.5 37.2876 0.0161838 -36.1175 -21.0887 -80.062
  22 21.5 37.2312 0.0161594 -2.8479 -1.04912 -43.0361
  23 22.5 37.2245 0.0161565 -49.8895 0.484748 -8.99871
  24 23.5 37.277 0.0161793 -72.1212 -84.9362 -50.2412
  25 24.5 37.2727 0.0161774 -68.7683 -71.1716 -29.7014
  26 25.5 37.2383 0.0161625 -114.695 -1.71113 -27.5222
  27 26.5 37.246 0.0161658 -77.816 -105.124 -82.6337
  28 27.5 37.2627 0.0161731 -75.0297 3.52653 50.4416
  29 28.5 37.2901 0.0161849 30.2518 -32.0051 -27.6981
  30 29.5 37.2194 0.0161543 -38.9936 -34.1945 -38.7903
  31 30.5 37.2431 0.0161645 -59.9266 -41.0599 -83.8095
  32 31.5 37.2785 0.0161799 -11.5156 -33.5829 32.1888
  33 32.5 37.2598 0.0161718 -11.3769 -41.8872 13.5673
  34 33.5 37.2352 0.0161611 -25.4928 -108.585 -73.7013
  35 34.5 37.2459 0.0161658 -64.7873 25.2623 -46.3547
  36 35.5 37.271 0.0161766 -70.8937 -28.5188 -55.2898
  37 36.5 37.2641 0.0161736 -13.3802 -88.0708 32.386
  38 37.5 37.2361 0.0161615 -149.849 -105.109 -60.1023
  39 38.5 37.2555 0.0161699 -76.6692 -97.8064 -41.3796
  40 39.5 37.2705 0.0161764 -120.95 -30.2923 -16.0078
  41 40.5 37.238 0.0161623 -74.7501 -78.9972 -5.25375
  42 41.5 37.2238 0.0161561 -19.1997 33.758 -44.5833
  43 42.5 37.2777 0.0161796 -110.122 4.59574 -31.9528
  44 43.5 37.2728 0.0161774 -67.1842 47.5331 -24.9507
  45 44.5 37.2061 0.0161485 -44.7706 -22.8746 -0.14074
  46 45.5 37.2749 0.0161783 -129.058 -55.0919 -77.7835
  47 46.5 37.2835 0.0161821 -33.6734 0.988676 33.3879
  48 47.5 37.2486 0.0161669 23.8658 -43.5575 -45.8689
  49 48.5 37.2232 0.0161559 -65.9468 10.9179 -78.6901
  50 49.5 37.2814 0.0161812 -74.1338 -26.7469 31.0707
  51 50.5 37.2681 0.0161754 -88.9565 -124.628 -89.4276
  52 51.5 37.2439 0.0161649 -66.5773 -31.0986 16.5715
  53 52.5 37.2732 0.0161776 -104.385 -46.6143 -50.3466
  54 53.5 37.2649 0.016174 -77.7411 -108.299 -32.3604
  55 54.5 37.2743 0.0161781 -45.9237 -1.80165 -65.277
  56 55.5 37.2206 0.0161548 -39.8072 -53.3883 -24.6588
  57 56.5 37.3055 0.0161916 49.1909 -45.0847 20.2334
  58 57.5 37.2856 0.016183 -35.7847 -114.882 -24.7476
  59 58.5 37.2372 0.016162 7.16434 7.96496 -65.81
  60 59.5 37.2504 0.0161677 115.819 11.9527 -18.5686
  61 60.5 37.2727 0.0161774 -26.6865 -4.70757 -29.1501
  62 61.5 37.2622 0.0161728 -36.7277 -31.9503 -7.28997
  63 62.5 37.2409 0.0161636 -78.9128 3.1937 -52.0973
  64 63.5 37.2849 0.0161827 18.5824 3.10695 -77.8022
  65 64.5 37.23 0.0161589 46.3999 38.8627 27.5575
  66 65.5 37.2687 0.0161757 42.0119 -28.2546 -6.47243
  67 66.5 37.2701 0.0161763 6.4494 -12.8007 -60.625
  68 67.5 37.237 0.0161619 4.89276 44.1926 -24.0923
  69 68.5 37.2525 0.0161686 -42.1335 -63.8668 -46.0419
  70 69.5 37.2617 0.0161726 32.6608 53.7271 -16.9363
  71 70.5 37.267 0.0161749 32.1515 51.6596 -29.1142
  72 71.5 37.2175 0.0161534 -73.5242 12.4465 -64.3219
  73 72.5 37.2722 0.0161772 21.8299 12.7286 52.2876
  74 73.5 37.2456 0.0161656 47.2035 41.2162 -57.9245
  75 74.5 37.2593 0.0161716 -41.0778 20.3441 -64.0086
  76 75.5 37.2311 0.0161593 -8.64128 -6.42052 -31.2365
  77 76.5 37.2632 0.0161733 -26.3573 -92.2891 -7.18911
  78 77.5 37.2795 0.0161803 8.80087 -41.2228 -38.0602
  79 78.5 37.2248 0.0161566 -33.7651 -27.1839 -55.6169
  80 79.5 37.2784 0.0161799 -47.0473 -80.9712 -25.75
  81 80.5 37.246 0.0161658 45.9454 47.8871 22.0708
