# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 12154
  1 0.5 37.5726 0.0163076 -103.892 10.3725 -63.5101
  2 1.5 37.6507 0.0163415 -108.368 -17.1806 0.0320603
  3 2.5 37.6513 0.0163417 -21.4722 -22.3291 2.30432
  4 3.5 37.6056 0.0163219 -65.606 -102.821 -24.3732
  5 4.5 37.5916 0.0163158 -164.221 -31.782 -89.746
  6 5.5 37.6637 0.0163471 -11.2606 -25.8669 3.87298
  7 6.5 37.6414 0.0163374 -37.8495 -83.2254 26.2949
  8 7.5 37.6061 0.0163221 -97.0256 -56.2438 -21.0475
  9 8.5 37.6258 0.0163306 -5.2915 -36.7113 -42.3543
  10 9.5 37.6403 0.0163369 25.8202 57.5726 -31.4355
  11 10.5 37.6114 0.0163244 58.4258 56.782 11.3776
  12 11.5 37.5891 0.0163147 -93.8888 9.86642 -20.722
  13 12.5 37.6544 0.0163431 -104.1 22.1973 -32.4743
  14 13.5 37.6417 0.0163375 -210.931 -108.331 -73.8627
  15 14.5 37.6107 0.0163241 -99.1435 -89.491 3.50958
  16 15.5 37.6058 0.016322 -152.626 -56.0828 -37.1219
  17 16.5 37.6838 0.0163558 54.5524 -2.15573 -25.4026
  18 17.5 37.5884 0.0163144 -103.382 -18.9087 35.871
  19 18.5 37.6377 0.0163358 -30.8286 -89.4565 -99.471
  20 19.5 37.6101 0.0163238 -10.0249 -40.0756 -19.9417
  21 20.5 37.6514 0.0163418 -17.692 12.9001 -4.10973
  22 21.5 37.6202 0.0163282 86.2757 -6.27467 -4.21474
  23 22.5 37.6374 0.0163357 -52.4772 6.68807 -53.7198
  24 23.5 37.5883 0.0163144 -21.2819 -12.2239 -5.65941
  25 24.5 37.6467 0.0163397 -23.5702 -16.376 -5.38499
  26 25.5 37.6223 0.0163291 31.6513 -73.2128 -32.5806
  27 26.5 37.5987 0.0163189 -31.5972 28.9594 -6.85967
  28 27.5 37.639 0.0163364 -38.2594 -44.352 -95.8502
  29 28.5 37.6133 0.0163252 -44.437 -32.7873 32.0154
  30 29.5 37.6165 0.0163266 30.8405 -14.7693 -28.4959
  31 30.5 37.6278 0.0163315 17.5917 -123.338 23.2112
  32 31.5 37.6148 0.0163259 -88.411 -121.564 -52.024
  33 32.5 37.6285 0.0163318 -32.6884 -145.338 -30.0558
