# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6054
  1 0.5 4.36521 0.00189462
  2 1.5 4.35271 0.0018892
  3 2.5 4.38592 0.00190361
  4 3.5 4.3742 0.00189853
  5 4.5 4.36467 0.00189439
  6 5.5 4.39746 0.00190862
  7 6.5 4.39652 0.00190821
  8 7.5 4.37775 0.00190006
  9 8.5 4.36232 0.00189337
  10 9.5 4.35991 0.00189232
  11 10.5 4.35432 0.00188989
  12 11.5 4.38179 0.00190182
  13 12.5 4.39361 0.00190695
  14 13.5 4.41159 0.00191475
  15 14.5 4.42357 0.00191995
  16 15.5 4.43945 0.00192684
  17 16.5 4.47481 0.00194219
  18 17.5 4.50156 0.0019538
  19 18.5 4.51274 0.00195866
  20 19.5 4.50175 0.00195388
  21 20.5 4.48491 0.00194658
  22 21.5 4.464 0.0019375
  23 22.5 4.44228 0.00192807
  24 23.5 4.43721 0.00192587
  25 24.5 4.44796 0.00193054
  26 25.5 4.44334 0.00192853
  27 26.5 4.47261 0.00194124
  28 27.5 4.47121 0.00194063
  29 28.5 4.50526 0.00195541
  30 29.5 4.49954 0.00195292
  31 30.5 4.51197 0.00195832
  32 31.5 4.49634 0.00195154
  33 32.5 4.49344 0.00195028
  34 33.5 4.50387 0.00195481
  35 34.5 4.50179 0.0019539
  36 35.5 4.51334 0.00195891
  37 36.5 4.48403 0.00194619
  38 37.5 4.47084 0.00194047
  39 38.5 4.44881 0.00193091
  40 39.5 4.42563 0.00192085
  41 40.5 4.40003 0.00190974
  42 41.5 4.39549 0.00190776
  43 42.5 4.37847 0.00190038
  44 43.5 4.3488 0.0018875
  45 44.5 4.35996 0.00189234
  46 45.5 4.35519 0.00189027
  47 46.5 4.35673 0.00189094
  48 47.5 4.36165 0.00189308
  49 48.5 4.33931 0.00188338
  50 49.5 4.31189 0.00187148
  51 50.5 4.30153 0.00186698
  52 51.5 4.32546 0.00187737
  53 52.5 4.36852 0.00189606
  54 53.5 4.41027 0.00191418
  55 54.5 4.45501 0.0019336
  56 55.5 4.4979 0.00195221
  57 56.5 4.55317 0.0019762
  58 57.5 4.61172 0.00200161
  59 58.5 4.67165 0.00202762
  60 59.5 4.7443 0.00205916
  61 60.5 4.82 0.00209201
  62 61.5 4.94104 0.00214455
  63 62.5 5.05815 0.00219538
  64 63.5 5.12809 0.00222574
  65 64.5 5.26824 0.00228656
  66 65.5 5.41306 0.00234942
  67 66.5 5.55255 0.00240996
  68 67.5 5.66697 0.00245962
  69 68.5 5.64029 0.00244804
  70 69.5 5.45271 0.00236663
  71 70.5 5.00382 0.0021718
  72 71.5 4.30694 0.00186933
  73 72.5 3.43379 0.00149036
  74 73.5 2.53276 0.00109929
  75 74.5 1.72749 0.000749779
  76 75.5 1.09479 0.000475168
  77 76.5 0.651152 0.000282618
  78 77.5 0.371544 0.00016126
  79 78.5 0.213784 9.27882e-05
  80 79.5 0.13353 5.79557e-05
  81 80.5 0.091842 3.9862e-05
  82 81.5 0.069678 3.02422e-05
  83 82.5 0.059918 2.60061e-05
  84 83.5 0.05399 2.34332e-05
  85 84.5 0.05132 2.22743e-05
  86 85.5 0.051012 2.21406e-05
  87 86.5 0.04965 2.15495e-05
  88 87.5 0.048434 2.10217e-05
  89 88.5 0.0475 2.06163e-05
  90 89.5 0.048106 2.08793e-05
  91 90.5 0.049274 2.13863e-05
  92 91.5 0.048682 2.11293e-05
  93 92.5 0.047424 2.05833e-05
  94 93.5 0.047762 2.073e-05
