# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 6077
  1 0.5 2.17206 0.000942736
  2 1.5 2.15514 0.000935389
  3 2.5 2.18208 0.000947083
  4 3.5 2.23447 0.000969823
  5 4.5 2.30926 0.00100228
  6 5.5 2.34605 0.00101825
  7 6.5 2.38048 0.00103319
  8 7.5 2.40753 0.00104493
  9 8.5 2.41977 0.00105025
  10 9.5 2.39416 0.00103913
  11 10.5 2.36077 0.00102464
  12 11.5 2.32428 0.0010088
  13 12.5 2.33199 0.00101215
  14 13.5 2.33818 0.00101484
  15 14.5 2.33625 0.001014
  16 15.5 2.31656 0.00100545
  17 16.5 2.32747 0.00101019
  18 17.5 2.34197 0.00101648
  19 18.5 2.35706 0.00102303
  20 19.5 2.31759 0.0010059
  21 20.5 2.25515 0.000978799
  22 21.5 2.24141 0.000972833
  23 22.5 2.2963 0.000996656
  24 23.5 2.32979 0.00101119
  25 24.5 2.31418 0.00100442
  26 25.5 2.32402 0.00100869
  27 26.5 2.31411 0.00100439
  28 27.5 2.31443 0.00100453
  29 28.5 2.28897 0.000993476
  30 29.5 2.28629 0.000992312
  31 30.5 2.28294 0.000990858
  32 31.5 2.24954 0.000976365
  33 32.5 2.24662 0.000975097
  34 33.5 2.26555 0.000983313
  35 34.5 2.24652 0.000975052
  36 35.5 2.21441 0.000961115
  37 36.5 2.20247 0.000955934
  38 37.5 2.16865 0.000941253
  39 38.5 2.13343 0.000925969
  40 39.5 2.20949 0.000958979
  41 40.5 2.18604 0.000948802
  42 41.5 2.15817 0.000936705
  43 42.5 2.15448 0.000935104
  44 43.5 2.1525 0.000934247
  45 44.5 2.18088 0.000946563
  46 45.5 2.19455 0.000952497
  47 46.5 2.17714 0.000944941
  48 47.5 2.16588 0.000940052
  49 48.5 2.22614 0.000966205
  50 49.5 2.28401 0.000991323
  51 50.5 2.30756 0.00100155
  52 51.5 2.29964 0.000998108
  53 52.5 2.31151 0.00100326
  54 53.5 2.25019 0.000976646
  55 54.5 2.2123 0.000960198
  56 55.5 2.2018 0.000955642
  57 56.5 2.20208 0.000955764
  58 57.5 2.19355 0.000952063
  59 58.5 2.21818 0.00096275
  60 59.5 2.27792 0.000988681
  61 60.5 2.31364 0.00100418
  62 61.5 2.31097 0.00100302
  63 62.5 2.36081 0.00102466
  64 63.5 2.43588 0.00105724
  65 64.5 2.43676 0.00105762
  66 65.5 2.45603 0.00106599
  67 66.5 2.51805 0.0010929
  68 67.5 2.61743 0.00113604
  69 68.5 2.76534 0.00120024
  70 69.5 2.93287 0.00127295
  71 70.5 3.16997 0.00137585
  72 71.5 3.44283 0.00149428
  73 72.5 3.63352 0.00157705
  74 73.5 3.74532 0.00162557
  75 74.5 3.6723 0.00159388
  76 75.5 3.29152 0.00142861
  77 76.5 2.63508 0.0011437
  78 77.5 1.89534 0.000822628
  79 78.5 1.20928 0.000524861
  80 79.5 0.712712 0.000309337
  81 80.5 0.402784 0.000174819
  82 81.5 0.2284 9.91319e-05
  83 82.5 0.140112 6.08125e-05
  84 83.5 0.093584 4.06181e-05
  85 84.5 0.075464 3.27535e-05
  86 85.5 0.062016 2.69167e-05
  87 86.5 0.053544 2.32396e-05
  88 87.5 0.053344 2.31528e-05
  89 88.5 0.050536 2.1934e-05
  90 89.5 0.050384 2.18681e-05
  91 90.5 0.050408 2.18785e-05
  92 91.5 0.049352 2.14201e-05
  93 92.5 0.048208 2.09236e-05
  94 93.5 0.048936 2.12396e-05
  95 94.5 0.050064 2.17292e-05
  96 95.5 0.05064 2.19792e-05
  97 96.5 0.051152 2.22014e-05
  98 97.5 0.050984 2.21285e-05
  99 98.5 0.05432 2.35764e-05
  100 99.5 0.051824 2.24931e-05
  101 100.5 0.050152 2.17674e-05
  102 101.5 0.047032 2.04132e-05
  103 102.5 0.046816 2.03194e-05
  104 103.5 0.046584 2.02188e-05
  105 104.5 0.045856 1.99028e-05
  106 105.5 0.046648 2.02465e-05
  107 106.5 0.04648 2.01736e-05
  108 107.5 0.046416 2.01458e-05
  109 108.5 0.04852 2.1059e-05
  110 109.5 0.047016 2.04063e-05
  111 110.5 0.047096 2.0441e-05
  112 111.5 0.047896 2.07882e-05
  113 112.5 0.047704 2.07049e-05
  114 113.5 0.048528 2.10625e-05
  115 114.5 0.04904 2.12847e-05
  116 115.5 0.047976 2.08229e-05
  117 116.5 0.048352 2.09861e-05
  118 117.5 0.049456 2.14653e-05
  119 118.5 0.049792 2.16111e-05
  120 119.5 0.049816 2.16215e-05
  121 120.5 0.052216 2.26632e-05
  122 121.5 0.047112 2.04479e-05
  123 122.5 0.04808 2.08681e-05
  124 123.5 0.047912 2.07951e-05
  125 124.5 0.050512 2.19236e-05
  126 125.5 0.051072 2.21667e-05
  127 126.5 0.05148 2.23437e-05
  128 127.5 0.051256 2.22465e-05
  129 128.5 0.050104 2.17465e-05
  130 129.5 0.050864 2.20764e-05
  131 130.5 0.048264 2.09479e-05
  132 131.5 0.049056 2.12917e-05
  133 132.5 0.04656 2.02083e-05
  134 133.5 0.047904 2.07917e-05
  135 134.5 0.048992 2.12639e-05
  136 135.5 0.04924 2.13715e-05
  137 136.5 0.049656 2.15521e-05
  138 137.5 0.050648 2.19826e-05
  139 138.5 0.0518 2.24826e-05
