# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 11963
  1 0.5 36.7004 0.015929 -8.94651 -72.8628 -15.5574
  2 1.5 36.7427 0.0159474 32.635 -12.2828 -69.5586
  3 2.5 36.9013 0.0160162 -93.2348 68.1355 -27.0118
  4 3.5 36.7415 0.0159468 -122.895 68.1381 -48.477
  5 4.5 36.7361 0.0159445 -81.4412 13.8165 13.2545
  6 5.5 36.8414 0.0159902 -25.0791 -98.3399 -51.5707
  7 6.5 36.7532 0.0159519 -107.253 -209.934 -160.914
  8 7.5 36.753 0.0159518 -37.2024 -103.347 -18.875
  9 8.5 36.7765 0.015962 -188.392 -105.01 -24.682
  10 9.5 36.8445 0.0159915 -62.6431 -85.6957 -10.8853
  11 10.5 36.6912 0.015925 89.1119 -87.3091 -27.3751
  12 11.5 36.792 0.0159688 101.712 -18.5854 -93.1796
  13 12.5 36.8002 0.0159723 -64.031 8.71714 -35.9265
  14 13.5 36.7272 0.0159406 -153.691 -81.2702 -130.845
  15 14.5 36.7786 0.0159629 87.3698 57.7664 131.979
  16 15.5 36.7841 0.0159653 -134.456 -68.0589 -161.238
  17 16.5 36.723 0.0159388 14.7401 -98.9086 -88.6899
  18 17.5 36.8016 0.0159729 -89.8374 25.9509 -68.1363
  19 18.5 36.7664 0.0159576 -42.4451 -33.0704 45.5922
  20 19.5 36.7466 0.015949 -112.309 -95.5888 -47.6911
  21 20.5 36.8139 0.0159782 133.716 112.754 -137.032
  22 21.5 36.7025 0.0159299 125.736 187.697 -50.1958
  23 22.5 36.709 0.0159327 -18.0074 74.0442 -32.1443
  24 23.5 36.8777 0.0160059 146.413 186.821 120.422
  25 24.5 36.6978 0.0159279 42.2787 -91.2975 -201.261
  26 25.5 36.7358 0.0159444 -76.4007 -66.2927 -66.5978
  27 26.5 36.7832 0.0159649 -32.385 -102.416 -158.884
  28 27.5 36.8132 0.015978 -45.0062 42.6351 108.258
  29 28.5 36.7037 0.0159304 47.7664 -30.9983 -14.8714
  30 29.5 36.7666 0.0159577 -19.5535 -59.8212 -163.806
  31 30.5 36.7838 0.0159652 -84.0623 -117.487 14.4449
  32 31.5 36.7401 0.0159462 5.03248 -15.7608 -54.2612
  33 32.5 36.774 0.0159609 268.784 -48.2464 -149.643
  34 33.5 36.7047 0.0159308 76.2528 -43.3183 -68.5459
  35 34.5 36.762 0.0159557 141.107 -8.49647 121.587
  36 35.5 36.7798 0.0159635 -68.5996 -14.8462 -125.984
  37 36.5 36.73 0.0159419 -69.4704 -78.4836 -104.701
  38 37.5 36.7104 0.0159334 -100.811 -69.6388 25.0351
  39 38.5 36.783 0.0159648 -205.909 -38.2456 -129.221
  40 39.5 36.811 0.015977 -52.9056 -165.204 -88.7132
  41 40.5 36.6976 0.0159278 -34.7893 40.909 12.7157
  42 41.5 36.7761 0.0159619 -33.0377 22.2076 -111.21
  43 42.5 36.8074 0.0159754 8.29886 -3.16597 -36.5151
  44 43.5 36.7129 0.0159344 -47.4201 -19.9042 -17.3431
  45 44.5 36.7505 0.0159507 -105.257 -61.469 -130.13
  46 45.5 36.8085 0.0159759 32.1884 -49.3927 -49.7775
  47 46.5 36.7406 0.0159465 89.2853 80.0831 11.9593
  48 47.5 36.7127 0.0159343 21.8782 9.33962 -110.224
  49 48.5 36.7386 0.0159456 -34.3116 23.897 -85.9908
  50 49.5 36.7959 0.0159704 -16.4111 122.088 -17.2128
  51 50.5 36.6954 0.0159268 -85.2205 73.6941 -13.0298
  52 51.5 36.7846 0.0159655 -15.1878 40.833 -99.0855
  53 52.5 36.7253 0.0159398 -44.676 2.91698 -182.183
  54 53.5 36.7376 0.0159451 -7.81967 -156.825 -85.5491
  55 54.5 36.7379 0.0159453 -114.05 -99.9525 -91.3176
  56 55.5 36.7799 0.0159635 14.1202 -50.973 -206.247
  57 56.5 36.7333 0.0159433 -71.7282 -158.912 -193.607
