# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 5021.999999999997
  1 0.5 27.4575 0.0119173
  2 1.5 27.4635 0.0119199
  3 2.5 27.5008 0.0119361
  4 3.5 27.466 0.011921
  5 4.5 27.4067 0.0118952
  6 5.5 27.3888 0.0118875
  7 6.5 27.362 0.0118759
  8 7.5 27.4296 0.0119052
  9 8.5 27.4013 0.0118929
  10 9.5 27.3323 0.011863
  11 10.5 27.4052 0.0118946
  12 11.5 27.3836 0.0118852
  13 12.5 27.3913 0.0118886
  14 13.5 27.394 0.0118898
  15 14.5 27.4254 0.0119034
  16 15.5 27.4153 0.011899
  17 16.5 27.3677 0.0118784
  18 17.5 27.3862 0.0118864
  19 18.5 27.4667 0.0119213
  20 19.5 27.3861 0.0118863
  21 20.5 27.3832 0.0118851
  22 21.5 27.4769 0.0119257
  23 22.5 27.4086 0.0118961
  24 23.5 27.4644 0.0119203
  25 24.5 27.5199 0.0119444
  26 25.5 27.5696 0.011966
  27 26.5 27.4989 0.0119353
  28 27.5 27.5335 0.0119503
  29 28.5 27.5146 0.0119421
  30 29.5 27.5598 0.0119617
  31 30.5 27.4649 0.0119205
  32 31.5 27.4732 0.0119241
  33 32.5 27.5187 0.0119439
  34 33.5 27.4836 0.0119287
  35 34.5 27.3968 0.011891
  36 35.5 27.3966 0.0118909
  37 36.5 27.3561 0.0118733
  38 37.5 27.2762 0.0118386
  39 38.5 27.2059 0.0118081
  40 39.5 27.0813 0.011754
  41 40.5 26.9305 0.0116886
  42 41.5 26.8498 0.0116536
  43 42.5 26.6491 0.0115665
  44 43.5 26.473 0.01149
  45 44.5 26.1828 0.011364
  46 45.5 25.7534 0.0111777
  47 46.5 25.3303 0.0109941
  48 47.5 24.7733 0.0107523
  49 48.5 24.0711 0.0104475
  50 49.5 23.2168 0.0100768
  51 50.5 22.2557 0.00965958
  52 51.5 21.0818 0.00915009
  53 52.5 19.765 0.00857854
  54 53.5 18.3129 0.00794831
  55 54.5 16.7486 0.00726936
  56 55.5 15.0132 0.00651613
  57 56.5 13.2876 0.0057672
  58 57.5 11.5942 0.00503222
  59 58.5 9.96323 0.00432432
  60 59.5 8.46307 0.00367321
  61 60.5 7.06078 0.00306458
  62 61.5 5.9172 0.00256823
  63 62.5 4.9677 0.00215612
  64 63.5 4.13006 0.00179256
  65 64.5 3.50987 0.00152338
  66 65.5 2.99618 0.00130042
  67 66.5 2.64674 0.00114876
  68 67.5 2.38941 0.00103707
  69 68.5 2.20571 0.00095734
  70 69.5 2.05902 0.000893674
  71 70.5 1.94866 0.000845774
  72 71.5 1.87241 0.000812677
  73 72.5 1.82423 0.000791767
  74 73.5 1.77412 0.000770017
  75 74.5 1.74889 0.000759066
  76 75.5 1.71601 0.000744795
  77 76.5 1.71213 0.000743111
  78 77.5 1.70671 0.00074076
  79 78.5 1.68196 0.000730017
  80 79.5 1.6729 0.000726087
  81 80.5 1.66639 0.00072326
  82 81.5 1.67243 0.000725882
  83 82.5 1.6716 0.000725521
  84 83.5 1.64995 0.000716125
  85 84.5 1.64277 0.000713007
  86 85.5 1.66035 0.000720639
  87 86.5 1.66345 0.000721983
  88 87.5 1.66592 0.000723056
  89 88.5 1.67442 0.000726747
  90 89.5 1.67516 0.000727066
  91 90.5 1.65925 0.00072016
  92 91.5 1.68305 0.00073049
  93 92.5 1.67356 0.000726372
  94 93.5 1.6969 0.0007365
  95 94.5 1.65745 0.000719378
  96 95.5 1.66514 0.000722719
  97 96.5 1.66599 0.000723087
  98 97.5 1.66582 0.00072301
  99 98.5 1.68086 0.000729538
  100 99.5 1.68269 0.000730333
  101 100.5 1.69202 0.000734385
  102 101.5 1.69007 0.000733538
  103 102.5 1.69678 0.000736448
  104 103.5 1.69675 0.000736438
  105 104.5 1.70081 0.000738198
  106 105.5 1.69818 0.000737059
  107 106.5 1.68858 0.000732889
  108 107.5 1.69415 0.000735309
  109 108.5 1.70576 0.000740347
  110 109.5 1.70264 0.000738993
  111 110.5 1.71682 0.000745146
  112 111.5 1.71002 0.000742198
  113 112.5 1.69193 0.000734344
  114 113.5 1.7057 0.000740319
  115 114.5 1.71712 0.000745278
  116 115.5 1.69686 0.000736486
  117 116.5 1.70849 0.000741531
  118 117.5 1.71142 0.000742806
  119 118.5 1.71164 0.000742899
  120 119.5 1.69885 0.000737347
  121 120.5 1.70732 0.000741024
  122 121.5 1.70908 0.000741788
  123 122.5 1.69022 0.000733601
  124 123.5 1.69258 0.000734628
  125 124.5 1.67082 0.000725184
  126 125.5 1.67758 0.000728115
  127 126.5 1.70186 0.000738656
  128 127.5 1.70361 0.000739413
  129 128.5 1.69034 0.000733653
  130 129.5 1.69622 0.000736208
  131 130.5 1.70254 0.000738948
  132 131.5 1.70534 0.000740163
  133 132.5 1.71954 0.000746326
  134 133.5 1.71405 0.000743944
  135 134.5 1.72486 0.000748639
  136 135.5 1.73574 0.000753361
  137 136.5 1.74574 0.000757698
  138 137.5 1.73753 0.000754135
  139 138.5 1.74378 0.000756851
  140 139.5 1.71466 0.000744208
  141 140.5 1.70184 0.000738646
  142 141.5 1.70241 0.000738892
  143 142.5 1.71351 0.000743712
  144 143.5 1.72379 0.000748174
  145 144.5 1.73478 0.000752944
  146 145.5 1.72326 0.000747941
  147 146.5 1.71166 0.00074291
  148 147.5 1.72008 0.000746563
  149 148.5 1.7274 0.00074974
  150 149.5 1.70169 0.00073858
  151 150.5 1.70766 0.00074117
  152 151.5 1.71238 0.000743222
  153 152.5 1.7125 0.000743274
  154 153.5 1.71258 0.000743306
  155 154.5 1.6861 0.000731813
  156 155.5 1.66702 0.000723531
  157 156.5 1.69691 0.000736507
  158 157.5 1.69768 0.00073684
  159 158.5 1.68174 0.00072992
  160 159.5 1.68011 0.000729215
  161 160.5 1.67788 0.000728247
  162 161.5 1.66705 0.000723545
  163 162.5 1.68754 0.000732438
  164 163.5 1.68248 0.000730243
  165 164.5 1.67125 0.000725368
  166 165.5 1.67181 0.000725611
  167 166.5 1.67351 0.000726351
  168 167.5 1.68562 0.000731604
  169 168.5 1.66066 0.000720771
  170 169.5 1.66406 0.000722247
  171 170.5 1.65577 0.000718649
  172 171.5 1.65922 0.000720146
  173 172.5 1.658 0.000719618
  174 173.5 1.65391 0.000717844
  175 174.5 1.65008 0.000716181
  176 175.5 1.66674 0.00072341
  177 176.5 1.66618 0.00072317
  178 177.5 1.6579 0.000719576
  179 178.5 1.6517 0.000716882
  180 179.5 1.66053 0.000720715
  181 180.5 1.67086 0.000725198
  182 181.5 1.66586 0.000723031
  183 182.5 1.66883 0.000724319
  184 183.5 1.66646 0.000723288
  185 184.5 1.68074 0.000729486
  186 185.5 1.67829 0.000728424
  187 186.5 1.6793 0.000728865
  188 187.5 1.68371 0.000730778
  189 188.5 1.68897 0.000733059
  190 189.5 1.71186 0.000742997
  191 190.5 1.71566 0.000744646
  192 191.5 1.72628 0.000749253
  193 192.5 1.76466 0.000765913
  194 193.5 1.78212 0.00077349
  195 194.5 1.83924 0.000798281
  196 195.5 1.90179 0.000825431
  197 196.5 2.00746 0.000871292
  198 197.5 2.12846 0.000923809
  199 198.5 2.29202 0.000994799
  200 199.5 2.50963 0.00108925
  201 200.5 2.82778 0.00122734
  202 201.5 3.27605 0.0014219
  203 202.5 3.84035 0.00166682
  204 203.5 4.58034 0.001988
  205 204.5 5.50471 0.0023892
  206 205.5 6.6095 0.0028687
  207 206.5 7.88494 0.00342228
  208 207.5 9.35316 0.00405953
  209 208.5 10.9955 0.00477235
  210 209.5 12.5948 0.0054665
  211 210.5 14.2217 0.00617261
  212 211.5 15.8275 0.00686959
  213 212.5 17.2443 0.00748449
  214 213.5 18.2981 0.00794187
  215 214.5 19.1611 0.00831644
  216 215.5 19.6363 0.0085227
  217 216.5 19.656 0.00853126
  218 217.5 19.2824 0.00836911
  219 218.5 18.5521 0.00805212
  220 219.5 17.4684 0.00758177
  221 220.5 15.9213 0.00691028
  222 221.5 14.3656 0.00623506
  223 222.5 12.6122 0.00547406
  224 223.5 10.792 0.00468403
  225 224.5 9.03985 0.00392355
  226 225.5 7.46362 0.00323942
  227 226.5 6.08937 0.00264295
  228 227.5 4.99387 0.00216748
  229 228.5 4.09405 0.00177693
  230 229.5 3.40009 0.00147573
  231 230.5 2.90974 0.00126291
  232 231.5 2.51888 0.00109326
  233 232.5 2.2271 0.000966622
