# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 11202
  1 0.5 32.1044 0.0139342 -701.095 -626.744 -615.543
  2 1.5 32.2197 0.0139842 -506.502 -677.152 -493.557
  3 2.5 32.1171 0.0139397 -470.632 -498.295 -482.354
  4 3.5 32.1404 0.0139498 -503.669 -531.323 -487.255
  5 4.5 32.2055 0.0139781 -603.939 -631.614 -562.643
  6 5.5 32.1379 0.0139488 -721.96 -586.29 -517.821
  7 6.5 32.1489 0.0139535 -610.203 -615.36 -504.707
  8 7.5 32.2033 0.0139771 -491.459 -652.856 -530.845
  9 8.5 32.1455 0.013952 -657.22 -590.801 -555.891
  10 9.5 32.1697 0.0139626 -619.027 -504.589 -430.057
  11 10.5 32.1717 0.0139634 -537.092 -515.686 -630.248
  12 11.5 32.1499 0.013954 -617.472 -611.232 -662.781
  13 12.5 32.1342 0.0139471 -331.852 -378.402 -330.643
  14 13.5 32.1884 0.0139707 -460.845 -485.024 -482.926
  15 14.5 32.1591 0.0139579 -645.604 -517.334 -627.56
  16 15.5 32.1154 0.013939 -652.931 -485.599 -500.908
  17 16.5 32.1495 0.0139538 -623.664 -605.755 -688.052
  18 17.5 32.1542 0.0139558 -463.036 -400.366 -609.499
  19 18.5 32.0522 0.0139115 -571.592 -604.528 -554.989
  20 19.5 32.1163 0.0139394 -537.13 -419.554 -691.813
  21 20.5 32.159 0.0139579 -358.062 -312.237 -759.478
  22 21.5 32.042 0.0139071 -398.145 -385.474 -713.764
  23 22.5 31.9782 0.0138794 -311.802 -217.336 -777.988
  24 23.5 32.0778 0.0139227 -153.829 -233.161 -874.34
  25 24.5 32.0102 0.0138933 -102.271 -187.345 -1100.81
  26 25.5 31.8545 0.0138257 -69.2732 -46.8764 -1280.79
  27 26.5 31.8382 0.0138187 196.388 210.627 -1246.58
  28 27.5 31.8046 0.0138041 467.625 569.846 -1534.28
  29 28.5 31.6246 0.0137259 656.185 634.911 -1769.97
  30 29.5 31.4778 0.0136623 897.585 852.717 -1935.22
  31 30.5 31.2126 0.0135471 1389.73 1311.86 -2164.15
  32 31.5 30.9608 0.0134378 1831.71 1817.07 -2442.35
  33 32.5 30.5248 0.0132486 2377.95 2436.55 -2561.62
  34 33.5 29.8763 0.0129672 3278.96 3213.68 -2556.1
  35 34.5 29.1216 0.0126396 4120.52 4024 -2505.02
  36 35.5 28.0821 0.0121884 5047.42 4820.56 -1963.67
  37 36.5 26.6131 0.0115508 5655.76 5665.92 -1273.28
  38 37.5 24.7025 0.0107216 6555.01 6467.89 -260.555
  39 38.5 22.4608 0.0097486 7088.41 6875.34 742.818
  40 39.5 19.8267 0.00860534 6963.06 6803.81 2141.02
  41 40.5 16.9279 0.00734716 6541.97 6364.63 3345.59
  42 41.5 13.9052 0.00603524 5613.51 5549.71 4524.81
  43 42.5 11.0568 0.00479894 4415.56 4221 5249.43
  44 43.5 8.5076 0.00369253 2725.49 2621.83 5738.69
  45 44.5 6.41167 0.00278284 618.975 726.01 5638.49
  46 45.5 4.7937 0.0020806 -1548.72 -1675.18 4946.49
  47 46.5 3.55574 0.00154329 -4086.49 -3959.03 3347.95
  48 47.5 2.7108 0.00117656 -6869.81 -6668.83 1306.45
  49 48.5 2.11091 0.000916194 -8807.26 -8986.7 -1571.56
  50 49.5 1.74742 0.000758431 -11133.1 -11035.8 -4294.24
  51 50.5 1.48266 0.000643514 -13044.1 -12823.9 -7308.07
  52 51.5 1.29371 0.000561507 -13946.8 -14356.6 -9931.84
  53 52.5 1.20226 0.000521816 -14858.5 -14920.1 -11634.2
  54 53.5 1.15081 0.000499483 -15779.3 -15495.7 -12855.3
  55 54.5 1.08153 0.000469413 -15980.2 -15533.4 -14238.2
  56 55.5 1.04503 0.000453573 -16098 -15663.6 -15088.3
  57 56.5 1.03416 0.000448854 -16606.5 -15996.5 -15562.7
  58 57.5 1.02102 0.000443149 -16405.6 -16417.2 -15952.6
  59 58.5 1.00162 0.000434729 -16836.2 -16396.6 -16281.4
  60 59.5 1.00242 0.000435076 -16439.3 -16599.7 -16527.6
  61 60.5 1.01566 0.000440823 -16509.4 -16752.6 -16365.9
  62 61.5 1.01235 0.000439389 -16725.8 -16801.1 -16368.7
  63 62.5 1.01868 0.000442135 -16984.3 -16443.7 -16327.9
  64 63.5 1.00888 0.000437882 -17254.3 -16867.4 -16519.9
  65 64.5 1.01285 0.000439604 -17256.9 -16670.1 -16463.8
  66 65.5 1.01478 0.000440441 -17120.5 -16577.2 -16506.6
  67 66.5 1.01992 0.000442674 -16979.9 -16498.3 -16395.9
  68 67.5 1.02009 0.000442747 -17254.6 -16382.3 -16410.4
  69 68.5 1.00584 0.000436563 -17683.1 -16494.7 -16564.1
  70 69.5 0.998832 0.000433521 -17574.2 -16536.4 -16789.3
  71 70.5 0.981384 0.000425948 -17464.5 -16644.9 -17102.2
  72 71.5 0.984104 0.000427128 -17444.1 -16592.9 -17087.7
  73 72.5 1.00578 0.000436538 -17317.6 -16104.2 -16522.3
  74 73.5 1.01191 0.000439198 -17186.6 -16160 -16436.5
  75 74.5 1.01402 0.000440111 -17391.8 -16134.8 -16443.4
  76 75.5 0.995112 0.000431906 -17155.5 -16701.1 -16910
  77 76.5 0.996296 0.00043242 -16861.4 -16726.3 -16841.3
  78 77.5 0.990696 0.00042999 -16904.3 -17016 -16974.5
  79 78.5 0.991912 0.000430517 -16968.8 -17129.7 -16764.8
  80 79.5 1.0097 0.00043824 -17220.7 -16755.4 -16638.3
  81 80.5 1.00822 0.000437594 -17014.1 -16858.1 -16634.5
  82 81.5 0.993336 0.000431135 -16498.2 -16694 -16858.9
  83 82.5 1.0083 0.000437632 -17362.9 -16964.1 -16553.9
  84 83.5 0.99856 0.000433403 -16633.6 -17157.6 -16721
  85 84.5 1.00454 0.000436 -16634.4 -16960.3 -16658.5
  86 85.5 1.00073 0.000434344 -16357.4 -16709.6 -16691.2
  87 86.5 1.0037 0.000435635 -16932.1 -16858 -16729
  88 87.5 1.00394 0.00043574 -17007.7 -16693.1 -16656.4
  89 88.5 1.01332 0.000439809 -16847.2 -16746.5 -16449.4
  90 89.5 1.00046 0.000434226 -16976.8 -16571 -16887.2
  91 90.5 1.00778 0.000437406 -16750.9 -16791.9 -16659.5
  92 91.5 1.01384 0.000440035 -17111.4 -16784.9 -16404.2
  93 92.5 0.994512 0.000431646 -17047.2 -16843.9 -16830.6
  94 93.5 0.996744 0.000432615 -16814.1 -16683.5 -16826.2
  95 94.5 0.980128 0.000425403 -16470 -16130.8 -17104
  96 95.5 0.984792 0.000427427 -16560.3 -16170.9 -16942.7
  97 96.5 0.991632 0.000430396 -16482.5 -16415.4 -16840.2
  98 97.5 0.985672 0.000427809 -16137.5 -16644.5 -16932.4
  99 98.5 0.99664 0.000432569 -16359.7 -17105.4 -16892.7
  100 99.5 0.99176 0.000430451 -16034.9 -16913.3 -16921.3
  101 100.5 0.99368 0.000431285 -16209.9 -16595 -16726.6
  102 101.5 1.00203 0.00043491 -16036.3 -16710.2 -16816
  103 102.5 1.0053 0.000436326 -16483.9 -16650.2 -16670.5
  104 103.5 1.0148 0.000440451 -16363.4 -16667.8 -16574.1
  105 104.5 1.00325 0.000435437 -16561.1 -16321.2 -16670
  106 105.5 1.00617 0.000436705 -16446.8 -16425.1 -16672.7
  107 106.5 0.999592 0.000433851 -16442.6 -17292.1 -16621
  108 107.5 1.00598 0.000436625 -16188.1 -16709.5 -16716.3
  109 108.5 1.01309 0.000439708 -15901.2 -16750.2 -16526.5
  110 109.5 1.00557 0.000436444 -16035.2 -16805.2 -16606.4
  111 110.5 0.984048 0.000427104 -16039.9 -16653.6 -17079
  112 111.5 0.999432 0.000433781 -16152.8 -17116.8 -16762
  113 112.5 1.00878 0.00043784 -16101.8 -16855.1 -16548.6
  114 113.5 0.999832 0.000433955 -16588.2 -16425.3 -16877.9
  115 114.5 1.01075 0.000438694 -16343.8 -17154.3 -16636.9
  116 115.5 1.00516 0.000436267 -16721.5 -16968.9 -16521
  117 116.5 1.01639 0.000441142 -16883.2 -17290.4 -16436
  118 117.5 1.00635 0.000436785 -17046.1 -16809.3 -16733.1
  119 118.5 1.0073 0.000437198 -16856.6 -16692.3 -16632.7
  120 119.5 1.01764 0.000441684 -16301.8 -16756.4 -16429.2
  121 120.5 1.01511 0.000440587 -16331.4 -16707.5 -16431.2
  122 121.5 1.01709 0.000441444 -16156.9 -16815.2 -16460.7
  123 122.5 1.00741 0.000437243 -16145.8 -16797.2 -16622.8
  124 123.5 0.998776 0.000433497 -16565.1 -16867.1 -16806.7
  125 124.5 1.01406 0.000440132 -16741.3 -16668.8 -16538.3
  126 125.5 1.01139 0.000438972 -16643.3 -16770.2 -16542
  127 126.5 1.02765 0.000446028 -16279.7 -16533.8 -16263.6
  128 127.5 1.01515 0.000440604 -16199 -16541.3 -16489.2
  129 128.5 1.01263 0.00043951 -16442.7 -16638.9 -16631.3
  130 129.5 1.00681 0.000436983 -16656.7 -16917.6 -16697.4
  131 130.5 1.02494 0.000444854 -16631 -17054.5 -16318.2
  132 131.5 1.02312 0.000444063 -16233.2 -16686.8 -16364.4
  133 132.5 1.01802 0.000441851 -15781.6 -16432.8 -16283.8
  134 133.5 1.01291 0.000439632 -16344.8 -16588.7 -16563
  135 134.5 1.00493 0.000436167 -16646.5 -16456.2 -16829
  136 135.5 1.01764 0.000441684 -16314.8 -16240.4 -16410.8
  137 136.5 1.01982 0.000442632 -16651.9 -16676.2 -16437.1
  138 137.5 1.01798 0.00044183 -16314.5 -16218.1 -16493.9
  139 138.5 1.01829 0.000441965 -16372.7 -16006.5 -16301.2
  140 139.5 1.02347 0.000444215 -16558 -16153.6 -16421.1
  141 140.5 1.02814 0.00044624 -16766.3 -16302.6 -16403.2
  142 141.5 1.02866 0.000446469 -16392.1 -15856.7 -16150.5
  143 142.5 1.03174 0.000447802 -16194.7 -16062.8 -16307.2
  144 143.5 1.02607 0.000445344 -16292.8 -16776.7 -16346.3
  145 144.5 1.02519 0.000444962 -16154 -16884.9 -16318.7
  146 145.5 1.02291 0.000443972 -16018.4 -16493.1 -16363.4
  147 146.5 1.01206 0.00043926 -16266.5 -16505.4 -16609
  148 147.5 1.03022 0.000447142 -16536.2 -16577.2 -16177.5
  149 148.5 1.02978 0.000446955 -16671.7 -16798.4 -16302.9
  150 149.5 1.0104 0.000438542 -16362.2 -16555.9 -16584.5
  151 150.5 1.03392 0.00044875 -16374.5 -16349.5 -16119.4
  152 151.5 1.01785 0.000441774 -16266.7 -16482 -16430
  153 152.5 1.02576 0.000445208 -16145.5 -16739.4 -16327.5
  154 153.5 1.00492 0.000436163 -16267 -16605.7 -16720.3
  155 154.5 1.01542 0.000440722 -16666.6 -16790.5 -16496.1
  156 155.5 1.00868 0.000437795 -17037.9 -16735.5 -16612.9
  157 156.5 1.01146 0.000439003 -16833.5 -16236.3 -16646.6
  158 157.5 1.01492 0.000440503 -16259.7 -16428.6 -16403.9
  159 158.5 1.01599 0.000440969 -16366.8 -16986.5 -16523.9
  160 159.5 1.00025 0.000434135 -16077.4 -16349.8 -16682.8
  161 160.5 1.00582 0.000436552 -16496.3 -16650.5 -16718.1
  162 161.5 1.00584 0.000436563 -16658.3 -16279.5 -16639.8
  163 162.5 1.00466 0.000436052 -16844.5 -16789.7 -16716.5
  164 163.5 1.00215 0.000434962 -16767 -16768.2 -16655.4
  165 164.5 1.00244 0.000435087 -16548.8 -16813.1 -16688.6
  166 165.5 0.992976 0.000430979 -16762.8 -16123.9 -16831.5
  167 166.5 0.988984 0.000429247 -16627.2 -16384.3 -16987.1
  168 167.5 1.00051 0.00043425 -16272.9 -16197.9 -16663
  169 168.5 1.01135 0.000438955 -16780.2 -16379 -16713.2
  170 169.5 0.998248 0.000433267 -16317.5 -16519.3 -16644.5
  171 170.5 0.99604 0.000432309 -16355.4 -16473.1 -16894.5
  172 171.5 1.00218 0.000434976 -16397.7 -16062.2 -16564
  173 172.5 0.996 0.000432292 -16418.4 -16072.6 -16712.6
  174 173.5 0.984568 0.00042733 -16493 -15700.3 -17051.7
  175 174.5 0.985936 0.000427924 -16312.6 -16169.8 -16881.5
  176 175.5 1.0027 0.000435198 -16531.4 -16465.8 -16662.5
  177 176.5 1.01641 0.000441149 -16199 -16087.3 -16291.6
  178 177.5 1.022 0.000443576 -16384.2 -16230.9 -16242.4
  179 178.5 1.03509 0.000449257 -16378.4 -16509.7 -15978.4
  180 179.5 1.05197 0.000456583 -16094.4 -16446.2 -15703.7
  181 180.5 1.03708 0.000450122 -15846.8 -16382.8 -15755.8
  182 181.5 1.05046 0.000455931 -15938.8 -16447.1 -15366.3
  183 182.5 1.06623 0.000462774 -15951 -15950.5 -14971.9
  184 183.5 1.10006 0.000477455 -16136.1 -15373.4 -14037.5
  185 184.5 1.12808 0.000489618 -15375.4 -15290.6 -13464.2
  186 185.5 1.18569 0.000514622 -15053.2 -14864.3 -12291.3
  187 186.5 1.26606 0.000549503 -14203 -13902.7 -10679.1
  188 187.5 1.37831 0.000598226 -13016.9 -12916.1 -8638.02
  189 188.5 1.59352 0.000691632 -12043.7 -11599.2 -5929.93
