# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 10288.999999999998
  1 0.5 5.52137 0.00239643 -14269.7 -14102.5 -14240.8
  2 1.5 5.55573 0.00241134 -14172.7 -13946.7 -14066.5
  3 2.5 5.56267 0.00241435 -14170 -13956.1 -14079.3
  4 3.5 5.59664 0.0024291 -14372.7 -14188.2 -13855.2
  5 4.5 5.62768 0.00244257 -14180.7 -14338.3 -13857.9
  6 5.5 5.65333 0.0024537 -14237.6 -13975.7 -13807.4
  7 6.5 5.67209 0.00246184 -14062.9 -13797.5 -13766
  8 7.5 5.72474 0.00248469 -13921.6 -13609.2 -13617.1
  9 8.5 5.80343 0.00251885 -14036.6 -13692.7 -13327.3
  10 9.5 5.85071 0.00253937 -13815 -13873.4 -13072.1
  11 10.5 5.91768 0.00256844 -13686.3 -13680 -13082.4
  12 11.5 6.01707 0.00261158 -13447 -13445.8 -12841.7
  13 12.5 6.11007 0.00265194 -13022.6 -13261.7 -12475.1
  14 13.5 6.22274 0.00270084 -12780.5 -12838.7 -12364
  15 14.5 6.37426 0.0027666 -12517.8 -12349.9 -11898.8
  16 15.5 6.48405 0.00281426 -12337.7 -12406.1 -11716.5
  17 16.5 6.64346 0.00288344 -12334.4 -12187.9 -11466.7
  18 17.5 6.82746 0.00296331 -11934 -11827.4 -10976.6
  19 18.5 7.05002 0.0030599 -11339.4 -11520.2 -10486.1
  20 19.5 7.27835 0.00315901 -11156.5 -11266.4 -10227.8
  21 20.5 7.52419 0.00326571 -10771.1 -10607.2 -9631.36
  22 21.5 7.78498 0.0033789 -10199.9 -10172.5 -9466.46
  23 22.5 8.16075 0.00354199 -10125.4 -9922.52 -8928.13
  24 23.5 8.51741 0.00369679 -9411.17 -9586.78 -8459.73
  25 24.5 8.89681 0.00386146 -8985.08 -9167.63 -8015.33
  26 25.5 9.36886 0.00406635 -8469.83 -8484.04 -7532.04
  27 26.5 9.87346 0.00428536 -7841.99 -7930.81 -7172.08
  28 27.5 10.3667 0.00449944 -7465.98 -7565.42 -6894.31
  29 28.5 10.9614 0.00475754 -6936.41 -7005.4 -6486.54
  30 29.5 11.6276 0.00504669 -6721.9 -6599.87 -6101.89
  31 30.5 12.276 0.00532814 -5909.98 -6084.87 -5760.49
  32 31.5 12.8863 0.00559302 -5734.97 -5642.54 -5642.37
  33 32.5 13.526 0.00587064 -5164.67 -5371.91 -5389.03
  34 33.5 14.222 0.00617275 -4989.79 -5073.33 -5244.45
  35 34.5 14.9513 0.00648926 -4345.84 -4695.02 -4927.69
  36 35.5 15.5837 0.00676376 -4341.98 -4544.57 -4874.02
  37 36.5 16.1835 0.00702408 -4138.78 -4241.71 -4811.67
  38 37.5 16.8906 0.00733099 -4009.07 -4003.26 -4573.21
  39 38.5 17.4999 0.00759544 -3952.82 -3943.43 -4629.74
  40 39.5 18.1298 0.00786884 -3522.21 -3461.55 -4382.44
  41 40.5 18.6428 0.0080915 -3393.28 -3401.89 -4320.79
  42 41.5 19.1852 0.0083269 -3298.85 -3202.39 -4411.08
  43 42.5 19.6869 0.00854468 -3171.25 -3231.62 -4273.01
  44 43.5 20.1604 0.00875015 -3080.82 -3203.85 -4262.16
  45 44.5 20.5567 0.0089222 -2885.42 -3113.86 -4027.09
  46 45.5 20.9541 0.00909465 -3043.18 -3184.76 -4060.95
  47 46.5 21.2243 0.00921193 -3174.42 -3099.19 -4098.64
  48 47.5 21.5423 0.00934995 -3148.22 -3065.46 -3928.58
  49 48.5 21.8546 0.0094855 -2958.48 -3143.33 -3897.83
  50 49.5 22.0877 0.00958666 -3182.95 -3262.6 -3964.23
  51 50.5 22.2799 0.00967009 -3184.69 -3158.94 -3687.1
  52 51.5 22.4812 0.00975748 -3063.08 -3154.66 -3858.13
  53 52.5 22.6745 0.00984134 -3069.07 -3089.66 -3747.33
  54 53.5 22.7915 0.00989216 -3099.89 -2949.23 -3734.21
  55 54.5 22.9604 0.00996547 -2913.25 -3068.69 -3612.51
  56 55.5 23.0964 0.0100245 -3039.57 -3075.89 -3523.26
  57 56.5 23.2215 0.0100788 -3095.18 -3181.6 -3628.89
  58 57.5 23.2726 0.010101 -3142.56 -3182.83 -3514.54
  59 58.5 23.2715 0.0101005 -3093.48 -3058.91 -3536.85
  60 59.5 23.392 0.0101528 -3213.14 -3186.99 -3634.21
  61 60.5 23.3808 0.0101479 -3167.16 -2992.85 -3454.31
  62 61.5 23.5238 0.01021 -3163.11 -3151.34 -3311.43
  63 62.5 23.5706 0.0102303 -3274.89 -3396.24 -3459.88
