# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
55000000 480 12494
  1 0.5 38.8682 0.0168699 -181.527 -6.3631 19.1184
  2 1.5 38.8568 0.0168649 8.1981 -28.7017 -29.9084
  3 2.5 38.7238 0.0168072 -31.9091 18.8278 -54.5922
  4 3.5 38.8655 0.0168687 106.178 277.849 101.348
  5 4.5 38.8967 0.0168823 34.7125 196.162 -40.0198
  6 5.5 38.7354 0.0168122 -22.5633 82.0202 61.4802
  7 6.5 38.8209 0.0168494 -81.312 -82.095 -68.1183
  8 7.5 38.9237 0.016894 19.7202 -63.412 -35.9007
  9 8.5 38.8124 0.0168457 -32.3156 -25.3505 8.79057
  10 9.5 38.7103 0.0168013 243.768 -47.8288 127.443
  11 10.5 38.9727 0.0169152 114.506 -26.8687 -40.5551
  12 11.5 38.86 0.0168663 40.7704 -108.669 -137.18
  13 12.5 38.6893 0.0167922 30.6055 -130.294 -58.5317
  14 13.5 38.8338 0.0168549 16.9167 47.5785 147.337
  15 14.5 39.0005 0.0169273 3.45334 371.463 35.3984
  16 15.5 38.6937 0.0167941 37.2693 92.6469 -116.929
  17 16.5 38.7836 0.0168332 16.8576 175.802 78.0215
  18 17.5 38.9467 0.0169039 71.2756 151.865 37.1823
  19 18.5 38.8522 0.0168629 -64.2887 -19.3152 -19.775
  20 19.5 38.6419 0.0167717 9.05057 -234.749 -42.9963
  21 20.5 38.9574 0.0169086 49.2548 -87.5884 -32.3038
  22 21.5 38.8563 0.0168647 94.805 -110.147 10.8717
  23 22.5 38.774 0.016829 236.47 16.3809 126.523
  24 23.5 38.7941 0.0168377 182.612 -34.7675 -201.008
  25 24.5 38.8314 0.0168539 105.456 -56.5006 4.46661
  26 25.5 38.8571 0.0168651 -35.2695 34.5489 179.568
  27 26.5 38.7462 0.0168169 14.7755 -141.709 32.0147
  28 27.5 38.8195 0.0168487 91.9553 142.88 -176.933
  29 28.5 38.8283 0.0168526 -52.5238 149.981 -12.0514
  30 29.5 38.7496 0.0168184 -43.6168 -129.53 69.4024
  31 30.5 38.9106 0.0168883 -40.4404 -139.29 -14.8982
  32 31.5 38.8052 0.0168425 107.284 -148.51 -88.5021
  33 32.5 38.753 0.0168199 9.01034 -43.6195 84.9483
  34 33.5 38.7982 0.0168395 -116.024 -38.6245 61.2169
  35 34.5 38.94 0.016901 58.7569 18.0908 2.2181
  36 35.5 38.6904 0.0167927 113.477 -40.4143 -104.692
  37 36.5 38.7442 0.0168161 188.7 -128.782 36.4119
  38 37.5 38.9039 0.0168854 -15.686 -171.424 -74.7881
  39 38.5 38.865 0.0168685 156.121 -51.416 44.7949
  40 39.5 38.6354 0.0167688 -27.7243 -112.074 -58.26
  41 40.5 38.8844 0.0168769 -136.833 -86.9991 -3.43308
  42 41.5 38.906 0.0168863 -205.17 -73.3328 38.6049
  43 42.5 38.7621 0.0168238 -288.165 -183.675 -77.6886
  44 43.5 38.7067 0.0167998 -387.218 -306.233 -232.148
  45 44.5 38.9133 0.0168894 81.5497 -134.017 -205.561
  46 45.5 38.8118 0.0168454 3.34475 -71.4546 -264.659
  47 46.5 38.6877 0.0167915 -15.1943 4.42427 -328.69
  48 47.5 38.7977 0.0168393 236.081 148.638 -463.808
  49 48.5 38.8697 0.0168705 355.827 192.644 -665.82
  50 49.5 38.681 0.0167886 364.23 510.222 -686.116
  51 50.5 38.6607 0.0167798 544.25 628.053 -1142.8
  52 51.5 38.7381 0.0168134 654.694 575.456 -1564.93
  53 52.5 38.6106 0.0167581 1025.89 1143.38 -1672.68
  54 53.5 38.4058 0.0166692 1422.11 1401.58 -2337.34
  55 54.5 38.5137 0.016716 2140.82 2179.06 -3018.22
  56 55.5 38.2064 0.0165826 3224.83 3144.32 -3629.83
  57 56.5 37.8479 0.0164271 4764.21 4584.79 -4061.86
  58 57.5 37.5054 0.0162784 6776.05 6712.26 -4588.45
  59 58.5 36.8367 0.0159882 9467.73 9406.42 -4527.28
  60 59.5 35.5367 0.0154239 13071 13023.5 -2574.61
  61 60.5 33.68 0.0146181 17092.1 17069.9 1345.94
  62 61.5 30.665 0.0133095 20384.1 20417.8 6223.91
  63 62.5 25.3574 0.0110058 22020.8 22082.5 11033.4
  64 63.5 18.0854 0.00784958 22230.6 22297.7 15587.7
  65 64.5 10.6826 0.00463654 20651.1 20706.2 19460.7
  66 65.5 5.21386 0.00226296 18020 18048.9 22911.6
  67 66.5 2.15249 0.00093424 13902.9 14009.3 25111.5
  68 67.5 0.783968 0.000340264 8992.71 9307.21 26317.6
  69 68.5 0.281616 0.000122229 3457.23 3849.12 23418.2
  70 69.5 0.114952 4.98924e-05 -2475.5 -2477.77 16493.9
  71 70.5 0.060488 2.62535e-05 -7739.77 -7030.37 6415.46
  72 71.5 0.045824 1.98889e-05 -8983.76 -8981.93 -249.831
  73 72.5 0.037032 1.60729e-05 -9859.09 -11579.8 -4495.75
  74 73.5 0.031 1.34549e-05 -10198.9 -10169.6 -8157.96
  75 74.5 0.0276 1.19792e-05 -10215.6 -9180.99 -10707.6
  76 75.5 0.028544 1.23889e-05 -11017.6 -10181.5 -10804.4
  77 76.5 0.027152 1.17847e-05 -10787.2 -11616.4 -11493.1
  78 77.5 0.026152 1.13507e-05 -11360.3 -10381.7 -12451.9
  79 78.5 0.026528 1.15139e-05 -11425.1 -10540.3 -12320.8
  80 79.5 0.02508 1.08854e-05 -12207.6 -10959.5 -13399.9
  81 80.5 0.027288 1.18437e-05 -11803.7 -11018.3 -12286.3
  82 81.5 0.0276 1.19792e-05 -11780.1 -11711.8 -11933.7
  83 82.5 0.027288 1.18437e-05 -12079.7 -11177 -12332
  84 83.5 0.026344 1.1434e-05 -12406 -10285.4 -12926.5
  85 84.5 0.027248 1.18264e-05 -12121.7 -10295.6 -12564.5
  86 85.5 0.026816 1.16389e-05 -12208.7 -10123.6 -12710.2
  87 86.5 0.025208 1.0941e-05 -12206.3 -10724.3 -13583.7
  88 87.5 0.024856 1.07882e-05 -12016.7 -10554.3 -13696
  89 88.5 0.024504 1.06354e-05 -12289.7 -10490.8 -13793.7
  90 89.5 0.024424 1.06007e-05 -12138.1 -10480.6 -14088.2
  91 90.5 0.02388 1.03646e-05 -12606.5 -10925 -14196.7
  92 91.5 0.023512 1.02049e-05 -12786.7 -10766.2 -14504.8
  93 92.5 0.023264 1.00972e-05 -12664.7 -10817.9 -14601.5
  94 93.5 0.023624 1.02535e-05 -12476.7 -10810.4 -14422.5
  95 94.5 0.023624 1.02535e-05 -12644.5 -10775.7 -14497.8
  96 95.5 0.023896 1.03715e-05 -12485.8 -10662.4 -14310.2
  97 96.5 0.02384 1.03472e-05 -12613.8 -10733.7 -14228.2
  98 97.5 0.02416 1.04861e-05 -12439.8 -10722.8 -14264.9
  99 98.5 0.023832 1.03437e-05 -12542.1 -10693.8 -14272.5
  100 99.5 0.023648 1.02639e-05 -12594.1 -10594.9 -14413.4
  101 100.5 0.024696 1.07187e-05 -12864.3 -10601 -13875.8
