# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6141
  1 0.5 35.7335 0.0155093
  2 1.5 35.7205 0.0155037
  3 2.5 35.7549 0.0155186
  4 3.5 35.8667 0.0155672
  5 4.5 35.7582 0.0155201
  6 5.5 35.8076 0.0155415
  7 6.5 35.7907 0.0155342
  8 7.5 35.7846 0.0155315
  9 8.5 35.7729 0.0155264
  10 9.5 35.793 0.0155352
  11 10.5 35.8202 0.015547
  12 11.5 35.7817 0.0155302
  13 12.5 35.7988 0.0155377
  14 13.5 35.7949 0.015536
  15 14.5 35.8262 0.0155496
  16 15.5 35.8335 0.0155527
  17 16.5 35.8631 0.0155656
  18 17.5 35.9155 0.0155883
  19 18.5 35.9235 0.0155918
  20 19.5 35.8713 0.0155691
  21 20.5 35.8263 0.0155496
  22 21.5 35.8288 0.0155507
  23 22.5 35.8095 0.0155423
  24 23.5 35.8182 0.0155461
  25 24.5 35.7476 0.0155154
  26 25.5 35.7496 0.0155163
  27 26.5 35.6512 0.0154736
  28 27.5 35.6929 0.0154917
  29 28.5 35.6759 0.0154843
  30 29.5 35.7078 0.0154982
  31 30.5 35.6466 0.0154716
  32 31.5 35.6797 0.015486
  33 32.5 35.7137 0.0155007
  34 33.5 35.6852 0.0154884
  35 34.5 35.7011 0.0154952
  36 35.5 35.7678 0.0155242
  37 36.5 35.7302 0.0155079
  38 37.5 35.7417 0.0155129
  39 38.5 35.7995 0.015538
  40 39.5 35.8068 0.0155412
  41 40.5 35.7615 0.0155215
  42 41.5 35.7662 0.0155235
  43 42.5 35.7694 0.0155249
  44 43.5 35.7071 0.0154979
  45 44.5 35.727 0.0155065
  46 45.5 35.6401 0.0154688
  47 46.5 35.5773 0.0154415
  48 47.5 35.5425 0.0154264
  49 48.5 35.5243 0.0154185
  50 49.5 35.507 0.015411
  51 50.5 35.3982 0.0153638
  52 51.5 35.4262 0.0153759
  53 52.5 35.3118 0.0153263
  54 53.5 35.2013 0.0152783
  55 54.5 35.0936 0.0152316
  56 55.5 34.973 0.0151793
  57 56.5 34.7012 0.0150613
  58 57.5 34.3053 0.0148895
  59 58.5 33.7975 0.014669
  60 59.5 32.9219 0.014289
  61 60.5 31.4704 0.013659
  62 61.5 29.3254 0.012728
  63 62.5 25.9339 0.011256
  64 63.5 20.6328 0.00895521
  65 64.5 14.1514 0.00614209
  66 65.5 8.17703 0.00354906
  67 66.5 3.98091 0.00172782
  68 67.5 1.67255 0.000725931
  69 68.5 0.632382 0.000274471
  70 69.5 0.236858 0.000102803
  71 70.5 0.10098 4.38281e-05
  72 71.5 0.05526 2.39844e-05
  73 72.5 0.040226 1.74592e-05
  74 73.5 0.031182 1.35339e-05
  75 74.5 0.027426 1.19036e-05
  76 75.5 0.025546 1.10877e-05
  77 76.5 0.025298 1.098e-05
  78 77.5 0.02539 1.102e-05
  79 78.5 0.025566 1.10964e-05
  80 79.5 0.024112 1.04653e-05
  81 80.5 0.024424 1.06007e-05
  82 81.5 0.023558 1.02248e-05
  83 82.5 0.023324 1.01233e-05
  84 83.5 0.02309 1.00217e-05
  85 84.5 0.023252 1.0092e-05
  86 85.5 0.022852 9.9184e-06
  87 86.5 0.022758 9.8776e-06
  88 87.5 0.022676 9.84201e-06
  89 88.5 0.023722 1.0296e-05
  90 89.5 0.022862 9.92274e-06
  91 90.5 0.0233 1.01128e-05
  92 91.5 0.023396 1.01545e-05
  93 92.5 0.023176 1.0059e-05
  94 93.5 0.024216 1.05104e-05
  95 94.5 0.025016 1.08576e-05
  96 95.5 0.025072 1.08819e-05
  97 96.5 0.0254 1.10243e-05
  98 97.5 0.025708 1.1158e-05
  99 98.5 0.026278 1.14054e-05
  100 99.5 0.025634 1.11259e-05
  101 100.5 0.026176 1.13611e-05
  102 101.5 0.025014 1.08568e-05
  103 102.5 0.026212 1.13767e-05
  104 103.5 0.02618 1.13628e-05
  105 104.5 0.026624 1.15556e-05
  106 105.5 0.026062 1.13116e-05
  107 106.5 0.027046 1.17387e-05
  108 107.5 0.025948 1.12622e-05
  109 108.5 0.025586 1.1105e-05
  110 109.5 0.026894 1.16727e-05
  111 110.5 0.025452 1.10469e-05
  112 111.5 0.024814 1.077e-05
  113 112.5 0.024862 1.07908e-05
  114 113.5 0.024764 1.07483e-05
  115 114.5 0.02531 1.09852e-05
  116 115.5 0.025124 1.09045e-05
  117 116.5 0.02488 1.07986e-05
  118 117.5 0.026 1.12847e-05
  119 118.5 0.026566 1.15304e-05
  120 119.5 0.02716 1.17882e-05
  121 120.5 0.027018 1.17266e-05
  122 121.5 0.025934 1.12561e-05
  123 122.5 0.0248 1.07639e-05
  124 123.5 0.024572 1.06649e-05
  125 124.5 0.024852 1.07865e-05
  126 125.5 0.025902 1.12422e-05
  127 126.5 0.024984 1.08437e-05
  128 127.5 0.025136 1.09097e-05
  129 128.5 0.025532 1.10816e-05
  130 129.5 0.025892 1.12378e-05
  131 130.5 0.025582 1.11033e-05
  132 131.5 0.02541 1.10286e-05
  133 132.5 0.024958 1.08325e-05
  134 133.5 0.024594 1.06745e-05
  135 134.5 0.024996 1.0849e-05
  136 135.5 0.025018 1.08585e-05
  137 136.5 0.02492 1.0816e-05
  138 137.5 0.025044 1.08698e-05
  139 138.5 0.024934 1.0822e-05
  140 139.5 0.025386 1.10182e-05
  141 140.5 0.025002 1.08516e-05
  142 141.5 0.025048 1.08715e-05
  143 142.5 0.025372 1.10122e-05
  144 143.5 0.024898 1.08064e-05
  145 144.5 0.024874 1.0796e-05
  146 145.5 0.025678 1.1145e-05
  147 146.5 0.02475 1.07422e-05
  148 147.5 0.0245 1.06337e-05
  149 148.5 0.024352 1.05694e-05
  150 149.5 0.02425 1.05252e-05
  151 150.5 0.024574 1.06658e-05
  152 151.5 0.024666 1.07057e-05
  153 152.5 0.02419 1.04991e-05
  154 153.5 0.024292 1.05434e-05
  155 154.5 0.02439 1.05859e-05
  156 155.5 0.02452 1.06424e-05
  157 156.5 0.024398 1.05894e-05
  158 157.5 0.024066 1.04453e-05
  159 158.5 0.024078 1.04505e-05
  160 159.5 0.024348 1.05677e-05
  161 160.5 0.024002 1.04175e-05
  162 161.5 0.024154 1.04835e-05
  163 162.5 0.024426 1.06016e-05
  164 163.5 0.02435 1.05686e-05
  165 164.5 0.024652 1.06997e-05
  166 165.5 0.025584 1.11042e-05
  167 166.5 0.024214 1.05095e-05
  168 167.5 0.025352 1.10035e-05
  169 168.5 0.024694 1.07179e-05
  170 169.5 0.024484 1.06267e-05
  171 170.5 0.024736 1.07361e-05
  172 171.5 0.025054 1.08741e-05
  173 172.5 0.024998 1.08498e-05
  174 173.5 0.02484 1.07813e-05
  175 174.5 0.02487 1.07943e-05
  176 175.5 0.025526 1.1079e-05
  177 176.5 0.025628 1.11233e-05
  178 177.5 0.026114 1.13342e-05
  179 178.5 0.02615 1.13498e-05
  180 179.5 0.025814 1.1204e-05
  181 180.5 0.026728 1.16007e-05
  182 181.5 0.027218 1.18134e-05
  183 182.5 0.027278 1.18394e-05
  184 183.5 0.026676 1.15781e-05
  185 184.5 0.026616 1.15521e-05
  186 185.5 0.026756 1.16128e-05
  187 186.5 0.026964 1.17031e-05
  188 187.5 0.026738 1.1605e-05
  189 188.5 0.026408 1.14618e-05
  190 189.5 0.026282 1.14071e-05
  191 190.5 0.028054 1.21762e-05
  192 191.5 0.026316 1.14219e-05
  193 192.5 0.026404 1.14601e-05
  194 193.5 0.026848 1.16528e-05
  195 194.5 0.027342 1.18672e-05
  196 195.5 0.025782 1.11901e-05
  197 196.5 0.025966 1.127e-05
  198 197.5 0.025682 1.11467e-05
  199 198.5 0.025314 1.0987e-05
  200 199.5 0.028678 1.2447e-05
  201 200.5 0.026518 1.15095e-05
  202 201.5 0.025386 1.10182e-05
  203 202.5 0.025568 1.10972e-05
  204 203.5 0.02577 1.11849e-05
  205 204.5 0.02578 1.11892e-05
  206 205.5 0.025888 1.12361e-05
  207 206.5 0.0257 1.11545e-05
  208 207.5 0.024786 1.07578e-05
  209 208.5 0.025192 1.0934e-05
  210 209.5 0.026216 1.13785e-05
  211 210.5 0.025876 1.12309e-05
  212 211.5 0.024946 1.08273e-05
  213 212.5 0.025186 1.09314e-05
  214 213.5 0.024692 1.0717e-05
  215 214.5 0.026202 1.13724e-05
  216 215.5 0.026578 1.15356e-05
  217 216.5 0.029062 1.26137e-05
  218 217.5 0.031692 1.37552e-05
  219 218.5 0.037942 1.64679e-05
  220 219.5 0.05343 2.31901e-05
  221 220.5 0.094654 4.10825e-05
  222 221.5 0.224022 9.72318e-05
  223 222.5 0.607486 0.000263666
