# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 12494
  1 0.5 38.7981 0.0168395 52.8934 54.8906 27.9632
  2 1.5 38.7819 0.0168324 37.6396 22.2585 -3.76406
  3 2.5 38.7881 0.0168351 9.85227 40.606 -24.2249
  4 3.5 38.8609 0.0168667 46.8833 25.7391 24.6186
  5 4.5 38.7577 0.0168219 83.9957 129.273 -3.16665
  6 5.5 38.8192 0.0168486 27.1674 96.5221 -5.26029
  7 6.5 38.8161 0.0168473 -48.7747 8.9386 -24.6714
  8 7.5 38.8193 0.0168486 34.6612 6.6192 25.2103
  9 8.5 38.7848 0.0168337 27.1156 33.0208 1.22955
  10 9.5 38.8112 0.0168451 -38.4165 120.987 -24.2083
  11 10.5 38.8246 0.0168509 -23.7822 19.5371 -9.78221
  12 11.5 38.7956 0.0168384 23.9385 -28.6923 54.7269
  13 12.5 38.8276 0.0168522 -50.3557 -43.7657 -28.1268
  14 13.5 38.8103 0.0168447 -26.77 -56.481 -10.9635
  15 14.5 38.8252 0.0168512 -4.00093 -76.5493 -11.8667
  16 15.5 38.8146 0.0168466 1.62508 -39.1324 -7.92123
  17 16.5 38.7938 0.0168376 70.4625 13.0241 9.83538
  18 17.5 38.8274 0.0168522 -27.5308 -17.8543 12.3927
  19 18.5 38.8288 0.0168528 -50.4389 -27.1948 -40.3013
  20 19.5 38.8076 0.0168436 55.451 60.733 46.643
  21 20.5 38.8139 0.0168463 47.7236 -1.14681 -39.5103
  22 21.5 38.8251 0.0168512 6.09251 -67.2262 21.4214
  23 22.5 38.8056 0.0168427 47.486 -9.25041 1.22441
  24 23.5 38.8313 0.0168539 -5.62263 77.5701 -38.6338
  25 24.5 38.7791 0.0168312 38.442 29.7864 64.0553
  26 25.5 38.8656 0.0168688 26.0299 -1.33285 -26.8158
  27 26.5 38.7765 0.0168301 90.6875 -37.9645 -20.8917
  28 27.5 38.8256 0.0168514 4.11091 -68.7947 5.15138
  29 28.5 38.8224 0.01685 22.412 38.8409 11.9673
  30 29.5 38.8379 0.0168567 51.3406 56.1819 12.5131
  31 30.5 38.7854 0.0168339 -77.834 78.926 1.8763
  32 31.5 38.839 0.0168572 -64.5291 4.9163 -38.8826
  33 32.5 38.8455 0.01686 -50.3147 -63.174 9.21618
  34 33.5 38.7922 0.0168369 -54.3703 -22.9726 7.01883
  35 34.5 38.7951 0.0168381 -78.7536 -43.3503 -19.7747
  36 35.5 38.8604 0.0168665 -55.9839 12.802 -3.71629
  37 36.5 38.8108 0.016845 -58.3298 -8.43973 -14.5139
  38 37.5 38.7852 0.0168338 58.5586 101.055 7.91824
  39 38.5 38.8237 0.0168506 84.8603 64.2917 -10.6626
  40 39.5 38.8229 0.0168502 -43.7477 59.5292 -30.5293
  41 40.5 38.7917 0.0168367 20.4858 9.11396 -25.8038
  42 41.5 38.8161 0.0168473 52.1178 62.6352 -43.6279
  43 42.5 38.8227 0.0168501 -74.233 -40.6971 -73.1383
  44 43.5 38.7789 0.0168311 4.48101 -42.2028 -47.5156
  45 44.5 38.853 0.0168633 -87.3603 22.4723 -157.125
