# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 5482.999999999997
  1 0.5 30.4413 0.0132124
  2 1.5 30.5786 0.013272
  3 2.5 30.555 0.0132617
  4 3.5 30.4776 0.0132281
  5 4.5 30.5735 0.0132698
  6 5.5 30.6334 0.0132958
  7 6.5 30.6082 0.0132848
  8 7.5 30.6096 0.0132854
  9 8.5 30.6891 0.0133199
  10 9.5 30.7517 0.0133471
  11 10.5 30.7224 0.0133344
  12 11.5 30.7352 0.0133399
  13 12.5 30.7692 0.0133547
  14 13.5 30.8436 0.013387
  15 14.5 30.9341 0.0134263
  16 15.5 30.8755 0.0134008
  17 16.5 30.8509 0.0133901
  18 17.5 30.7784 0.0133587
  19 18.5 30.9063 0.0134142
  20 19.5 30.8309 0.0133815
  21 20.5 30.7368 0.0133406
  22 21.5 30.8036 0.0133696
  23 22.5 30.8422 0.0133864
  24 23.5 30.7957 0.0133662
  25 24.5 30.7644 0.0133526
  26 25.5 30.7285 0.013337
  27 26.5 30.7653 0.013353
  28 27.5 30.68 0.013316
  29 28.5 30.6841 0.0133178
  30 29.5 30.6698 0.0133115
  31 30.5 30.6599 0.0133072
  32 31.5 30.5744 0.0132701
  33 32.5 30.5468 0.0132582
  34 33.5 30.6404 0.0132988
  35 34.5 30.5068 0.0132408
  36 35.5 30.3552 0.013175
  37 36.5 30.3874 0.013189
  38 37.5 30.4647 0.0132225
  39 38.5 30.3049 0.0131532
  40 39.5 30.366 0.0131797
  41 40.5 30.2206 0.0131166
  42 41.5 30.0497 0.0130424
  43 42.5 29.9068 0.0129804
  44 43.5 29.7062 0.0128933
  45 44.5 29.3791 0.0127513
  46 45.5 29.0019 0.0125876
  47 46.5 28.5223 0.0123795
  48 47.5 27.7186 0.0120307
  49 48.5 26.6155 0.0115519
  50 49.5 25.1078 0.0108975
  51 50.5 23.1373 0.0100422
  52 51.5 20.4094 0.00885824
  53 52.5 17.2888 0.00750382
  54 53.5 13.8437 0.00600857
  55 54.5 10.4022 0.00451483
  56 55.5 7.38931 0.00320717
  57 56.5 5.03011 0.00218321
  58 57.5 3.29834 0.00143157
  59 58.5 2.15547 0.000935535
  60 59.5 1.45058 0.000629594
  61 60.5 1.01908 0.000442309
  62 61.5 0.7698 0.000334115
  63 62.5 0.649368 0.000281844
  64 63.5 0.560504 0.000243274
  65 64.5 0.510512 0.000221576
  66 65.5 0.482808 0.000209552
  67 66.5 0.47764 0.000207309
  68 67.5 0.457104 0.000198396
  69 68.5 0.45172 0.000196059
  70 69.5 0.453696 0.000196917
  71 70.5 0.461152 0.000200153
  72 71.5 0.463728 0.000201271
  73 72.5 0.463792 0.000201299
  74 73.5 0.463184 0.000201035
  75 74.5 0.459208 0.000199309
  76 75.5 0.452368 0.00019634
  77 76.5 0.448656 0.000194729
  78 77.5 0.459208 0.000199309
  79 78.5 0.460784 0.000199993
  80 79.5 0.461896 0.000200476
  81 80.5 0.44984 0.000195243
  82 81.5 0.4482 0.000194531
  83 82.5 0.45452 0.000197274
  84 83.5 0.450696 0.000195615
  85 84.5 0.453752 0.000196941
  86 85.5 0.463408 0.000201132
  87 86.5 0.46356 0.000201198
  88 87.5 0.454224 0.000197146
  89 88.5 0.452808 0.000196531
  90 89.5 0.453536 0.000196847
  91 90.5 0.44968 0.000195174
  92 91.5 0.448456 0.000194642
  93 92.5 0.450376 0.000195476
  94 93.5 0.446088 0.000193615
  95 94.5 0.455576 0.000197733
  96 95.5 0.457856 0.000198722
  97 96.5 0.452064 0.000196208
  98 97.5 0.451 0.000195747
  99 98.5 0.45452 0.000197274
  100 99.5 0.447904 0.000194403
  101 100.5 0.457544 0.000198587
  102 101.5 0.464008 0.000201392
  103 102.5 0.461544 0.000200323
  104 103.5 0.464928 0.000201792
  105 104.5 0.467544 0.000202927
  106 105.5 0.467136 0.00020275
  107 106.5 0.468296 0.000203253
  108 107.5 0.467664 0.000202979
  109 108.5 0.466152 0.000202323
  110 109.5 0.45972 0.000199531
  111 110.5 0.463616 0.000201222
  112 111.5 0.457936 0.000198757
  113 112.5 0.44648 0.000193785
  114 113.5 0.453224 0.000196712
  115 114.5 0.451608 0.00019601
  116 115.5 0.463248 0.000201062
  117 116.5 0.466584 0.00020251
  118 117.5 0.463728 0.000201271
  119 118.5 0.461856 0.000200458
  120 119.5 0.459248 0.000199326
  121 120.5 0.451208 0.000195837
  122 121.5 0.443856 0.000192646
  123 122.5 0.443008 0.000192278
  124 123.5 0.456408 0.000198094
  125 124.5 0.469984 0.000203986
  126 125.5 0.451256 0.000195858
  127 126.5 0.45624 0.000198021
  128 127.5 0.448336 0.00019459
  129 128.5 0.462368 0.000200681
  130 129.5 0.458856 0.000199156
  131 130.5 0.459712 0.000199528
  132 131.5 0.446688 0.000193875
  133 132.5 0.444904 0.000193101
  134 133.5 0.453472 0.000196819
  135 134.5 0.443568 0.000192521
  136 135.5 0.456448 0.000198111
  137 136.5 0.457848 0.000198719
  138 137.5 0.454536 0.000197281
  139 138.5 0.452264 0.000196295
  140 139.5 0.45892 0.000199184
  141 140.5 0.463968 0.000201375
  142 141.5 0.464592 0.000201646
  143 142.5 0.459392 0.000199389
  144 143.5 0.451208 0.000195837
  145 144.5 0.452776 0.000196517
  146 145.5 0.4516 0.000196007
  147 146.5 0.444816 0.000193063
  148 147.5 0.438136 0.000190163
  149 148.5 0.444912 0.000193104
  150 149.5 0.449784 0.000195219
  151 150.5 0.445712 0.000193451
  152 151.5 0.443336 0.00019242
  153 152.5 0.43928 0.00019066
  154 153.5 0.44544 0.000193333
  155 154.5 0.452168 0.000196253
  156 155.5 0.448048 0.000194465
  157 156.5 0.452232 0.000196281
  158 157.5 0.461024 0.000200097
  159 158.5 0.458512 0.000199007
  160 159.5 0.454256 0.00019716
  161 160.5 0.444592 0.000192965
  162 161.5 0.439952 0.000190951
  163 162.5 0.44684 0.000193941
  164 163.5 0.442488 0.000192052
  165 164.5 0.433024 0.000187944
  166 165.5 0.43448 0.000188576
  167 166.5 0.44788 0.000194392
  168 167.5 0.450408 0.00019549
  169 168.5 0.450552 0.000195552
  170 169.5 0.452576 0.000196431
  171 170.5 0.456848 0.000198285
  172 171.5 0.45756 0.000198594
  173 172.5 0.45764 0.000198628
  174 173.5 0.471048 0.000204448
  175 174.5 0.465792 0.000202167
  176 175.5 0.456544 0.000198153
  177 176.5 0.44552 0.000193368
  178 177.5 0.452936 0.000196587
  179 178.5 0.453776 0.000196951
  180 179.5 0.459864 0.000199594
  181 180.5 0.47352 0.000205521
  182 181.5 0.473728 0.000205611
  183 182.5 0.473056 0.000205319
  184 183.5 0.468608 0.000203389
  185 184.5 0.458584 0.000199038
  186 185.5 0.459736 0.000199538
  187 186.5 0.4602 0.00019974
  188 187.5 0.452736 0.0001965
  189 188.5 0.450952 0.000195726
  190 189.5 0.446816 0.000193931
  191 190.5 0.44448 0.000192917
  192 191.5 0.449488 0.00019509
  193 192.5 0.4538 0.000196962
  194 193.5 0.453256 0.000196726
  195 194.5 0.448744 0.000194767
  196 195.5 0.452776 0.000196517
  197 196.5 0.470912 0.000204389
  198 197.5 0.489808 0.00021259
  199 198.5 0.500936 0.00021742
  200 199.5 0.523872 0.000227375
  201 200.5 0.561704 0.000243795
  202 201.5 0.636592 0.000276299
  203 202.5 0.743576 0.000322733
  204 203.5 0.957496 0.00041558
  205 204.5 1.30881 0.000568059
  206 205.5 1.93823 0.000841247
  207 206.5 2.94385 0.00127771
  208 207.5 4.52007 0.00196184
  209 208.5 6.72306 0.00291799
  210 209.5 9.57158 0.00415433
  211 210.5 12.9018 0.00559972
  212 211.5 16.3585 0.00710006
  213 212.5 19.6975 0.00854925
  214 213.5 22.522 0.00977519
  215 214.5 24.6881 0.0107153
  216 215.5 26.2591 0.0113972
  217 216.5 27.309 0.0118528
  218 217.5 28.0063 0.0121555
  219 218.5 28.3912 0.0123226
  220 219.5 28.4332 0.0123408
  221 220.5 28.2725 0.012271
  222 221.5 27.9918 0.0121492
  223 222.5 27.2665 0.0118344
  224 223.5 26.2996 0.0114148
  225 224.5 25.2264 0.010949
  226 225.5 23.6343 0.0102579
  227 226.5 21.8091 0.00946576
  228 227.5 19.798 0.00859288
  229 228.5 17.6807 0.00767392
  230 229.5 15.5077 0.00673078
  231 230.5 13.4266 0.00582752
  232 231.5 11.4687 0.00497772
  233 232.5 9.68302 0.0042027
  234 233.5 8.17951 0.00355014
  235 234.5 6.83833 0.00296802
  236 235.5 5.83202 0.00253126
  237 236.5 5.06298 0.00219748
  238 237.5 4.47967 0.0019443
  239 238.5 4.01699 0.00174349
  240 239.5 3.64842 0.00158352
  241 240.5 3.39668 0.00147425
  242 241.5 3.24161 0.00140695
  243 242.5 3.1358 0.00136102
  244 243.5 3.02948 0.00131488
  245 244.5 2.94535 0.00127836
  246 245.5 2.85338 0.00123844
  247 246.5 2.79757 0.00121422
  248 247.5 2.74166 0.00118995
  249 248.5 2.69935 0.00117159
  250 249.5 2.66486 0.00115663
  251 250.5 2.64522 0.0011481
  252 251.5 2.70857 0.00117559
  253 252.5 2.71929 0.00118025
  254 253.5 2.68128 0.00116375
  255 254.5 2.64901 0.00114974
  256 255.5 2.62629 0.00113988
  257 256.5 2.66827 0.0011581
  258 257.5 2.66818 0.00115806
  259 258.5 2.65948 0.00115429
  260 259.5 2.65521 0.00115243
  261 260.5 2.65671 0.00115309
  262 261.5 2.60796 0.00113193
  263 262.5 2.6098 0.00113273
  264 263.5 2.59068 0.00112443
  265 264.5 2.55741 0.00110999
  266 265.5 2.56397 0.00111283
  267 266.5 2.52719 0.00109687
  268 267.5 2.4893 0.00108043
  269 268.5 2.48807 0.00107989
  270 269.5 2.52514 0.00109598
  271 270.5 2.46398 0.00106944
  272 271.5 2.47461 0.00107405
  273 272.5 2.46961 0.00107188
