# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 11539.000000000002
  1 0.5 33.9558 0.0147378 -154.842 -268.207 -132.395
  2 1.5 34.0968 0.014799 -278.041 -249.368 -191.44
  3 2.5 34.0637 0.0147846 -299.889 -374.299 -312.1
  4 3.5 33.9707 0.0147442 -272.082 -265.579 -197.128
  5 4.5 34.0418 0.0147751 -139.933 -150.02 -249.78
  6 5.5 34.0639 0.0147847 -247.009 -202.434 -301.34
  7 6.5 34.0346 0.014772 -356.502 -108.25 -113.981
  8 7.5 33.9983 0.0147562 -177.727 -359.256 -194.341
  9 8.5 34.0666 0.0147858 -326.334 -562.676 -344.034
  10 9.5 34.0533 0.0147801 -108.463 -170.055 -181.167
  11 10.5 34.0178 0.0147647 -82.6722 -142.11 -156.583
  12 11.5 34.0232 0.014767 -243.384 -164.697 -322.392
  13 12.5 34.0386 0.0147737 -162.348 -143.144 -255.515
  14 13.5 34.0412 0.0147748 -243.633 -184.112 -112.962
  15 14.5 34.072 0.0147882 -268.083 -112.716 -201.623
  16 15.5 34.0358 0.0147725 -118.519 -216.022 -249.381
  17 16.5 34.0383 0.0147736 -363.38 -179.165 -311.836
  18 17.5 34.0036 0.0147585 -260.265 -127.047 -232.794
  19 18.5 34.1241 0.0148108 -129.166 4.08966 -176.26
  20 19.5 34.0696 0.0147872 -171.943 -182.594 -199.544
  21 20.5 34.0074 0.0147602 -65.7708 -307.019 -283.146
  22 21.5 34.0757 0.0147898 -110.732 -329.799 -244.855
  23 22.5 34.1157 0.0148071 -168.544 -87.7466 -155.565
  24 23.5 34.0659 0.0147856 -229.967 -262.966 -365.821
  25 24.5 34.0585 0.0147823 -339.82 -393.502 -284.412
  26 25.5 34.0616 0.0147837 -242.466 -204.954 -94.8233
  27 26.5 34.1328 0.0148146 -168.217 -273.062 -230.112
  28 27.5 34.0222 0.0147666 -226.089 -306.337 -346.274
  29 28.5 34.0279 0.014769 -102.552 -122.271 -229.855
  30 29.5 34.0673 0.0147862 -219.249 -108.495 -310.198
  31 30.5 34.0864 0.0147944 -235.026 -179.299 -298.298
  32 31.5 33.9935 0.0147541 -280.344 -286.869 -400.451
  33 32.5 34.0028 0.0147582 -219.538 -244.481 -337.869
  34 33.5 34.1464 0.0148205 -153.896 -119.873 -309.725
  35 34.5 34.0315 0.0147706 18.862 -90.6071 -359.557
  36 35.5 33.9543 0.0147371 -229.768 -186.681 -662.105
  37 36.5 33.9727 0.0147451 -7.2388 -27.189 -749.81
  38 37.5 34.0391 0.0147739 20.1326 42.1772 -796.251
  39 38.5 33.8893 0.0147089 144.35 109.447 -807.654
  40 39.5 33.9264 0.014725 364.632 269.776 -1205.32
  41 40.5 33.7949 0.0146679 546.925 673.191 -1444.8
  42 41.5 33.6854 0.0146204 865.026 866.232 -1561.41
  43 42.5 33.5895 0.0145788 988.745 1184.45 -1985.92
  44 43.5 33.4019 0.0144974 1685.48 1799.16 -2287.8
  45 44.5 33.0927 0.0143632 2434.78 2562.14 -2613.5
  46 45.5 32.7206 0.0142016 3234.02 3321.14 -2792.07
  47 46.5 32.2091 0.0139796 4538.04 4435.19 -2970.22
  48 47.5 31.3426 0.0136036 5925.06 5785.29 -2596.08
  49 48.5 30.1288 0.0130767 7226.78 7131.62 -1995.57
  50 49.5 28.4956 0.0123679 8596.28 8520.64 -793.077
  51 50.5 26.3106 0.0114195 9901.42 9839.69 927.908
  52 51.5 23.2649 0.0100976 10453 10440.7 2908.85
  53 52.5 19.7421 0.00856863 10700.3 10626.6 5026
  54 53.5 15.8385 0.00687437 10067.9 10014.8 7021.9
  55 54.5 11.923 0.00517491 8655.86 8715.98 8922.97
  56 55.5 8.49094 0.0036853 6663.64 6827.55 9931.13
  57 56.5 5.80022 0.00251745 4369.31 4330.67 10622.1
  58 57.5 3.81772 0.001657 1654.24 1499.71 10342
  59 58.5 2.49921 0.00108473 -1501.61 -1608.18 8726.02
  60 59.5 1.67949 0.000728944 -4413.71 -4637.45 5868.79
  61 60.5 1.17631 0.000510552 -7294.55 -7682.64 1988.3
  62 61.5 0.88788 0.000385365 -10166.3 -10719.6 -2418.34
  63 62.5 0.743864 0.000322858 -12052.2 -12115.5 -5901.51
  64 63.5 0.643384 0.000279247 -13174.5 -13320.7 -9153.14
  65 64.5 0.58828 0.00025533 -13825.5 -14441.7 -11484
  66 65.5 0.5578 0.000242101 -14169.6 -14663.8 -12860.2
  67 66.5 0.552128 0.000239639 -14574.7 -14850.6 -13393.4
  68 67.5 0.528232 0.000229267 -14656.4 -15063.2 -14516.8
  69 68.5 0.521424 0.000226313 -15351.6 -15341.2 -14944.4
  70 69.5 0.523408 0.000227174 -15583.7 -15289 -14883.2
  71 70.5 0.52456 0.000227674 -15255.9 -14942.4 -15171.4
  72 71.5 0.529624 0.000229872 -15790.4 -15122 -15109.9
  73 72.5 0.530752 0.000230361 -16101.3 -15493.4 -15167.7
  74 73.5 0.531312 0.000230604 -15597.3 -15863.5 -15061.3
  75 74.5 0.526352 0.000228451 -15609.5 -15700.7 -15235.4
  76 75.5 0.518176 0.000224903 -14873.8 -15518.4 -15599.3
  77 76.5 0.516624 0.000224229 -14807 -15573.2 -15773.7
  78 77.5 0.52808 0.000229201 -15156.4 -15401.9 -15369.9
  79 78.5 0.529952 0.000230014 -14906.4 -14849 -15249.2
  80 79.5 0.532104 0.000230948 -15055.3 -15128.8 -15174.8
  81 80.5 0.519968 0.000225681 -14788.3 -15428.7 -15602.5
  82 81.5 0.517488 0.000224604 -14989 -15364.7 -15733.7
  83 82.5 0.524504 0.000227649 -14623.5 -15207.4 -15326.4
  84 83.5 0.524104 0.000227476 -14909.8 -15453.2 -15407.5
  85 84.5 0.525504 0.000228083 -15180.7 -14710.7 -15437.2
  86 85.5 0.533424 0.000231521 -15408.1 -14721.6 -15081.7
  87 86.5 0.534168 0.000231844 -15458.4 -14805.8 -15243.4
  88 87.5 0.520888 0.00022608 -15259.3 -14639.4 -15584.6
  89 88.5 0.519256 0.000225372 -15137.7 -14923.3 -15570.9
  90 89.5 0.518568 0.000225073 -15039 -15189.4 -15669.3
  91 90.5 0.515696 0.000223826 -15482.6 -15146.4 -15652.3
  92 91.5 0.516584 0.000224212 -15511.1 -15308.5 -15733.5
  93 92.5 0.519192 0.000225344 -15695.2 -15359.4 -15655.2
  94 93.5 0.518296 0.000224955 -15320.8 -15213.8 -15657.2
  95 94.5 0.524064 0.000227458 -15389 -15097.3 -15401.5
  96 95.5 0.526344 0.000228448 -15391.3 -15022.3 -15269.5
  97 96.5 0.525512 0.000228087 -15550.8 -15043.7 -15465.1
  98 97.5 0.525112 0.000227913 -15336.7 -14809.3 -15488
  99 98.5 0.525304 0.000227997 -15548.1 -15079.2 -15435.9
  100 99.5 0.51776 0.000224722 -15328.3 -14860.6 -15587.4
  101 100.5 0.530464 0.000230236 -14891.4 -15408.9 -15346.2
  102 101.5 0.536184 0.000232719 -14789.6 -15371.8 -15215
  103 102.5 0.53376 0.000231667 -15071.2 -15173.4 -15199.8
  104 103.5 0.540312 0.00023451 -14826 -15483.5 -14900.3
  105 104.5 0.544352 0.000236264 -14756.5 -16054.8 -14944.3
  106 105.5 0.543216 0.000235771 -14985.1 -15499.7 -14806.1
  107 106.5 0.543736 0.000235997 -15039.1 -15314.7 -14900.3
  108 107.5 0.542304 0.000235375 -14746.1 -15661 -14949.7
  109 108.5 0.540104 0.00023442 -15222.6 -15680.6 -15014.2
  110 109.5 0.535464 0.000232406 -15345.5 -15446.4 -15202.5
  111 110.5 0.536584 0.000232892 -16008.6 -15630.4 -15104.9
  112 111.5 0.527784 0.000229073 -15504.5 -15727.7 -15319.2
  113 112.5 0.515888 0.00022391 -14989.9 -15485 -15658.3
  114 113.5 0.520064 0.000225722 -15570.6 -15708.7 -15590
  115 114.5 0.519728 0.000225576 -15425.9 -15663.1 -15687.2
  116 115.5 0.53052 0.00023026 -14732 -15559.4 -15162.5
  117 116.5 0.535776 0.000232542 -15049.5 -15855.9 -15049.2
  118 117.5 0.533328 0.000231479 -15312.7 -15622.3 -15261.4
  119 118.5 0.530992 0.000230465 -15693.6 -15717.6 -15264.5
  120 119.5 0.535736 0.000232524 -15361.6 -16205.4 -15156.1
  121 120.5 0.525776 0.000228201 -14979.9 -16135 -15381.3
  122 121.5 0.516568 0.000224205 -14905.2 -15742.5 -15566.2
  123 122.5 0.515064 0.000223552 -14715.8 -15462.4 -15845.6
  124 123.5 0.528384 0.000229333 -14567.2 -15606.7 -15346.4
  125 124.5 0.539888 0.000234326 -15195.2 -15228.7 -14995.7
  126 125.5 0.519152 0.000225326 -15163.6 -15515.4 -15506.5
  127 126.5 0.524232 0.000227531 -15534.5 -15926.2 -15462
  128 127.5 0.515136 0.000223583 -15449.4 -15534.8 -15787.2
