# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 11266.999999999998
  1 0.5 32.8005 0.0142363 -371.327 -398.648 -410.737
  2 1.5 32.7982 0.0142353 -406.088 -339.806 -478.527
  3 2.5 32.8207 0.0142451 -361.446 -261.95 -367.96
  4 3.5 32.796 0.0142344 -403.579 -324.883 -376.7
  5 4.5 32.8074 0.0142393 -427.275 -387.716 -380.974
  6 5.5 32.8133 0.0142419 -396.146 -342.6 -398.872
  7 6.5 32.8005 0.0142363 -303.07 -364.746 -404.165
  8 7.5 32.8027 0.0142373 -343.936 -228.077 -341.928
  9 8.5 32.783 0.0142288 -389.661 -352.084 -472.554
  10 9.5 32.8214 0.0142454 -383.984 -384.847 -373.382
  11 10.5 32.806 0.0142387 -364.764 -429.471 -355.201
  12 11.5 32.7954 0.0142341 -393.669 -314.479 -372.14
  13 12.5 32.8038 0.0142378 -321.943 -360.202 -415.505
  14 13.5 32.7995 0.0142359 -390.089 -307.254 -401.662
  15 14.5 32.8054 0.0142384 -368.081 -412.475 -405.492
  16 15.5 32.7837 0.0142291 -388.847 -349.636 -405.989
  17 16.5 32.7983 0.0142354 -357.568 -294.846 -382.225
  18 17.5 32.8129 0.0142417 -385.566 -306.493 -316.172
  19 18.5 32.7847 0.0142295 -406.889 -347.067 -421.014
  20 19.5 32.7893 0.0142315 -423.154 -311.765 -453.819
  21 20.5 32.7881 0.0142309 -405.991 -406.248 -391.168
  22 21.5 32.8064 0.0142389 -322.009 -378.563 -310.447
  23 22.5 32.8021 0.014237 -395.382 -415.846 -409.023
  24 23.5 32.7948 0.0142338 -368.043 -394.145 -425.662
  25 24.5 32.7763 0.0142258 -414.218 -388.614 -398.638
  26 25.5 32.7986 0.0142355 -384.016 -398.805 -370.572
  27 26.5 32.8161 0.0142431 -389.067 -364.611 -390.916
  28 27.5 32.8031 0.0142374 -393.391 -337.788 -418.399
  29 28.5 32.7569 0.0142174 -319.2 -303.131 -401.568
  30 29.5 32.8245 0.0142468 -397.516 -312.33 -393.018
  31 30.5 32.8296 0.014249 -436.325 -369.74 -444.053
  32 31.5 32.773 0.0142244 -431.48 -362.541 -386.438
  33 32.5 32.7978 0.0142352 -327.756 -309.22 -395.75
  34 33.5 32.8087 0.0142399 -379.723 -348.317 -528.246
  35 34.5 32.7937 0.0142334 -291.546 -356.545 -364.524
  36 35.5 32.7928 0.014233 -411.764 -434.834 -471.279
  37 36.5 32.7644 0.0142207 -424.765 -357.071 -519.851
  38 37.5 32.7535 0.0142159 -395.422 -386.154 -533.424
  39 38.5 32.7839 0.0142291 -266.275 -341.654 -546.957
  40 39.5 32.7469 0.014213 -233.205 -283.985 -589.131
  41 40.5 32.7055 0.0141951 -214.031 -285.044 -684.379
  42 41.5 32.6965 0.0141912 -127.033 -110.353 -747.736
  43 42.5 32.6749 0.0141818 -140.128 -83.299 -956.666
  44 43.5 32.6197 0.0141579 -19.9703 94.8107 -888.562
  45 44.5 32.5623 0.0141329 147.817 57.9084 -1092.66
  46 45.5 32.468 0.014092 347.878 280.369 -1338.22
  47 46.5 32.3672 0.0140482 553.045 529.467 -1499.66
  48 47.5 32.2129 0.0139813 887.291 896.012 -1573.42
  49 48.5 31.9805 0.0138804 1330.67 1319.84 -1775.82
  50 49.5 31.6777 0.013749 1765.01 1698.83 -1916.08
  51 50.5 31.2737 0.0135737 2317.49 2247.13 -2063.45
  52 51.5 30.6826 0.0133171 2874.37 2818.95 -1871.35
  53 52.5 29.9144 0.0129837 3432.18 3420.5 -1871.97
  54 53.5 28.9356 0.0125589 4001 4029.33 -1645.67
  55 54.5 27.6577 0.0120042 4695.56 4660.78 -1257.8
  56 55.5 26.0903 0.0113239 5247.69 5146.39 -763.481
