# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 5091.999999999999
  1 0.5 24.6714 0.0107081
  2 1.5 24.6958 0.0107187
  3 2.5 24.6846 0.0107138
  4 3.5 24.7369 0.0107365
  5 4.5 24.7672 0.0107497
  6 5.5 24.8337 0.0107785
  7 6.5 24.8096 0.010768
  8 7.5 24.8424 0.0107823
  9 8.5 24.8976 0.0108062
  10 9.5 24.9358 0.0108228
  11 10.5 24.9266 0.0108189
  12 11.5 24.9691 0.0108373
  13 12.5 24.9824 0.010843
  14 13.5 25.0032 0.0108521
  15 14.5 25.0053 0.010853
  16 15.5 25.0376 0.010867
  17 16.5 25.0594 0.0108765
  18 17.5 25.0656 0.0108792
  19 18.5 25.0389 0.0108676
  20 19.5 25.0017 0.0108514
  21 20.5 25.0353 0.010866
  22 21.5 25.0257 0.0108618
  23 22.5 25.0002 0.0108508
  24 23.5 24.9937 0.010848
  25 24.5 24.9836 0.0108436
  26 25.5 24.9701 0.0108377
  27 26.5 24.9438 0.0108263
  28 27.5 24.9019 0.0108081
  29 28.5 24.8119 0.010769
  30 29.5 24.7193 0.0107289
  31 30.5 24.5574 0.0106586
  32 31.5 24.2813 0.0105387
  33 32.5 23.9809 0.0104084
  34 33.5 23.603 0.0102443
  35 34.5 23.099 0.0100256
  36 35.5 22.366 0.00970746
  37 36.5 21.4732 0.00931995
  38 37.5 20.3723 0.00884214
  39 38.5 19.0777 0.00828024
  40 39.5 17.5566 0.00762006
  41 40.5 15.8147 0.00686401
  42 41.5 13.9519 0.00605552
  43 42.5 12.0105 0.0052129
  44 43.5 10.0836 0.00437654
  45 44.5 8.26472 0.00358712
  46 45.5 6.61845 0.00287259
  47 46.5 5.22626 0.00226834
  48 47.5 4.0842 0.00177265
  49 48.5 3.18303 0.00138152
  50 49.5 2.4927 0.0010819
  51 50.5 2.00115 0.000868556
  52 51.5 1.66659 0.000723348
  53 52.5 1.42701 0.000619361
  54 53.5 1.26888 0.000550729
  55 54.5 1.17244 0.000508871
  56 55.5 1.09214 0.000474021
  57 56.5 1.05185 0.000456532
  58 57.5 1.02746 0.000445946
  59 58.5 1.00662 0.000436902
  60 59.5 0.991052 0.000430144
  61 60.5 0.988264 0.000428934
  62 61.5 0.978654 0.000424763
  63 62.5 0.973856 0.000422681
  64 63.5 0.969704 0.000420878
  65 64.5 0.958722 0.000416112
  66 65.5 0.954976 0.000414486
  67 66.5 0.965674 0.000419129
  68 67.5 0.961824 0.000417458
  69 68.5 0.962108 0.000417582
  70 69.5 0.955702 0.000414801
  71 70.5 0.95164 0.000413038
  72 71.5 0.956112 0.000414979
  73 72.5 0.961248 0.000417208
  74 73.5 0.960106 0.000416713
  75 74.5 0.955782 0.000414836
  76 75.5 0.95371 0.000413937
  77 76.5 0.952766 0.000413527
  78 77.5 0.95797 0.000415786
  79 78.5 0.955682 0.000414793
  80 79.5 0.951358 0.000412916
  81 80.5 0.953944 0.000414038
  82 81.5 0.958272 0.000415917
  83 82.5 0.964868 0.00041878
  84 83.5 0.964604 0.000418665
  85 84.5 0.96357 0.000418216
  86 85.5 0.962532 0.000417766
  87 86.5 0.96266 0.000417821
  88 87.5 0.963336 0.000418115
  89 88.5 0.956186 0.000415011
  90 89.5 0.958048 0.000415819
  91 90.5 0.955944 0.000414906
  92 91.5 0.960468 0.00041687
  93 92.5 0.965334 0.000418982
  94 93.5 0.963424 0.000418153
  95 94.5 0.968406 0.000420315
  96 95.5 0.971768 0.000421774
  97 96.5 0.974466 0.000422945
  98 97.5 0.967182 0.000419784
  99 98.5 0.965008 0.00041884
  100 99.5 0.971868 0.000421818
  101 100.5 0.972812 0.000422227
  102 101.5 0.966116 0.000419321
  103 102.5 0.962484 0.000417745
  104 103.5 0.971862 0.000421815
  105 104.5 0.968936 0.000420545
  106 105.5 0.970188 0.000421089
  107 106.5 0.961202 0.000417188
  108 107.5 0.959892 0.00041662
  109 108.5 0.956264 0.000415045
  110 109.5 0.956272 0.000415049
  111 110.5 0.96384 0.000418333
  112 111.5 0.959158 0.000416301
  113 112.5 0.965316 0.000418974
  114 113.5 0.96186 0.000417474
  115 114.5 0.960608 0.000416931
  116 115.5 0.961358 0.000417256
  117 116.5 0.962072 0.000417566
  118 117.5 0.960172 0.000416741
  119 118.5 0.960942 0.000417076
  120 119.5 0.961894 0.000417489
  121 120.5 0.963838 0.000418332
  122 121.5 0.953818 0.000413984
  123 122.5 0.957608 0.000415628
  124 123.5 0.961652 0.000417384
  125 124.5 0.960998 0.0004171
  126 125.5 0.958862 0.000416173
  127 126.5 0.958086 0.000415836
  128 127.5 0.957592 0.000415622
  129 128.5 0.954246 0.000414169
  130 129.5 0.95786 0.000415738
  131 130.5 0.97037 0.000421168
  132 131.5 0.96831 0.000420273
  133 132.5 0.956842 0.000415296
  134 133.5 0.957126 0.000415419
  135 134.5 0.953848 0.000413997
  136 135.5 0.954492 0.000414276
  137 136.5 0.952664 0.000413483
  138 137.5 0.960246 0.000416773
  139 138.5 0.959242 0.000416338
  140 139.5 0.959318 0.000416371
  141 140.5 0.960314 0.000416803
  142 141.5 0.951006 0.000412763
  143 142.5 0.955984 0.000414924
  144 143.5 0.954076 0.000414095
  145 144.5 0.961316 0.000417238
  146 145.5 0.957052 0.000415387
  147 146.5 0.955708 0.000414804
  148 147.5 0.953274 0.000413747
  149 148.5 0.957402 0.000415539
  150 149.5 0.960364 0.000416825
  151 150.5 0.955354 0.00041465
  152 151.5 0.953282 0.000413751
  153 152.5 0.955862 0.000414871
  154 153.5 0.955984 0.000414924
  155 154.5 0.952564 0.000413439
  156 155.5 0.954014 0.000414069
  157 156.5 0.950972 0.000412748
  158 157.5 0.953526 0.000413857
  159 158.5 0.95008 0.000412361
  160 159.5 0.957686 0.000415662
  161 160.5 0.963032 0.000417983
  162 161.5 0.962856 0.000417906
  163 162.5 0.963836 0.000418332
  164 163.5 0.963614 0.000418235
  165 164.5 0.958838 0.000416162
  166 165.5 0.954922 0.000414463
  167 166.5 0.958576 0.000416049
  168 167.5 0.95979 0.000416576
  169 168.5 0.96055 0.000416905
  170 169.5 0.963968 0.000418389
  171 170.5 0.966196 0.000419356
  172 171.5 0.965056 0.000418861
  173 172.5 0.959288 0.000416358
  174 173.5 0.95827 0.000415916
  175 174.5 0.965152 0.000418903
  176 175.5 0.976356 0.000423766
  177 176.5 0.980342 0.000425496
  178 177.5 0.975152 0.000423243
  179 178.5 0.979724 0.000425227
  180 179.5 0.98522 0.000427613
  181 180.5 1.00871 0.00043781
  182 181.5 1.03476 0.000449113
  183 182.5 1.07257 0.000465525
  184 183.5 1.12311 0.000487463
  185 184.5 1.20403 0.000522582
  186 185.5 1.33101 0.000577694
  187 186.5 1.50561 0.000653477
  188 187.5 1.76228 0.000764879
  189 188.5 2.12215 0.000921073
  190 189.5 2.62738 0.00114036
  191 190.5 3.30114 0.00143279
  192 191.5 4.19605 0.0018212
  193 192.5 5.30827 0.00230393
  194 193.5 6.64115 0.00288244
  195 194.5 8.20057 0.00355928
  196 195.5 9.95185 0.00431938
  197 196.5 11.8185 0.00512958
  198 197.5 13.7246 0.00595685
  199 198.5 15.5393 0.00674451
  200 199.5 17.2246 0.00747594
  201 200.5 18.7014 0.00811691
  202 201.5 19.8907 0.0086331
  203 202.5 20.8225 0.00903756
  204 203.5 21.4645 0.00931619
  205 204.5 21.8706 0.00949247
  206 205.5 22.0625 0.00957576
  207 206.5 22.0246 0.00955928
  208 207.5 21.818 0.00946962
  209 208.5 21.4811 0.00932339
  210 209.5 21.0311 0.00912809
  211 210.5 20.4551 0.00887806
  212 211.5 19.8154 0.00860042
  213 212.5 19.1138 0.00829592
  214 213.5 18.3282 0.00795493
  215 214.5 17.4636 0.0075797
  216 215.5 16.5721 0.00719276
  217 216.5 15.7295 0.00682706
  218 217.5 14.8034 0.00642509
  219 218.5 13.867 0.00601868
  220 219.5 12.9723 0.00563034
  221 220.5 12.141 0.00526954
  222 221.5 11.3398 0.00492179
  223 222.5 10.6058 0.00460323
  224 223.5 9.88995 0.00429251
  225 224.5 9.30673 0.00403938
  226 225.5 8.75692 0.00380074
  227 226.5 8.25412 0.00358252
  228 227.5 7.83296 0.00339972
  229 228.5 7.49759 0.00325416
  230 229.5 7.16606 0.00311027
  231 230.5 6.89259 0.00299158
  232 231.5 6.69016 0.00290371
  233 232.5 6.52722 0.00283299
  234 233.5 6.38117 0.00276961
  235 234.5 6.25813 0.0027162
  236 235.5 6.15476 0.00267134
  237 236.5 6.06312 0.00263156
  238 237.5 6.02224 0.00261382
  239 238.5 6.00214 0.00260509
  240 239.5 5.9544 0.00258437
  241 240.5 5.90555 0.00256317
  242 241.5 5.90376 0.0025624
  243 242.5 5.90275 0.00256196
  244 243.5 5.8944 0.00255833
  245 244.5 5.9022 0.00256172
  246 245.5 5.87119 0.00254826
  247 246.5 5.85788 0.00254248
  248 247.5 5.85149 0.00253971
  249 248.5 5.86422 0.00254524
  250 249.5 5.82079 0.00252638
  251 250.5 5.83195 0.00253123
  252 251.5 5.81053 0.00252193
  253 252.5 5.79526 0.00251531
  254 253.5 5.80586 0.00251991
  255 254.5 5.78319 0.00251007
  256 255.5 5.76188 0.00250081
  257 256.5 5.76838 0.00250364
  258 257.5 5.79142 0.00251364
  259 258.5 5.80998 0.00252169
  260 259.5 5.77458 0.00250633
  261 260.5 5.76511 0.00250222
  262 261.5 5.7713 0.00250491
  263 262.5 5.75461 0.00249766
  264 263.5 5.74863 0.00249507
  265 264.5 5.77557 0.00250676
  266 265.5 5.77673 0.00250726
  267 266.5 5.77513 0.00250657
  268 267.5 5.76897 0.00250389
  269 268.5 5.7935 0.00251454
  270 269.5 5.8217 0.00252678
  271 270.5 5.86141 0.00254401
  272 271.5 5.86279 0.00254462
  273 272.5 5.9071 0.00256385
  274 273.5 5.916 0.00256771
  275 274.5 5.93484 0.00257588
  276 275.5 5.94744 0.00258135
  277 276.5 5.94283 0.00257936
  278 277.5 5.94308 0.00257946
  279 278.5 5.93863 0.00257753
  280 279.5 5.94169 0.00257886
  281 280.5 5.93148 0.00257443
  282 281.5 5.91148 0.00256575
  283 282.5 5.92271 0.00257062
  284 283.5 5.90052 0.00256099
  285 284.5 5.88157 0.00255277
  286 285.5 5.89045 0.00255662
  287 286.5 5.88812 0.00255561
  288 287.5 5.89145 0.00255705
  289 288.5 5.89728 0.00255959
  290 289.5 5.89703 0.00255947
  291 290.5 5.885 0.00255425
  292 291.5 5.8675 0.00254666
  293 292.5 5.86785 0.00254681
  294 293.5 5.90865 0.00256452
  295 294.5 5.88967 0.00255628
  296 295.5 5.89715 0.00255953
  297 296.5 5.90595 0.00256335
  298 297.5 5.91258 0.00256623
  299 298.5 5.94736 0.00258132
  300 299.5 5.94604 0.00258074
  301 300.5 5.93927 0.00257781
  302 301.5 5.93184 0.00257458
  303 302.5 5.93956 0.00257794
  304 303.5 5.93889 0.00257764
  305 304.5 5.91503 0.00256729
  306 305.5 5.891 0.00255686
  307 306.5 5.87727 0.0025509
  308 307.5 5.86027 0.00254352
  309 308.5 5.85311 0.00254041
  310 309.5 5.8866 0.00255495
  311 310.5 5.9085 0.00256445
  312 311.5 5.90175 0.00256153
  313 312.5 5.90415 0.00256257
  314 313.5 5.90681 0.00256372
  315 314.5 5.90188 0.00256158
  316 315.5 5.85563 0.00254151
  317 316.5 5.81399 0.00252343
  318 317.5 5.84434 0.00253661
  319 318.5 5.83091 0.00253078
  320 319.5 5.82831 0.00252965
  321 320.5 5.82219 0.00252699
  322 321.5 5.82697 0.00252907
  323 322.5 5.8504 0.00253923
  324 323.5 5.84994 0.00253904
  325 324.5 5.84866 0.00253848
  326 325.5 5.85123 0.0025396
  327 326.5 5.86008 0.00254344
  328 327.5 5.88193 0.00255292
  329 328.5 5.88838 0.00255572
  330 329.5 5.89678 0.00255936
  331 330.5 5.92793 0.00257289
  332 331.5 5.9387 0.00257756
  333 332.5 5.92433 0.00257132
  334 333.5 5.8853 0.00255438
  335 334.5 5.89803 0.00255991
  336 335.5 5.90511 0.00256298
  337 336.5 5.87943 0.00255183
  338 337.5 5.8959 0.00255898
  339 338.5 5.90652 0.0025636
  340 339.5 5.88891 0.00255595
  341 340.5 5.90326 0.00256218
  342 341.5 5.9027 0.00256193
  343 342.5 5.89174 0.00255718
  344 343.5 5.87654 0.00255058
  345 344.5 5.87269 0.00254891
  346 345.5 5.87748 0.00255099
  347 346.5 5.85297 0.00254035
  348 347.5 5.84516 0.00253696
  349 348.5 5.83317 0.00253176
  350 349.5 5.82657 0.00252889
  351 350.5 5.83672 0.0025333
  352 351.5 5.84262 0.00253586
  353 352.5 5.8333 0.00253181
  354 353.5 5.85998 0.00254339
  355 354.5 5.86538 0.00254574
  356 355.5 5.88263 0.00255322
  357 356.5 5.89156 0.0025571
  358 357.5 5.92787 0.00257286
  359 358.5 5.99295 0.00260111
  360 359.5 6.07049 0.00263476
  361 360.5 6.14575 0.00266743
  362 361.5 6.21014 0.00269537
  363 362.5 6.30003 0.00273439
  364 363.5 6.42335 0.00278791
  365 364.5 6.56956 0.00285137
  366 365.5 6.67431 0.00289684
  367 366.5 6.87935 0.00298583
  368 367.5 7.12464 0.00309229
  369 368.5 7.37531 0.00320109
  370 369.5 7.69115 0.00333817
  371 370.5 8.05866 0.00349768
  372 371.5 8.48432 0.00368243
  373 372.5 8.95473 0.0038866
  374 373.5 9.51303 0.00412892
  375 374.5 10.0748 0.00437275
  376 375.5 10.7413 0.004662
  377 376.5 11.4575 0.00497289
  378 377.5 12.2613 0.00532176
  379 378.5 13.0718 0.00567351
  380 379.5 13.9546 0.00605667
  381 380.5 14.8229 0.00643355
  382 381.5 15.674 0.00680297
  383 382.5 16.5499 0.00718312
  384 383.5 17.4311 0.00756559
  385 384.5 18.2443 0.00791855
  386 385.5 19.0181 0.00825437
  387 386.5 19.6989 0.00854988
  388 387.5 20.3433 0.00882956
  389 388.5 20.9221 0.00908076
  390 389.5 21.462 0.00931512
  391 390.5 21.8936 0.00950242
  392 391.5 22.2962 0.00967716
  393 392.5 22.6685 0.00983876
  394 393.5 22.9606 0.00996554
  395 394.5 23.175 0.0100586
  396 395.5 23.4278 0.0101683
  397 396.5 23.6154 0.0102497
  398 397.5 23.7677 0.0103159
  399 398.5 23.8685 0.0103596
  400 399.5 23.9939 0.010414
  401 400.5 24.162 0.010487
  402 401.5 24.2536 0.0105267
  403 402.5 24.2834 0.0105397
  404 403.5 24.366 0.0105755
  405 404.5 24.422 0.0105998
  406 405.5 24.4269 0.0106019
  407 406.5 24.4653 0.0106186
  408 407.5 24.4795 0.0106248
  409 408.5 24.4855 0.0106274
  410 409.5 24.5328 0.0106479
  411 410.5 24.532 0.0106476
  412 411.5 24.5393 0.0106507
  413 412.5 24.5441 0.0106528
  414 413.5 24.5295 0.0106465
  415 414.5 24.5099 0.010638
  416 415.5 24.5413 0.0106516
  417 416.5 24.5171 0.0106411
  418 417.5 24.5943 0.0106746
  419 418.5 24.6107 0.0106817
  420 419.5 24.6443 0.0106963
  421 420.5 24.6502 0.0106989
  422 421.5 24.6617 0.0107039
  423 422.5 24.687 0.0107148
  424 423.5 24.7176 0.0107281
  425 424.5 24.705 0.0107227
  426 425.5 24.6885 0.0107155
  427 426.5 24.7133 0.0107262
  428 427.5 24.7249 0.0107313
  429 428.5 24.6842 0.0107136
  430 429.5 24.7606 0.0107468
  431 430.5 24.7965 0.0107624
  432 431.5 24.7879 0.0107586
  433 432.5 24.7876 0.0107585
  434 433.5 24.8019 0.0107647
  435 434.5 24.7745 0.0107528
  436 435.5 24.7514 0.0107428
  437 436.5 24.7397 0.0107377
  438 437.5 24.7653 0.0107488
  439 438.5 24.746 0.0107405
  440 439.5 24.7159 0.0107274
  441 440.5 24.7716 0.0107516
  442 441.5 24.7571 0.0107452
  443 442.5 24.7126 0.010726
  444 443.5 24.7405 0.0107381
  445 444.5 24.7619 0.0107473
  446 445.5 24.7007 0.0107208
  447 446.5 24.702 0.0107214
  448 447.5 24.7308 0.0107339
  449 448.5 24.7316 0.0107342
  450 449.5 24.7279 0.0107326
  451 450.5 24.7469 0.0107408
  452 451.5 24.7807 0.0107555
  453 452.5 24.8016 0.0107646
  454 453.5 24.7413 0.0107384
  455 454.5 24.7193 0.0107289
  456 455.5 24.7887 0.010759
  457 456.5 24.7744 0.0107528
  458 457.5 24.7539 0.0107439
  459 458.5 24.745 0.01074
  460 459.5 24.7565 0.010745
  461 460.5 24.7279 0.0107326
  462 461.5 24.7101 0.0107249
  463 462.5 24.746 0.0107404
  464 463.5 24.7099 0.0107248
  465 464.5 24.6995 0.0107203
  466 465.5 24.7499 0.0107421
  467 466.5 24.6923 0.0107171
  468 467.5 24.6665 0.010706
  469 468.5 24.72 0.0107292
  470 469.5 24.7309 0.0107339
  471 470.5 24.6947 0.0107182
  472 471.5 24.6999 0.0107204
  473 472.5 24.7252 0.0107314
  474 473.5 24.712 0.0107257
  475 474.5 24.7411 0.0107383
  476 475.5 24.7403 0.010738
  477 476.5 24.7151 0.010727
  478 477.5 24.6811 0.0107123
  479 478.5 24.6614 0.0107037
  480 479.5 24.6571 0.0107019
30000000 480 5091.999999999994
  1 0.5 24.4886 0.0106287
  2 1.5 24.4531 0.0106133
  3 2.5 24.4471 0.0106107
  4 3.5 24.4774 0.0106239
  5 4.5 24.4587 0.0106158
  6 5.5 24.4091 0.0105942
  7 6.5 24.407 0.0105933
  8 7.5 24.4475 0.0106109
  9 8.5 24.3781 0.0105808
  10 9.5 24.4128 0.0105958
  11 10.5 24.4318 0.0106041
  12 11.5 24.4273 0.0106021
  13 12.5 24.4305 0.0106035
  14 13.5 24.414 0.0105963
  15 14.5 24.4216 0.0105997
  16 15.5 24.4224 0.0106
  17 16.5 24.4161 0.0105973
  18 17.5 24.4167 0.0105975
  19 18.5 24.4138 0.0105963
  20 19.5 24.4331 0.0106046
  21 20.5 24.4254 0.0106013
  22 21.5 24.3994 0.01059
  23 22.5 24.4148 0.0105967
  24 23.5 24.4479 0.0106111
  25 24.5 24.4153 0.0105969
  26 25.5 24.3653 0.0105752
  27 26.5 24.3402 0.0105643
  28 27.5 24.3245 0.0105575
  29 28.5 24.1858 0.0104973
  30 29.5 24.0025 0.0104178
  31 30.5 23.7818 0.010322
  32 31.5 23.442 0.0101745
  33 32.5 22.911 0.00994403
  34 33.5 22.2255 0.00964647
  35 34.5 21.3357 0.00926028
  36 35.5 20.1818 0.00875946
  37 36.5 18.6865 0.00811047
  38 37.5 16.9939 0.00737582
  39 38.5 15.0712 0.00654132
  40 39.5 13.0183 0.00565029
  41 40.5 10.9415 0.00474893
  42 41.5 8.97669 0.00389613
  43 42.5 7.17198 0.00311284
  44 43.5 5.62292 0.0024405
  45 44.5 4.36045 0.00189256
  46 45.5 3.38421 0.00146884
  47 46.5 2.65636 0.00115293
  48 47.5 2.12653 0.000922973
  49 48.5 1.75607 0.000762183
  50 49.5 1.48618 0.000645043
  51 50.5 1.31101 0.000569014
  52 51.5 1.20429 0.000522694
  53 52.5 1.12433 0.00048799
  54 53.5 1.07387 0.00046609
  55 54.5 1.04121 0.000451916
  56 55.5 1.02136 0.000443299
  57 56.5 0.999872 0.000433972
  58 57.5 0.99186 0.000430495
  59 58.5 0.982294 0.000426343
  60 59.5 0.978318 0.000424617
  61 60.5 0.972078 0.000421909
  62 61.5 0.974064 0.000422771
  63 62.5 0.974262 0.000422857
  64 63.5 0.976374 0.000423773
  65 64.5 0.968296 0.000420267
  66 65.5 0.965074 0.000418869
  67 66.5 0.966496 0.000419486
  68 67.5 0.965262 0.000418951
  69 68.5 0.961122 0.000417154
  70 69.5 0.966736 0.00041959
  71 70.5 0.967942 0.000420114
  72 71.5 0.963164 0.00041804
  73 72.5 0.960564 0.000416911
  74 73.5 0.970304 0.000421139
