# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 11907
  1 0.5 35.427 0.0153763 -14.3243 -126.666 -108.874
  2 1.5 35.5071 0.0154111 -72.6977 -227.045 -66.637
  3 2.5 35.5046 0.01541 -163.651 -199.163 -95.3465
  4 3.5 35.4669 0.0153936 -237.431 -233.681 -172.764
  5 4.5 35.4119 0.0153697 -273.165 -251.793 -92.1973
  6 5.5 35.553 0.015431 -259.372 -302.068 -55.1271
  7 6.5 35.487 0.0154023 -155.997 -129.744 -175.384
  8 7.5 35.4183 0.0153725 -102.137 -50.043 -108.354
  9 8.5 35.4414 0.0153825 -84.8103 -162.176 -67.7959
  10 9.5 35.5457 0.0154278 -100.218 -28.0715 -34.8911
  11 10.5 35.4251 0.0153755 -163.658 -164.944 -213.902
  12 11.5 35.4528 0.0153875 13.3874 72.7044 -163.317
  13 12.5 35.4563 0.015389 85.5098 -59.1095 -50.9191
  14 13.5 35.5377 0.0154243 -62.6877 -173.349 -94.0063
  15 14.5 35.4002 0.0153647 -300.832 -193.064 -87.7085
  16 15.5 35.495 0.0154058 -203.925 -316.246 -143.59
  17 16.5 35.4881 0.0154028 -183.478 -39.3385 -188.254
  18 17.5 35.3858 0.0153584 -119.736 -106.903 -186.02
  19 18.5 35.4853 0.0154016 -165.955 -127.872 -32.188
  20 19.5 35.4957 0.0154061 -52.1475 -78.5944 -147.5
  21 20.5 35.4105 0.0153691 29.9877 -8.81952 -46.0253
  22 21.5 35.4261 0.0153759 -41.5921 96.4534 -374.249
  23 22.5 35.4721 0.0153959 90.1965 -90.9612 -161.032
  24 23.5 35.4308 0.0153779 189.983 -125.412 -269.978
  25 24.5 35.4461 0.0153846 -78.4639 -231.951 -297.113
  26 25.5 35.4116 0.0153696 -121.797 -152.016 -503.51
  27 26.5 35.4317 0.0153783 -23.5392 46.9216 -520.754
  28 27.5 35.3929 0.0153615 142.566 79.1839 -602.191
  29 28.5 35.3393 0.0153382 197.361 263.217 -833.414
  30 29.5 35.2808 0.0153129 425.823 273.48 -1032.69
  31 30.5 35.3445 0.0153405 569.574 613.022 -1253.87
  32 31.5 35.156 0.0152587 814.321 901.215 -1576.74
  33 32.5 35.0055 0.0151934 1276.08 1459.17 -1904.4
  34 33.5 34.9666 0.0151765 1727.77 1863.14 -2217.47
  35 34.5 34.704 0.0150625 2492.6 2506.09 -2758.75
  36 35.5 34.2427 0.0148623 3651.39 3498.48 -3094.78
  37 36.5 33.8658 0.0146987 5007.83 4775.17 -3154
  38 37.5 33.1555 0.0143904 6537.73 6280.42 -3087.13
  39 38.5 31.9938 0.0138862 8348.55 8244.99 -2224.8
  40 39.5 30.398 0.0131936 10183.4 10287.5 -941.869
  41 40.5 28.148 0.012217 11772 11824.1 1128.17
  42 41.5 24.9484 0.0108283 12895.1 12946.9 3565.1
  43 42.5 21.0247 0.0091253 13402.4 13350.9 6212.35
  44 43.5 16.5129 0.00716706 13126.2 13265.8 8760.81
  45 44.5 12.0775 0.00524198 11991.7 12247.3 11075.2
  46 45.5 8.16168 0.0035424 10358.5 10286.9 12997.5
  47 46.5 5.13162 0.00222727 7792.59 7835.74 14339.1
  48 47.5 3.05971 0.001328 4830.48 4739.51 14091.4
  49 48.5 1.79762 0.000780215 1122.32 1106.58 12899.5
  50 49.5 1.08574 0.00047124 -2601.63 -2728.99 9648.23
  51 50.5 0.710712 0.000308469 -6301.08 -6041.4 5265.03
  52 51.5 0.499856 0.000216951 -9701.54 -9799.43 -524.403
  53 52.5 0.398624 0.000173014 -12024 -11994.2 -4899.95
  54 53.5 0.346016 0.000150181 -13627.2 -13013.2 -8322.02
  55 54.5 0.320168 0.000138962 -14663.9 -13483.4 -10588.1
  56 55.5 0.302512 0.000131299 -15468.5 -14084.8 -12212.8
  57 56.5 0.285144 0.00012376 -15586 -13836.7 -13657
  58 57.5 0.27428 0.000119045 -16166.1 -14320.8 -14490
  59 58.5 0.27196 0.000118038 -17096.9 -14900.2 -14960.8
  60 59.5 0.27036 0.000117344 -16473.3 -14751.9 -15094.3
  61 60.5 0.275584 0.000119611 -17396.1 -15152.3 -15022
  62 61.5 0.269344 0.000116903 -16562.6 -14303.6 -15268.4
  63 62.5 0.274312 0.000119059 -16487.8 -14260.7 -15226.1
  64 63.5 0.275376 0.000119521 -16048.4 -15126.3 -15208.8
  65 64.5 0.27164 0.000117899 -16357.8 -15147.7 -15422.5
  66 65.5 0.278608 0.000120924 -15772 -14858.7 -14908.7
  67 66.5 0.272656 0.00011834 -15803.6 -14464.4 -15502.2
  68 67.5 0.26772 0.000116198 -16291.7 -14252.8 -15813.3
  69 68.5 0.27428 0.000119045 -16386.2 -13960.7 -15198.7
  70 69.5 0.2674 0.000116059 -16550.7 -14982.4 -15732.2
  71 70.5 0.269576 0.000117003 -15330.9 -14861.7 -15739.4
  72 71.5 0.271568 0.000117868 -15385.1 -15128.2 -15393.6
  73 72.5 0.269016 0.00011676 -15606 -15201.3 -15595.6
  74 73.5 0.27208 0.00011809 -16165.1 -15123.4 -15500.6
  75 74.5 0.269664 0.000117042 -15464 -14810.7 -15587
  76 75.5 0.269624 0.000117024 -15965.7 -14998.6 -15487.6
  77 76.5 0.27336 0.000118646 -16437.4 -15407.7 -15440.7
  78 77.5 0.269568 0.000117 -16376.3 -15807.4 -15554
  79 78.5 0.260344 0.000112997 -16826.4 -15600.7 -16125.1
  80 79.5 0.26036 0.000113003 -15683.3 -15404.2 -16259.7
  81 80.5 0.260176 0.000112924 -15669.9 -14999.1 -16127
  82 81.5 0.267912 0.000116281 -15806.4 -14388 -15694.5
  83 82.5 0.26504 0.000115035 -15701.6 -15072 -15891.9
  84 83.5 0.26464 0.000114861 -16046.2 -14994.4 -15784.3
  85 84.5 0.262864 0.00011409 -15967.3 -14998.3 -16008.1
  86 85.5 0.26616 0.000115521 -15845.1 -15250.9 -15943.8
  87 86.5 0.27028 0.000117309 -15512.5 -14613.6 -15479.8
  88 87.5 0.272432 0.000118243 -15850.4 -15069.1 -15516
  89 88.5 0.27704 0.000120243 -15810.8 -14636.3 -15170.7
  90 89.5 0.269424 0.000116938 -16463 -14850.3 -15566.1
  91 90.5 0.271808 0.000117972 -16698.9 -15597.7 -15448.5
  92 91.5 0.276544 0.000120028 -16409.3 -15580.5 -15328.6
  93 92.5 0.270272 0.000117306 -16675.6 -15751.6 -15379.6
  94 93.5 0.270296 0.000117316 -17422.6 -15298.7 -15572.5
  95 94.5 0.267184 0.000115965 -17081.3 -15030.6 -15720.3
  96 95.5 0.268256 0.000116431 -16638.5 -15334.2 -15810
  97 96.5 0.263616 0.000114417 -16984.9 -15430.2 -15880.8
  98 97.5 0.261056 0.000113306 -16797.3 -15220.4 -16147.9
  99 98.5 0.26104 0.000113299 -16310.4 -15283.3 -16280.9
  100 99.5 0.263512 0.000114372 -16167.9 -15509.5 -15752
  101 100.5 0.262944 0.000114125 -16431.9 -15705.1 -16001.7
  102 101.5 0.264288 0.000114708 -16613 -15089.2 -15889.6
  103 102.5 0.261368 0.000113441 -16574.3 -15263.8 -16101.6
  104 103.5 0.265808 0.000115368 -17198 -15323.1 -15848.9
  105 104.5 0.259552 0.000112653 -17404 -15576.7 -16120.6
  106 105.5 0.261216 0.000113375 -17477.5 -15596.1 -16050.7
  107 106.5 0.265608 0.000115281 -18016 -15461.2 -15966.3
  108 107.5 0.262256 0.000113826 -18236.3 -15577.3 -15920.7
  109 108.5 0.261016 0.000113288 -16770.7 -15693.7 -16183.1
  110 109.5 0.264856 0.000114955 -15932.9 -15667.9 -15862.1
  111 110.5 0.266856 0.000115823 -16330.7 -15847.6 -15741.3
  112 111.5 0.264816 0.000114937 -16232.2 -15464.9 -15938.1
  113 112.5 0.265992 0.000115448 -15860.9 -15746.8 -15753.6
  114 113.5 0.272048 0.000118076 -15662.1 -16074.2 -15446.9
  115 114.5 0.272368 0.000118215 -15476.9 -16217 -15374.5
  116 115.5 0.270696 0.00011749 -15092.5 -15721.1 -15517.1
  117 116.5 0.267952 0.000116299 -15589.5 -15528.1 -15661.8
  118 117.5 0.274584 0.000119177 -15235.6 -15549.1 -15468.6
  119 118.5 0.273216 0.000118583 -15187.8 -15593.4 -15313.4
  120 119.5 0.266248 0.000115559 -15395 -15128.7 -15672.5
  121 120.5 0.262048 0.000113736 -15143.6 -15688.9 -16039.2
  122 121.5 0.26284 0.00011408 -15248.3 -15812.4 -16002.7
  123 122.5 0.269808 0.000117104 -15723.3 -15530.1 -15589.1
  124 123.5 0.271712 0.000117931 -16649.2 -15508.2 -15463.6
  125 124.5 0.267192 0.000115969 -16898.1 -15512 -15721
  126 125.5 0.266048 0.000115472 -16193.8 -15689.3 -15629.6
  127 126.5 0.273856 0.000118861 -15942.2 -15972.4 -15342
  128 127.5 0.26704 0.000115903 -15309.4 -15873.1 -15758.6
  129 128.5 0.262624 0.000113986 -16192.6 -16237.3 -16090.7
  130 129.5 0.272968 0.000118476 -16324.6 -17021.4 -15297.7
  131 130.5 0.269704 0.000117059 -15746 -16103.8 -15566.9
  132 131.5 0.274192 0.000119007 -15665.2 -15445.5 -15443.6
  133 132.5 0.267744 0.000116208 -15910.4 -15158.9 -15647.3
  134 133.5 0.270064 0.000117215 -15720.8 -15886.9 -15409.1
  135 134.5 0.26836 0.000116476 -16200.5 -16278.4 -15660
  136 135.5 0.26908 0.000116788 -15668.6 -15826.1 -15527.9
  137 136.5 0.266048 0.000115472 -15179.7 -16156.4 -15795.3
  138 137.5 0.262016 0.000113722 -15108.7 -15720.9 -16064.3
  139 138.5 0.264368 0.000114743 -15147.2 -16247.7 -15886.5
  140 139.5 0.265824 0.000115375 -15203.7 -17342.9 -15772.9
  141 140.5 0.26996 0.00011717 -16341.6 -16446 -15520.7
  142 141.5 0.263328 0.000114292 -15311.6 -15964.7 -16004.8
  143 142.5 0.261768 0.000113615 -15698.7 -16146.5 -16004.9
  144 143.5 0.2746 0.000119184 -15779.1 -16029.4 -15196.4
  145 144.5 0.26984 0.000117118 -15693 -16020 -15546.9
  146 145.5 0.273488 0.000118701 -15402.2 -16229.7 -15335.3
  147 146.5 0.260432 0.000113035 -15126 -16179.1 -16148.5
  148 147.5 0.262408 0.000113892 -14995.7 -16838.7 -16063.3
  149 148.5 0.271392 0.000117792 -15222.5 -15593.4 -15426.2
  150 149.5 0.27144 0.000117812 -14344.2 -15003.2 -15452.6
  151 150.5 0.267656 0.00011617 -14516.1 -14849.3 -15647.3
  152 151.5 0.261872 0.00011366 -15116.4 -14969.5 -16093.3
  153 152.5 0.264024 0.000114594 -15066.3 -15248.9 -15886.3
  154 153.5 0.257728 0.000111861 -14967.1 -15192.3 -16397.8
  155 154.5 0.25716 0.000111615 -15512.5 -15325 -16247.7
  156 155.5 0.261392 0.000113451 -15490.8 -15644.8 -16056.1
  157 156.5 0.266328 0.000115594 -15408.3 -15677.4 -15548.1
  158 157.5 0.260192 0.000112931 -16527.8 -16581.7 -16215.8
  159 158.5 0.26188 0.000113663 -15843.5 -15716 -16057.2
  160 159.5 0.264696 0.000114885 -16015.9 -15690.2 -15844.3
  161 160.5 0.267984 0.000116313 -15465.9 -15747.4 -15768.1
  162 161.5 0.269352 0.000116906 -16258.8 -15341.7 -15556
  163 162.5 0.270008 0.000117191 -16341.1 -15168.7 -15544
  164 163.5 0.265624 0.000115288 -15949.6 -15132.7 -15658.9
  165 164.5 0.272384 0.000118222 -16522 -15036.9 -15463.9
  166 165.5 0.269552 0.000116993 -15644.1 -15529.1 -15617.1
  167 166.5 0.276344 0.000119941 -15705.4 -14592.9 -15120.9
  168 167.5 0.272784 0.000118396 -15595.8 -14936.3 -15518.9
  169 168.5 0.271192 0.000117705 -15535.6 -14677.2 -15428.5
  170 169.5 0.275088 0.000119396 -15341.2 -14876.6 -15192.3
  171 170.5 0.267208 0.000115976 -15183 -15254.8 -15743.2
  172 171.5 0.275248 0.000119465 -15454.8 -15432.4 -15310.4
  173 172.5 0.27472 0.000119236 -15905.9 -15513 -15131.3
  174 173.5 0.271616 0.000117889 -16039.1 -15818.7 -15501.9
  175 174.5 0.2688 0.000116667 -15822.3 -15032.8 -15653.3
  176 175.5 0.268352 0.000116472 -15173.8 -14696.4 -15576
  177 176.5 0.265136 0.000115076 -15100.2 -14528.6 -15761.2
  178 177.5 0.260696 0.000113149 -15089.9 -14561.7 -16277.8
  179 178.5 0.263224 0.000114247 -16124.5 -15071.4 -15838.6
  180 179.5 0.261144 0.000113344 -15974.7 -15329.2 -15927.9
  181 180.5 0.264448 0.000114778 -15927.7 -15668.8 -15832.1
  182 181.5 0.268896 0.000116708 -16137.1 -14930.2 -15508.4
  183 182.5 0.266376 0.000115615 -15397.7 -15052.2 -15773.6
