# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 11440
  1 0.5 33.8931 0.0147106 -246.688 -219.227 -224.321
  2 1.5 33.8853 0.0147071 -270.72 -228.029 -291.231
  3 2.5 33.9087 0.0147173 -157.74 -152.91 -242.748
  4 3.5 33.89 0.0147092 -321.444 -228.616 -187.523
  5 4.5 33.9152 0.0147201 -227.003 -263.528 -243.193
  6 5.5 33.9037 0.0147151 -304.42 -264.279 -322.188
  7 6.5 33.9097 0.0147177 -152.645 -169.013 -187.236
  8 7.5 33.8986 0.014713 -230.426 -257.946 -256.266
  9 8.5 33.9077 0.0147169 -254.819 -244.543 -233.168
  10 9.5 33.9242 0.0147241 -249.459 -233.885 -279.273
  11 10.5 33.9238 0.0147239 -219.708 -199.001 -219.625
  12 11.5 33.8954 0.0147115 -191.125 -169.565 -230.218
  13 12.5 33.9213 0.0147228 -246.112 -240.795 -260.619
  14 13.5 33.9368 0.0147295 -166.919 -213.178 -216.087
  15 14.5 33.8759 0.0147031 -183.216 -277.892 -269.225
  16 15.5 33.9282 0.0147258 -255.332 -169.509 -246.375
  17 16.5 33.9153 0.0147202 -238.149 -266.55 -275.092
  18 17.5 33.9091 0.0147175 -257.652 -225.893 -206.157
  19 18.5 33.904 0.0147153 -295.344 -272.877 -228.656
  20 19.5 33.9188 0.0147217 -249.28 -343.981 -300.883
  21 20.5 33.9453 0.0147332 -256.401 -208.323 -199.674
  22 21.5 33.8905 0.0147094 -193.229 -260.14 -238.263
  23 22.5 33.8944 0.0147111 -221.921 -155.846 -230.544
  24 23.5 33.9359 0.0147291 -314.508 -263.624 -283.421
  25 24.5 33.943 0.0147322 -224.129 -279.97 -230.029
  26 25.5 33.8866 0.0147077 -252.444 -247.7 -275.146
  27 26.5 33.914 0.0147196 -263.747 -275.782 -262.593
  28 27.5 33.9458 0.0147334 -278.933 -297.976 -256.512
  29 28.5 33.9143 0.0147197 -257.686 -278.894 -230.352
  30 29.5 33.8991 0.0147132 -288.044 -261.887 -268.255
  31 30.5 33.9264 0.014725 -312.127 -301.774 -266.469
  32 31.5 33.9535 0.0147368 -240.967 -317.237 -296.528
  33 32.5 33.8886 0.0147086 -309.927 -318.96 -343.927
  34 33.5 33.9217 0.014723 -181.275 -302.938 -310.564
  35 34.5 33.8984 0.0147128 -224.63 -262.329 -405.418
  36 35.5 33.9071 0.0147166 -210.603 -260.903 -398.952
  37 36.5 33.8866 0.0147077 -133.441 -83.0365 -486.842
  38 37.5 33.8613 0.0146967 -22.6675 -53.6003 -517.327
  39 38.5 33.8725 0.0147016 -15.6926 -79.1611 -639.162
  40 39.5 33.8338 0.0146848 104.774 -14.7205 -718.461
  41 40.5 33.7595 0.0146526 135.958 143.118 -915.008
  42 41.5 33.7456 0.0146465 227.582 279.765 -1105.26
  43 42.5 33.6647 0.0146114 503.195 474.46 -1236.53
  44 43.5 33.5717 0.014571 688.744 726.026 -1536.97
  45 44.5 33.4388 0.0145134 1056.25 993.694 -1754.32
  46 45.5 33.2233 0.0144198 1586.6 1526.61 -2032.03
  47 46.5 32.9522 0.0143022 2160.67 2154.56 -2258.31
  48 47.5 32.583 0.0141419 2908.19 2974.17 -2380.4
  49 48.5 31.994 0.0138863 3720.02 3780.43 -2494.42
  50 49.5 31.2154 0.0135484 4808.99 4784.94 -2260.52
  51 50.5 30.0875 0.0130588 5895.14 5903.12 -1867.25
  52 51.5 28.6657 0.0124417 6959.79 7007.94 -1163.47
  53 52.5 26.6966 0.0115871 8001.43 7915.99 -173.222
  54 53.5 24.2904 0.0105427 8750.6 8762.73 1038.38
  55 54.5 21.4367 0.00930414 9324.1 9221.02 2505.3
  56 55.5 18.2717 0.00793041 9472.43 9387.75 4098.3
  57 56.5 14.9387 0.00648383 9072.24 9091.38 5595.98
  58 57.5 11.7039 0.00507983 8356.75 8457.17 7053.12
  59 58.5 8.74688 0.00379639 7185.79 7151.49 8207.53
  60 59.5 6.29957 0.00273419 5339.16 5351.94 8922.36
  61 60.5 4.38903 0.00190496 3173.43 3156.66 9029.2
  62 61.5 2.98981 0.00129766 505.216 456.078 8147.06
  63 62.5 2.05974 0.000893984 -2637.23 -2580.06 6403.91
  64 63.5 1.45082 0.000629694 -5754.13 -5602.4 3295.11
  65 64.5 1.08049 0.000468961 -8800.73 -8665.25 -461.961
  66 65.5 0.864828 0.000375359 -11063.5 -11029.6 -4202.81
  67 66.5 0.735074 0.000319043 -12742.9 -12819.8 -7619.23
  68 67.5 0.661446 0.000287086 -13960.8 -13932.6 -10247.7
  69 68.5 0.617586 0.000268049 -14787.3 -14993.3 -11943.8
  70 69.5 0.585848 0.000254274 -15082.8 -15314.4 -13272.4
  71 70.5 0.569428 0.000247148 -15631.4 -15597.5 -14123.5
  72 71.5 0.564252 0.000244901 -15718.8 -15703.6 -14509.8
  73 72.5 0.55539 0.000241055 -15709.6 -15735.6 -14895.5
  74 73.5 0.549384 0.000238448 -15637.9 -15687.6 -15276.5
  75 74.5 0.54951 0.000238503 -15596.6 -15535.3 -15322.8
  76 75.5 0.554356 0.000240606 -15735.1 -15655.4 -15202.8
  77 76.5 0.550436 0.000238905 -15949.8 -15714.7 -15415.8
  78 77.5 0.545656 0.00023683 -16112.7 -15897.1 -15603.4
  79 78.5 0.547372 0.000237575 -15994.8 -15972.4 -15592.1
  80 79.5 0.548066 0.000237876 -15569 -15536.8 -15613.2
  81 80.5 0.548914 0.000238244 -15749.4 -15700.4 -15501.4
  82 81.5 0.550316 0.000238852 -15836.6 -16023.6 -15547.2
  83 82.5 0.550306 0.000238848 -15690.3 -15665.8 -15505.4
  84 83.5 0.544232 0.000236212 -15802.4 -15902.9 -15708.5
