# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 11310.000000000015
  1 0.5 33.0425 0.0143414 -343.731 -357.4 -400.054
  2 1.5 33.0749 0.0143554 -318.76 -476.607 -416.225
  3 2.5 33.0655 0.0143513 -356.603 -361.827 -392.53
  4 3.5 33.0267 0.0143345 -345.252 -402.468 -411.871
  5 4.5 33.06 0.0143489 -363.245 -418.764 -447.095
  6 5.5 33.0641 0.0143507 -418.84 -435.138 -393.733
  7 6.5 33.0579 0.0143481 -438.635 -446.179 -393.17
  8 7.5 33.0527 0.0143458 -421.157 -460.997 -401.533
  9 8.5 33.0672 0.0143521 -420.982 -425.581 -428.709
  10 9.5 33.0523 0.0143456 -378.653 -464.892 -456.88
  11 10.5 33.0426 0.0143414 -429.801 -489.949 -374.565
  12 11.5 33.0689 0.0143528 -446.184 -445.413 -405.141
  13 12.5 33.0915 0.0143626 -335.272 -349.4 -390.594
  14 13.5 33.0123 0.0143282 -448.43 -460.485 -477.452
  15 14.5 33.0341 0.0143377 -362.26 -312.87 -359.105
  16 15.5 33.0574 0.0143478 -388.81 -420.805 -485.369
  17 16.5 33.0596 0.0143488 -358.228 -284.697 -371.662
  18 17.5 33.0245 0.0143335 -403.954 -324.281 -328.519
  19 18.5 33.0649 0.0143511 -440.869 -356.344 -488.958
  20 19.5 33.042 0.0143411 -471.685 -301.031 -445.529
  21 20.5 33.005 0.0143251 -408.749 -398.5 -356.385
  22 21.5 33.0812 0.0143582 -423.474 -373.264 -403.12
  23 22.5 33.0644 0.0143509 -399.881 -367.411 -441.202
  24 23.5 33.0193 0.0143313 -368.084 -443.595 -426.733
  25 24.5 33.0486 0.014344 -347.795 -446.857 -407.345
  26 25.5 33.0764 0.0143561 -449.371 -449.87 -376.203
  27 26.5 33.0543 0.0143465 -359.772 -380.333 -440.789
  28 27.5 33.0301 0.014336 -375.257 -324.647 -379.416
  29 28.5 33.0869 0.0143607 -393.151 -386.931 -463.337
  30 29.5 33.0518 0.0143454 -377.856 -400.857 -399.121
  31 30.5 33.0435 0.0143418 -345.318 -380.487 -384.318
  32 31.5 33.0612 0.0143495 -438.294 -447.918 -432.565
  33 32.5 33.0685 0.0143526 -339.138 -382.8 -396.731
  34 33.5 33.0211 0.0143321 -428.897 -423.726 -423.575
  35 34.5 33.0808 0.014358 -347.932 -475.204 -426.629
  36 35.5 33.068 0.0143524 -367.124 -476.94 -427.319
  37 36.5 33.0334 0.0143374 -356.08 -352.665 -374.962
  38 37.5 33.0325 0.014337 -381.485 -399.723 -407.387
  39 38.5 33.0702 0.0143534 -444.133 -442.848 -468.19
  40 39.5 33.0709 0.0143537 -439.724 -431.475 -385.117
  41 40.5 33.0411 0.0143407 -461.644 -383.193 -443.757
  42 41.5 33.0364 0.0143387 -361.222 -363.32 -434.749
  43 42.5 33.0532 0.014346 -352.586 -302.719 -393.687
  44 43.5 33.0588 0.0143484 -416.421 -407.437 -451.75
  45 44.5 33.0323 0.014337 -346.34 -363.712 -424.139
  46 45.5 33.0349 0.0143381 -408.813 -345.026 -493.213
  47 46.5 33.0342 0.0143378 -374.957 -355.451 -450.402
  48 47.5 33.0425 0.0143414 -343.985 -320.857 -440.385
  49 48.5 33.026 0.0143342 -283.458 -241.202 -449.358
  50 49.5 33.0262 0.0143343 -301.371 -322.812 -510.796
  51 50.5 33.0192 0.0143312 -315.189 -322.695 -623.197
  52 51.5 32.9693 0.0143096 -312.854 -310.086 -604.451
  53 52.5 32.9936 0.0143201 -258.119 -204.677 -624.707
  54 53.5 32.9633 0.014307 -259.938 -208.91 -695.997
  55 54.5 32.9178 0.0142872 -185.014 -102.748 -869.669
  56 55.5 32.8836 0.0142724 -145.935 -144.249 -954.856
  57 56.5 32.8873 0.014274 -24.7924 -9.67193 -1077.68
  58 57.5 32.7756 0.0142255 182.511 233.549 -1237.17
  59 58.5 32.6826 0.0141852 359.753 432.269 -1481.42
  60 59.5 32.5848 0.0141427 631.756 626.27 -1691.21
  61 60.5 32.4551 0.0140864 992.187 975.476 -1916.7
  62 61.5 32.1833 0.0139684 1405.68 1460.78 -2214.19
  63 62.5 31.9131 0.0138512 2014.16 2044.79 -2421.66
  64 63.5 31.502 0.0136728 2709.03 2784.15 -2586.17
  65 64.5 30.9142 0.0134176 3562.07 3644.12 -2525.35
  66 65.5 30.1117 0.0130693 4547.84 4559.58 -2384.72
  67 66.5 29.0176 0.0125945 5377.09 5372.59 -2083.07
  68 67.5 27.5314 0.0119494 6481.42 6464.3 -1196.29
  69 68.5 25.6692 0.0111411 7201.4 7209.01 -17.8819
  70 69.5 23.2153 0.0100761 7692.23 7674.21 1226.06
  71 70.5 20.3703 0.00884126 7745.34 7789.97 2610.21
  72 71.5 17.2217 0.0074747 7413.74 7343.16 4108.9
  73 72.5 13.9691 0.00606297 6487.69 6456.48 5457.48
  74 73.5 10.8806 0.00472247 5121.03 5153.72 6411.48
  75 74.5 8.1631 0.00354301 3390.08 3308.06 6990.08
  76 75.5 5.94787 0.00258154 1087.11 1190.3 6909.11
  77 76.5 4.28605 0.00186026 -1316.81 -1400.15 6036.48
  78 77.5 3.09611 0.0013438 -3960.69 -4034.67 4280.31
