# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 5324
  1 0.5 27.795 0.0120638
  2 1.5 27.8545 0.0120896
  3 2.5 27.837 0.012082
  4 3.5 27.7358 0.0120381
  5 4.5 27.747 0.012043
  6 5.5 27.697 0.0120213
  7 6.5 27.7395 0.0120397
  8 7.5 27.7848 0.0120594
  9 8.5 27.6622 0.0120062
  10 9.5 27.7009 0.012023
  11 10.5 27.7663 0.0120513
  12 11.5 27.7478 0.0120433
  13 12.5 27.6962 0.0120209
  14 13.5 27.7852 0.0120595
  15 14.5 27.7335 0.0120371
  16 15.5 27.7556 0.0120467
  17 16.5 27.7314 0.0120362
  18 17.5 27.7722 0.0120539
  19 18.5 27.7586 0.012048
  20 19.5 27.6593 0.0120049
  21 20.5 27.653 0.0120022
  22 21.5 27.5763 0.0119689
  23 22.5 27.5131 0.0119414
  24 23.5 27.3414 0.0118669
  25 24.5 27.2218 0.011815
  26 25.5 26.8744 0.0116642
  27 26.5 26.4135 0.0114642
  28 27.5 25.7683 0.0111842
  29 28.5 24.7741 0.0107527
  30 29.5 23.4803 0.0101911
  31 30.5 21.784 0.00945485
  32 31.5 19.7134 0.00855618
  33 32.5 17.2153 0.00747191
  34 33.5 14.5577 0.00631844
  35 34.5 11.8882 0.0051598
  36 35.5 9.3044 0.00403837
  37 36.5 7.08477 0.00307499
  38 37.5 5.30073 0.00230066
  39 38.5 3.88806 0.00168753
  40 39.5 2.88177 0.00125077
  41 40.5 2.19019 0.000950604
  42 41.5 1.71283 0.000743417
  43 42.5 1.41391 0.000613677
  44 43.5 1.22422 0.000531344
  45 44.5 1.09273 0.000474274
  46 45.5 1.02378 0.000444351
  47 46.5 0.978832 0.00042484
  48 47.5 0.937736 0.000407003
  49 48.5 0.928448 0.000402972
  50 49.5 0.905936 0.000393201
  51 50.5 0.90848 0.000394306
  52 51.5 0.874096 0.000379382
  53 52.5 0.885504 0.000384333
  54 53.5 0.881224 0.000382476
  55 54.5 0.892512 0.000387375
  56 55.5 0.890952 0.000386698
  57 56.5 0.877704 0.000380948
  58 57.5 0.879248 0.000381618
  59 58.5 0.88004 0.000381962
  60 59.5 0.878536 0.000381309
  61 60.5 0.869128 0.000377226
  62 61.5 0.878064 0.000381104
  63 62.5 0.866592 0.000376125
  64 63.5 0.861976 0.000374122
  65 64.5 0.872568 0.000378719
  66 65.5 0.86828 0.000376858
  67 66.5 0.887584 0.000385236
  68 67.5 0.87604 0.000380226
  69 68.5 0.876264 0.000380323
  70 69.5 0.86752 0.000376528
  71 70.5 0.85516 0.000371163
  72 71.5 0.868344 0.000376885
  73 72.5 0.8762 0.000380295
  74 73.5 0.864488 0.000375212
  75 74.5 0.87184 0.000378403
  76 75.5 0.880184 0.000382024
  77 76.5 0.88712 0.000385035
  78 77.5 0.885728 0.000384431
  79 78.5 0.880512 0.000382167
  80 79.5 0.877192 0.000380726
  81 80.5 0.871576 0.000378288
  82 81.5 0.873208 0.000378997
  83 82.5 0.864072 0.000375031
  84 83.5 0.868608 0.000377
  85 84.5 0.87732 0.000380781
  86 85.5 0.86696 0.000376285
  87 86.5 0.867376 0.000376465
  88 87.5 0.872648 0.000378753
  89 88.5 0.872176 0.000378549
  90 89.5 0.858984 0.000372823
  91 90.5 0.883256 0.000383358
  92 91.5 0.862176 0.000374208
  93 92.5 0.858848 0.000372764
  94 93.5 0.860968 0.000373684
  95 94.5 0.853024 0.000370236
  96 95.5 0.870568 0.000377851
  97 96.5 0.863104 0.000374611
  98 97.5 0.880624 0.000382215
  99 98.5 0.879808 0.000381861
  100 99.5 0.879448 0.000381705
  101 100.5 0.881392 0.000382549
  102 101.5 0.87656 0.000380451
  103 102.5 0.875432 0.000379962
  104 103.5 0.870616 0.000377872
  105 104.5 0.88668 0.000384844
  106 105.5 0.870352 0.000377757
  107 106.5 0.883928 0.000383649
  108 107.5 0.888104 0.000385462
  109 108.5 0.881616 0.000382646
  110 109.5 0.887072 0.000385014
  111 110.5 0.886808 0.000384899
  112 111.5 0.8854 0.000384288
  113 112.5 0.894688 0.000388319
  114 113.5 0.880368 0.000382104
  115 114.5 0.890328 0.000386427
  116 115.5 0.876632 0.000380483
  117 116.5 0.876024 0.000380219
  118 117.5 0.876176 0.000380285
  119 118.5 0.883248 0.000383354
  120 119.5 0.887552 0.000385222
  121 120.5 0.889912 0.000386247
  122 121.5 0.890424 0.000386469
  123 122.5 0.884832 0.000384042
  124 123.5 0.88816 0.000385486
  125 124.5 0.897328 0.000389465
  126 125.5 0.897552 0.000389562
  127 126.5 0.892272 0.000387271
  128 127.5 0.887168 0.000385056
  129 128.5 0.886912 0.000384944
  130 129.5 0.875976 0.000380198
  131 130.5 0.876224 0.000380306
  132 131.5 0.891848 0.000387087
  133 132.5 0.878728 0.000381392
  134 133.5 0.872888 0.000378858
  135 134.5 0.87608 0.000380243
  136 135.5 0.876928 0.000380611
  137 136.5 0.869288 0.000377295
  138 137.5 0.875584 0.000380028
  139 138.5 0.872392 0.000378642
  140 139.5 0.86108 0.000373733
  141 140.5 0.860568 0.00037351
  142 141.5 0.868064 0.000376764
  143 142.5 0.877416 0.000380823
  144 143.5 0.868552 0.000376976
  145 144.5 0.871152 0.000378104
  146 145.5 0.871792 0.000378382
  147 146.5 0.872776 0.000378809
  148 147.5 0.869912 0.000377566
  149 148.5 0.8666 0.000376128
  150 149.5 0.866288 0.000375993
  151 150.5 0.871584 0.000378292
  152 151.5 0.8788 0.000381424
  153 152.5 0.891392 0.000386889
  154 153.5 0.876904 0.000380601
  155 154.5 0.876216 0.000380302
  156 155.5 0.872544 0.000378708
  157 156.5 0.88052 0.00038217
  158 157.5 0.887808 0.000385333
  159 158.5 0.879232 0.000381611
  160 159.5 0.874712 0.000379649
  161 160.5 0.879208 0.000381601
  162 161.5 0.868344 0.000376885
  163 162.5 0.872216 0.000378566
  164 163.5 0.857968 0.000372382
  165 164.5 0.879808 0.000381861
  166 165.5 0.87232 0.000378611
  167 166.5 0.8634 0.00037474
  168 167.5 0.852904 0.000370184
  169 168.5 0.865136 0.000375493
  170 169.5 0.862496 0.000374347
  171 170.5 0.856224 0.000371625
  172 171.5 0.855064 0.000371122
  173 172.5 0.86588 0.000375816
  174 173.5 0.864144 0.000375063
  175 174.5 0.879176 0.000381587
  176 175.5 0.889864 0.000386226
  177 176.5 0.901296 0.000391187
  178 177.5 0.927424 0.000402528
  179 178.5 0.938592 0.000407375
  180 179.5 0.973744 0.000422632
  181 180.5 1.02294 0.000443986
  182 181.5 1.10842 0.000481083
  183 182.5 1.24103 0.000538642
  184 183.5 1.44527 0.000627288
  185 184.5 1.78858 0.000776292
  186 185.5 2.29506 0.000996122
  187 186.5 3.10562 0.00134792
  188 187.5 4.20365 0.0018245
  189 188.5 5.7425 0.0024924
  190 189.5 7.77121 0.00337292
  191 190.5 10.1328 0.0043979
  192 191.5 12.8466 0.00557579
  193 192.5 15.6383 0.00678744
  194 193.5 18.3751 0.00797531
  195 194.5 20.7623 0.00901142
  196 195.5 22.7199 0.00986108
  197 196.5 24.2819 0.010539
  198 197.5 25.4648 0.0110524
  199 198.5 26.2765 0.0114047
  200 199.5 26.7925 0.0116287
  201 200.5 27.2598 0.0118315
  202 201.5 27.4326 0.0119065
  203 202.5 27.6042 0.011981
  204 203.5 27.7033 0.012024
  205 204.5 27.8337 0.0120806
  206 205.5 27.8467 0.0120862
  207 206.5 27.885 0.0121029
  208 207.5 27.8661 0.0120947
  209 208.5 27.8161 0.012073
  210 209.5 27.7257 0.0120337
  211 210.5 27.579 0.0119701
  212 211.5 27.4148 0.0118988
  213 212.5 27.128 0.0117743
  214 213.5 26.7618 0.0116154
  215 214.5 26.3071 0.011418
  216 215.5 25.7609 0.011181
  217 216.5 24.9508 0.0108293
  218 217.5 24.0733 0.0104485
  219 218.5 23.0289 0.00999516
  220 219.5 21.6652 0.0094033
  221 220.5 20.2208 0.00877639
  222 221.5 18.5866 0.0080671
  223 222.5 17.0206 0.00738741
  224 223.5 15.363 0.00666799
  225 224.5 13.7392 0.0059632
  226 225.5 12.3009 0.00533894
  227 226.5 10.8348 0.00470259
  228 227.5 9.60958 0.00417082
  229 228.5 8.47364 0.0036778
  230 229.5 7.57145 0.00328622
  231 230.5 6.73515 0.00292324
  232 231.5 6.02968 0.00261705
  233 232.5 5.5129 0.00239275
  234 233.5 5.07281 0.00220174
  235 234.5 4.72646 0.00205142
  236 235.5 4.49799 0.00195225
  237 236.5 4.31456 0.00187264
  238 237.5 4.14248 0.00179795
  239 238.5 4.02816 0.00174833
  240 239.5 3.9856 0.00172986
