# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 6062.999999999996
  1 0.5 5.69846 0.00247329
  2 1.5 5.71565 0.00248075
  3 2.5 5.77238 0.00250537
  4 3.5 5.79119 0.00251354
  5 4.5 5.77222 0.00250531
  6 5.5 5.7484 0.00249497
  7 6.5 5.8017 0.0025181
  8 7.5 5.81093 0.0025221
  9 8.5 5.82241 0.00252709
  10 9.5 5.87024 0.00254785
  11 10.5 5.84012 0.00253477
  12 11.5 5.85624 0.00254177
  13 12.5 5.8811 0.00255256
  14 13.5 5.88561 0.00255452
  15 14.5 5.89916 0.0025604
  16 15.5 5.89309 0.00255776
  17 16.5 5.84474 0.00253678
  18 17.5 5.78344 0.00251017
  19 18.5 5.73581 0.0024895
  20 19.5 5.66894 0.00246048
  21 20.5 5.60225 0.00243153
  22 21.5 5.49174 0.00238357
  23 22.5 5.3715 0.00233138
  24 23.5 5.23254 0.00227107
  25 24.5 5.09421 0.00221103
  26 25.5 4.93784 0.00214316
  27 26.5 4.74389 0.00205898
  28 27.5 4.54134 0.00197107
  29 28.5 4.30704 0.00186937
  30 29.5 4.05203 0.00175869
  31 30.5 3.69906 0.0016055
  32 31.5 3.36925 0.00146235
  33 32.5 3.01477 0.00130849
  34 33.5 2.64861 0.00114957
  35 34.5 2.26487 0.000983017
  36 35.5 1.85778 0.000806326
  37 36.5 1.51186 0.000656191
  38 37.5 1.2004 0.000521007
  39 38.5 0.912264 0.000395948
  40 39.5 0.687512 0.000298399
  41 40.5 0.52096 0.000226111
  42 41.5 0.38084 0.000165295
  43 42.5 0.289584 0.000125688
  44 43.5 0.21664 9.40278e-05
  45 44.5 0.166344 7.21979e-05
  46 45.5 0.139376 6.04931e-05
  47 46.5 0.114824 4.98368e-05
  48 47.5 0.097768 4.2434e-05
  49 48.5 0.088 3.81944e-05
  50 49.5 0.082336 3.57361e-05
  51 50.5 0.079384 3.44549e-05
  52 51.5 0.075008 3.25556e-05
  53 52.5 0.071744 3.11389e-05
  54 53.5 0.071552 3.10556e-05
  55 54.5 0.06692 2.90451e-05
  56 55.5 0.069408 3.0125e-05
  57 56.5 0.071096 3.08576e-05
  58 57.5 0.071936 3.12222e-05
  59 58.5 0.075048 3.25729e-05
  60 59.5 0.071368 3.09757e-05
  61 60.5 0.072392 3.14201e-05
  62 61.5 0.0714 3.09896e-05
  63 62.5 0.07388 3.2066e-05
  64 63.5 0.072824 3.16076e-05
  65 64.5 0.071088 3.08542e-05
  66 65.5 0.0746 3.23785e-05
  67 66.5 0.071264 3.09306e-05
  68 67.5 0.072024 3.12604e-05
  69 68.5 0.07244 3.1441e-05
  70 69.5 0.075888 3.29375e-05
  71 70.5 0.072144 3.13125e-05
  72 71.5 0.076504 3.32049e-05
  73 72.5 0.07492 3.25174e-05
  74 73.5 0.070872 3.07604e-05
  75 74.5 0.073656 3.19688e-05
  76 75.5 0.073136 3.17431e-05
  77 76.5 0.072696 3.15521e-05
  78 77.5 0.072568 3.14965e-05
  79 78.5 0.070584 3.06354e-05
  80 79.5 0.0704 3.05556e-05
  81 80.5 0.071072 3.08472e-05
  82 81.5 0.070232 3.04826e-05
  83 82.5 0.067872 2.94583e-05
  84 83.5 0.072816 3.16042e-05
  85 84.5 0.072448 3.14444e-05
  86 85.5 0.071112 3.08646e-05
  87 86.5 0.07428 3.22396e-05
  88 87.5 0.073928 3.20868e-05
  89 88.5 0.074224 3.22153e-05
  90 89.5 0.070216 3.04757e-05
  91 90.5 0.069256 3.0059e-05
  92 91.5 0.069808 3.02986e-05
  93 92.5 0.06828 2.96354e-05
  94 93.5 0.068008 2.95174e-05
  95 94.5 0.069344 3.00972e-05
  96 95.5 0.063248 2.74514e-05
  97 96.5 0.067176 2.91563e-05
  98 97.5 0.068624 2.97847e-05
  99 98.5 0.067344 2.92292e-05
  100 99.5 0.069832 3.0309e-05
  101 100.5 0.068416 2.96944e-05
  102 101.5 0.070392 3.05521e-05
  103 102.5 0.069712 3.02569e-05
  104 103.5 0.068816 2.98681e-05
  105 104.5 0.069336 3.00937e-05
  106 105.5 0.068704 2.98194e-05
  107 106.5 0.066944 2.90556e-05
  108 107.5 0.069792 3.02917e-05
  109 108.5 0.064784 2.81181e-05
  110 109.5 0.066432 2.88333e-05
  111 110.5 0.06576 2.85417e-05
  112 111.5 0.068448 2.97083e-05
  113 112.5 0.066024 2.86562e-05
  114 113.5 0.066584 2.88993e-05
  115 114.5 0.068656 2.97986e-05
  116 115.5 0.070792 3.07257e-05
  117 116.5 0.068072 2.95451e-05
  118 117.5 0.06952 3.01736e-05
  119 118.5 0.072392 3.14201e-05
  120 119.5 0.071808 3.11667e-05
  121 120.5 0.0726 3.15104e-05
  122 121.5 0.075736 3.28715e-05
  123 122.5 0.070136 3.0441e-05
  124 123.5 0.066744 2.89687e-05
  125 124.5 0.069608 3.02118e-05
  126 125.5 0.067728 2.93958e-05
  127 126.5 0.073616 3.19514e-05
  128 127.5 0.073712 3.19931e-05
  129 128.5 0.067952 2.94931e-05
  130 129.5 0.06784 2.94444e-05
  131 130.5 0.066344 2.87951e-05
  132 131.5 0.0668 2.89931e-05
  133 132.5 0.0708 3.07292e-05
  134 133.5 0.072304 3.13819e-05
  135 134.5 0.073064 3.17118e-05
  136 135.5 0.07104 3.08333e-05
  137 136.5 0.069752 3.02743e-05
  138 137.5 0.066 2.86458e-05
  139 138.5 0.067088 2.91181e-05
  140 139.5 0.069224 3.00451e-05
  141 140.5 0.068368 2.96736e-05
  142 141.5 0.068608 2.97778e-05
  143 142.5 0.068288 2.96389e-05
  144 143.5 0.066472 2.88507e-05
  145 144.5 0.06804 2.95312e-05
  146 145.5 0.065504 2.84306e-05
  147 146.5 0.068688 2.98125e-05
  148 147.5 0.067488 2.92917e-05
  149 148.5 0.0698 3.02951e-05
  150 149.5 0.06868 2.9809e-05
  151 150.5 0.070296 3.05104e-05
  152 151.5 0.066952 2.9059e-05
  153 152.5 0.067144 2.91424e-05
  154 153.5 0.071328 3.09583e-05
  155 154.5 0.072392 3.14201e-05
  156 155.5 0.068816 2.98681e-05
  157 156.5 0.073024 3.16944e-05
  158 157.5 0.068104 2.9559e-05
  159 158.5 0.06792 2.94792e-05
  160 159.5 0.067736 2.93993e-05
  161 160.5 0.068024 2.95243e-05
  162 161.5 0.066016 2.86528e-05
  163 162.5 0.065536 2.84444e-05
  164 163.5 0.065368 2.83715e-05
  165 164.5 0.068184 2.95938e-05
  166 165.5 0.069784 3.02882e-05
  167 166.5 0.06916 3.00174e-05
  168 167.5 0.068936 2.99201e-05
  169 168.5 0.07144 3.10069e-05
  170 169.5 0.067664 2.93681e-05
  171 170.5 0.064992 2.82083e-05
  172 171.5 0.06736 2.92361e-05
  173 172.5 0.065016 2.82188e-05
  174 173.5 0.0664 2.88194e-05
  175 174.5 0.066008 2.86493e-05
  176 175.5 0.067128 2.91354e-05
  177 176.5 0.07024 3.04861e-05
  178 177.5 0.072296 3.13785e-05
  179 178.5 0.072128 3.13056e-05
  180 179.5 0.075048 3.25729e-05
  181 180.5 0.07776 3.375e-05
  182 181.5 0.08468 3.67535e-05
  183 182.5 0.087296 3.78889e-05
  184 183.5 0.095784 4.15729e-05
  185 184.5 0.108976 4.72986e-05
  186 185.5 0.121824 5.2875e-05
  187 186.5 0.147448 6.39965e-05
  188 187.5 0.184952 8.02743e-05
  189 188.5 0.245576 0.000106587
  190 189.5 0.323048 0.000140212
  191 190.5 0.434656 0.000188653
  192 191.5 0.587176 0.000254851
  193 192.5 0.78408 0.000340313
  194 193.5 1.02569 0.000445177
  195 194.5 1.29356 0.000561441
  196 195.5 1.61281 0.000700003
  197 196.5 1.95662 0.000849229
  198 197.5 2.30513 0.00100049
  199 198.5 2.65692 0.00115318
  200 199.5 2.96074 0.00128504
  201 200.5 3.34286 0.0014509
  202 201.5 3.70045 0.0016061
  203 202.5 3.98096 0.00172785
  204 203.5 4.27013 0.00185335
  205 204.5 4.55827 0.00197842
  206 205.5 4.83546 0.00209873
  207 206.5 5.11532 0.00222019
  208 207.5 5.44052 0.00236134
  209 208.5 5.69893 0.00247349
  210 209.5 6.06365 0.00263179
  211 210.5 6.49331 0.00281828
  212 211.5 6.93788 0.00301123
  213 212.5 7.45594 0.00323608
  214 213.5 8.06899 0.00350217
  215 214.5 8.81374 0.00382541
  216 215.5 9.65186 0.00418917
  217 216.5 10.6193 0.00460908
  218 217.5 11.7055 0.00508052
  219 218.5 12.977 0.00563236
  220 219.5 14.383 0.00624264
  221 220.5 15.8196 0.00686615
  222 221.5 17.4141 0.0075582
  223 222.5 18.9572 0.00822796
  224 223.5 20.5145 0.00890388
  225 224.5 22.064 0.00957639
