# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 11254.000000000002
  1 0.5 31.6645 0.0137433 -594.288 -567.001 -747.76
  2 1.5 31.5985 0.0137146 -580.302 -647.907 -697.656
  3 2.5 31.6474 0.0137359 -847.713 -745.3 -673.746
  4 3.5 31.6932 0.0137557 -840.632 -658.125 -751.709
  5 4.5 31.6267 0.0137269 -729.058 -749.606 -653.94
  6 5.5 31.5898 0.0137109 -877.713 -739.172 -792.398
  7 6.5 31.6879 0.0137534 -898.286 -652.14 -759.92
  8 7.5 31.6981 0.0137578 -646.499 -728.247 -630.788
  9 8.5 31.6194 0.0137237 -706.623 -744.784 -720.505
  10 9.5 31.6849 0.0137521 -543.84 -694.959 -845.234
  11 10.5 31.6301 0.0137283 -739.646 -663.768 -801.118
  12 11.5 31.6675 0.0137446 -709.805 -802.09 -740.45
  13 12.5 31.6575 0.0137402 -707.789 -527.989 -808.377
  14 13.5 31.6128 0.0137208 -537.313 -452.566 -741.152
  15 14.5 31.6194 0.0137237 -513.53 -433.843 -873.543
  16 15.5 31.6507 0.0137373 -563.651 -435.568 -960.219
  17 16.5 31.5406 0.0136895 -517.487 -524.685 -992.709
  18 17.5 31.5411 0.0136897 -421.82 -285.139 -1006.6
  19 18.5 31.4981 0.013671 -422.135 -448.111 -1079.56
  20 19.5 31.4713 0.0136594 -317.896 -293.122 -1296.66
  21 20.5 31.4184 0.0136365 -288.725 -203.168 -1368.4
  22 21.5 31.3465 0.0136053 -32.1562 6.26579 -1388.43
  23 22.5 31.2357 0.0135572 63.2884 26.9037 -1652.79
  24 23.5 31.0787 0.013489 98.8617 125.969 -1817.91
  25 24.5 30.9444 0.0134307 593.004 337.002 -2029.83
  26 25.5 30.6294 0.013294 954.018 784.737 -2194.8
  27 26.5 30.2668 0.0131367 1413.47 1354.46 -2436.07
