# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
65000000 480 5963.999999999998
  1 0.5 7.2057 0.00312748
  2 1.5 7.03439 0.00305312
  3 2.5 6.96446 0.00302277
  4 3.5 6.8323 0.00296541
  5 4.5 6.73369 0.00292261
  6 5.5 6.59777 0.00286361
  7 6.5 6.46078 0.00280416
  8 7.5 6.26414 0.00271881
  9 8.5 6.06946 0.00263432
  10 9.5 5.89772 0.00255977
  11 10.5 5.63822 0.00244714
  12 11.5 5.34429 0.00231957
  13 12.5 5.02502 0.002181
  14 13.5 4.73556 0.00205536
  15 14.5 4.37318 0.00189808
  16 15.5 3.99848 0.00173545
  17 16.5 3.59811 0.00156168
  18 17.5 3.1945 0.0013865
  19 18.5 2.82947 0.00122807
  20 19.5 2.42638 0.00105311
  21 20.5 2.05574 0.00089225
  22 21.5 1.72674 0.000749451
  23 22.5 1.40551 0.000610031
  24 23.5 1.11923 0.000485778
  25 24.5 0.882416 0.000382993
  26 25.5 0.686016 0.00029775
  27 26.5 0.545752 0.000236872
  28 27.5 0.432704 0.000187806
  29 28.5 0.35196 0.00015276
  30 29.5 0.281456 0.00012216
  31 30.5 0.231632 0.000100535
  32 31.5 0.200112 8.68542e-05
  33 32.5 0.182136 7.90521e-05
  34 33.5 0.165536 7.18472e-05
  35 34.5 0.152592 6.62292e-05
  36 35.5 0.143016 6.20729e-05
  37 36.5 0.140752 6.10903e-05
  38 37.5 0.137488 5.96736e-05
  39 38.5 0.137704 5.97674e-05
  40 39.5 0.134792 5.85035e-05
  41 40.5 0.128344 5.57049e-05
  42 41.5 0.1292 5.60764e-05
  43 42.5 0.125344 5.44028e-05
  44 43.5 0.124112 5.38681e-05
  45 44.5 0.129456 5.61875e-05
  46 45.5 0.12716 5.5191e-05
  47 46.5 0.123976 5.3809e-05
  48 47.5 0.122624 5.32222e-05
  49 48.5 0.122368 5.31111e-05
  50 49.5 0.12412 5.38715e-05
  51 50.5 0.121184 5.25972e-05
  52 51.5 0.122136 5.30104e-05
  53 52.5 0.12508 5.42882e-05
  54 53.5 0.12076 5.24132e-05
  55 54.5 0.124216 5.39132e-05
  56 55.5 0.124632 5.40937e-05
  57 56.5 0.128416 5.57361e-05
  58 57.5 0.127128 5.51771e-05
  59 58.5 0.125184 5.43333e-05
  60 59.5 0.127392 5.52917e-05
  61 60.5 0.122688 5.325e-05
  62 61.5 0.123232 5.34861e-05
  63 62.5 0.129264 5.61042e-05
  64 63.5 0.125872 5.46319e-05
  65 64.5 0.126368 5.48472e-05
  66 65.5 0.129224 5.60868e-05
  67 66.5 0.134744 5.84826e-05
  68 67.5 0.13032 5.65625e-05
  69 68.5 0.130136 5.64826e-05
  70 69.5 0.130648 5.67049e-05
  71 70.5 0.129224 5.60868e-05
  72 71.5 0.124248 5.39271e-05
  73 72.5 0.127096 5.51632e-05
  74 73.5 0.1292 5.60764e-05
  75 74.5 0.12612 5.47396e-05
  76 75.5 0.125728 5.45694e-05
  77 76.5 0.121904 5.29097e-05
  78 77.5 0.123912 5.37813e-05
  79 78.5 0.122072 5.29826e-05
  80 79.5 0.118608 5.14792e-05
  81 80.5 0.12004 5.21007e-05
  82 81.5 0.122264 5.3066e-05
  83 82.5 0.124904 5.42118e-05
  84 83.5 0.122944 5.33611e-05
  85 84.5 0.126392 5.48576e-05
  86 85.5 0.129752 5.6316e-05
  87 86.5 0.123808 5.37361e-05
  88 87.5 0.122768 5.32847e-05
  89 88.5 0.122328 5.30937e-05
  90 89.5 0.124672 5.41111e-05
  91 90.5 0.122184 5.30312e-05
  92 91.5 0.119784 5.19896e-05
  93 92.5 0.118936 5.16215e-05
  94 93.5 0.11728 5.09028e-05
  95 94.5 0.117096 5.08229e-05
  96 95.5 0.120336 5.22292e-05
  97 96.5 0.118688 5.15139e-05
  98 97.5 0.11644 5.05382e-05
  99 98.5 0.11788 5.11632e-05
  100 99.5 0.117352 5.0934e-05
  101 100.5 0.119936 5.20556e-05
  102 101.5 0.12312 5.34375e-05
  103 102.5 0.123656 5.36701e-05
  104 103.5 0.122008 5.29549e-05
  105 104.5 0.119632 5.19236e-05
  106 105.5 0.123032 5.33993e-05
  107 106.5 0.124528 5.40486e-05
  108 107.5 0.122824 5.3309e-05
  109 108.5 0.119912 5.20451e-05
  110 109.5 0.121056 5.25417e-05
  111 110.5 0.118736 5.15347e-05
  112 111.5 0.119088 5.16875e-05
  113 112.5 0.119872 5.20278e-05
  114 113.5 0.124984 5.42465e-05
  115 114.5 0.126072 5.47187e-05
  116 115.5 0.12848 5.57639e-05
  117 116.5 0.129016 5.59965e-05
  118 117.5 0.129088 5.60278e-05
  119 118.5 0.129208 5.60799e-05
  120 119.5 0.13052 5.66493e-05
  121 120.5 0.133328 5.78681e-05
  122 121.5 0.134312 5.82951e-05
  123 122.5 0.134752 5.84861e-05
  124 123.5 0.129056 5.60139e-05
  125 124.5 0.131528 5.70868e-05
  126 125.5 0.134056 5.8184e-05
  127 126.5 0.13932 6.04688e-05
  128 127.5 0.140696 6.1066e-05
  129 128.5 0.134352 5.83125e-05
  130 129.5 0.13644 5.92187e-05
  131 130.5 0.13328 5.78472e-05
  132 131.5 0.13076 5.67535e-05
  133 132.5 0.127144 5.5184e-05
  134 133.5 0.127792 5.54653e-05
  135 134.5 0.130768 5.67569e-05
  136 135.5 0.128672 5.58472e-05
  137 136.5 0.123384 5.35521e-05
  138 137.5 0.128848 5.59236e-05
  139 138.5 0.131224 5.69549e-05
  140 139.5 0.129344 5.61389e-05
  141 140.5 0.133 5.77257e-05
  142 141.5 0.137088 5.95e-05
  143 142.5 0.134144 5.82222e-05
  144 143.5 0.126848 5.50556e-05
  145 144.5 0.129552 5.62292e-05
  146 145.5 0.133256 5.78368e-05
  147 146.5 0.132512 5.75139e-05
  148 147.5 0.1298 5.63368e-05
  149 148.5 0.131632 5.71319e-05
  150 149.5 0.127648 5.54028e-05
  151 150.5 0.12824 5.56597e-05
  152 151.5 0.125088 5.42917e-05
  153 152.5 0.132672 5.75833e-05
  154 153.5 0.133432 5.79132e-05
  155 154.5 0.131336 5.70035e-05
  156 155.5 0.12716 5.5191e-05
  157 156.5 0.125104 5.42986e-05
  158 157.5 0.123536 5.36181e-05
  159 158.5 0.126368 5.48472e-05
  160 159.5 0.12964 5.62674e-05
  161 160.5 0.13504 5.86111e-05
  162 161.5 0.132624 5.75625e-05
  163 162.5 0.13972 6.06424e-05
  164 163.5 0.140672 6.10556e-05
  165 164.5 0.14124 6.13021e-05
  166 165.5 0.148344 6.43854e-05
  167 166.5 0.161368 7.00382e-05
  168 167.5 0.170584 7.40382e-05
  169 168.5 0.1896 8.22917e-05
  170 169.5 0.219912 9.54479e-05
  171 170.5 0.258584 0.000112233
  172 171.5 0.315504 0.000136937
  173 172.5 0.396344 0.000172024
  174 173.5 0.505144 0.000219247
  175 174.5 0.651032 0.000282566
  176 175.5 0.837528 0.00036351
  177 176.5 1.07502 0.000466587
  178 177.5 1.34141 0.000582208
  179 178.5 1.66533 0.000722799
  180 179.5 2.03534 0.000883392
  181 180.5 2.44492 0.00106116
  182 181.5 2.8823 0.001251
  183 182.5 3.33317 0.00144669
  184 183.5 3.77278 0.00163749
  185 184.5 4.21873 0.00183105
  186 185.5 4.62016 0.00200528
  187 186.5 5.00962 0.00217432
  188 187.5 5.35763 0.00232536
  189 188.5 5.6616 0.00245729
  190 189.5 5.99594 0.00260241
  191 190.5 6.24021 0.00270842
  192 191.5 6.50527 0.00282347
  193 192.5 6.75361 0.00293125
  194 193.5 6.94238 0.00301319
  195 194.5 7.16204 0.00310852
  196 195.5 7.38805 0.00320662
  197 196.5 7.59203 0.00329515
  198 197.5 7.74208 0.00336028
  199 198.5 7.8978 0.00342786
  200 199.5 8.0677 0.0035016
  201 200.5 8.21717 0.00356648
  202 201.5 8.31372 0.00360839
  203 202.5 8.38262 0.00363829
  204 203.5 8.56582 0.00371781
  205 204.5 8.70002 0.00377605
  206 205.5 8.79198 0.00381596
  207 206.5 8.96851 0.00389258
  208 207.5 9.06653 0.00393513
  209 208.5 9.15566 0.00397381
  210 209.5 9.24106 0.00401087
  211 210.5 9.37205 0.00406773
  212 211.5 9.4769 0.00411324
  213 212.5 9.61173 0.00417176
  214 213.5 9.792 0.00425
  215 214.5 9.97401 0.004329
  216 215.5 10.208 0.00443058
  217 216.5 10.5353 0.00457262
  218 217.5 10.8376 0.00470383
  219 218.5 11.2038 0.00486276
  220 219.5 11.5404 0.00500883
  221 220.5 12.0835 0.00524457
  222 221.5 12.564 0.00545312
  223 222.5 13.118 0.00569358
  224 223.5 13.7012 0.00594669
  225 224.5 14.3105 0.00621114
  226 225.5 14.9247 0.00647775
  227 226.5 15.6156 0.0067776
  228 227.5 16.2122 0.00703655
  229 228.5 16.891 0.00733117
  230 229.5 17.5616 0.00762224
  231 230.5 18.327 0.00795441
  232 231.5 19.0705 0.00827714
  233 232.5 19.704 0.00855209
  234 233.5 20.4158 0.00886101
  235 234.5 21.0819 0.00915013
  236 235.5 21.7251 0.00942931
  237 236.5 22.2892 0.00967413
  238 237.5 22.8883 0.00993415
  239 238.5 23.4184 0.0101642
  240 239.5 23.9109 0.010378
  241 240.5 24.3452 0.0105665
  242 241.5 24.7069 0.0107235
  243 242.5 25.0716 0.0108818
  244 243.5 25.5061 0.0110704
  245 244.5 25.8554 0.0112219
  246 245.5 26.0618 0.0113115
  247 246.5 26.387 0.0114527
  248 247.5 26.7986 0.0116313
  249 248.5 27.0663 0.0117475
  250 249.5 27.3052 0.0118512
  251 250.5 27.6865 0.0120167
  252 251.5 27.8734 0.0120978
  253 252.5 27.9877 0.0121474
  254 253.5 28.1247 0.0122069
  255 254.5 28.2826 0.0122754
  256 255.5 28.5413 0.0123877
  257 256.5 28.5988 0.0124127
  258 257.5 28.7097 0.0124608
  259 258.5 28.8549 0.0125238
  260 259.5 28.9296 0.0125562
  261 260.5 28.9992 0.0125864
  262 261.5 29.0334 0.0126013
  263 262.5 29.1565 0.0126547
  264 263.5 29.2212 0.0126828
  265 264.5 29.3102 0.0127214
  266 265.5 29.2689 0.0127035
  267 266.5 29.2858 0.0127108
  268 267.5 29.3538 0.0127404
  269 268.5 29.3443 0.0127362
  270 269.5 29.4086 0.0127642
  271 270.5 29.4282 0.0127727
  272 271.5 29.545 0.0128234
  273 272.5 29.572 0.012835
