# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
65000000 480 11027.000000000005
  1 0.5 30.6344 0.0132962 -760.857 -800.742 -1126.66
  2 1.5 30.5251 0.0132487 -873.425 -820.391 -1279.61
  3 2.5 30.4736 0.0132264 -691.914 -703.019 -1457.07
  4 3.5 30.4132 0.0132002 -796.418 -719.763 -1584.47
  5 4.5 30.3462 0.0131711 -584.795 -444.353 -1451.9
  6 5.5 30.2346 0.0131226 -722.711 -591.168 -1710.72
  7 6.5 30.0655 0.0130493 -289.036 -177.724 -1753.29
  8 7.5 29.909 0.0129813 20.2356 -92.1658 -2040.23
  9 8.5 29.7298 0.0129036 114.651 250.14 -2216.23
  10 9.5 29.3993 0.0127601 562.61 621.587 -2199.26
  11 10.5 29.0288 0.0125993 853.584 729.539 -2332.12
  12 11.5 28.6849 0.0124501 1324.87 1054.9 -2383.23
  13 12.5 28.0863 0.0121902 1699.03 1714.77 -2634.4
  14 13.5 27.3612 0.0118755 1856.14 2087.14 -2350.48
  15 14.5 26.4376 0.0114747 2376.38 2549.5 -2135.96
  16 15.5 25.411 0.0110291 2990.88 2970.52 -1968.41
  17 16.5 24.0157 0.0104235 3139.32 3142.41 -1564.83
  18 17.5 22.4681 0.00975176 3273.43 3376.48 -1103.42
  19 18.5 20.7468 0.00900467 3324.26 3286.52 -613.675
  20 19.5 18.7851 0.00815327 3138.85 2980.75 75.8294
  21 20.5 16.6424 0.00722326 2744.6 2707.4 530.552
  22 21.5 14.5846 0.00633012 1970.85 2136.52 888.714
  23 22.5 12.6175 0.00547636 1202.2 1262.34 1362.4
  24 23.5 10.61 0.00460504 164.709 205.861 1426.96
  25 24.5 8.86866 0.00384924 -1282.85 -1124.96 1355.92
  26 25.5 7.31395 0.00317446 -2723.71 -2568.46 889.073
  27 26.5 6.06325 0.00263162 -4265.71 -4390.14 97.7273
  28 27.5 4.97485 0.00215922 -6390.79 -5855.83 -1289.57
  29 28.5 4.17862 0.00181364 -7996.78 -7757.31 -2598.65
  30 29.5 3.56278 0.00154635 -9496.56 -9272.44 -4260.57
  31 30.5 3.06206 0.00132902 -10858.6 -11036.5 -6121.44
  32 31.5 2.68012 0.00116325 -12394.9 -12585.6 -8314.57
  33 32.5 2.42027 0.00105047 -13732.3 -13854.1 -10196.1
  34 33.5 2.23079 0.000968226 -14490.4 -14704.6 -11830.5
  35 34.5 2.11362 0.000917368 -15118.2 -15166.3 -12841.6
  36 35.5 2.00171 0.000868799 -15747.9 -16090.1 -14100
  37 36.5 1.93926 0.000841691 -16076.9 -16312.4 -15078.1
  38 37.5 1.89902 0.000824226 -16289.1 -16540 -15486.4
  39 38.5 1.87846 0.000815302 -16590.6 -16446.8 -15937.5
  40 39.5 1.86818 0.000810844 -16538.1 -16816.2 -15976.8
  41 40.5 1.86273 0.000808476 -16533.9 -16819.7 -16358.4
  42 41.5 1.836 0.000796875 -17131.9 -16874.1 -16554.6
  43 42.5 1.80121 0.000781774 -17153.7 -17048.8 -17014
  44 43.5 1.81089 0.000785976 -17084.6 -17349.3 -16882.6
  45 44.5 1.81842 0.000789243 -17275.9 -17305.1 -16799.4
  46 45.5 1.80409 0.000783024 -17125.3 -17282 -17098.3
  47 46.5 1.78637 0.000775333 -16951.8 -17253.3 -17274.8
  48 47.5 1.80808 0.000784757 -16630.5 -17121.2 -17087.7
  49 48.5 1.80145 0.000781878 -16724.4 -16939.3 -17097.5
  50 49.5 1.81639 0.000788365 -16972.3 -17146.2 -16889.3
  51 50.5 1.78549 0.000774951 -17058.4 -16937.8 -17322.6
  52 51.5 1.78786 0.000775983 -16748.5 -17070.1 -17203.3
  53 52.5 1.7962 0.000779601 -17145.9 -17007.6 -17221.8
  54 53.5 1.8038 0.000782899 -17240.4 -17181.4 -17145.2
  55 54.5 1.80405 0.000783007 -17233.8 -17045.1 -17053
  56 55.5 1.80424 0.00078309 -17415 -16994.3 -17151.8
  57 56.5 1.80258 0.000782372 -17346.9 -17284.1 -17143.5
  58 57.5 1.79702 0.000779958 -17329.7 -16916.7 -17308.4
  59 58.5 1.80242 0.000782302 -17214.5 -17360.3 -16915
  60 59.5 1.79314 0.000778274 -17292.7 -17341.2 -17247.1
  61 60.5 1.79102 0.000777354 -17331.1 -17106.6 -17194.8
  62 61.5 1.77959 0.000772392 -17637.4 -17004.9 -17378
  63 62.5 1.79461 0.00077891 -17565.2 -17360.7 -17201.3
  64 63.5 1.79656 0.000779757 -17495.5 -17185.8 -17152.8
  65 64.5 1.80402 0.000782993 -17644.8 -17212.3 -17057.2
  66 65.5 1.7871 0.000775653 -17471.2 -17328.8 -17321.7
  67 66.5 1.80558 0.00078367 -17641.7 -17451.6 -17254.3
  68 67.5 1.78978 0.000776816 -17439.4 -17261.4 -17241.7
  69 68.5 1.80043 0.000781438 -17506.9 -17345.1 -17107.5
  70 69.5 1.78742 0.000775788 -17602.4 -17604.1 -17254.8
  71 70.5 1.79461 0.00077891 -17524.8 -17548.8 -17102.8
  72 71.5 1.79098 0.000777337 -17447.4 -17710.8 -17328.6
  73 72.5 1.79867 0.000780674 -17449.1 -17511.1 -17251.9
  74 73.5 1.79891 0.000780778 -17041.6 -17310.3 -17040.3
  75 74.5 1.78596 0.000775156 -17514.3 -17361.5 -17306.8
  76 75.5 1.79726 0.000780063 -17202.5 -17034.7 -17163.9
  77 76.5 1.78884 0.000776406 -17281.5 -17028.8 -17215.3
  78 77.5 1.79355 0.000778451 -17215.4 -17318.7 -17296.6
  79 78.5 1.78738 0.000775774 -17348.1 -16896.2 -17131.9
