# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 11567.999999999998
  1 0.5 32.3144 0.0140254 -461.479 -411.749 -437.693
  2 1.5 32.374 0.0140512 -439.875 -561.013 -471.769
  3 2.5 32.3053 0.0140214 -460.113 -447.105 -378.802
  4 3.5 32.2785 0.0140098 -436.417 -610.642 -551.824
  5 4.5 32.3739 0.0140512 -423.407 -443.473 -521.949
  6 5.5 32.3238 0.0140294 -486.705 -541.174 -627.652
  7 6.5 32.2988 0.0140186 -387.612 -514.69 -364.873
  8 7.5 32.311 0.0140239 -375.758 -506.331 -393.4
  9 8.5 32.3563 0.0140435 -494.543 -508.647 -560.227
  10 9.5 32.3158 0.014026 -371.13 -451.361 -488.407
  11 10.5 32.2975 0.014018 -496.602 -508.28 -572.568
  12 11.5 32.3029 0.0140204 -508.082 -420.278 -453.718
  13 12.5 32.2963 0.0140175 -619.881 -490.014 -514.992
  14 13.5 32.357 0.0140439 -487.055 -526.952 -371.024
  15 14.5 32.3413 0.014037 -555.098 -500.08 -571.159
  16 15.5 32.281 0.0140109 -500.463 -518.045 -462.124
  17 16.5 32.311 0.0140239 -633.767 -530.663 -507.145
  18 17.5 32.3822 0.0140548 -552 -659.925 -408.829
  19 18.5 32.3145 0.0140254 -533.605 -586.674 -653.451
  20 19.5 32.2305 0.0139889 -704.402 -639.694 -426.528
  21 20.5 32.2893 0.0140144 -477.972 -516.683 -437.62
  22 21.5 32.4006 0.0140628 -575.979 -255.988 -484.315
  23 22.5 32.2558 0.0139999 -482.113 -445.305 -528.984
  24 23.5 32.256 0.014 -422.951 -388.255 -462.218
  25 24.5 32.3185 0.0140271 -386.982 -387.286 -552.28
  26 25.5 32.3275 0.014031 -269.421 -340.872 -400.113
  27 26.5 32.2332 0.0139901 -440.345 -434.425 -440.761
  28 27.5 32.2938 0.0140164 -607.048 -563.099 -641.165
  29 28.5 32.335 0.0140343 -435.006 -555.472 -413.896
  30 29.5 32.2806 0.0140107 -467.797 -553.385 -392.074
  31 30.5 32.2265 0.0139872 -304.2 -666.901 -561.356
  32 31.5 32.2929 0.014016 -233.526 -458.5 -585.923
  33 32.5 32.2774 0.0140093 -219.667 -321.875 -289.195
  34 33.5 32.2729 0.0140073 -336.273 -419.107 -502.056
  35 34.5 32.2888 0.0140142 -352.919 -415.259 -595.371
  36 35.5 32.2517 0.0139981 -363.519 -385.622 -499.116
  37 36.5 32.2757 0.0140086 -320.292 -295.265 -407.312
  38 37.5 32.2778 0.0140095 -538.669 -327.121 -498.869
  39 38.5 32.32 0.0140278 -521.778 -424.006 -514.536
  40 39.5 32.2642 0.0140035 -518.383 -442.343 -491.453
  41 40.5 32.2988 0.0140186 -535.6 -447.997 -406.38
  42 41.5 32.2876 0.0140137 -436.085 -508.158 -569.363
  43 42.5 32.2676 0.014005 -473.252 -493.369 -599.604
  44 43.5 32.2676 0.014005 -242.439 -189.781 -406.049
  45 44.5 32.2926 0.0140159 -252.437 -294.256 -499.095
  46 45.5 32.301 0.0140196 -270.99 -261.33 -604.641
  47 46.5 32.3104 0.0140236 -401.678 -317.853 -523.22
  48 47.5 32.2914 0.0140154 -459.204 -639.731 -503.134
  49 48.5 32.3453 0.0140388 -461.017 -340.302 -628.44
  50 49.5 32.3299 0.0140321 -268.426 -299.894 -648.921
  51 50.5 32.267 0.0140048 -317.246 -259.678 -715.059
  52 51.5 32.3137 0.014025 -392.154 -471.745 -636.625
  53 52.5 32.2946 0.0140167 -445.047 -173.954 -760.706
  54 53.5 32.1861 0.0139697 -203.514 -130.103 -952.621
  55 54.5 32.1973 0.0139745 -256.514 -160.865 -1026.85
  56 55.5 32.1495 0.0139538 53.8442 68.1007 -1156.61
  57 56.5 32.1626 0.0139595 60.153 203.953 -1254.35
  58 57.5 31.9981 0.013888 302.878 364.634 -1485.11
  59 58.5 31.9386 0.0138622 473.181 386.56 -1683.31
  60 59.5 31.7488 0.0137799 838.629 910.592 -1925.24
  61 60.5 31.5789 0.0137061 1148.47 1032.92 -2266.99
  62 61.5 31.2022 0.0135426 1705.77 1657 -2461.28
  63 62.5 30.9087 0.0134152 2433.96 2310.85 -2607.56
  64 63.5 30.3218 0.0131605 3278.87 3231.79 -2700.99
  65 64.5 29.5481 0.0128247 4161.88 4231.79 -2429.6
  66 65.5 28.523 0.0123798 5287.1 5045.11 -2169.1
  67 66.5 27.1493 0.0117836 6222.95 5981.65 -1343.6
  68 67.5 25.2696 0.0109677 6706.32 6600.27 -480.306
  69 68.5 23.0354 0.00999802 7271.24 7177.94 856.008
  70 69.5 20.332 0.00882466 7353.52 7158.2 2128.62
  71 70.5 17.3388 0.00752553 7019.06 7021.34 3741.6
  72 71.5 14.1573 0.00614467 6210.26 6027.15 5034.69
  73 72.5 11.1584 0.00484304 4818.46 4727.38 5758.55
  74 73.5 8.48314 0.00368192 2983 2831.05 6418.35
  75 74.5 6.28722 0.00272883 742.808 637.804 6416.17
  76 75.5 4.59938 0.00199626 -1825.45 -1640.84 5402.54
  77 76.5 3.3677 0.00146168 -4525.11 -4382.17 3852.97
  78 77.5 2.53295 0.00109937 -7121.36 -6914.46 1323.13
  79 78.5 1.99315 0.000865083 -9725.95 -9357.82 -1632.27
  80 79.5 1.61664 0.000701667 -11572.6 -11203.3 -4774.05
  81 80.5 1.39489 0.00060542 -13194.2 -13003.6 -7545.38
  82 81.5 1.24642 0.000540979 -14514.6 -13918.6 -9867.31
  83 82.5 1.14727 0.000497948 -15227.9 -14502.9 -11783
  84 83.5 1.09106 0.000473552 -15846.2 -15141.9 -13006.8
  85 84.5 1.04355 0.000452931 -15899.3 -15643.3 -14156.6
  86 85.5 1.01363 0.000439944 -16039.1 -15465 -14918.7
