# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 12642.00000000001
  1 0.5 40.0551 0.017385 -40.9303 75.7333 -10.4985
  2 1.5 39.8963 0.0173161 30.3318 -1.15668 -56.8787
  3 2.5 39.9483 0.0173387 -2.53583 -30.4398 46.9887
  4 3.5 40.1014 0.0174051 -34.3076 -62.1098 56.1073
  5 4.5 39.9523 0.0173404 -155.305 -45.2201 -4.87015
  6 5.5 39.922 0.0173272 -104.692 -122.008 -48.4601
  7 6.5 40.0068 0.0173641 -16.5908 -137.023 -5.26776
  8 7.5 40.0855 0.0173982 -3.62855 -47.1867 31.9595
  9 8.5 39.8402 0.0172918 44.5439 18.6882 3.60425
  10 9.5 40.0072 0.0173642 -16.9649 0.925395 -25.3744
  11 10.5 40.0528 0.017384 -12.3414 -147.954 -3.25211
  12 11.5 39.9846 0.0173544 -70.7298 -181.334 70.3814
  13 12.5 39.9061 0.0173203 -109.698 -196.767 -21.1153
  14 13.5 40.0367 0.017377 -96.9593 -139.615 -73.4133
  15 14.5 40.0241 0.0173716 80.2345 15.3624 63.0905
  16 15.5 39.9534 0.0173409 31.5696 69.9112 -2.80925
  17 16.5 39.9626 0.0173449 -37.3763 49.3613 9.62718
  18 17.5 39.9812 0.0173529 36.3721 136.776 52.4543
  19 18.5 40.018 0.0173689 -4.67762 -25.0086 -59.8586
  20 19.5 39.9539 0.0173411 -28.1757 -17.4189 12.1302
  21 20.5 39.9744 0.01735 34.0185 -49.7631 -11.8391
  22 21.5 39.9999 0.017361 5.36031 -65.7668 16.499
  23 22.5 39.9755 0.0173505 -33.2034 -3.05442 -4.11797
  24 23.5 39.9794 0.0173522 -15.7655 -35.5615 54.7653
  25 24.5 39.9914 0.0173574 35.6984 71.0513 -18.1733
  26 25.5 39.9601 0.0173438 -30.1121 -18.8216 1.91533
  27 26.5 39.9793 0.0173521 89.3137 23.0405 25.7358
  28 27.5 39.9806 0.0173527 -11.3556 -69.6643 -42.1639
  29 28.5 39.985 0.0173546 -107.094 -79.1364 3.98236
  30 29.5 39.9608 0.0173441 -136.332 -36.4736 28.9433
  31 30.5 40.0213 0.0173704 -129.613 10.3884 83.3951
  32 31.5 39.9669 0.0173468 -148.953 81.7996 -88.1268
  33 32.5 39.9531 0.0173407 -83.656 46.4708 19.2892
  34 33.5 39.977 0.0173511 51.0932 28.3883 47.6672
  35 34.5 40.0287 0.0173735 -29.6778 -5.93979 -14.4756
  36 35.5 39.9181 0.0173256 -55.9117 -61.7666 -20.9582
  37 36.5 39.9831 0.0173538 -87.5424 -68.1828 -3.89529
  38 37.5 40.0361 0.0173768 -114.382 -60.3972 -44.0177
  39 38.5 39.981 0.0173529 -56.7718 -31.076 73.4339
  40 39.5 39.9122 0.017323 -52.4222 21.843 48.7727
  41 40.5 40.0448 0.0173806 29.5767 67.6904 -67.0029
  42 41.5 40.0112 0.017366 88.585 -28.5206 41.5746
  43 42.5 39.8669 0.0173034 -9.70499 -87.4278 17.8157
  44 43.5 40.0464 0.0173812 53.0548 -60.4782 -42.92
  45 44.5 39.9971 0.0173598 49.9372 -52.7668 -28.5059
  46 45.5 39.914 0.0173238 54.6432 -15.1979 53.0609
  47 46.5 39.9946 0.0173588 -8.6298 -18.3314 30.023
  48 47.5 40.0451 0.0173807 -18.2865 -102.186 -33.1786
  49 48.5 39.9354 0.0173331 13.908 -46.6424 -4.16687
  50 49.5 39.9396 0.0173349 99.8335 39.8316 1.4503
  51 50.5 40.0305 0.0173744 -4.00247 -12.3223 5.2073
  52 51.5 39.9931 0.0173581 60.5764 -112.454 -30.6692
  53 52.5 39.9193 0.0173261 23.1589 -73.0838 6.72611
  54 53.5 39.9997 0.017361 35.2855 -58.9382 -26.6713
  55 54.5 40.0089 0.017365 -22.3984 -25.8447 -75.3142
  56 55.5 39.9161 0.0173247 114.306 19.1323 24.3473
  57 56.5 39.9771 0.0173512 122.401 -19.2731 -137.593
  58 57.5 39.9816 0.0173531 215.776 23.7644 -50.4628
  59 58.5 39.9408 0.0173354 161.741 137.56 -151.811
  60 59.5 39.9446 0.0173371 86.6691 106.947 -243.903
  61 60.5 39.9695 0.0173479 83.823 167.555 -360.065
  62 61.5 39.9387 0.0173345 154.997 211.287 -421.559
  63 62.5 39.9189 0.0173259 271.251 264.688 -637.435
  64 63.5 39.9222 0.0173273 289.637 369.732 -831.956
  65 64.5 39.8721 0.0173056 430.035 605.571 -958.001
  66 65.5 39.8772 0.0173078 657.58 664.207 -1401.25
  67 66.5 39.7978 0.0172734 883.504 960.416 -1793.18
  68 67.5 39.7036 0.0172325 1286.54 1296.49 -2208.32
  69 68.5 39.662 0.0172144 1999.1 1931.98 -2724.32
  70 69.5 39.5231 0.0171541 2817.13 2843.35 -3697.14
  71 70.5 39.1193 0.0169788 4188.13 4196.58 -4324.97
  72 71.5 38.8423 0.0168586 6158.51 6230.24 -4662.53
  73 72.5 38.4678 0.0166961 9032.43 9100.78 -4943.66
  74 73.5 37.2164 0.0161529 12822.6 12898.5 -3682.81
  75 74.5 35.525 0.0154188 17571.5 17607.8 401.216
  76 75.5 33.123 0.0143763 21893.2 21919.8 6104.13
  77 76.5 28.2631 0.012267 24381.9 24412.5 11693.7
  78 77.5 20.1429 0.00874258 24865.1 24818.3 16503.6
  79 78.5 11.3213 0.00491376 23521.5 23474.3 20850.3
