# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 6281.999999999996
  1 0.5 1.13986 0.000494733
  2 1.5 2.6121 0.00113372
  3 2.5 4.7773 0.00207348
  4 3.5 6.91938 0.0030032
  5 4.5 8.26579 0.00358758
  6 5.5 8.5227 0.00369909
  7 6.5 8.35523 0.0036264
  8 7.5 7.95094 0.00345093
  9 8.5 7.56028 0.00328137
  10 9.5 7.17892 0.00311585
  11 10.5 6.84128 0.00296931
  12 11.5 6.58195 0.00285675
  13 12.5 6.33412 0.00274918
  14 13.5 6.07604 0.00263717
  15 14.5 5.85406 0.00254083
  16 15.5 5.66866 0.00246036
  17 16.5 5.43987 0.00236106
  18 17.5 5.37003 0.00233074
  19 18.5 5.20814 0.00226048
  20 19.5 5.13406 0.00222833
  21 20.5 5.12174 0.00222298
  22 21.5 5.06961 0.00220035
  23 22.5 5.0638 0.00219783
  24 23.5 4.92132 0.00213599
  25 24.5 4.9058 0.00212925
  26 25.5 4.7893 0.00207869
  27 26.5 4.81622 0.00209037
  28 27.5 4.73369 0.00205455
  29 28.5 4.63008 0.00200958
  30 29.5 4.5233 0.00196324
  31 30.5 4.46828 0.00193936
  32 31.5 4.48206 0.00194534
  33 32.5 4.41566 0.00191652
  34 33.5 4.36146 0.00189299
  35 34.5 4.3853 0.00190334
  36 35.5 4.35407 0.00188979
  37 36.5 4.24014 0.00184034
  38 37.5 4.20012 0.00182297
  39 38.5 4.21115 0.00182776
  40 39.5 4.26605 0.00185158
  41 40.5 4.27978 0.00185755
  42 41.5 4.30453 0.00186828
  43 42.5 4.32271 0.00187618
  44 43.5 4.30844 0.00186998
  45 44.5 4.33935 0.0018834
  46 45.5 4.33414 0.00188114
  47 46.5 4.26058 0.00184921
  48 47.5 4.19847 0.00182225
  49 48.5 4.21184 0.00182806
  50 49.5 4.24175 0.00184104
  51 50.5 4.20774 0.00182628
  52 51.5 4.15622 0.00180391
  53 52.5 4.24615 0.00184295
  54 53.5 4.32898 0.0018789
  55 54.5 4.3831 0.00190239
  56 55.5 4.38763 0.00190435
