# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6282
  1 0.5 4.13195 0.00179338
  2 1.5 5.92464 0.00257146
  3 2.5 7.05407 0.00306166
  4 3.5 7.34053 0.003186
  5 4.5 7.08886 0.00307676
  6 5.5 6.7244 0.00291857
  7 6.5 6.29888 0.00273389
  8 7.5 5.91891 0.00256897
  9 8.5 5.60164 0.00243127
  10 9.5 5.33999 0.0023177
  11 10.5 5.17912 0.00224788
  12 11.5 5.01011 0.00217453
  13 12.5 4.9012 0.00212726
  14 13.5 4.80303 0.00208465
  15 14.5 4.70826 0.00204352
  16 15.5 4.63174 0.0020103
  17 16.5 4.56027 0.00197928
  18 17.5 4.51777 0.00196084
  19 18.5 4.47737 0.0019433
  20 19.5 4.49366 0.00195037
  21 20.5 4.50014 0.00195318
  22 21.5 4.46903 0.00193968
  23 22.5 4.48041 0.00194462
  24 23.5 4.48693 0.00194745
  25 24.5 4.47963 0.00194428
  26 25.5 4.447 0.00193012
  27 26.5 4.43092 0.00192314
  28 27.5 4.4345 0.0019247
  29 28.5 4.46412 0.00193755
  30 29.5 4.47396 0.00194182
  31 30.5 4.57467 0.00198553
  32 31.5 4.61454 0.00200284
  33 32.5 4.63869 0.00201332
  34 33.5 4.66319 0.00202395
  35 34.5 4.67143 0.00202753
  36 35.5 4.62255 0.00200632
  37 36.5 4.59388 0.00199387
  38 37.5 4.59799 0.00199565
  39 38.5 4.56833 0.00198278
  40 39.5 4.54562 0.00197292
  41 40.5 4.5963 0.00199492
  42 41.5 4.65006 0.00201826
  43 42.5 4.61847 0.00200455
  44 43.5 4.62267 0.00200637
  45 44.5 4.61725 0.00200402
  46 45.5 4.60706 0.00199959
  47 46.5 4.70024 0.00204003
  48 47.5 4.69791 0.00203903
  49 48.5 4.68298 0.00203254
  50 49.5 4.65181 0.00201901
  51 50.5 4.61348 0.00200238
  52 51.5 4.61676 0.0020038
  53 52.5 4.62732 0.00200838
  54 53.5 4.62716 0.00200832
  55 54.5 4.57103 0.00198395
  56 55.5 4.53595 0.00196873
  57 56.5 4.5219 0.00196263
  58 57.5 4.54095 0.0019709
  59 58.5 4.54879 0.0019743
  60 59.5 4.55639 0.0019776
  61 60.5 4.57394 0.00198522
  62 61.5 4.59604 0.00199481
  63 62.5 4.6275 0.00200846
  64 63.5 4.6722 0.00202786
  65 64.5 4.66829 0.00202617
  66 65.5 4.64069 0.00201419
  67 66.5 4.62925 0.00200922
  68 67.5 4.54924 0.0019745
  69 68.5 4.51514 0.0019597
  70 69.5 4.47661 0.00194297
  71 70.5 4.42187 0.00191922
  72 71.5 4.38244 0.0019021
  73 72.5 4.32445 0.00187693
  74 73.5 4.28289 0.00185889
  75 74.5 4.26405 0.00185072
  76 75.5 4.2419 0.0018411
  77 76.5 4.19673 0.0018215
  78 77.5 4.17856 0.00181361
  79 78.5 4.20722 0.00182605
  80 79.5 4.21952 0.00183139
  81 80.5 4.22811 0.00183512
  82 81.5 4.24186 0.00184109
  83 82.5 4.2007 0.00182322
  84 83.5 4.18741 0.00181745
  85 84.5 4.19396 0.00182029
  86 85.5 4.1686 0.00180929
  87 86.5 4.1459 0.00179944
  88 87.5 4.13384 0.0017942
  89 88.5 4.12483 0.00179029
  90 89.5 4.12918 0.00179218
  91 90.5 4.14453 0.00179884
  92 91.5 4.12507 0.00179039
  93 92.5 4.16665 0.00180844
  94 93.5 4.20612 0.00182557
  95 94.5 4.21435 0.00182914
  96 95.5 4.2532 0.00184601
  97 96.5 4.2126 0.00182839
  98 97.5 4.2253 0.0018339
  99 98.5 4.24783 0.00184368
  100 99.5 4.24705 0.00184334
  101 100.5 4.26278 0.00185016
  102 101.5 4.29063 0.00186225
  103 102.5 4.35444 0.00188995
  104 103.5 4.37746 0.00189994
  105 104.5 4.44994 0.0019314
  106 105.5 4.47501 0.00194228
  107 106.5 4.43059 0.001923
  108 107.5 4.49187 0.00194959
  109 108.5 4.52572 0.00196429
  110 109.5 4.54484 0.00197259
  111 110.5 4.58941 0.00199193
  112 111.5 4.63 0.00200955
  113 112.5 4.71259 0.0020454
  114 113.5 4.75778 0.00206501
  115 114.5 4.77306 0.00207164
  116 115.5 4.82842 0.00209567
  117 116.5 4.83367 0.00209795
  118 117.5 4.80452 0.0020853
  119 118.5 4.80533 0.00208565
  120 119.5 4.82815 0.00209555
  121 120.5 4.90937 0.0021308
  122 121.5 4.95203 0.00214932
  123 122.5 4.98169 0.00216219
  124 123.5 4.96924 0.00215679
  125 124.5 4.95032 0.00214857
  126 125.5 4.94148 0.00214474
  127 126.5 4.94256 0.00214521
  128 127.5 4.92227 0.0021364
  129 128.5 4.86676 0.00211231
  130 129.5 4.82039 0.00209218
  131 130.5 4.80984 0.0020876
  132 131.5 4.80808 0.00208684
  133 132.5 4.78713 0.00207775
  134 133.5 4.77297 0.0020716
  135 134.5 4.77718 0.00207343
  136 135.5 4.77214 0.00207124
  137 136.5 4.77123 0.00207084
  138 137.5 4.80873 0.00208712
  139 138.5 4.83318 0.00209774
  140 139.5 4.86137 0.00210997
  141 140.5 4.94654 0.00214693
  142 141.5 4.98745 0.00216469
  143 142.5 5.0453 0.0021898
  144 143.5 5.12357 0.00222377
  145 144.5 5.25148 0.00227929
  146 145.5 5.42464 0.00235444
  147 146.5 5.63493 0.00244572
  148 147.5 5.89903 0.00256034
  149 148.5 6.23682 0.00270695
  150 149.5 6.71306 0.00291365
  151 150.5 7.23438 0.00313992
  152 151.5 7.82574 0.00339659
  153 152.5 8.62562 0.00374376
  154 153.5 9.54883 0.00414446
  155 154.5 10.7443 0.00466334
  156 155.5 12.0212 0.00521754
  157 156.5 13.4763 0.00584909
  158 157.5 15.1867 0.00659147
  159 158.5 17.0483 0.00739944
  160 159.5 18.9615 0.00822984
  161 160.5 20.8695 0.00905794
  162 161.5 22.8624 0.00992293
  163 162.5 24.6987 0.0107199
  164 163.5 26.319 0.0114232
  165 164.5 27.8013 0.0120665
  166 165.5 29.1428 0.0126488
  167 166.5 30.2011 0.0131081
  168 167.5 31.0644 0.0134828
  169 168.5 31.8749 0.0138346
  170 169.5 32.4652 0.0140908
  171 170.5 32.905 0.0142817
  172 171.5 33.3385 0.0144698
  173 172.5 33.6115 0.0145883
  174 173.5 33.8231 0.0146801
  175 174.5 33.9628 0.0147408
  176 175.5 34.136 0.014816
  177 176.5 34.2191 0.014852
  178 177.5 34.2996 0.014887
  179 178.5 34.4578 0.0149557
  180 179.5 34.5802 0.0150088
  181 180.5 34.6399 0.0150347
  182 181.5 34.7568 0.0150854
  183 182.5 34.6979 0.0150599
  184 183.5 34.7443 0.01508
  185 184.5 34.8013 0.0151047
  186 185.5 34.8004 0.0151044
  187 186.5 34.8407 0.0151218
  188 187.5 34.9602 0.0151737
  189 188.5 34.9925 0.0151877
  190 189.5 34.9721 0.0151789
  191 190.5 34.9889 0.0151862
  192 191.5 35.1126 0.0152398
  193 192.5 35.1379 0.0152508
  194 193.5 35.0301 0.0152041
  195 194.5 35.1698 0.0152647
  196 195.5 35.2499 0.0152994
  197 196.5 35.1326 0.0152485
  198 197.5 35.2341 0.0152926
  199 198.5 35.2591 0.0153034
  200 199.5 35.254 0.0153012
  201 200.5 35.1807 0.0152694
  202 201.5 35.2127 0.0152833
  203 202.5 35.106 0.015237
  204 203.5 35.1491 0.0152557
  205 204.5 35.1787 0.0152685
  206 205.5 35.1597 0.0152603
  207 206.5 35.2135 0.0152837
  208 207.5 35.2427 0.0152963
  209 208.5 35.3046 0.0153232
  210 209.5 35.3338 0.0153359
  211 210.5 35.2736 0.0153097
  212 211.5 35.3685 0.0153509
  213 212.5 35.3233 0.0153313
  214 213.5 35.3228 0.0153311
  215 214.5 35.3012 0.0153217
  216 215.5 35.3791 0.0153555
  217 216.5 35.312 0.0153264
  218 217.5 35.311 0.0153259
  219 218.5 35.4232 0.0153747
  220 219.5 35.359 0.0153468
  221 220.5 35.2733 0.0153096
  222 221.5 35.305 0.0153233
  223 222.5 35.3568 0.0153458
  224 223.5 35.2434 0.0152966
  225 224.5 35.2594 0.0153035
  226 225.5 35.2691 0.0153078
  227 226.5 35.3151 0.0153277
  228 227.5 35.2389 0.0152946
  229 228.5 35.2751 0.0153104
  230 229.5 35.4245 0.0153752
  231 230.5 35.4057 0.0153671
  232 231.5 35.3865 0.0153587
  233 232.5 35.454 0.015388
  234 233.5 35.4777 0.0153983
  235 234.5 35.4626 0.0153917
  236 235.5 35.5337 0.0154226
  237 236.5 35.5792 0.0154423
  238 237.5 35.5315 0.0154217
  239 238.5 35.4559 0.0153888
  240 239.5 35.6243 0.0154619
  241 240.5 35.6449 0.0154709
  242 241.5 35.6235 0.0154616
  243 242.5 35.677 0.0154848
  244 243.5 35.7444 0.0155141
  245 244.5 35.7037 0.0154964
  246 245.5 35.7495 0.0155163
  247 246.5 35.7679 0.0155243
  248 247.5 35.7959 0.0155364
  249 248.5 35.8311 0.0155517
  250 249.5 35.8861 0.0155756
  251 250.5 35.9117 0.0155867
  252 251.5 36.0075 0.0156283
  253 252.5 36.0293 0.0156377
  254 253.5 35.9524 0.0156044
  255 254.5 35.9844 0.0156182
  256 255.5 36.0966 0.0156669
  257 256.5 36.0394 0.0156421
  258 257.5 36.0188 0.0156331
  259 258.5 36.1022 0.0156694
  260 259.5 36.1526 0.0156912
  261 260.5 36.037 0.0156411
  262 261.5 36.0473 0.0156455
  263 262.5 36.1741 0.0157006
  264 263.5 36.0498 0.0156466
  265 264.5 36.0996 0.0156683
  266 265.5 36.2057 0.0157143
  267 266.5 36.1768 0.0157018
  268 267.5 36.051 0.0156472
  269 268.5 36.1877 0.0157065
  270 269.5 36.2231 0.0157218
  271 270.5 36.0953 0.0156664
  272 271.5 36.0797 0.0156596
  273 272.5 36.1484 0.0156894
  274 273.5 36.0757 0.0156579
  275 274.5 36.0449 0.0156445
  276 275.5 36.1109 0.0156731
  277 276.5 36.0349 0.0156401
  278 277.5 36.0106 0.0156296
  279 278.5 35.9792 0.015616
  280 279.5 35.9589 0.0156072
  281 280.5 35.8662 0.0155669
  282 281.5 35.8243 0.0155487
  283 282.5 35.8654 0.0155666
  284 283.5 35.7385 0.0155115
  285 284.5 35.7674 0.015524
  286 285.5 35.7345 0.0155098
  287 286.5 35.6473 0.0154719
  288 287.5 35.6396 0.0154686
  289 288.5 35.6706 0.015482
  290 289.5 35.5919 0.0154479
  291 290.5 35.4626 0.0153918
  292 291.5 35.5701 0.0154384
  293 292.5 35.4516 0.015387
  294 293.5 35.3209 0.0153302
  295 294.5 35.3559 0.0153454
  296 295.5 35.3583 0.0153465
  297 296.5 35.1936 0.015275
  298 297.5 35.2231 0.0152878
  299 298.5 35.2019 0.0152786
  300 299.5 35.1182 0.0152423
  301 300.5 35.0921 0.0152309
  302 301.5 35.0753 0.0152237
  303 302.5 35.0285 0.0152033
  304 303.5 34.9263 0.015159
  305 304.5 34.8123 0.0151095
  306 305.5 34.7167 0.015068
  307 306.5 34.4816 0.014966
  308 307.5 34.2465 0.0148639
  309 308.5 33.8624 0.0146972
  310 309.5 33.3156 0.0144599
  311 310.5 32.5145 0.0141122
  312 311.5 31.5191 0.0136802
  313 312.5 30.3491 0.0131723
  314 313.5 28.5978 0.0124123
  315 314.5 26.2686 0.0114013
  316 315.5 23.3872 0.0101507
  317 316.5 19.5183 0.00847148
  318 317.5 14.3499 0.00622827
  319 318.5 8.78091 0.00381116
  320 319.5 4.40699 0.00191276
  321 320.5 1.78884 0.000776405
  322 321.5 0.616078 0.000267395
  323 322.5 0.189816 8.23854e-05
  324 323.5 0.060686 2.63394e-05
  325 324.5 0.023222 1.0079e-05
  326 325.5 0.013882 6.02517e-06
  327 326.5 0.010338 4.48698e-06
  328 327.5 0.009032 3.92014e-06
  329 328.5 0.0082 3.55903e-06
  330 329.5 0.008476 3.67882e-06
  331 330.5 0.00818 3.55035e-06
  332 331.5 0.008202 3.5599e-06
  333 332.5 0.007646 3.31858e-06
  334 333.5 0.007748 3.36285e-06
  335 334.5 0.007928 3.44097e-06
  336 335.5 0.008982 3.89844e-06
  337 336.5 0.008668 3.76215e-06
  338 337.5 0.008496 3.6875e-06
  339 338.5 0.007878 3.41927e-06
  340 339.5 0.008622 3.74219e-06
  341 340.5 0.011214 4.86719e-06
  342 341.5 0.0074 3.21181e-06
  343 342.5 0.00723 3.13802e-06
  344 343.5 0.007104 3.08333e-06
  345 344.5 0.007124 3.09201e-06
  346 345.5 0.007168 3.11111e-06
  347 346.5 0.007124 3.09201e-06
  348 347.5 0.007122 3.09115e-06
  349 348.5 0.007122 3.09115e-06
  350 349.5 0.007082 3.07378e-06
  351 350.5 0.007068 3.06771e-06
  352 351.5 0.00714 3.09896e-06
  353 352.5 0.007132 3.09549e-06
