# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 6220
  1 0.5 6.5899 0.0028602
  2 1.5 6.60086 0.00286495
  3 2.5 6.55275 0.00284408
  4 3.5 6.61949 0.00287304
  5 4.5 6.54458 0.00284053
  6 5.5 6.44402 0.00279688
  7 6.5 6.3566 0.00275894
  8 7.5 6.31824 0.00274229
  9 8.5 6.29131 0.0027306
  10 9.5 6.33322 0.00274879
  11 10.5 6.25662 0.00271555
  12 11.5 6.13465 0.00266261
  13 12.5 6.12103 0.0026567
  14 13.5 5.98749 0.00259874
  15 14.5 5.9225 0.00257053
  16 15.5 5.74297 0.00249261
  17 16.5 5.68022 0.00246537
  18 17.5 5.64169 0.00244865
  19 18.5 5.59318 0.00242759
  20 19.5 5.63531 0.00244588
  21 20.5 5.70066 0.00247425
  22 21.5 5.7937 0.00251462
  23 22.5 5.92959 0.00257361
  24 23.5 6.00155 0.00260484
  25 24.5 6.09646 0.00264603
  26 25.5 6.21996 0.00269964
  27 26.5 6.38866 0.00277286
  28 27.5 6.4332 0.00279219
  29 28.5 6.56802 0.0028507
  30 29.5 6.68249 0.00290039
  31 30.5 6.81232 0.00295674
  32 31.5 6.92914 0.00300744
  33 32.5 6.9971 0.00303694
  34 33.5 6.91643 0.00300192
  35 34.5 6.95534 0.00301881
  36 35.5 6.93706 0.00301088
  37 36.5 6.83136 0.002965
  38 37.5 6.7191 0.00291627
  39 38.5 6.91278 0.00300034
  40 39.5 6.99277 0.00303506
  41 40.5 6.98092 0.00302991
  42 41.5 7.10439 0.0030835
  43 42.5 7.2939 0.00316576
  44 43.5 7.43174 0.00322558
  45 44.5 7.36874 0.00319824
  46 45.5 7.2757 0.00315786
  47 46.5 7.3363 0.00318416
  48 47.5 7.35619 0.00319279
  49 48.5 7.51235 0.00326057
  50 49.5 7.55418 0.00327873
  51 50.5 7.47926 0.00324621
  52 51.5 7.38504 0.00320531
  53 52.5 7.46634 0.0032406
  54 53.5 7.51108 0.00326002
  55 54.5 7.51087 0.00325993
  56 55.5 7.60946 0.00330272
  57 56.5 7.77163 0.0033731
  58 57.5 7.90122 0.00342935
  59 58.5 8.12382 0.00352596
  60 59.5 8.42536 0.00365684
  61 60.5 8.74811 0.00379692
  62 61.5 8.9899 0.00390186
  63 62.5 9.1451 0.00396923
  64 63.5 9.45024 0.00410167
  65 64.5 9.78141 0.0042454
  66 65.5 10.2011 0.00442757
  67 66.5 10.6204 0.00460955
  68 67.5 10.8604 0.00471369
  69 68.5 11.0285 0.00478666
  70 69.5 10.9724 0.00476234
  71 70.5 10.3739 0.00450254
  72 71.5 8.87599 0.00385243
  73 72.5 6.4583 0.00280308
  74 73.5 3.85148 0.00167165
  75 74.5 1.8976 0.000823611
  76 75.5 0.777632 0.000337514
  77 76.5 0.288632 0.000125274
  78 77.5 0.109272 4.74271e-05
  79 78.5 0.049968 2.16875e-05
  80 79.5 0.026784 1.1625e-05
  81 80.5 0.020272 8.79861e-06
  82 81.5 0.016024 6.95486e-06
  83 82.5 0.015288 6.63542e-06
  84 83.5 0.015 6.51042e-06
  85 84.5 0.013696 5.94444e-06
  86 85.5 0.012472 5.41319e-06
  87 86.5 0.01324 5.74653e-06
  88 87.5 0.01228 5.32986e-06
  89 88.5 0.013104 5.6875e-06
  90 89.5 0.015136 6.56944e-06
  91 90.5 0.013984 6.06944e-06
  92 91.5 0.014064 6.10417e-06
  93 92.5 0.015016 6.51736e-06
  94 93.5 0.016728 7.26042e-06
  95 94.5 0.021576 9.36458e-06
  96 95.5 0.013448 5.83681e-06
  97 96.5 0.012752 5.53472e-06
  98 97.5 0.011936 5.18056e-06
  99 98.5 0.011696 5.07639e-06
  100 99.5 0.011696 5.07639e-06
  101 100.5 0.011288 4.89931e-06
  102 101.5 0.011216 4.86806e-06
  103 102.5 0.011416 4.95486e-06
  104 103.5 0.01164 5.05208e-06
  105 104.5 0.01136 4.93056e-06
  106 105.5 0.01144 4.96528e-06
  107 106.5 0.011408 4.95139e-06
  108 107.5 0.012576 5.45833e-06
  109 108.5 0.012856 5.57986e-06
  110 109.5 0.012512 5.43056e-06
  111 110.5 0.011552 5.01389e-06
  112 111.5 0.011488 4.98611e-06
  113 112.5 0.011576 5.02431e-06
  114 113.5 0.011976 5.19792e-06
  115 114.5 0.01212 5.26042e-06
  116 115.5 0.012368 5.36806e-06
  117 116.5 0.012296 5.33681e-06
  118 117.5 0.012432 5.39583e-06
  119 118.5 0.012408 5.38542e-06
  120 119.5 0.012544 5.44444e-06
  121 120.5 0.01252 5.43403e-06
  122 121.5 0.01256 5.45139e-06
  123 122.5 0.012368 5.36806e-06
  124 123.5 0.01216 5.27778e-06
  125 124.5 0.011864 5.14931e-06
  126 125.5 0.012 5.20833e-06
  127 126.5 0.012104 5.25347e-06
  128 127.5 0.01224 5.3125e-06
  129 128.5 0.012336 5.35417e-06
  130 129.5 0.012296 5.33681e-06
  131 130.5 0.01188 5.15625e-06
  132 131.5 0.011872 5.15278e-06
  133 132.5 0.012704 5.51389e-06
  134 133.5 0.012456 5.40625e-06
  135 134.5 0.011112 4.82292e-06
  136 135.5 0.011392 4.94444e-06
  137 136.5 0.011184 4.85417e-06
  138 137.5 0.011584 5.02778e-06
  139 138.5 0.011536 5.00694e-06
  140 139.5 0.01172 5.08681e-06
  141 140.5 0.011672 5.06597e-06
  142 141.5 0.011704 5.07986e-06
  143 142.5 0.011104 4.81944e-06
  144 143.5 0.011 4.77431e-06
  145 144.5 0.011056 4.79861e-06
  146 145.5 0.011256 4.88542e-06
  147 146.5 0.011264 4.88889e-06
  148 147.5 0.011256 4.88542e-06
  149 148.5 0.0112 4.86111e-06
  150 149.5 0.01132 4.91319e-06
  151 150.5 0.011392 4.94444e-06
  152 151.5 0.011224 4.87153e-06
  153 152.5 0.011216 4.86806e-06
  154 153.5 0.011184 4.85417e-06
  155 154.5 0.012576 5.45833e-06
  156 155.5 0.017256 7.48958e-06
  157 156.5 0.012696 5.51042e-06
  158 157.5 0.011936 5.18056e-06
  159 158.5 0.0114 4.94792e-06
  160 159.5 0.011328 4.91667e-06
  161 160.5 0.01124 4.87847e-06
  162 161.5 0.011336 4.92014e-06
  163 162.5 0.011248 4.88194e-06
  164 163.5 0.011504 4.99306e-06
  165 164.5 0.01144 4.96528e-06
  166 165.5 0.011416 4.95486e-06
  167 166.5 0.011392 4.94444e-06
  168 167.5 0.011616 5.04167e-06
  169 168.5 0.011936 5.18056e-06
  170 169.5 0.012056 5.23264e-06
  171 170.5 0.012816 5.5625e-06
  172 171.5 0.013136 5.70139e-06
  173 172.5 0.013408 5.81944e-06
  174 173.5 0.013024 5.65278e-06
  175 174.5 0.012408 5.38542e-06
  176 175.5 0.012592 5.46528e-06
  177 176.5 0.0132 5.72917e-06
  178 177.5 0.013888 6.02778e-06
  179 178.5 0.013768 5.97569e-06
  180 179.5 0.013248 5.75e-06
  181 180.5 0.015664 6.79861e-06
  182 181.5 0.018232 7.91319e-06
  183 182.5 0.014168 6.14931e-06
  184 183.5 0.012816 5.5625e-06
  185 184.5 0.01284 5.57292e-06
  186 185.5 0.01252 5.43403e-06
  187 186.5 0.012488 5.42014e-06
  188 187.5 0.012504 5.42708e-06
  189 188.5 0.012592 5.46528e-06
  190 189.5 0.013088 5.68056e-06
  191 190.5 0.013872 6.02083e-06
  192 191.5 0.013232 5.74306e-06
  193 192.5 0.011912 5.17014e-06
  194 193.5 0.011856 5.14583e-06
  195 194.5 0.011936 5.18056e-06
  196 195.5 0.01184 5.13889e-06
  197 196.5 0.011744 5.09722e-06
  198 197.5 0.013016 5.64931e-06
  199 198.5 0.017336 7.52431e-06
  200 199.5 0.016928 7.34722e-06
  201 200.5 0.014168 6.14931e-06
  202 201.5 0.013408 5.81944e-06
