# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 12399.999999999998
  1 0.5 38.9937 0.0169243 -126.744 -87.5663 32.8966
  2 1.5 39.0254 0.0169381 -128.302 -42.5096 3.79835
  3 2.5 39.0037 0.0169287 -40.2204 22.8715 -50.2142
  4 3.5 38.9567 0.0169083 -91.0438 11.343 15.1747
  5 4.5 39.0482 0.016948 -13.9662 -59.1404 -66.2729
  6 5.5 39.0049 0.0169292 28.8554 149.038 112.156
  7 6.5 39.0004 0.0169272 174.608 122.58 26.1891
  8 7.5 39.0371 0.0169432 38.1362 -19.8268 -69.8378
  9 8.5 38.9348 0.0168988 69.9393 -45.6019 39.9614
  10 9.5 39.0853 0.0169641 -198.379 -110.669 -41.1653
  11 10.5 39.0182 0.016935 -72.2371 -147.971 13.1297
  12 11.5 38.8996 0.0168835 -73.4181 -117.06 32.9533
  13 12.5 39.0875 0.016965 12.167 -215.376 -125.932
  14 13.5 39.0426 0.0169456 -22.3634 -84.7176 5.60369
  15 14.5 38.9767 0.016917 42.5724 -90.1444 143.798
  16 15.5 38.9834 0.0169199 -108.453 10.7561 -84.3656
  17 16.5 39.0338 0.0169417 -141.385 49.0878 -112.944
  18 17.5 39.0506 0.016949 206.429 104.866 -0.0835094
  19 18.5 38.9845 0.0169204 376.625 95.6493 75.1952
  20 19.5 39.0141 0.0169332 216.019 -18.2407 -93.5322
  21 20.5 39.0744 0.0169594 14.8996 62.6315 29.0394
  22 21.5 38.9699 0.016914 89.8121 36.7762 30.1901
  23 22.5 39.0543 0.0169507 67.7174 73.3078 16.5096
  24 23.5 38.9484 0.0169047 -82.4008 -68.8687 -107.301
  25 24.5 39.0832 0.0169632 -72.2815 93.5258 -35.1659
  26 25.5 39.0095 0.0169312 -126.067 63.8256 90.2166
  27 26.5 38.9886 0.0169221 -75.796 43.4022 -30.5003
  28 27.5 39.03 0.0169401 -113.299 10.6252 -16.8089
  29 28.5 39.0015 0.0169278 269.699 126.568 25.5705
  30 29.5 38.9929 0.016924 180.366 -90.4767 27.8651
  31 30.5 38.9612 0.0169103 -29.4757 -156.056 29.811
  32 31.5 38.995 0.0169249 -137.825 -286.316 -37.7257
  33 32.5 39.0487 0.0169482 -124.152 -215.43 -121.988
  34 33.5 38.9393 0.0169007 -1.2697 -1.37958 32.5438
  35 34.5 38.9635 0.0169112 -121.682 -100.585 22.0038
  36 35.5 39.0269 0.0169388 -21.6131 -13.3433 50.8801
  37 36.5 39.0041 0.0169289 51.0745 92.674 -80.3394
  38 37.5 38.8509 0.0168624 49.4888 -111.242 10.7108
  39 38.5 39.0528 0.01695 -12.3934 -202.153 131.283
  40 39.5 39.0437 0.016946 -194.555 -404.078 -110.221
  41 40.5 38.8945 0.0168813 149.873 23.3616 63.1796
  42 41.5 38.8716 0.0168713 52.6448 78.5422 -16.2583
  43 42.5 39.0892 0.0169658 5.62602 -194.941 1.38215
  44 43.5 38.9724 0.0169151 -113.833 -182.951 25.3724
  45 44.5 38.871 0.0168711 -34.5444 -86.8595 -18.9698
  46 45.5 39.0274 0.016939 -196.087 -159.974 -89.8973
  47 46.5 39.0427 0.0169456 -102.109 -119.315 72.9549
  48 47.5 38.8693 0.0168704 47.7389 -162.192 24.1305
  49 48.5 38.9939 0.0169244 -134.088 -126.99 -103.302
  50 49.5 38.9462 0.0169037 -52.9668 119.535 -132.396
  51 50.5 39.0539 0.0169505 -148.97 108.044 -68.341
  52 51.5 38.8668 0.0168693 -9.77188 207.187 -64.6595
  53 52.5 38.9795 0.0169182 164.819 251.73 -14.0463
  54 53.5 38.9548 0.0169075 194.793 120.22 -292.273
  55 54.5 38.8879 0.0168784 -6.53619 312.528 -355.762
  56 55.5 38.9695 0.0169139 364.42 430.152 -274.39
  57 56.5 38.8859 0.0168776 630.88 555.999 -456.692
  58 57.5 38.8705 0.0168709 479.85 535.115 -694.268
  59 58.5 38.8898 0.0168793 613.078 511.461 -789.75
  60 59.5 38.8655 0.0168687 627.018 521.605 -1077.46
  61 60.5 38.7629 0.0168242 674.617 642.799 -1488.34
  62 61.5 38.752 0.0168194 1242.66 937.551 -1801.13
  63 62.5 38.6079 0.0167569 1525.35 1413.94 -2278.9
  64 63.5 38.5732 0.0167419 2310.46 2108.13 -2861.45
  65 64.5 38.2456 0.0165996 3129.27 3076.47 -3608.87
  66 65.5 37.9914 0.0164893 4506.02 4698.36 -4146.56
  67 66.5 37.5433 0.0162948 6648.17 6665.58 -4420.87
  68 67.5 36.852 0.0159948 9534.09 9618.51 -4090.21
  69 68.5 35.4871 0.0154024 13201.8 13162.9 -2192.72
  70 69.5 33.5738 0.014572 16976.8 16936.2 1598
  71 70.5 30.3468 0.0131714 20199.9 20181.7 6529.93
  72 71.5 24.896 0.0108056 21710.8 21610.4 11225.7
  73 72.5 17.4519 0.00757461 21662 21650.8 15547.3
  74 73.5 10.1207 0.00439265 20079.9 20049.3 19262.6
  75 74.5 4.82915 0.00209599 16958.7 17026.3 22418.3
  76 75.5 1.93182 0.000838462 12985.9 13162.1 24875.2
  77 76.5 0.711096 0.000308635 7874.13 8405.62 24747.1
  78 77.5 0.260088 0.000112885 2414.45 3095.22 21760.3
  79 78.5 0.115088 4.99514e-05 -2655.49 -2688.35 15013.3
  80 79.5 0.063 2.73438e-05 -6759.06 -6732.21 6224.18
  81 80.5 0.04408 1.91319e-05 -9077.73 -10335 -1107.79
  82 81.5 0.035552 1.54306e-05 -10247.7 -10287.6 -5647.8
  83 82.5 0.033688 1.46215e-05 -12650.4 -11375.3 -7939.04
  84 83.5 0.031392 1.3625e-05 -11368.1 -12329.4 -8976.15
  85 84.5 0.029808 1.29375e-05 -11842.9 -13399.8 -10250.8
  86 85.5 0.027136 1.17778e-05 -11804.4 -11369.1 -11985
  87 86.5 0.02796 1.21354e-05 -12839.7 -12701.5 -11617
  88 87.5 0.028352 1.23056e-05 -12856.7 -13957 -11600.5
  89 88.5 0.028088 1.2191e-05 -11393.9 -11251.8 -12015.7
  90 89.5 0.031112 1.35035e-05 -10591.4 -10508.2 -10622.3
  91 90.5 0.03104 1.34722e-05 -11331.7 -11174.6 -10757.6
  92 91.5 0.032 1.38889e-05 -10664 -11336.8 -10690.7
  93 92.5 0.034704 1.50625e-05 -9951.94 -10809.1 -9887.44
  94 93.5 0.03416 1.48264e-05 -10467.4 -8758.68 -9960.32
  95 94.5 0.04048 1.75694e-05 -9563.33 -7433.94 -8475.84
  96 95.5 0.034256 1.48681e-05 -9490.5 -8857.67 -9894.95
  97 96.5 0.035752 1.55174e-05 -9129.61 -8573.6 -9453.97
  98 97.5 0.035248 1.52986e-05 -9673.06 -8629.29 -9779.64
  99 98.5 0.035584 1.54444e-05 -9082.56 -8392.46 -9656.13
  100 99.5 0.040104 1.74062e-05 -8390.2 -7651.53 -8616.95
  101 100.5 0.0384 1.66667e-05 -8829.39 -8132.04 -8925.86
  102 101.5 0.03828 1.66146e-05 -8538.74 -7991.74 -9230.58
  103 102.5 0.034064 1.47847e-05 -10035.4 -8794.12 -10247.8
  104 103.5 0.030952 1.3434e-05 -10614.7 -9655.58 -10900.5
  105 104.5 0.02976 1.29167e-05 -11000.6 -10035.7 -11404
  106 105.5 0.028184 1.22326e-05 -11197.4 -10519.6 -11952
  107 106.5 0.0268 1.16319e-05 -11341.6 -11048 -12700.3
  108 107.5 0.027192 1.18021e-05 -11279.2 -11305.7 -12678.4
  109 108.5 0.027696 1.20208e-05 -11454.9 -11502.7 -12413.9
  110 109.5 0.027384 1.18854e-05 -11657.3 -11592.6 -12420.8
  111 110.5 0.02664 1.15625e-05 -12121.1 -11923.2 -13035.8
  112 111.5 0.026496 1.15e-05 -11996 -11763.8 -12702
