# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6219.999999999998
  1 0.5 4.94024 0.0021442
  2 1.5 4.98555 0.00216387
  3 2.5 5.00384 0.0021718
  4 3.5 4.9851 0.00216367
  5 4.5 4.99082 0.00216615
  6 5.5 5.00594 0.00217272
  7 6.5 5.00635 0.00217289
  8 7.5 5.01474 0.00217654
  9 8.5 5.00496 0.00217229
  10 9.5 4.97491 0.00215925
  11 10.5 4.95942 0.00215253
  12 11.5 5.0101 0.00217452
  13 12.5 5.08494 0.00220701
  14 13.5 5.1332 0.00222795
  15 14.5 5.16199 0.00224045
  16 15.5 5.17622 0.00224662
  17 16.5 5.16939 0.00224366
  18 17.5 5.17624 0.00224663
  19 18.5 5.15877 0.00223905
  20 19.5 5.13339 0.00222804
  21 20.5 5.16881 0.00224341
  22 21.5 5.14165 0.00223162
  23 22.5 5.13536 0.00222889
  24 23.5 5.19555 0.00225501
  25 24.5 5.22349 0.00226714
  26 25.5 5.25995 0.00228297
  27 26.5 5.27555 0.00228973
  28 27.5 5.28167 0.00229239
  29 28.5 5.29577 0.00229851
  30 29.5 5.29212 0.00229693
  31 30.5 5.29674 0.00229893
  32 31.5 5.29112 0.00229649
  33 32.5 5.33078 0.0023137
  34 33.5 5.34096 0.00231812
  35 34.5 5.31106 0.00230515
  36 35.5 5.36457 0.00232837
  37 36.5 5.35592 0.00232462
  38 37.5 5.31484 0.00230679
  39 38.5 5.26827 0.00228657
  40 39.5 5.26459 0.00228498
  41 40.5 5.25704 0.0022817
  42 41.5 5.19013 0.00225266
  43 42.5 5.17266 0.00224508
  44 43.5 5.15996 0.00223957
  45 44.5 5.10499 0.00221571
  46 45.5 5.09683 0.00221217
  47 46.5 5.10794 0.00221699
  48 47.5 5.09355 0.00221074
  49 48.5 5.04909 0.00219145
  50 49.5 5.00206 0.00217103
  51 50.5 5.00978 0.00217438
  52 51.5 5.02633 0.00218157
  53 52.5 5.01786 0.00217789
  54 53.5 5.03309 0.0021845
  55 54.5 5.07821 0.00220409
  56 55.5 5.05948 0.00219595
  57 56.5 5.08689 0.00220785
  58 57.5 5.11973 0.0022221
  59 58.5 5.18006 0.00224829
  60 59.5 5.24136 0.0022749
  61 60.5 5.33425 0.00231521
  62 61.5 5.4467 0.00236402
  63 62.5 5.56995 0.00241751
  64 63.5 5.68945 0.00246938
  65 64.5 5.8541 0.00254084
  66 65.5 6.01816 0.00261205
  67 66.5 6.26253 0.00271811
  68 67.5 6.5661 0.00284987
  69 68.5 6.94239 0.00301319
  70 69.5 7.29129 0.00316462
  71 70.5 7.60328 0.00330003
  72 71.5 7.67529 0.00333129
  73 72.5 7.17797 0.00311544
  74 73.5 6.00236 0.00260519
  75 74.5 4.27346 0.0018548
  76 75.5 2.56547 0.00111348
  77 76.5 1.29067 0.000560188
  78 77.5 0.565182 0.000245305
  79 78.5 0.221504 9.61389e-05
  80 79.5 0.086664 3.76146e-05
  81 80.5 0.03823 1.65929e-05
