# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
80000000 480 11712
  1 0.5 36.2373 0.015728 -61.6237 -98.8617 -150.538
  2 1.5 36.2072 0.0157149 86.9915 -39.3279 -30.6879
  3 2.5 36.3348 0.0157703 -123.3 -3.64558 -86.6039
  4 3.5 36.2539 0.0157352 -257.099 -201.474 -65.1316
  5 4.5 36.2072 0.0157149 -296.957 -272.439 -155.26
  6 5.5 36.3734 0.0157871 -160.068 -33.4873 -75.0862
  7 6.5 36.2413 0.0157297 -116.839 65.3098 -61.3697
  8 7.5 36.1662 0.0156971 -311.626 -164.417 -84.3269
  9 8.5 36.3346 0.0157702 -253.455 -214.881 -207.12
  10 9.5 36.2627 0.015739 -75.0419 -91.4967 36.0068
  11 10.5 36.2289 0.0157244 -105.502 -124.989 -101.693
  12 11.5 36.2372 0.015728 -128.617 -188.259 -112.123
  13 12.5 36.2593 0.0157375 -147.397 -96.6028 -130.972
  14 13.5 36.3075 0.0157585 -103.192 -58.9052 -34.7917
  15 14.5 36.2143 0.015718 -262.652 -208.424 -202.691
  16 15.5 36.2625 0.0157389 -91.8269 -55.2942 18.0354
  17 16.5 36.3292 0.0157679 66.7844 14.779 -20.6926
  18 17.5 36.2589 0.0157374 -57.5485 -155.819 -194.057
  19 18.5 36.2026 0.0157129 -39.5194 -134.136 -35.2096
  20 19.5 36.3492 0.0157766 -79.3914 -182.631 -192.96
  21 20.5 36.3729 0.0157868 -2.37521 -55.6237 -18.7165
  22 21.5 36.2352 0.0157271 -234.577 -141.83 -40.8184
  23 22.5 36.2709 0.0157426 -292.519 -324.315 -265.377
  24 23.5 36.4311 0.0158121 -118.127 -183.696 -54.2009
  25 24.5 36.2908 0.0157512 -266.797 -267.684 -26.1811
  26 25.5 36.2866 0.0157494 -116.249 -15.3575 -137.192
  27 26.5 36.3373 0.0157714 -28.1652 -71.3609 -193.467
  28 27.5 36.3343 0.0157701 16.7542 -88.6042 -103.246
  29 28.5 36.3207 0.0157642 1.78272 -28.9646 -49.4536
  30 29.5 36.324 0.0157656 -143.604 -105.782 -85.521
  31 30.5 36.2684 0.0157415 -172.21 -200.67 -142.398
  32 31.5 36.3646 0.0157832 -143.65 -156.538 -76.629
  33 32.5 36.3479 0.015776 -175.04 -299.202 -107.855
  34 33.5 36.3042 0.015757 -182.195 -258.724 -70.1766
  35 34.5 36.3154 0.0157619 -61.3119 -203.86 -37.1664
  36 35.5 36.3434 0.0157741 -33.0083 -325.108 -175.338
  37 36.5 36.2805 0.0157468 -56.4815 -355.945 -171.137
  38 37.5 36.3462 0.0157753 -72.6143 -248.89 -18.7166
  39 38.5 36.3594 0.015781 64.6554 -111.793 -21.2636
  40 39.5 36.3189 0.0157634 -35.9662 45.5307 -128.797
  41 40.5 36.3377 0.0157716 -252.393 -123.252 -171.498
  42 41.5 36.2873 0.0157497 -318.845 -83.8178 -80.5457
  43 42.5 36.3882 0.0157935 -64.9529 -77.7096 -80.878
  44 43.5 36.3033 0.0157567 -56.8332 -16.6184 -37.4665
  45 44.5 36.267 0.0157409 -57.1535 20.8914 -247.755
  46 45.5 36.3548 0.015779 -75.8074 -104.098 -10.8215
  47 46.5 36.3308 0.0157686 -30.6872 112.836 -65.5978
  48 47.5 36.3062 0.0157579 -125.197 5.99399 -194.722
  49 48.5 36.2572 0.0157366 -113.253 -47.8573 -256.907
  50 49.5 36.4004 0.0157988 -4.38184 104.377 -1.40361
  51 50.5 36.3167 0.0157625 -5.92232 37.469 -81.2281
  52 51.5 36.3216 0.0157646 -171.152 81.5025 -201.824
  53 52.5 36.2887 0.0157503 -20.5716 69.0964 -442.306
  54 53.5 36.3438 0.0157742 -57.8479 25.9336 -237.268
  55 54.5 36.3092 0.0157592 18.3542 14.5158 -404.73
  56 55.5 36.2772 0.0157453 63.5467 160.204 -504.452
  57 56.5 36.2557 0.015736 89.2334 238.658 -597.173
  58 57.5 36.3226 0.015765 375.183 371.129 -655.256
  59 58.5 36.2035 0.0157133 532.591 546.296 -921.478
  60 59.5 36.1381 0.015685 569.979 699.741 -1223.48
  61 60.5 36.0433 0.0156438 839.428 847.769 -1410.48
  62 61.5 36.0727 0.0156566 1129.07 1251.56 -1673.16
  63 62.5 35.8395 0.0155553 1638.69 1470.78 -2165.02
  64 63.5 35.6321 0.0154653 2097.98 2190.82 -2421.97
  65 64.5 35.3897 0.0153601 2942.42 3186.4 -2981.83
  66 65.5 35.0312 0.0152045 4132.47 4258.38 -3116.71
  67 66.5 34.365 0.0149154 5535.46 5591.98 -3127.25
  68 67.5 33.5196 0.0145484 7235.29 7385.42 -2679.83
  69 68.5 32.2318 0.0139895 9331.33 9280.81 -1655.95
  70 69.5 30.3453 0.0131707 11073.4 11137 198.177
  71 70.5 27.6405 0.0119967 12674.2 12684.9 2593.5
  72 71.5 23.951 0.0103954 13440 13331.7 5344.9
  73 72.5 19.3548 0.00840053 13574.9 13502.3 7949.02
  74 73.5 14.4599 0.00627602 12593.6 12576.8 10416.2
  75 74.5 9.92408 0.00430733 11086.5 10997.3 12417
  76 75.5 6.28171 0.00272644 8775.37 8559.23 13846.8
  77 76.5 3.70374 0.00160752 5697.18 5559.82 14178.5
  78 77.5 2.12758 0.000923427 2096.69 2105.99 13341.4
  79 78.5 1.23596 0.000536441 -1892.72 -1889.8 10786.3
  80 79.5 0.765512 0.000332253 -5418.85 -5757.57 6472.77
  81 80.5 0.536904 0.000233031 -8790.95 -8848.49 1302
  82 81.5 0.412368 0.000178979 -11146.4 -11493 -3227.13
  83 82.5 0.34332 0.00014901 -12727.8 -12996.3 -7190.42
  84 83.5 0.311144 0.000135045 -13386.5 -13912.5 -9681.53
  85 84.5 0.286752 0.000124458 -14472.5 -14041.1 -11711.8
  86 85.5 0.277536 0.000120458 -14000.8 -15185.3 -12477.6
  87 86.5 0.279736 0.000121413 -14290.3 -15008.6 -12670.3
  88 87.5 0.270664 0.000117476 -14533.8 -15331.8 -13348
  89 88.5 0.267736 0.000116205 -14861.6 -15166 -13812
  90 89.5 0.2656 0.000115278 -14459.9 -14479 -13864.6
  91 90.5 0.266216 0.000115545 -14302.4 -14349.6 -14006.1
  92 91.5 0.270216 0.000117281 -14332.4 -14233.1 -13959.3
  93 92.5 0.27056 0.000117431 -14706.9 -14246.9 -13865.4
  94 93.5 0.269544 0.00011699 -14891.3 -14629.5 -13959.5
  95 94.5 0.26512 0.000115069 -14425.4 -14583.6 -14243
  96 95.5 0.2638 0.000114497 -14658.4 -14501.2 -14365.1
  97 96.5 0.261232 0.000113382 -14594.1 -15031.7 -14520
  98 97.5 0.261896 0.00011367 -14333.7 -14921.6 -14358
  99 98.5 0.268424 0.000116503 -14320.7 -14563.3 -14181.7
  100 99.5 0.264232 0.000114684 -14034.1 -14194.3 -14455.8
  101 100.5 0.264456 0.000114781 -14027.6 -14851.8 -14313.7
  102 101.5 0.264184 0.000114663 -13884.3 -14513.1 -14401.4
  103 102.5 0.262096 0.000113757 -13328.1 -14215.9 -14401.1
  104 103.5 0.266896 0.00011584 -13789.4 -14464.9 -14123.4
  105 104.5 0.263552 0.000114389 -14633.6 -14063 -14487.2
  106 105.5 0.265576 0.000115267 -14443.8 -14619.4 -14306.6
  107 106.5 0.268216 0.000116413 -13870.5 -14561.3 -14205.9
  108 107.5 0.273872 0.000118868 -13738.6 -15300.2 -13847.5
  109 108.5 0.27452 0.000119149 -14101.1 -14903.2 -13664.9
  110 109.5 0.262384 0.000113882 -14162.3 -14798.5 -14488.9
  111 110.5 0.254176 0.000110319 -14323.2 -14200.5 -14996.3
  112 111.5 0.253472 0.000110014 -14385.5 -14837.7 -14806.4
  113 112.5 0.263496 0.000114365 -14170.8 -14347.8 -14528.1
  114 113.5 0.264744 0.000114906 -13970.5 -14225 -14270.9
  115 114.5 0.269016 0.00011676 -14416.4 -14481.9 -14110.1
  116 115.5 0.262624 0.000113986 -14054.3 -14119.1 -14484.6
  117 116.5 0.271744 0.000117944 -14447 -14229.9 -13940.3
  118 117.5 0.27572 0.00011967 -14659.8 -13808.1 -13873.9
  119 118.5 0.264872 0.000114962 -14589.5 -14115.5 -14242.6
  120 119.5 0.2674 0.000116059 -14643.1 -13774.3 -14127.3
  121 120.5 0.269568 0.000117 -13829 -14030.4 -13985.2
  122 121.5 0.267808 0.000116236 -14106.9 -13804.6 -14290.4
  123 122.5 0.275904 0.00011975 -14531 -13606.3 -13651.8
  124 123.5 0.268472 0.000116524 -15121.6 -14082.7 -14072.8
  125 124.5 0.270608 0.000117451 -14361.3 -14537.3 -14097.5
  126 125.5 0.272616 0.000118323 -14296.1 -14426.4 -13912.5
  127 126.5 0.272784 0.000118396 -13983.8 -14316 -14031.7
  128 127.5 0.277656 0.00012051 -14163.9 -13896.4 -13537.3
  129 128.5 0.269712 0.000117063 -13918.7 -14582.7 -14127.9
  130 129.5 0.270888 0.000117573 -13810.5 -14546 -13938.7
  131 130.5 0.25724 0.000111649 -14240.2 -14316.2 -14774.6
  132 131.5 0.266632 0.000115726 -13549.1 -13757.5 -14169.4
  133 132.5 0.263616 0.000114417 -13254.9 -13951 -14354.7
  134 133.5 0.265856 0.000115389 -13223.7 -14467.4 -14313.5
  135 134.5 0.265712 0.000115326 -13182.5 -14637.3 -14385.7
  136 135.5 0.271544 0.000117858 -13293.4 -13751.2 -13949.1
  137 136.5 0.270952 0.000117601 -13709.7 -13917 -14001.7
  138 137.5 0.270776 0.000117524 -13463.3 -13915.9 -13869.4
  139 138.5 0.278016 0.000120667 -13314.7 -13945 -13714.4
  140 139.5 0.27344 0.000118681 -13702.3 -13667.2 -13854.8
