# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
80000000 480 5568
  1 0.5 4.54576 0.00197299
  2 1.5 4.52692 0.00196481
  3 2.5 4.58446 0.00198978
  4 3.5 4.62022 0.00200531
  5 4.5 4.65515 0.00202047
  6 5.5 4.69753 0.00203886
  7 6.5 4.74272 0.00205847
  8 7.5 4.72102 0.00204905
  9 8.5 4.75922 0.00206564
  10 9.5 4.73874 0.00205675
  11 10.5 4.71266 0.00204542
  12 11.5 4.74378 0.00205893
  13 12.5 4.77345 0.00207181
  14 13.5 4.7543 0.0020635
  15 14.5 4.73074 0.00205327
  16 15.5 4.73894 0.00205683
  17 16.5 4.73806 0.00205645
  18 17.5 4.70746 0.00204317
  19 18.5 4.67858 0.00203064
  20 19.5 4.61954 0.00200501
  21 20.5 4.62306 0.00200654
  22 21.5 4.6643 0.00202444
  23 22.5 4.70357 0.00204148
  24 23.5 4.67426 0.00202876
  25 24.5 4.69018 0.00203567
  26 25.5 4.76402 0.00206772
  27 26.5 4.8227 0.00209319
  28 27.5 4.8744 0.00211562
  29 28.5 4.92271 0.00213659
  30 29.5 4.97368 0.00215872
  31 30.5 5.06945 0.00220028
  32 31.5 5.12132 0.0022228
  33 32.5 5.17146 0.00224456
  34 33.5 5.23236 0.00227099
  35 34.5 5.27669 0.00229023
  36 35.5 5.36208 0.00232729
  37 36.5 5.34809 0.00232122
  38 37.5 5.33457 0.00231535
  39 38.5 5.37118 0.00233124
  40 39.5 5.39163 0.00234012
  41 40.5 5.40745 0.00234698
  42 41.5 5.39194 0.00234025
  43 42.5 5.42575 0.00235493
  44 43.5 5.36039 0.00232656
  45 44.5 5.3463 0.00232044
  46 45.5 5.37619 0.00233342
  47 46.5 5.45516 0.00236769
  48 47.5 5.44003 0.00236113
  49 48.5 5.4678 0.00237318
  50 49.5 5.49433 0.00238469
  51 50.5 5.52159 0.00239652
  52 51.5 5.49534 0.00238513
  53 52.5 5.50902 0.00239107
  54 53.5 5.5128 0.00239271
  55 54.5 5.53989 0.00240447
  56 55.5 5.6351 0.00244579
  57 56.5 5.70682 0.00247692
  58 57.5 5.79632 0.00251576
  59 58.5 5.86993 0.00254771
  60 59.5 6.00231 0.00260517
  61 60.5 6.16286 0.00267485
  62 61.5 6.28741 0.00272891
  63 62.5 6.45043 0.00279967
  64 63.5 6.66838 0.00289426
  65 64.5 6.85482 0.00297518
  66 65.5 7.07812 0.0030721
  67 66.5 7.33223 0.00318239
  68 67.5 7.63677 0.00331457
  69 68.5 7.98914 0.00346751
  70 69.5 8.30191 0.00360326
  71 70.5 8.57294 0.0037209
  72 71.5 8.78036 0.00381092
  73 72.5 8.94808 0.00388372
  74 73.5 8.97723 0.00389637
  75 74.5 8.75472 0.00379979
  76 75.5 8.30034 0.00360258
  77 76.5 7.69287 0.00333892
  78 77.5 6.79594 0.00294963
  79 78.5 5.83744 0.00253361
  80 79.5 4.75259 0.00206276
  81 80.5 3.74854 0.00162697
  82 81.5 2.87839 0.0012493
  83 82.5 2.1193 0.000919837
  84 83.5 1.5595 0.000676865
  85 84.5 1.16074 0.000503792
  86 85.5 0.879144 0.000381573
  87 86.5 0.697568 0.000302764
  88 87.5 0.587752 0.000255101
  89 88.5 0.513504 0.000222875
  90 89.5 0.477288 0.000207156
  91 90.5 0.451448 0.000195941
  92 91.5 0.43216 0.000187569
  93 92.5 0.419976 0.000182281
  94 93.5 0.412712 0.000179128
  95 94.5 0.40828 0.000177205
  96 95.5 0.397208 0.000172399
  97 96.5 0.394656 0.000171292
