# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 11055
  1 0.5 33.5976 0.0145823 -377.67 -441.528 -448.208
  2 1.5 33.5557 0.0145641 -353.349 -405.679 -346.012
  3 2.5 33.5014 0.0145406 -384.942 -390.311 -336.053
  4 3.5 33.5671 0.0145691 -345.79 -357.614 -361.167
  5 4.5 33.5743 0.0145722 -362.317 -413.9 -424.597
  6 5.5 33.5239 0.0145503 -288.973 -416.192 -317.675
  7 6.5 33.5206 0.0145489 -364.993 -418.716 -419.974
  8 7.5 33.5852 0.0145769 -189.883 -293.577 -393.682
  9 8.5 33.5061 0.0145426 -291.52 -346.858 -331.572
  10 9.5 33.5387 0.0145567 -343.95 -390.243 -391.449
  11 10.5 33.5342 0.0145548 -328.671 -343.677 -348.97
  12 11.5 33.5438 0.0145589 -313.083 -415.314 -372.403
  13 12.5 33.5069 0.0145429 -324.106 -301.987 -372.009
  14 13.5 33.527 0.0145516 -259.113 -365.752 -383.283
  15 14.5 33.4948 0.0145377 -307.125 -321.196 -357.26
  16 15.5 33.5393 0.014557 -398.814 -401.061 -357.309
  17 16.5 33.4882 0.0145348 -430.839 -425.593 -385.131
  18 17.5 33.5006 0.0145402 -389.089 -393.068 -367.24
  19 18.5 33.4975 0.0145388 -374.407 -416.693 -348.595
  20 19.5 33.5167 0.0145472 -368.178 -345.101 -356.536
  21 20.5 33.4596 0.0145224 -301.197 -294.342 -333.768
  22 21.5 33.4695 0.0145267 -277.041 -386.921 -411.627
  23 22.5 33.5097 0.0145441 -318.067 -395.62 -366.875
  24 23.5 33.4552 0.0145205 -335.103 -363.543 -323.995
  25 24.5 33.4538 0.0145199 -353.728 -464.443 -374.957
  26 25.5 33.4575 0.0145215 -363.581 -453.527 -377.095
  27 26.5 33.4924 0.0145366 -387.982 -380.103 -312.656
  28 27.5 33.4843 0.0145331 -370.611 -429.582 -396.199
  29 28.5 33.4349 0.0145117 -361.451 -370.877 -396.343
  30 29.5 33.4721 0.0145278 -377.996 -457.018 -393.955
  31 30.5 33.5018 0.0145407 -342.382 -377.193 -288.165
  32 31.5 33.4768 0.0145298 -358.74 -331.187 -358.965
  33 32.5 33.4423 0.0145149 -401.35 -402.686 -469.089
  34 33.5 33.467 0.0145256 -364.438 -311.778 -322.795
  35 34.5 33.488 0.0145347 -409.317 -315.007 -311.971
  36 35.5 33.4621 0.0145235 -409.024 -395.974 -402.982
  37 36.5 33.4343 0.0145114 -374.746 -360.396 -362.841
  38 37.5 33.4772 0.01453 -306.157 -360.742 -347.718
  39 38.5 33.4691 0.0145265 -376.109 -339.461 -399.677
  40 39.5 33.4438 0.0145155 -382.332 -387.98 -354.827
  41 40.5 33.4511 0.0145187 -299.172 -288.152 -394.37
  42 41.5 33.5105 0.0145445 -349.472 -347.104 -362.708
  43 42.5 33.4652 0.0145248 -199.126 -242.056 -285.487
  44 43.5 33.4361 0.0145122 -264.037 -314.185 -404.641
  45 44.5 33.4489 0.0145177 -284.688 -313.417 -383.353
  46 45.5 33.4824 0.0145323 -397.125 -362.734 -392.391
  47 46.5 33.4533 0.0145197 -426.438 -411.05 -406.1
  48 47.5 33.4784 0.0145306 -399.921 -361.36 -370.799
  49 48.5 33.4981 0.0145391 -455.546 -415.227 -386.832
  50 49.5 33.4737 0.0145285 -398.272 -364.766 -344.848
  51 50.5 33.4784 0.0145306 -366.182 -411.142 -450.884
  52 51.5 33.4747 0.0145289 -373.995 -301.05 -447.573
  53 52.5 33.4613 0.0145232 -317.995 -252.236 -373.185
  54 53.5 33.4682 0.0145261 -338.527 -255.52 -441.472
  55 54.5 33.4697 0.0145268 -307.758 -276.822 -497.621
  56 55.5 33.4421 0.0145148 -331.637 -312.767 -475.451
  57 56.5 33.4209 0.0145056 -311.923 -316.428 -443.388
  58 57.5 33.4332 0.0145109 -295.327 -231.185 -627.879
  59 58.5 33.4116 0.0145016 -253.298 -211.984 -593.963
  60 59.5 33.3433 0.0144719 -164.085 -128.017 -670.702
  61 60.5 33.3391 0.0144701 -142.207 -153.039 -752.195
  62 61.5 33.3167 0.0144604 -34.487 -52.9593 -845.365
  63 62.5 33.2496 0.0144313 49.3566 79.9851 -978.102
  64 63.5 33.1445 0.0143856 231.55 162.792 -1063.89
  65 64.5 33.0977 0.0143653 324.61 307.303 -1261.44
  66 65.5 32.9696 0.0143097 631.332 504.698 -1410.87
  67 66.5 32.7757 0.0142256 865.88 831.808 -1647.38
  68 67.5 32.5935 0.0141465 1196.79 1131.67 -1926.01
  69 68.5 32.3408 0.0140368 1668.39 1681.89 -2074.09
  70 69.5 31.9792 0.0138799 2239.29 2278.44 -2221.66
  71 70.5 31.4784 0.0136625 2789.61 2837.7 -2367.89
  72 71.5 30.8475 0.0133887 3664.51 3665.76 -2293.96
  73 72.5 29.9158 0.0129843 4582.68 4615.74 -2036.09
  74 73.5 28.6643 0.0124411 5561.9 5518.36 -1530.2
  75 74.5 27.0637 0.0117464 6299.78 6296.3 -692.839
  76 75.5 24.9933 0.0108478 6913.61 6853.56 305.909
  77 76.5 22.4421 0.0097405 7333.33 7265.81 1645.58
  78 77.5 19.443 0.00843881 7301.14 7248.66 3001.14
  79 78.5 16.2336 0.00704585 6920.65 6885.87 4351.53
  80 79.5 13.0287 0.0056548 5978.59 5912.68 5472.56
  81 80.5 10.0172 0.00434773 4540.91 4568.19 6262.52
  82 81.5 7.44853 0.00323287 2797.48 2838.02 6672.55
  83 82.5 5.40294 0.00234503 628.469 750.932 6516.42
  84 83.5 3.8878 0.00168741 -1702.05 -1579.24 5528.4
  85 84.5 2.80318 0.00121666 -4300.06 -4146 3702.08
  86 85.5 2.09082 0.000907474 -6787.62 -6791.95 1156.99
  87 86.5 1.63234 0.000708479 -9016.81 -8942.2 -1775.6
  88 87.5 1.33125 0.000577798 -10779.2 -10663.7 -4792.41
  89 88.5 1.13851 0.000494147 -12200.7 -11968.5 -7571.62
  90 89.5 1.01981 0.000442627 -13243.4 -12941.4 -9803.41
  91 90.5 0.951426 0.000412945 -13979.5 -13648.6 -11457.8
  92 91.5 0.909464 0.000394733 -14507.9 -14104.6 -12444.6
  93 92.5 0.88407 0.000383711 -14735.5 -14553.6 -13293.5
  94 93.5 0.861024 0.000373708 -14854.5 -14922.2 -13983.3
  95 94.5 0.84803 0.000368069 -14997.8 -14935.6 -14414.6
  96 95.5 0.841884 0.000365401 -15132.9 -15104.6 -14642.2
  97 96.5 0.83898 0.000364141 -15227.8 -15148.3 -14728.2
  98 97.5 0.84424 0.000366424 -15164.3 -15068.6 -14722.5
  99 98.5 0.837588 0.000363536 -15351.5 -14990.9 -14928.7
  100 99.5 0.822712 0.00035708 -15257.7 -15112.3 -15270.2
  101 100.5 0.82141 0.000356515 -15093.9 -15015.7 -15290.9
  102 101.5 0.824582 0.000357891 -15254.5 -15075 -15277.3
  103 102.5 0.823406 0.000357381 -15282.8 -15033.4 -15248.6
  104 103.5 0.826662 0.000358794 -15222 -15253.1 -15274.4
  105 104.5 0.831316 0.000360814 -15354.5 -15186.8 -15194
