# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 5389.000000000005
  1 0.5 1.47859 0.000641747
  2 1.5 1.32326 0.000574332
  3 2.5 1.19801 0.000519968
  4 3.5 1.08225 0.000469727
  5 4.5 0.985028 0.00042753
  6 5.5 0.899554 0.000390431
  7 6.5 0.840204 0.000364672
  8 7.5 0.794746 0.000344942
  9 8.5 0.756304 0.000328257
  10 9.5 0.731842 0.00031764
  11 10.5 0.705486 0.000306201
  12 11.5 0.696172 0.000302158
  13 12.5 0.680436 0.000295328
  14 13.5 0.66434 0.000288342
  15 14.5 0.647776 0.000281153
  16 15.5 0.64049 0.00027799
  17 16.5 0.633422 0.000274923
  18 17.5 0.630602 0.000273699
  19 18.5 0.63083 0.000273798
  20 19.5 0.62957 0.000273251
  21 20.5 0.628002 0.00027257
  22 21.5 0.632284 0.000274429
  23 22.5 0.631038 0.000273888
  24 23.5 0.63985 0.000277713
  25 24.5 0.641008 0.000278215
  26 25.5 0.643136 0.000279139
  27 26.5 0.644518 0.000279739
  28 27.5 0.638056 0.000276934
  29 28.5 0.64194 0.00027862
  30 29.5 0.64406 0.00027954
  31 30.5 0.64931 0.000281819
  32 31.5 0.648462 0.000281451
  33 32.5 0.650276 0.000282238
  34 33.5 0.645628 0.00028022
  35 34.5 0.637568 0.000276722
  36 35.5 0.636184 0.000276122
  37 36.5 0.635056 0.000275632
  38 37.5 0.62651 0.000271923
  39 38.5 0.622064 0.000269993
  40 39.5 0.627998 0.000272569
  41 40.5 0.626026 0.000271713
  42 41.5 0.621634 0.000269806
  43 42.5 0.619876 0.000269043
  44 43.5 0.612316 0.000265762
  45 44.5 0.61364 0.000266337
  46 45.5 0.61329 0.000266185
  47 46.5 0.606528 0.00026325
  48 47.5 0.616316 0.000267498
  49 48.5 0.61331 0.000266194
  50 49.5 0.619754 0.00026899
  51 50.5 0.617982 0.000268221
  52 51.5 0.621262 0.000269645
  53 52.5 0.619654 0.000268947
  54 53.5 0.62256 0.000270208
  55 54.5 0.627592 0.000272392
  56 55.5 0.626828 0.000272061
  57 56.5 0.626286 0.000271826
  58 57.5 0.623642 0.000270678
  59 58.5 0.620938 0.000269504
  60 59.5 0.630532 0.000273668
  61 60.5 0.643166 0.000279152
  62 61.5 0.639866 0.00027772
  63 62.5 0.643172 0.000279155
  64 63.5 0.648454 0.000281447
  65 64.5 0.647196 0.000280901
  66 65.5 0.647808 0.000281167
  67 66.5 0.655698 0.000284591
  68 67.5 0.655958 0.000284704
  69 68.5 0.658208 0.000285681
  70 69.5 0.661312 0.000287028
  71 70.5 0.662888 0.000287712
  72 71.5 0.666128 0.000289118
  73 72.5 0.669356 0.000290519
  74 73.5 0.677652 0.00029412
  75 74.5 0.68285 0.000296376
  76 75.5 0.689728 0.000299361
  77 76.5 0.692556 0.000300589
  78 77.5 0.697362 0.000302674
  79 78.5 0.691436 0.000300102
  80 79.5 0.687734 0.000298496
  81 80.5 0.687214 0.00029827
  82 81.5 0.685844 0.000297675
  83 82.5 0.68863 0.000298885
  84 83.5 0.692776 0.000300684
  85 84.5 0.687456 0.000298375
  86 85.5 0.689636 0.000299321
  87 86.5 0.685006 0.000297312
  88 87.5 0.67718 0.000293915
  89 88.5 0.67886 0.000294644
  90 89.5 0.675258 0.000293081
  91 90.5 0.659786 0.000286365
  92 91.5 0.660954 0.000286872
  93 92.5 0.657346 0.000285306
  94 93.5 0.653752 0.000283747
  95 94.5 0.652298 0.000283115
  96 95.5 0.642366 0.000278805
  97 96.5 0.639616 0.000277611
  98 97.5 0.647924 0.000281217
  99 98.5 0.648054 0.000281273
  100 99.5 0.643012 0.000279085
  101 100.5 0.645368 0.000280108
  102 101.5 0.650712 0.000282427
  103 102.5 0.652496 0.000283201
  104 103.5 0.653236 0.000283523
  105 104.5 0.64664 0.00028066
  106 105.5 0.645444 0.000280141
  107 106.5 0.644622 0.000279784
  108 107.5 0.637456 0.000276674
  109 108.5 0.637354 0.000276629
  110 109.5 0.63463 0.000275447
  111 110.5 0.631028 0.000273884
  112 111.5 0.624672 0.000271125
  113 112.5 0.620924 0.000269498
  114 113.5 0.619324 0.000268804
  115 114.5 0.615718 0.000267239
  116 115.5 0.610792 0.000265101
  117 116.5 0.616 0.000267361
  118 117.5 0.617698 0.000268098
  119 118.5 0.620826 0.000269456
  120 119.5 0.62292 0.000270365
  121 120.5 0.62855 0.000272808
  122 121.5 0.633666 0.000275029
  123 122.5 0.626832 0.000272063
  124 123.5 0.624938 0.00027124
  125 124.5 0.626148 0.000271766
  126 125.5 0.62278 0.000270304
  127 126.5 0.62318 0.000270477
  128 127.5 0.621288 0.000269656
  129 128.5 0.62033 0.00026924
  130 129.5 0.614196 0.000266578
  131 130.5 0.61183 0.000265551
  132 131.5 0.606502 0.000263239
  133 132.5 0.597576 0.000259365
  134 133.5 0.604848 0.000262521
  135 134.5 0.610198 0.000264843
  136 135.5 0.606794 0.000263365
  137 136.5 0.606654 0.000263305
  138 137.5 0.60473 0.00026247
  139 138.5 0.607636 0.000263731
  140 139.5 0.616966 0.00026778
  141 140.5 0.629348 0.000273155
  142 141.5 0.633302 0.000274871
  143 142.5 0.641928 0.000278615
  144 143.5 0.650894 0.000282506
  145 144.5 0.667872 0.000289875
  146 145.5 0.674364 0.000292693
  147 146.5 0.69644 0.000302274
  148 147.5 0.730212 0.000316932
  149 148.5 0.77956 0.000338351
  150 149.5 0.848628 0.000368328
  151 150.5 0.944782 0.000410062
  152 151.5 1.08847 0.000472424
  153 152.5 1.29543 0.000562252
  154 153.5 1.6165 0.000701605
  155 154.5 2.0996 0.000911285
  156 155.5 2.8176 0.00122292
  157 156.5 3.84843 0.00167032
  158 157.5 5.27576 0.00228983
  159 158.5 7.14815 0.0031025
  160 159.5 9.45178 0.00410233
  161 160.5 12.1265 0.00526326
  162 161.5 15.0032 0.0065118
  163 162.5 17.9239 0.00777947
  164 163.5 20.6428 0.00895955
  165 164.5 23.0521 0.0100052
  166 165.5 25.0588 0.0108762
  167 166.5 26.6369 0.0115612
  168 167.5 27.8692 0.012096
  169 168.5 28.8489 0.0125212
  170 169.5 29.5167 0.0128111
  171 170.5 30.0365 0.0130367
  172 171.5 30.4465 0.0132146
  173 172.5 30.7363 0.0133404
  174 173.5 30.9071 0.0134146
  175 174.5 31.0742 0.0134871
  176 175.5 31.1989 0.0135412
  177 176.5 31.2501 0.0135634
  178 177.5 31.3264 0.0135965
  179 178.5 31.3651 0.0136133
  180 179.5 31.3971 0.0136272
  181 180.5 31.448 0.0136493
  182 181.5 31.4645 0.0136565
  183 182.5 31.4663 0.0136572
  184 183.5 31.4177 0.0136362
  185 184.5 31.4708 0.0136592
  186 185.5 31.4895 0.0136673
  187 186.5 31.4598 0.0136544
  188 187.5 31.4632 0.0136559
  189 188.5 31.5034 0.0136733
  190 189.5 31.481 0.0136636
  191 190.5 31.454 0.0136519
  192 191.5 31.4231 0.0136385
  193 192.5 31.4852 0.0136655
  194 193.5 31.4642 0.0136563
  195 194.5 31.4208 0.0136375
  196 195.5 31.432 0.0136424
  197 196.5 31.4707 0.0136591
  198 197.5 31.4392 0.0136455
  199 198.5 31.4456 0.0136483
  200 199.5 31.4625 0.0136556
  201 200.5 31.4586 0.0136539
  202 201.5 31.4408 0.0136462
  203 202.5 31.4704 0.013659
  204 203.5 31.4409 0.0136462
  205 204.5 31.4518 0.013651
  206 205.5 31.4319 0.0136423
  207 206.5 31.4772 0.013662
  208 207.5 31.4456 0.0136483
  209 208.5 31.4649 0.0136567
  210 209.5 31.4707 0.0136592
  211 210.5 31.4717 0.0136596
  212 211.5 31.4486 0.0136496
  213 212.5 31.4546 0.0136522
  214 213.5 31.4635 0.013656
  215 214.5 31.4898 0.0136674
  216 215.5 31.4667 0.0136574
  217 216.5 31.4746 0.0136609
