# Chunk-averaged data for fix tensor1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 10318.000000000002
  1 0.5 24.077 0.0104501 -2216.52 -2202.21 -4028.19
  2 1.5 24.5914 0.0106734 -2141.36 -2153.65 -4031.06
  3 2.5 25.0913 0.0108903 -2225.8 -2180.5 -4030.29
  4 3.5 25.471 0.0110551 -2323.04 -2260.12 -4004.72
  5 4.5 25.7931 0.0111949 -2369.23 -2347.28 -3897.46
  6 5.5 26.0936 0.0113253 -2452.32 -2427.29 -3842.32
  7 6.5 26.3469 0.0114353 -2479.59 -2577.53 -3819.49
  8 7.5 26.5486 0.0115228 -2587.38 -2590.03 -3743.25
  9 8.5 26.7325 0.0116026 -2705.5 -2667.67 -3570.07
  10 9.5 26.8655 0.0116604 -2797.07 -2797.43 -3668.93
  11 10.5 27.0042 0.0117206 -2807.43 -2872.72 -3531.76
  12 11.5 27.0937 0.0117594 -2817.34 -2854.66 -3452.15
  13 12.5 27.1797 0.0117968 -2863.67 -2854.54 -3383.87
  14 13.5 27.2435 0.0118244 -2869.71 -2954.47 -3404.13
  15 14.5 27.3044 0.0118509 -2890.4 -2967.05 -3314.91
  16 15.5 27.3332 0.0118634 -2946.59 -2923.84 -3303.28
  17 16.5 27.3397 0.0118662 -3010.79 -3071.13 -3311.12
  18 17.5 27.4318 0.0119062 -2998.96 -3033.96 -3229.15
  19 18.5 27.4418 0.0119105 -3033.28 -3041.07 -3256.15
  20 19.5 27.431 0.0119058 -3067.79 -3157.78 -3235.72
  21 20.5 27.4922 0.0119324 -3064.03 -3075.31 -3098.12
  22 21.5 27.5107 0.0119404 -3030.31 -3071.7 -3130.92
  23 22.5 27.5149 0.0119422 -3032.76 -3042.14 -3183.32
  24 23.5 27.5079 0.0119392 -3007.75 -3041.95 -3178.15
  25 24.5 27.5534 0.011959 -3115.37 -3166.94 -3153.67
  26 25.5 27.5629 0.0119631 -3202.86 -3137.81 -3093.09
  27 26.5 27.5577 0.0119608 -3166.49 -3035.34 -3102.17
  28 27.5 27.5682 0.0119654 -3086.09 -3160.76 -3190.51
  29 28.5 27.5849 0.0119726 -3109.68 -3124.06 -3118.34
  30 29.5 27.5566 0.0119603 -3076.68 -3131.85 -3069.92
  31 30.5 27.5859 0.0119731 -2995.29 -3090.07 -3069.77
