# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 6353
  1 0.5 3.06464 0.00133014
  2 1.5 3.06142 0.00132874
  3 2.5 3.03318 0.00131648
  4 3.5 2.99416 0.00129955
  5 4.5 2.99946 0.00130185
  6 5.5 3.01155 0.0013071
  7 6.5 3.02538 0.0013131
  8 7.5 3.03473 0.00131716
  9 8.5 3.01189 0.00130724
  10 9.5 3.01814 0.00130996
  11 10.5 3.00436 0.00130397
  12 11.5 3.01389 0.00130811
  13 12.5 3.02872 0.00131455
  14 13.5 3.01534 0.00130874
  15 14.5 2.99898 0.00130164
  16 15.5 2.98108 0.00129387
  17 16.5 2.93066 0.00127199
  18 17.5 2.91185 0.00126382
  19 18.5 2.90536 0.00126101
  20 19.5 2.9363 0.00127444
  21 20.5 2.98762 0.00129671
  22 21.5 2.99626 0.00130046
  23 22.5 2.9961 0.00130039
  24 23.5 3.01317 0.0013078
  25 24.5 3.03154 0.00131577
  26 25.5 3.11603 0.00135245
  27 26.5 3.12539 0.0013565
  28 27.5 3.13271 0.00135968
  29 28.5 3.14652 0.00136568
  30 29.5 3.13007 0.00135854
  31 30.5 3.13873 0.0013623
  32 31.5 3.15932 0.00137123
  33 32.5 3.13182 0.0013593
  34 33.5 3.10701 0.00134853
  35 34.5 3.09403 0.00134289
  36 35.5 3.09253 0.00134224
  37 36.5 3.08054 0.00133704
  38 37.5 3.04353 0.00132098
  39 38.5 3.0242 0.00131259
  40 39.5 3.01612 0.00130908
  41 40.5 3.03024 0.00131521
  42 41.5 3.04985 0.00132372
  43 42.5 3.05328 0.00132521
  44 43.5 3.07178 0.00133324
  45 44.5 3.12598 0.00135676
  46 45.5 3.15443 0.00136911
  47 46.5 3.22538 0.0013999
  48 47.5 3.25408 0.00141236
  49 48.5 3.26531 0.00141723
  50 49.5 3.2754 0.00142161
  51 50.5 3.312 0.0014375
  52 51.5 3.30358 0.00143385
  53 52.5 3.35563 0.00145644
  54 53.5 3.37234 0.00146369
  55 54.5 3.40728 0.00147885
  56 55.5 3.40697 0.00147872
  57 56.5 3.43855 0.00149243
  58 57.5 3.47522 0.00150834
  59 58.5 3.52372 0.00152939
  60 59.5 3.56622 0.00154784
  61 60.5 3.57662 0.00155235
  62 61.5 3.51081 0.00152379
  63 62.5 3.26969 0.00141914
  64 63.5 2.74043 0.00118942
  65 64.5 1.97042 0.000855216
  66 65.5 1.19855 0.000520205
  67 66.5 0.620718 0.000269409
  68 67.5 0.271344 0.000117771
  69 68.5 0.104756 4.5467e-05
  70 69.5 0.040994 1.77925e-05
  71 70.5 0.017252 7.48785e-06
  72 71.5 0.009042 3.92448e-06
  73 72.5 0.006686 2.90191e-06
  74 73.5 0.005612 2.43576e-06
  75 74.5 0.005066 2.19878e-06
  76 75.5 0.004842 2.10156e-06
  77 76.5 0.004876 2.11632e-06
  78 77.5 0.004648 2.01736e-06
  79 78.5 0.004378 1.90017e-06
  80 79.5 0.00412 1.78819e-06
  81 80.5 0.004244 1.84201e-06
  82 81.5 0.00492 2.13542e-06
  83 82.5 0.004388 1.90451e-06
  84 83.5 0.00486 2.10938e-06
  85 84.5 0.00441 1.91406e-06
  86 85.5 0.004392 1.90625e-06
  87 86.5 0.004048 1.75694e-06
  88 87.5 0.004012 1.74132e-06
  89 88.5 0.004 1.73611e-06
  90 89.5 0.004078 1.76997e-06
  91 90.5 0.004022 1.74566e-06
  92 91.5 0.003936 1.70833e-06
  93 92.5 0.003912 1.69792e-06
  94 93.5 0.004062 1.76302e-06
  95 94.5 0.004034 1.75087e-06
  96 95.5 0.00398 1.72743e-06
  97 96.5 0.003944 1.71181e-06
  98 97.5 0.003984 1.72917e-06
  99 98.5 0.004136 1.79514e-06
  100 99.5 0.00418 1.81424e-06
  101 100.5 0.004176 1.8125e-06
  102 101.5 0.004104 1.78125e-06
  103 102.5 0.004022 1.74566e-06
  104 103.5 0.004032 1.75e-06
  105 104.5 0.004016 1.74306e-06
  106 105.5 0.004126 1.7908e-06
  107 106.5 0.004162 1.80642e-06
  108 107.5 0.0042 1.82292e-06
  109 108.5 0.004394 1.90712e-06
  110 109.5 0.004394 1.90712e-06
  111 110.5 0.004356 1.89062e-06
  112 111.5 0.00429 1.86198e-06
  113 112.5 0.004358 1.89149e-06
  114 113.5 0.004458 1.9349e-06
  115 114.5 0.00404 1.75347e-06
  116 115.5 0.003932 1.7066e-06
  117 116.5 0.003938 1.7092e-06
  118 117.5 0.004116 1.78646e-06
  119 118.5 0.004238 1.83941e-06
  120 119.5 0.004314 1.8724e-06
  121 120.5 0.004418 1.91753e-06
  122 121.5 0.004498 1.95226e-06
  123 122.5 0.004484 1.94618e-06
  124 123.5 0.004516 1.96007e-06
  125 124.5 0.004422 1.91927e-06
  126 125.5 0.004436 1.92535e-06
  127 126.5 0.004466 1.93837e-06
  128 127.5 0.004426 1.92101e-06
  129 128.5 0.004472 1.94097e-06
  130 129.5 0.004486 1.94705e-06
  131 130.5 0.004414 1.9158e-06
  132 131.5 0.004384 1.90278e-06
  133 132.5 0.004358 1.89149e-06
  134 133.5 0.004378 1.90017e-06
  135 134.5 0.004322 1.87587e-06
  136 135.5 0.00432 1.875e-06
  137 136.5 0.004542 1.97135e-06
  138 137.5 0.005528 2.39931e-06
  139 138.5 0.005358 2.32552e-06
  140 139.5 0.005284 2.2934e-06
  141 140.5 0.005014 2.17622e-06
  142 141.5 0.00516 2.23958e-06
  143 142.5 0.004966 2.15538e-06
  144 143.5 0.004824 2.09375e-06
  145 144.5 0.005366 2.32899e-06
  146 145.5 0.004508 1.9566e-06
  147 146.5 0.00412 1.78819e-06
  148 147.5 0.004034 1.75087e-06
  149 148.5 0.004088 1.77431e-06
  150 149.5 0.004062 1.76302e-06
  151 150.5 0.00408 1.77083e-06
  152 151.5 0.004048 1.75694e-06
  153 152.5 0.004058 1.76128e-06
  154 153.5 0.004034 1.75087e-06
  155 154.5 0.004056 1.76042e-06
  156 155.5 0.003908 1.69618e-06
  157 156.5 0.003856 1.67361e-06
  158 157.5 0.003878 1.68316e-06
  159 158.5 0.00393 1.70573e-06
  160 159.5 0.003884 1.68576e-06
  161 160.5 0.003886 1.68663e-06
  162 161.5 0.003764 1.63368e-06
  163 162.5 0.003808 1.65278e-06
  164 163.5 0.003776 1.63889e-06
  165 164.5 0.003828 1.66146e-06
