# Chunk-averaged data for fix tensor2 and group c1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
52500000 480 5299.000000000005
  1 0.5 27.7576 0.0120476
  2 1.5 27.6788 0.0120134
  3 2.5 27.8077 0.0120693
  4 3.5 27.7622 0.0120496
  5 4.5 27.7927 0.0120628
  6 5.5 27.8414 0.0120839
  7 6.5 27.8546 0.0120897
  8 7.5 27.8442 0.0120852
  9 8.5 27.9548 0.0121331
  10 9.5 27.9947 0.0121505
  11 10.5 28.0638 0.0121805
  12 11.5 28.127 0.0122079
  13 12.5 28.1692 0.0122262
  14 13.5 28.202 0.0122405
  15 14.5 28.2294 0.0122523
  16 15.5 28.207 0.0122426
  17 16.5 28.2591 0.0122653
  18 17.5 28.1486 0.0122173
  19 18.5 28.1391 0.0122132
  20 19.5 28.192 0.0122361
  21 20.5 28.225 0.0122504
  22 21.5 28.1042 0.012198
  23 22.5 28.0621 0.0121797
  24 23.5 28.1349 0.0122113
  25 24.5 28.1898 0.0122352
  26 25.5 28.1048 0.0121983
  27 26.5 28.0881 0.012191
  28 27.5 28.2242 0.0122501
  29 28.5 28.1771 0.0122296
  30 29.5 28.1194 0.0122046
  31 30.5 28.0961 0.0121945
  32 31.5 28.1433 0.012215
  33 32.5 28.0694 0.0121829
  34 33.5 28.1307 0.0122095
  35 34.5 28.1892 0.0122349
  36 35.5 28.2143 0.0122458
  37 36.5 28.2323 0.0122536
  38 37.5 28.2662 0.0122683
  39 38.5 28.3523 0.0123057
  40 39.5 28.3028 0.0122842
  41 40.5 28.2786 0.0122737
  42 41.5 28.2179 0.0122473
  43 42.5 28.206 0.0122422
  44 43.5 28.1285 0.0122086
  45 44.5 27.9446 0.0121287
  46 45.5 27.872 0.0120972
  47 46.5 27.7019 0.0120234
  48 47.5 27.521 0.0119449
  49 48.5 27.2074 0.0118088
  50 49.5 26.8049 0.0116341
  51 50.5 26.25 0.0113932
  52 51.5 25.5841 0.0111042
  53 52.5 24.4281 0.0106025
  54 53.5 23.0575 0.0100076
  55 54.5 21.2079 0.00920483
  56 55.5 19.0068 0.00824949
  57 56.5 16.3909 0.00711409
  58 57.5 13.709 0.00595008
  59 58.5 10.9676 0.00476023
  60 59.5 8.41484 0.00365227
  61 60.5 6.23821 0.00270756
  62 61.5 4.56937 0.00198323
  63 62.5 3.31908 0.00144057
  64 63.5 2.39438 0.00103923
  65 64.5 1.79585 0.000779448
  66 65.5 1.37933 0.000598667
  67 66.5 1.10998 0.00048176
  68 67.5 0.954128 0.000414118
  69 68.5 0.84964 0.000368767
  70 69.5 0.789432 0.000342635
  71 70.5 0.73952 0.000320972
  72 71.5 0.706216 0.000306517
  73 72.5 0.697952 0.000302931
  74 73.5 0.68712 0.000298229
  75 74.5 0.67636 0.000293559
  76 75.5 0.672488 0.000291878
  77 76.5 0.668784 0.000290271
  78 77.5 0.665584 0.000288882
  79 78.5 0.66124 0.000286997
  80 79.5 0.666152 0.000289128
  81 80.5 0.675208 0.000293059
  82 81.5 0.678504 0.00029449
  83 82.5 0.667952 0.00028991
  84 83.5 0.66712 0.000289549
  85 84.5 0.670648 0.00029108
  86 85.5 0.662128 0.000287382
  87 86.5 0.67368 0.000292396
  88 87.5 0.665576 0.000288878
  89 88.5 0.661 0.000286892
  90 89.5 0.652312 0.000283122
  91 90.5 0.653928 0.000283823
  92 91.5 0.654312 0.00028399
  93 92.5 0.666088 0.000289101
  94 93.5 0.666976 0.000289486
  95 94.5 0.660712 0.000286767
  96 95.5 0.663808 0.000288111
  97 96.5 0.673632 0.000292375
  98 97.5 0.676312 0.000293538
  99 98.5 0.657616 0.000285424
  100 99.5 0.65112 0.000282604
  101 100.5 0.656472 0.000284927
  102 101.5 0.654768 0.000284187
  103 102.5 0.67104 0.00029125
  104 103.5 0.673288 0.000292226
  105 104.5 0.678632 0.000294545
  106 105.5 0.667008 0.0002895
  107 106.5 0.668224 0.000290028
  108 107.5 0.671424 0.000291417
  109 108.5 0.675928 0.000293372
  110 109.5 0.68348 0.000296649
  111 110.5 0.686296 0.000297872
  112 111.5 0.674632 0.000292809
  113 112.5 0.684912 0.000297271
  114 113.5 0.686928 0.000298146
  115 114.5 0.679008 0.000294708
  116 115.5 0.688808 0.000298962
  117 116.5 0.684824 0.000297233
  118 117.5 0.669736 0.000290684
  119 118.5 0.676088 0.000293441
  120 119.5 0.676352 0.000293556
  121 120.5 0.6682 0.000290017
  122 121.5 0.66468 0.00028849
  123 122.5 0.676256 0.000293514
  124 123.5 0.66232 0.000287465
  125 124.5 0.660552 0.000286698
  126 125.5 0.65196 0.000282969
  127 126.5 0.659808 0.000286375
  128 127.5 0.662392 0.000287497
  129 128.5 0.662512 0.000287549
  130 129.5 0.659336 0.00028617
  131 130.5 0.66084 0.000286823
  132 131.5 0.65748 0.000285365
  133 132.5 0.658208 0.000285681
  134 133.5 0.666504 0.000289281
  135 134.5 0.666808 0.000289413
  136 135.5 0.674136 0.000292594
  137 136.5 0.674032 0.000292549
  138 137.5 0.669056 0.000290389
  139 138.5 0.672888 0.000292052
  140 139.5 0.671352 0.000291385
  141 140.5 0.667368 0.000289656
  142 141.5 0.658192 0.000285674
  143 142.5 0.662032 0.00028734
  144 143.5 0.664296 0.000288323
  145 144.5 0.65992 0.000286424
  146 145.5 0.65828 0.000285712
  147 146.5 0.65456 0.000284097
  148 147.5 0.66136 0.000287049
  149 148.5 0.664496 0.00028841
  150 149.5 0.656824 0.00028508
  151 150.5 0.669992 0.000290795
  152 151.5 0.67736 0.000293993
  153 152.5 0.678968 0.000294691
  154 153.5 0.681768 0.000295906
  155 154.5 0.68004 0.000295156
  156 155.5 0.681664 0.000295861
  157 156.5 0.685472 0.000297514
  158 157.5 0.684672 0.000297167
  159 158.5 0.678376 0.000294434
  160 159.5 0.685184 0.000297389
  161 160.5 0.678288 0.000294396
  162 161.5 0.671848 0.000291601
  163 162.5 0.666488 0.000289274
  164 163.5 0.66956 0.000290608
  165 164.5 0.675336 0.000293115
  166 165.5 0.668656 0.000290215
  167 166.5 0.675664 0.000293257
  168 167.5 0.673 0.000292101
  169 168.5 0.677152 0.000293903
  170 169.5 0.667576 0.000289747
  171 170.5 0.668088 0.000289969
  172 171.5 0.666512 0.000289285
  173 172.5 0.66432 0.000288333
  174 173.5 0.6748 0.000292882
  175 174.5 0.670968 0.000291219
  176 175.5 0.662944 0.000287736
  177 176.5 0.668992 0.000290361
  178 177.5 0.668632 0.000290205
  179 178.5 0.666208 0.000289153
  180 179.5 0.668808 0.000290281
  181 180.5 0.668736 0.00029025
  182 181.5 0.672056 0.000291691
  183 182.5 0.675616 0.000293236
  184 183.5 0.676672 0.000293694
  185 184.5 0.676504 0.000293622
  186 185.5 0.671616 0.0002915
  187 186.5 0.676064 0.000293431
  188 187.5 0.67268 0.000291962
  189 188.5 0.681608 0.000295837
  190 189.5 0.681216 0.000295667
  191 190.5 0.688368 0.000298771
  192 191.5 0.682216 0.000296101
  193 192.5 0.68864 0.000298889
  194 193.5 0.68812 0.000298663
  195 194.5 0.686272 0.000297861
  196 195.5 0.679352 0.000294858
  197 196.5 0.694656 0.0003015
  198 197.5 0.686768 0.000298076
  199 198.5 0.70768 0.000307153
  200 199.5 0.713088 0.0003095
  201 200.5 0.73332 0.000318281
  202 201.5 0.760768 0.000330194
  203 202.5 0.809488 0.00035134
  204 203.5 0.887872 0.000385361
  205 204.5 1.01135 0.000438955
  206 205.5 1.2136 0.000526736
  207 206.5 1.57882 0.000685253
  208 207.5 2.14877 0.000932625
  209 208.5 2.96333 0.00128617
  210 209.5 4.18239 0.00181527
  211 210.5 5.81794 0.00252515
  212 211.5 7.91706 0.00343623
  213 212.5 10.3975 0.0045128
  214 213.5 13.125 0.00569662
  215 214.5 15.8615 0.00688434
  216 215.5 18.2609 0.00792574
  217 216.5 20.4278 0.00886625
  218 217.5 22.0932 0.00958907
  219 218.5 23.3779 0.0101467
  220 219.5 24.209 0.0105074
  221 220.5 24.6493 0.0106985
  222 221.5 24.8119 0.010769
  223 222.5 24.7375 0.0107367
  224 223.5 24.3652 0.0105752
  225 224.5 23.8329 0.0103441
  226 225.5 22.9797 0.00997384
  227 226.5 21.9137 0.00951117
  228 227.5 20.7539 0.00900779
  229 228.5 19.3743 0.00840897
  230 229.5 17.8866 0.00776328
  231 230.5 16.445 0.00713758
  232 231.5 14.9438 0.00648602
  233 232.5 13.3162 0.00577959
  234 233.5 11.8407 0.00513921
  235 234.5 10.5147 0.00456369
  236 235.5 9.36761 0.0040658
  237 236.5 8.29534 0.00360041
  238 237.5 7.46469 0.00323988
  239 238.5 6.77806 0.00294186
  240 239.5 6.12934 0.00266031
  241 240.5 5.53883 0.00240401
  242 241.5 5.16346 0.00224108
  243 242.5 4.78881 0.00207848
  244 243.5 4.47922 0.00194411
  245 244.5 4.2289 0.00183546
  246 245.5 4.06125 0.00176269
  247 246.5 3.97058 0.00172334
  248 247.5 3.81953 0.00165778
  249 248.5 3.72265 0.00161573
  250 249.5 3.6554 0.00158655
  251 250.5 3.66454 0.00159051
  252 251.5 3.7112 0.00161076
  253 252.5 3.62828 0.00157477
  254 253.5 3.59169 0.00155889
  255 254.5 3.58138 0.00155442
  256 255.5 3.5907 0.00155846
  257 256.5 3.62378 0.00157282
  258 257.5 3.61547 0.00156922
  259 258.5 3.59631 0.0015609
  260 259.5 3.64514 0.00158209
  261 260.5 3.69286 0.0016028
  262 261.5 3.77052 0.00163651
  263 262.5 3.75246 0.00162867
  264 263.5 3.7359 0.00162149
  265 264.5 3.76909 0.00163589
  266 265.5 3.77147 0.00163692
  267 266.5 3.80858 0.00165303
  268 267.5 3.7884 0.00164427
  269 268.5 3.74295 0.00162455
  270 269.5 3.7569 0.0016306
  271 270.5 3.79922 0.00164897
  272 271.5 3.8328 0.00166354
  273 272.5 3.83919 0.00166632
  274 273.5 3.8143 0.00165551
  275 274.5 3.84423 0.0016685
  276 275.5 3.8301 0.00166237
  277 276.5 3.7928 0.00164618
  278 277.5 3.77105 0.00163674
  279 278.5 3.71533 0.00161256
  280 279.5 3.67447 0.00159482
  281 280.5 3.61183 0.00156764
  282 281.5 3.54411 0.00153824
  283 282.5 3.51343 0.00152493
  284 283.5 3.53694 0.00153513
  285 284.5 3.52832 0.00153139
  286 285.5 3.5513 0.00154136
  287 286.5 3.51766 0.00152676
  288 287.5 3.48502 0.0015126
  289 288.5 3.44299 0.00149435
  290 289.5 3.39913 0.00147532
  291 290.5 3.38367 0.00146861
  292 291.5 3.37802 0.00146616
  293 292.5 3.38545 0.00146938
  294 293.5 3.37252 0.00146377
  295 294.5 3.41787 0.00148345
  296 295.5 3.44139 0.00149366
  297 296.5 3.46538 0.00150407
  298 297.5 3.46578 0.00150424
  299 298.5 3.49167 0.00151548
