# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
52500000 480 11267.000000000011
  1 0.5 32.7527 0.0142156 -354.648 -446.921 -387.751
  2 1.5 32.6804 0.0141842 -372.039 -376.916 -440.869
  3 2.5 32.8257 0.0142472 -386.8 -387.101 -406.964
  4 3.5 32.7236 0.014203 -464.932 -453.695 -324.999
  5 4.5 32.7218 0.0142022 -525.291 -543.335 -441.354
  6 5.5 32.7593 0.0142184 -553.711 -483.939 -485.818
  7 6.5 32.7525 0.0142155 -299.527 -174.436 -278.057
  8 7.5 32.7122 0.014198 -299.077 -384.156 -357.197
  9 8.5 32.7806 0.0142277 -369.471 -404.892 -354.315
  10 9.5 32.7322 0.0142067 -275.636 -345.736 -458.077
  11 10.5 32.7233 0.0142028 -198.309 -330.103 -356.19
  12 11.5 32.7325 0.0142068 -373.6 -337.371 -456.582
  13 12.5 32.7325 0.0142068 -299.49 -336.7 -296.822
  14 13.5 32.7448 0.0142122 -262.639 -367.27 -472.885
  15 14.5 32.7434 0.0142115 -324.767 -241.506 -362.522
  16 15.5 32.7286 0.0142051 -292.276 -362.568 -352.87
  17 16.5 32.8034 0.0142376 -244.975 -339.626 -406.958
  18 17.5 32.7158 0.0141996 -303.477 -223.078 -341.936
  19 18.5 32.6759 0.0141822 -462.514 -296.973 -471.529
  20 19.5 32.7378 0.0142091 -383.773 -371.941 -422.713
  21 20.5 32.7888 0.0142313 -286.65 -207.861 -252.139
  22 21.5 32.6756 0.0141821 -299.172 -202.076 -476.146
  23 22.5 32.6627 0.0141765 -416.801 -407.746 -426.489
  24 23.5 32.7627 0.0142199 -437.205 -366.5 -380.558
  25 24.5 32.7934 0.0142332 -556.303 -373.647 -251.812
  26 25.5 32.6946 0.0141904 -510.667 -446.148 -454.375
  27 26.5 32.6673 0.0141785 -551.743 -531.934 -525.025
  28 27.5 32.7752 0.0142254 -507.616 -495.583 -413.187
  29 28.5 32.7381 0.0142092 -421.41 -412.032 -282.093
  30 29.5 32.7148 0.0141991 -440.401 -571.248 -377.521
  31 30.5 32.6965 0.0141912 -384.872 -497.318 -540.105
  32 31.5 32.7421 0.014211 -290.508 -565.31 -433.32
  33 32.5 32.6354 0.0141647 -262.526 -406.369 -340.524
  34 33.5 32.6819 0.0141849 -417.154 -541.936 -434.566
  35 34.5 32.7439 0.0142117 -538.317 -594.675 -520.205
  36 35.5 32.6751 0.0141819 -370.555 -414.481 -486.19
  37 36.5 32.6556 0.0141734 -550.791 -372.541 -525.377
  38 37.5 32.6722 0.0141806 -182.697 -92.1497 -612.751
  39 38.5 32.7155 0.0141995 -171.699 -99.5791 -494.795
  40 39.5 32.6107 0.0141539 -221.32 -190.557 -776.768
  41 40.5 32.6197 0.0141579 -2.04938 -213.955 -835.854
  42 41.5 32.5634 0.0141334 -253.921 -213.022 -1072.39
  43 42.5 32.5589 0.0141315 125.307 120.636 -1155.28
  44 43.5 32.5156 0.0141127 341.344 199.679 -1140.79
  45 44.5 32.3497 0.0140407 317.26 408.528 -1533.34
  46 45.5 32.3153 0.0140257 517.695 664.828 -1745.34
  47 46.5 32.0932 0.0139294 1066.5 994.769 -1955
  48 47.5 31.8985 0.0138448 1620.62 1568.82 -2251.37
  49 48.5 31.5722 0.0137032 2154.46 2039.82 -2490.89
  50 49.5 31.1217 0.0135077 2964.53 2873.08 -2578.56
  51 50.5 30.4343 0.0132093 3806.01 3692.36 -2607.37
  52 51.5 29.6406 0.0128648 4961.18 4818.23 -2276.19
  53 52.5 28.3461 0.012303 6008.65 5773.57 -1656.76
  54 53.5 26.7535 0.0116118 6709.53 6630.65 -883.385
  55 54.5 24.6816 0.0107125 7452.83 7459.45 312.779
  56 55.5 22.1424 0.00961041 7771.86 7826.65 1639.15
  57 56.5 19.1038 0.00829158 7736.44 7707.4 3152.42
  58 57.5 15.9837 0.00693735 7143.45 7196.57 4578.45
  59 58.5 12.7974 0.00555441 6300.62 6441.95 5780.32
  60 59.5 9.81698 0.00426084 5029.4 4921.71 6688.52
  61 60.5 7.29637 0.00316683 3166.53 3162.68 6941.86
  62 61.5 5.34437 0.0023196 974.716 852.285 6764.01
  63 62.5 3.88291 0.00168529 -1514.15 -1617.13 5986.27
  64 63.5 2.80393 0.00121698 -4252.45 -4293.38 4250.6
  65 64.5 2.08902 0.000906694 -6835.11 -7024.75 1579.07
  66 65.5 1.6094 0.000698524 -9234.13 -9457 -1221.87
  67 66.5 1.29086 0.000560267 -11639.6 -11757.4 -4999.18
  68 67.5 1.10636 0.000480191 -13256.8 -13259.2 -7779.56
  69 68.5 0.98896 0.000429236 -13992.2 -14459.9 -10277.4
  70 69.5 0.916792 0.000397913 -14516.4 -15201.5 -12123.5
  71 70.5 0.861936 0.000374104 -15429.5 -15622.1 -13615
  72 71.5 0.82252 0.000356997 -16037.7 -15902.7 -14760.3
  73 72.5 0.814792 0.000353642 -15875.8 -16350.8 -15104.9
