# Chunk-averaged data for fix tensor3 and group c2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
20000000 480 5888.000000000003
  1 0.5 6.93719 0.00301093
  2 1.5 6.92754 0.00300675
  3 2.5 6.89917 0.00299443
  4 3.5 6.86385 0.0029791
  5 4.5 6.82705 0.00296313
  6 5.5 6.79248 0.00294812
  7 6.5 6.76091 0.00293442
  8 7.5 6.73746 0.00292425
  9 8.5 6.71421 0.00291416
  10 9.5 6.68986 0.00290359
  11 10.5 6.64053 0.00288218
  12 11.5 6.6357 0.00288008
  13 12.5 6.62101 0.0028737
  14 13.5 6.60234 0.0028656
  15 14.5 6.57582 0.00285409
  16 15.5 6.56347 0.00284873
  17 16.5 6.53953 0.00283834
  18 17.5 6.53862 0.00283794
  19 18.5 6.54837 0.00284217
  20 19.5 6.56872 0.00285101
  21 20.5 6.55261 0.00284401
  22 21.5 6.53816 0.00283774
  23 22.5 6.53904 0.00283812
  24 23.5 6.50355 0.00282272
  25 24.5 6.49489 0.00281896
  26 25.5 6.4624 0.00280486
  27 26.5 6.42437 0.00278835
  28 27.5 6.35094 0.00275648
  29 28.5 6.30194 0.00273522
  30 29.5 6.26374 0.00271864
  31 30.5 6.21353 0.00269684
  32 31.5 6.1339 0.00266228
  33 32.5 6.04887 0.00262538
  34 33.5 5.89908 0.00256036
  35 34.5 5.72651 0.00248547
  36 35.5 5.51807 0.002395
  37 36.5 5.25483 0.00228074
  38 37.5 4.95848 0.00215212
  39 38.5 4.55719 0.00197795
  40 39.5 4.12718 0.00179131
  41 40.5 3.66964 0.00159273
  42 41.5 3.20038 0.00138906
  43 42.5 2.72706 0.00118362
  44 43.5 2.27979 0.000989494
  45 44.5 1.84611 0.000801261
  46 45.5 1.46069 0.000633982
  47 46.5 1.13757 0.000493736
  48 47.5 0.886054 0.000384572
  49 48.5 0.679446 0.000294898
  50 49.5 0.526922 0.000228699
  51 50.5 0.422336 0.000183306
  52 51.5 0.346324 0.000150314
  53 52.5 0.297772 0.000129241
  54 53.5 0.264252 0.000114693
  55 54.5 0.241034 0.000104615
  56 55.5 0.225654 9.79401e-05
  57 56.5 0.212368 9.21736e-05
  58 57.5 0.206902 8.98012e-05
  59 58.5 0.204164 8.86128e-05
  60 59.5 0.199262 8.64852e-05
  61 60.5 0.200412 8.69844e-05
  62 61.5 0.19844 8.61285e-05
  63 62.5 0.195906 8.50286e-05
  64 63.5 0.198216 8.60312e-05
  65 64.5 0.193688 8.4066e-05
  66 65.5 0.1967 8.53733e-05
  67 66.5 0.197784 8.58437e-05
  68 67.5 0.198776 8.62743e-05
  69 68.5 0.198084 8.5974e-05
  70 69.5 0.197704 8.5809e-05
  71 70.5 0.197696 8.58056e-05
  72 71.5 0.193992 8.41979e-05
  73 72.5 0.194346 8.43516e-05
  74 73.5 0.193122 8.38203e-05
  75 74.5 0.194504 8.44201e-05
  76 75.5 0.195542 8.48707e-05
  77 76.5 0.193026 8.37786e-05
  78 77.5 0.192514 8.35564e-05
  79 78.5 0.19387 8.4145e-05
  80 79.5 0.196008 8.50729e-05
  81 80.5 0.195686 8.49332e-05
  82 81.5 0.197356 8.5658e-05
  83 82.5 0.19484 8.4566e-05
  84 83.5 0.195842 8.50009e-05
  85 84.5 0.195254 8.47457e-05
  86 85.5 0.19561 8.49002e-05
  87 86.5 0.198442 8.61293e-05
  88 87.5 0.196972 8.54913e-05
  89 88.5 0.192682 8.36293e-05
  90 89.5 0.193646 8.40477e-05
  91 90.5 0.195574 8.48845e-05
  92 91.5 0.196888 8.54549e-05
  93 92.5 0.19742 8.56858e-05
  94 93.5 0.196748 8.53941e-05
  95 94.5 0.19509 8.46745e-05
  96 95.5 0.192424 8.35174e-05
  97 96.5 0.190948 8.28767e-05
  98 97.5 0.191712 8.32083e-05
  99 98.5 0.193244 8.38733e-05
  100 99.5 0.19341 8.39453e-05
  101 100.5 0.193468 8.39705e-05
  102 101.5 0.195298 8.47648e-05
  103 102.5 0.194104 8.42465e-05
  104 103.5 0.193004 8.37691e-05
  105 104.5 0.19501 8.46398e-05
  106 105.5 0.193798 8.41137e-05
  107 106.5 0.194344 8.43507e-05
  108 107.5 0.195534 8.48672e-05
  109 108.5 0.195122 8.46884e-05
  110 109.5 0.195518 8.48602e-05
  111 110.5 0.194694 8.45026e-05
  112 111.5 0.194654 8.44852e-05
  113 112.5 0.197326 8.5645e-05
  114 113.5 0.194358 8.43568e-05
  115 114.5 0.196474 8.52752e-05
  116 115.5 0.195578 8.48863e-05
  117 116.5 0.195092 8.46753e-05
  118 117.5 0.195112 8.4684e-05
  119 118.5 0.196098 8.5112e-05
  120 119.5 0.19512 8.46875e-05
  121 120.5 0.197528 8.57326e-05
  122 121.5 0.19668 8.53646e-05
  123 122.5 0.194904 8.45938e-05
  124 123.5 0.19458 8.44531e-05
  125 124.5 0.193994 8.41988e-05
  126 125.5 0.195154 8.47023e-05
  127 126.5 0.198418 8.61189e-05
  128 127.5 0.193678 8.40616e-05
  129 128.5 0.194412 8.43802e-05
  130 129.5 0.192056 8.33576e-05
  131 130.5 0.191476 8.31059e-05
  132 131.5 0.193532 8.39983e-05
  133 132.5 0.194036 8.4217e-05
  134 133.5 0.196348 8.52205e-05
  135 134.5 0.194786 8.45425e-05
  136 135.5 0.196316 8.52066e-05
  137 136.5 0.195752 8.49618e-05
  138 137.5 0.197788 8.58455e-05
  139 138.5 0.197344 8.56528e-05
  140 139.5 0.196954 8.54835e-05
  141 140.5 0.198322 8.60773e-05
  142 141.5 0.195246 8.47422e-05
  143 142.5 0.196042 8.50877e-05
  144 143.5 0.19549 8.48481e-05
  145 144.5 0.198434 8.61259e-05
  146 145.5 0.197296 8.56319e-05
  147 146.5 0.19797 8.59245e-05
  148 147.5 0.197804 8.58524e-05
  149 148.5 0.193362 8.39245e-05
  150 149.5 0.192182 8.34123e-05
  151 150.5 0.194596 8.44601e-05
  152 151.5 0.198714 8.62474e-05
  153 152.5 0.197046 8.55234e-05
  154 153.5 0.199524 8.6599e-05
  155 154.5 0.196208 8.51597e-05
  156 155.5 0.199414 8.65512e-05
  157 156.5 0.200324 8.69462e-05
  158 157.5 0.197424 8.56875e-05
  159 158.5 0.19673 8.53863e-05
  160 159.5 0.19454 8.44358e-05
