# Chunk-averaged data for fix tensor and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number c_press[1] c_press[2] c_press[3]
20000000 480 10979.999999999993
  1 0.5 31.6086 0.013719 -569.287 -525.594 -640.562
  2 1.5 31.6234 0.0137254 -547.41 -467.108 -538.809
  3 2.5 31.5837 0.0137082 -629.009 -556.322 -612.251
  4 3.5 31.6008 0.0137156 -587.592 -623.213 -621.401
  5 4.5 31.5943 0.0137128 -535.118 -628.656 -575.533
  6 5.5 31.6262 0.0137266 -622.07 -562.605 -606.325
  7 6.5 31.5705 0.0137025 -594.518 -627.561 -614.129
  8 7.5 31.5799 0.0137065 -509.866 -535.814 -593.408
  9 8.5 31.6118 0.0137204 -587.709 -552.19 -600.15
  10 9.5 31.6256 0.0137264 -432.248 -545.962 -553.82
  11 10.5 31.5672 0.013701 -532.408 -559.343 -659.126
  12 11.5 31.6048 0.0137174 -559.521 -525.404 -607.851
  13 12.5 31.6034 0.0137167 -595.746 -585.776 -595.69
  14 13.5 31.6056 0.0137177 -596.325 -512.048 -559.614
  15 14.5 31.5811 0.0137071 -626.203 -537.751 -687.539
  16 15.5 31.6011 0.0137158 -561.07 -595.147 -680.946
  17 16.5 31.5989 0.0137148 -535.353 -571.241 -579.983
  18 17.5 31.6043 0.0137171 -540.608 -573.876 -611.206
  19 18.5 31.5873 0.0137098 -583.822 -713.984 -829.036
  20 19.5 31.5704 0.0137024 -558.045 -578.426 -729.296
  21 20.5 31.588 0.01371 -483.475 -549.515 -719.165
  22 21.5 31.5639 0.0136996 -488.228 -548.104 -792.456
  23 22.5 31.5392 0.0136889 -426.666 -450.558 -953.655
  24 23.5 31.4973 0.0136707 -367.738 -374.176 -959.102
  25 24.5 31.4785 0.0136626 -278.986 -280.139 -1026.28
  26 25.5 31.4325 0.0136426 -166.397 -180.197 -1104.89
  27 26.5 31.3681 0.0136146 -64.8222 -60.8179 -1349.02
  28 27.5 31.2528 0.0135646 182.108 182.202 -1440.64
  29 28.5 31.1138 0.0135043 306.896 293.659 -1632.07
  30 29.5 30.9831 0.0134475 661.731 655.395 -1696.54
